B2 L2 F L' D R2
B2 L2 F D L' R2
B2 L2 F D R2 L'
F' R2 U' F' B2 L
F' R2 U' B2 L F'
F' R2 U' B2 F' L
F' L R2 U' F' B2 L
F' L R2 U' B2 L F'
F' L R2 U' B2 F' L
D' L F' R2 B' U' F'
F L F2 U' B2 L2 F
F L B2 L2 D R2 F
F L B2 L2 D F R2
F' L' R2 U' F' B2 L
F' L' R2 U' B2 L F'
F' L' R2 U' B2 F' L
F L' R2 B2 D F' R2
F L' D R2 D' F' B2
F L' D R2 D' B2 F'
F L' D R2 F' D' B2
B2 L' F L' D R2 F
B2 L' F L' D F R2
F' L2 R2 U' F' B2 L
F' L2 R2 U' B2 L F'
F' L2 R2 U' B2 F' L
D L2 R2 B U F' L'
B2 L2 U F' U' F2 L'
B2 L2 F L' R D R2
B2 L2 F L' R' D R2
B2 L2 F L' R2 D R2
B2 L2 F L' U F2 U'
B2 L2 F L' D R2 D
B2 L2 F L' D R2 D'
B2 L2 F L' D R2 D2
B2 L2 F L2 D L R2
B2 L2 F L2 D R2 L
B2 L2 F R L' D R2
B2 L2 F R D L' R2
B2 L2 F R D R2 L'
B2 L2 F R' L' D R2
B2 L2 F R' D L' R2
B2 L2 F R' D R2 L'
B2 L2 F R2 L' D R2
B2 L2 F R2 D L' R2
B2 L2 F R2 D R2 L'
B2 L2 F D L' R2 D
B2 L2 F D L' R2 D'
B2 L2 F D L' R2 D2
B2 L2 F D R2 L' D
B2 L2 F D R2 L' D'
B2 L2 F D R2 L' D2
B2 L2 F D R2 D L'
B2 L2 F D R2 D' L'
B2 L2 F D R2 D2 L'
B2 L2 F D2 L' D' R2
D' L2 F' R2 U' F' L'
R U F L' R F' B2
R U F L' R B2 F'
R U F L' B2 R F'
R U F R L' F' B2
R U F R L' B2 F'
R U F R B2 L' F'
R U F B2 L' R F'
R U F B2 R L' F'
R U B2 F L' R F'
R U B2 F R L' F'
F' R2 L U' F' B2 L
F' R2 L U' B2 L F'
F' R2 L U' B2 F' L
F' R2 L' U' F' B2 L
F' R2 L' U' B2 L F'
F' R2 L' U' B2 F' L
F' R2 L2 U' F' B2 L
F' R2 L2 U' B2 L F'
F' R2 L2 U' B2 F' L
F R2 L' B2 D F' R2
D R2 L2 B U F' L'
F' R2 U' L F' B2 L
F' R2 U' L B2 L F'
F' R2 U' L B2 F' L
F' R2 U' L' F' B2 L
F' R2 U' L' B2 L F'
F' R2 U' L' B2 F' L
F' R2 U' L2 F' B2 L
F' R2 U' L2 B2 L F'
F' R2 U' L2 B2 F' L
F' R2 U' F B2 L F2
F' R2 U' F' L B2 L
F' R2 U' F' L' B2 L
F' R2 U' F' L2 B2 L
F' R2 U' F' B2 L D
F' R2 U' F' B2 L D'
F' R2 U' F' B2 L D2
F' R2 U' F' B2 D L
F' R2 U' F' B2 D' L
F' R2 U' F' B2 D2 L
F' R2 U' B2 L D F'
F' R2 U' B2 L D' F'
F' R2 U' B2 L D2 F'
F' R2 U' B2 L F' D
F' R2 U' B2 L F' D'
F' R2 U' B2 L F' D2
F' R2 U' B2 L' F' L2
F' R2 U' B2 D L F'
F' R2 U' B2 D F' L
F' R2 U' B2 D' L F'
F' R2 U' B2 D' F' L
F' R2 U' B2 D2 L F'
F' R2 U' B2 D2 F' L
F' R2 U' B2 F L F2
F' R2 U' B2 F' L D
F' R2 U' B2 F' L D'
F' R2 U' B2 F' L D2
F' R2 U' B2 F' D L
F' R2 U' B2 F' D' L
F' R2 U' B2 F' D2 L
F2 R2 F U' F2 L' B2
F2 R2 F U' F2 B2 L'
F2 R2 F U' B2 F2 L'
F2 R2 F' L' B2 D R2
F2 R2 F' B2 L' D R2
F2 R2 F' B2 D L' R2
F2 R2 F' B2 D R2 L'
D R2 B L2 U F' L'
F' R2 B' U' F' B' L
F' R2 B' U' B' L F'
F' R2 B' U' B' F' L
F R2 B2 L' D F' R2
F2 R2 B2 F' L' D R2
F2 R2 B2 F' D L' R2
F2 R2 B2 F' D R2 L'
F R2 B2 D L' F' R2
B2 U L2 F' U' F2 L'
F' U R2 U2 F' B2 L
F' U R2 U2 B2 L F'
F' U R2 U2 B2 F' L
F' U D2 F2 B U2 L'
F' U D2 B R F2 U2
F' U D2 B F2 U2 L'
B2 U F' U R B' U2
B2 U F' U B' R U2
F' U F' B U2 B L
F' U F2 B U2 L' B
F' U F2 B U2 B L'
F' U B R2 F' R' U2
F' U B F' U2 B L
F' U B F2 U2 L' B
F' U B F2 U2 B L'
F' U B' R B2 U2 B
F' U B2 R B' U2 B
F' U' R2 F' B2 L R2
F' U' R2 F' B2 R2 L
F' U' R2 B2 L F' R2
F' U' R2 B2 F' L R2
F' U' R2 B2 F' R2 L
F' U' F B2 L2 F L'
F' U' F2 L B2 L2 F
F' U' F2 B2 L2 F L
F' U' B R U2 R' B
