F2 L R B' L' U
F2 L B' L' R U
F2 L B' R L' U
U2 L' D' F U' L2
U2 L' D2 F B2 U'
U2 L' D2 B2 F U'
U2 L' F U2 F U
F2 R L B' L' U
F2 R D' B U R'
F2 R2 D2 R' B U
L' D2 F B2 R' U'
L' D2 B2 R' F U'
L' D2 B2 F R' U'
F2 U2 F2 L' F U'
L' F U2 F L U
F' D F' U R F'
F2 D' R B U R'
F2 D' B R U R2
F2 D2 R U2 F' U'
F2 D2 R U2 F' U'
F2 D2 R' B R2 U
L B' L' F2 R U
F2 L R D B' L' U
F2 L R D' B' L' U
F2 L R D2 B' L' U
F2 L R B L' B2 U
F2 L R B' L' U D
F2 L R B' L' U D'
F2 L R B' L' U D2
F2 L R B' L' D U
F2 L R B' L' D' U
F2 L R B' L' D2 U
F2 L R B' D L' U
F2 L R B' D' L' U
F2 L R B' D2 L' U
F2 L R B2 L' B U
F2 L R' B' L' R2 U
F2 L R' B' R2 L' U
L' R D2 F B2 R' U'
L' R D2 B2 R' F U'
F2 L D R B' L' U
L' R D2 B2 F R' U'
F2 L D B' L' R U
F2 L D B' R L' U
L' R F U2 F L U
F2 L D' R B' L' U
F2 L D' B' L' R U
F2 L D' B' R L' U
F2 L D2 R B' L' U
F2 L D2 B' L' R U
F2 L D2 B' R L' U
U2 L F L2 F B' U'
U2 L F L2 B' F U'
R' L B' L' F2 R U
R2 L B' L' F2 R U
L R B' L' F2 R U
R L B' L' F2 R U
F2 L B L' R B2 U
F2 L B L' B2 R U
F2 L B R L' B2 U
F2 L B R B2 L' U
F' L B' L' F' R U
F2 L B' L' R U D
F2 L B' L' R U D'
F2 L B' L' R U D2
F2 L B' L' R D U
F2 L B' L' R D' U
F2 L B' L' R D2 U
F2 L B' L' D R U
F2 L B' L' D' R U
F2 L B' L' D2 R U
B' L B' L' F2 R U
B2 L B' L' F2 R U
F2 L B' R L' U D
F2 L B' R L' U D'
F2 L B' R L' U D2
F2 L B' R L' D U
F2 L B' R L' D' U
F2 L B' R L' D2 U
F L B' L' F R U
F2 L B' R D L' U
F2 L B' R D' L' U
F2 L B' R D2 L' U
B L B' L' F2 R U
F2 L B' D L' R U
F2 L B' D R L' U
F2 L B' D' L' R U
F2 L B' D' R L' U
F2 L B' D2 L' R U
F2 L B' D2 R L' U
F2 L B2 L' B R U
D2 L' R F' B2 R' U'
D2 L' R B2 F' R' U'
D2 L' R2 B2 R' F' U'
R' L' D2 F B2 R' U'
L' R' D2 F B2 R' U'
R2 L' D2 F B2 R' U'
R' L' D2 B2 R' F U'
R' L' D2 B2 F R' U'
L' R' D2 B2 R' F U'
L' R' D2 B2 F R' U'
R L' D2 F B2 R' U'
R2 L' D2 B2 R' F U'
R2 L' D2 B2 F R' U'
R L' D2 B2 R' F U'
R L' D2 B2 F R' U'
R' L' F U2 F L U
L' R' F U2 F L U
R2 L' F U2 F L U
R L' F U2 F L U
U2 L' U2 F2 U2 F' U'
U2 L' D F U R2 U2
U2 L' D F U' D2 L2
