L D R F' U R
D L R D F' U R
L2 R D' B' L' F U
U' L D R F' U R
U2 L D R F' U R
L2 R D2 B' L' U L2
U L D R F' U R
L2 R F B' U L' B'
L2 R B' L' F U L'
L2 R B' D' L' F U
L2 R B' F U L' B'
F2 L' D' F' U' L' B2
F2 L' D' F' U' B2 L'
F2 L' D2 F' R2 U' L'
F2 L' F' U' D' L' B2
F2 L' F' U' D' B2 L'
F2 L' F' U2 L2 U L
F2 L' F' D' U' L' B2
F2 L' F' D' U' B2 L'
F2 L' F' D2 R2 U' L'
R L2 D' B' L' F U
D2 L2 R B' L' U L2
D L2 R B' L' F' U
R L2 D2 B' L' U L2
R L2 F B' U L' B'
R L2 B' L' F U L'
R L2 B' D' L' F U
R L2 B' F U L' B'
D2 L2 B' L' R U L2
D2 L2 B' R L' U L2
D L2 B' L' R F' U
D L2 B' R L' F' U
D R L D F' U R
D2 R L2 B' L' U L2
D R L2 B' L' F' U
B2 R U2 R2 F U' L'
B' R U2 F R U' L'
B2 R U2 F R2 U' L'
B2 R D2 L2 B' U L
D R F' L U D R2
D R F' L U2 F2 U'
D R F' L D U R2
D R F' L D2 B2 U
D R F' D L U R2
D R F' D2 L B2 U
B2 R' F U' L' D' F2
B2 R' F U' D' L' F2
B2 R' F U2 R2 U L'
B2 R' F D' U' L' F2
B2 R' F D2 L2 U' L
R U2 F U' L' D' B2
R U2 F U2 L U L2
R U2 F B' U' L' B'
R U2 F B2 R' U' L'
R U2 B' F U' L' B'
R U2 B2 R' F U' L'
R U2 B2 F R' U' L'
L2 D R B' L' F' U
L D R F' U R D
L D R F' U R D'
L D R F' U R D2
L D R F' U D R
L D R F' U D' R
L D R F' U D2 R
L D R F' D U R
L D R F' D' U R
L D R F' D2 U R
L D R F' B U R
L D R F' B' U R
L D R F' B2 U R
L D R B F' U R
L D R B' F' U R
L D R B2 F' U R
L D B R F' U R
L2 D B' L' R F' U
L2 D B' R L' F' U
L D B' R F' U R
L D B2 R F' U R
L2 D' R B' L' F U
L2 D' B' L' R F U
L2 D' B' R L' F U
F U' D' L' D' F B2
F U' D' L' D' B2 F
F U' D' L' F D' B2
L2 D2 R B' L' U L2
R D2 L2 B' L' U L2
F U2 L F' R U L2
L2 D2 B' L' R U L2
L2 D2 B' R L' U L2
F U2 D' L U L2 F
R F L U L2 D2 R2
R' F U' L' D' F2 B2
R' F U' L' D' B2 F2
R' F U2 L R2 U L2
R F U L' D' B2 R'
R' F U2 R2 L U L2
R2 F U2 L R' U L2
R2 F U2 R' L U L2
R2 F B2 L R' U' L2
R2 F B2 R' L U' L2
R F' L U2 F2 U' L'
F D' U' L' D' F B2
F D' U' L' D' B2 F
F D' U' L' F D' B2
F D' U2 L U L2 F
F D' B' U' L' F B'
F D' B' U' L' B' F
F D' B2 R' U' L' F
L B D R F' U R
B2 F R' U' D' L' F
B2 F R' D' U' L' F
B' F U' D' L' F B'
B' F U' D' L' B' F
L2 B' L' R F U L'
L2 B' L' D R F' U
B' F D' U' L' F B'
B' F D' U' L' B' F
B2 F D' R' U' L' F
L2 B' R L' F U L'
L2 B' R D' L' F U
L2 B' R F U L' B'
F2 B' L' F' U' L' B'
L2 B' D L' R F' U
L2 B' D R L' F' U
L2 B' D' L' R F U
L2 B' D' R L' F U
R B' U2 F R U' L'
L B' D R F' U R
F B' U' D' L' F B'
F B' U' D' L' B' F
F B' D' U' L' F B'
F B' D' U' L' B' F
B' F2 L' F' U' L' B'
B2 F2 L' F' R' U' L'
F2 B2 L' F' R' U' L'
R2 B2 R' F L U' L2
F B2 R' U' D' L' F
F B2 R' D' U' L' F
R B2 U2 R' F U' L'
R B2 U2 F R' U' L'
L B2 D R F' U R
R2 B2 F L R' U' L2
R2 B2 F R' L U' L2
F B2 D' R' U' L' F
