B2 D' R' F' B
B2 D' R' B F'
B' U R' F' L' U'
B2 D' R' D F' B
B2 D' R' D B F'
B2 D' R' D' F' B
B2 D' R' D' B F'
B2 D' R' D2 F' B
B2 D' R' D2 B F'
B2 D' R' F' D B
B2 D' R' F' D' B
B2 D' R' F' D2 B
B2 D' R' F' B D
B2 D' R' F' B D'
B2 D' R' F' B D2
B2 D' R' B D F'
B2 D' R' B D' F'
B2 D' R' B D2 F'
B2 D' R' B F' D
B2 D' R' B F' D'
B2 D' R' B F' D2
R' F' B2 D' R' B
B2 D' F R' F' B
B2 D' F R' B F'
B2 D' F' R' F' B
B2 D' F' R' B F'
B2 D' F2 R' F' B
B2 D' F2 R' B F'
B2 F D' R' F' B
B2 F D' R' B F'
B2 F' D' R' F' B
B2 F' D' R' B F'
R' B2 D' F' R' B
D2 B2 D' R' F' B
D2 B2 D' R' B F'
D' B2 D' R' F' B
D' B2 D' R' B F'
F' B2 D' R' F' B
F' B2 D' R' B F'
D B2 D' R' F' B
D B2 D' R' B F'
R' B2 F' D' R' B
B2 F2 D' R' F' B
F2 B2 D' R' F' B
B2 F2 D' R' B F'
F2 B2 D' R' B F'
F B2 D' R' F' B
F B2 D' R' B F'
U2 L U' R U' F B
U2 L U' R U' B F
B2 L D' L' R' F' B
B2 L D' L' R' B F'
B2 L D' R' L' F' B
B2 L D' R' L' B F'
B2 L D' R' B L' F'
L R B U L U L2
R L B U L U L2
L R B U2 L' D' B2
R L B U2 L' D' B2
U2 L F' U L' U F2
B2 L' R' D L F' B'
B2 L' R' D L B' F'
B2 L' R' D F' L B'
B2 L' R' F' D L B'
B2 L' D L R' F' B'
B2 L' D L R' B' F'
B2 L' D R' L F' B'
B2 L' D R' L B' F'
B2 L' D R' F' L B'
B2 L' D' L R' F' B
B2 L' D' L R' B F'
B2 L' D' R' L F' B
B2 L' D' R' L B F'
B2 L' D' R' F' L B
U' L2 U' L' F B' U2
U' L2 U' L' B' F U2
U R U L U2 F B
U R U L U2 B F
U R U' B2 R' F' B'
U R U' B2 R' B' F'
L U' L2 U' L F B'
L U' L2 U' L B' F
B2 R' L' D L F' B'
B2 R' L' D L B' F'
B2 R' L' D F' L B'
B2 R' L' F' D L B'
U R' U L F' U2 F2
U R' U F' L U2 F
L U' B L U' L2 B'
B2 R' D L B' L' F'
B2 R' D F' L B' L'
B2 R' D' R' B R F'
B2 R' D' F' R' B R
B2 R' D2 F' U R U'
B2 R' F' L' D L B'
B2 R' F' R D' R' B
B2 R' F' D L B' L'
D2 R' F' B2 D' R' B
D' R' F' B2 D' R' B
B2 R' F' D' R' B R
F' R' F' B2 D' R' B
B2 R' F' B U R' U'
B2 R' F' B' U' L U
F2 R' F' B2 D' R' B
B R' F' B D' R' B
D R' F' B2 D' R' B
F R' F' B2 D' R' B
B2 R' B F' U R' U'
B R' B D' F' R' B
B R' B F' D' R' B
B2 R' B' U' L U F'
B2 R' B' F' U' L U
D2 R' B2 D' F' R' B
D' R' B2 D' F' R' B
F' R' B2 D' F' R' B
D2 R' B2 F' D' R' B
D' R' B2 F' D' R' B
F' R' B2 F' D' R' B
F2 R' B2 D' F' R' B
F2 R' B2 F' D' R' B
D R' B2 D' F' R' B
D R' B2 F' D' R' B
F R' B2 D' F' R' B
F R' B2 F' D' R' B
U R2 U' B2 R' F' B
U R2 U' B2 R' B F'
B2 R2 B R D F' B2
B2 R2 B R D B2 F'
B2 R2 B R F' D B2
B' U L R' F' L' U'
B' U L' R' F' L' U'
B' U L2 R' F' L' U'
R' D F' B2 D' R' B
B' U R' L F' L' U'
B' U R' L' F' L' U'
B' U R' L2 F' L' U'
B' U R' D F' L' U'
B' U R' D' F' L' U'
B' U R' D2 F' L' U'
B' U R' F' L' U' D
B' U R' F' L' U' D'
B' U R' F' L' U' D2
B' U R' F' L' D U'
B' U R' F' L' D' U'
B' U R' F' L' D2 U'
B' U R' F' D L' U'
B' U R' F' D' L' U'
B' U R' F' D2 L' U'
B' U D R' F' L' U'
R' D B2 D' F' R' B
R' D B2 F' D' R' B
B' U D' R' F' L' U'
B' U D2 R' F' L' U'
B' U F' L' R' F' U'
B' U F' R' L' F' U'
R' D' F' B2 D' R' B
R' D' B2 D' F' R' B
R' D' B2 F' D' R' B
B U' D L B' R' U
R' D2 F' B2 D' R' B
R' D2 B2 D' F' R' B
R' D2 B2 F' D' R' B
U2 F L U' R U' F
B2 D L R' B' L' F'
B2 D R' L B' L' F'
B2 D R' F' L B' L'
B' D U R' F' L' U'
D' F B2 D' R' F' B
D' F B2 D' R' B F'
D2 F B2 D' R' F' B
D2 F B2 D' R' B F'
U2 F' L U2 D' F B2
U2 F' L U2 D' B2 F
U2 F' L U2 F D' B2
U2 F' L D F2 U2 F'
B D U' L B' R' U
D F B2 D' R' F' B
D F B2 D' R' B F'
U2 F' L D' U2 F B2
U2 F' L D' U2 B2 F
B2 D F D2 R' F' B
B2 D F D2 R' B F'
B2 D F' D2 R' F' B
B2 D F' D2 R' B F'
R' F' R B2 D' R' B
B2 D F2 D2 R' F' B
B2 D F2 D2 R' B F'
R' F' R' B2 D' R' B
R' F' R2 B2 D' R' B
B' D B' D' R' F' B
B' D B' D' R' B F'
F' D B2 D' R' F' B
F' D B2 D' R' B F'
F2 D B2 D' R' F' B
F2 D B2 D' R' B F'
B2 D' L R' B L' F'
F D B2 D' R' F' B
F D B2 D' R' B F'
B2 D' L' R' F' L B
R' F' D B2 D' R' B
B2 D' L2 R' F' L2 B
B2 D' L2 R' F' B L2
B2 D' L2 R' B L2 F'
B2 D' L2 R' B F' L2
R' F' D' B2 D' R' B
R' F' D2 B2 D' R' B
B2 D' R' L B L' F'
B2 D' R' L' F' L B
B2 D' R' L2 F' L2 B
B2 D' R' L2 F' B L2
B2 D' R' L2 B L2 F'
B2 D' R' L2 B F' L2
B2 D' R' D F' D B
B2 D' R' D F' D' B
B2 D' R' D F' D2 B
B2 D' R' D F' B D
B2 D' R' D F' B D'
B2 D' R' D F' B D2
B2 D' R' D B D F'
B2 D' R' D B D' F'
B2 D' R' D B D2 F'
B2 D' R' D B F' D
B2 D' R' D B F' D'
B2 D' R' D B F' D2
B2 D' R' D' F' D B
B2 D' R' D' F' D' B
B2 D' R' D' F' D2 B
B2 D' R' D' F' B D
B2 D' R' D' F' B D'
B2 D' R' D' F' B D2
B2 D' R' D' B D F'
B2 D' R' D' B D' F'
B2 D' R' D' B D2 F'
B2 D' R' D' B F' D
B2 D' R' D' B F' D'
B2 D' R' D' B F' D2
B2 D' R' D2 F' D B
B2 D' R' D2 F' D' B
B2 D' R' D2 F' D2 B
B2 D' R' D2 F' B D
B2 D' R' D2 F' B D'
B2 D' R' D2 F' B D2
B2 D' R' D2 B D F'
B2 D' R' D2 B D' F'
B2 D' R' D2 B D2 F'
B2 D' R' D2 B F' D
B2 D' R' D2 B F' D'
B2 D' R' D2 B F' D2
B2 D' R' F' L B L'
B2 D' R' F' L2 B L2
B2 D' R' F' D B D
B2 D' R' F' D B D'
B2 D' R' F' D B D2
B2 D' R' F' D' B D
B2 D' R' F' D' B D'
B2 D' R' F' D' B D2
B2 D' R' F' D2 B D
B2 D' R' F' D2 B D'
B2 D' R' F' D2 B D2
B2 D' R' F' B2 D B'
B2 D' R' F' B2 D' B'
B2 D' R' F' B2 D2 B'
B2 D' R' F2 D F B
B2 D' R' F2 D B F
B2 D' R' F2 D' F B
B2 D' R' F2 D' B F
B2 D' R' F2 D2 F B
B2 D' R' F2 D2 B F
B2 D' R' F2 B D F
B2 D' R' F2 B D' F
B2 D' R' F2 B D2 F
B2 D' R' B L' F' L
B2 D' R' B L2 F' L2
B2 D' R' B D F' D
B2 D' R' B D F' D'
B2 D' R' B D F' D2
B2 D' R' B D' F' D
B2 D' R' B D' F' D'
B2 D' R' B D' F' D2
B2 D' R' B D2 F' D
B2 D' R' B D2 F' D'
B2 D' R' B D2 F' D2
B2 D' R' B F2 D F
B2 D' R' B F2 D' F
B2 D' R' B F2 D2 F
B2 D' R' B2 D F' B'
B2 D' R' B2 D B' F'
B2 D' R' B2 D' F' B'
B2 D' R' B2 D' B' F'
B2 D' R' B2 D2 F' B'
B2 D' R' B2 D2 B' F'
B2 D' R' B2 F' D B'
B2 D' R' B2 F' D' B'
B2 D' R' B2 F' D2 B'
R' F' B' U R' F' U'
B2 D' R2 B R F' B
B2 D' R2 B R B F'
B' D' U R' F' L' U'
B2 D' R2 B' R F' B
B2 D' R2 B' R B F'
B2 D' R2 B2 R F' B
B2 D' R2 B2 R B F'
R' F' B2 D' R' D B
R' F' B2 D' R' D' B
R' F' B2 D' R' D2 B
R' F' B2 D' R' B D
R' F' B2 D' R' B D'
R' F' B2 D' R' B D2
D2 F' B2 D' R' F' B
D2 F' B2 D' R' B F'
D' F' B2 D' R' F' B
D' F' B2 D' R' B F'
D F' B2 D' R' F' B
D F' B2 D' R' B F'
B2 D' F R' D F' B
B2 D' F R' D B F'
B2 D' F R' D' F' B
B2 D' F R' D' B F'
B2 D' F R' D2 F' B
B2 D' F R' D2 B F'
B2 D' F R' F' D B
B2 D' F R' F' D' B
B2 D' F R' F' D2 B
B2 D' F R' F' B D
B2 D' F R' F' B D'
B2 D' F R' F' B D2
B2 D' F R' B D F'
B2 D' F R' B D' F'
B2 D' F R' B D2 F'
B2 D' F R' B F' D
B2 D' F R' B F' D'
B2 D' F R' B F' D2
B2 D' F' R' D F' B
B2 D' F' R' D B F'
B2 D' F' R' D' F' B
B2 D' F' R' D' B F'
B2 D' F' R' D2 F' B
B2 D' F' R' D2 B F'
B2 D' F' R' F' D B
B2 D' F' R' F' D' B
B2 D' F' R' F' D2 B
B2 D' F' R' F' B D
B2 D' F' R' F' B D'
B2 D' F' R' F' B D2
B2 D' F' R' B D F'
B2 D' F' R' B D' F'
B2 D' F' R' B D2 F'
B2 D' F' R' B F' D
B2 D' F' R' B F' D'
B2 D' F' R' B F' D2
B2 D' F2 R' D F' B
B2 D' F2 R' D B F'
B2 D' F2 R' D' F' B
B2 D' F2 R' D' B F'
B2 D' F2 R' D2 F' B
B2 D' F2 R' D2 B F'
B2 D' F2 R' F' D B
B2 D' F2 R' F' D' B
B2 D' F2 R' F' D2 B
B2 D' F2 R' F' B D
B2 D' F2 R' F' B D'
B2 D' F2 R' F' B D2
B2 D' F2 R' B D F'
B2 D' F2 R' B D' F'
B2 D' F2 R' B D2 F'
B2 D' F2 R' B F' D
B2 D' F2 R' B F' D'
B2 D' F2 R' B F' D2
L F2 R B U L U
B' D' B' D' R' F' B
B' D' B' D' R' B F'
B2 D' B' R' F' B R'
B2 D' B' R' B F' R'
F' D' B2 D' R' F' B
F' D' B2 D' R' B F'
F2 D' B2 D' R' F' B
F2 D' B2 D' R' B F'
F D' B2 D' R' F' B
F D' B2 D' R' B F'
U2 F2 D' L U2 F B'
U2 F2 D' L U2 B' F
B2 D2 R' F' U R U'
B' D2 U R' F' L' U'
R' F2 B2 D' R' F B
R' F2 B2 D' R' B F
R' F2 B2 D' F R' B
D2 F2 B2 D' R' F' B
D2 F2 B2 D' R' B F'
D' F2 B2 D' R' F' B
D' F2 B2 D' R' B F'
D F2 B2 D' R' F' B
D F2 B2 D' R' B F'
B2 D2 F' R' D F' B2
B2 D2 F' R' D B2 F'
B2 D2 F' R' F' D B2
L B L' D' B2 R' F'
B' D2 B' D' R' F' B
B' D2 B' D' R' B F'
F' D2 B2 D' R' F' B
F' D2 B2 D' R' B F'
F2 D2 B2 D' R' F' B
F2 D2 B2 D' R' B F'
F D2 B2 D' R' F' B
F D2 B2 D' R' B F'
B' F U R' F' L' U'
B2 F D' R' D F' B
B2 F D' R' D B F'
B2 F D' R' D' F' B
B2 F D' R' D' B F'
B2 F D' R' D2 F' B
B2 F D' R' D2 B F'
B2 F D' R' F' D B
B2 F D' R' F' D' B
B2 F D' R' F' D2 B
B2 F D' R' F' B D
B2 F D' R' F' B D'
B2 F D' R' F' B D2
B2 F D' R' B D F'
B2 F D' R' B D' F'
B2 F D' R' B D2 F'
B2 F D' R' B F' D
B2 F D' R' B F' D'
B2 F D' R' B F' D2
B2 F D' F R' F' B
B2 F D' F R' B F'
B2 F D' F' R' F' B
B2 F D' F' R' B F'
B2 F D' F2 R' F' B
B2 F D' F2 R' B F'
D2 B' U R' F' L' U'
D' B' U R' F' L' U'
D B' U R' F' L' U'
B' F' U R' F' L' U'
F' B' U R' F' L' U'
F2 B' U R' F' L' U'
R' B' F' U R' F' U'
F B' U R' F' L' U'
B2 F' D' R' D F' B
B2 F' D' R' D B F'
B2 F' D' R' D' F' B
B2 F' D' R' D' B F'
B2 F' D' R' D2 F' B
B2 F' D' R' D2 B F'
B2 F' D' R' F' D B
B2 F' D' R' F' D' B
B2 F' D' R' F' D2 B
B2 F' D' R' F' B D
B2 F' D' R' F' B D'
B2 F' D' R' F' B D2
B2 F' D' R' B D F'
B2 F' D' R' B D' F'
B2 F' D' R' B D2 F'
B2 F' D' R' B F' D
B2 F' D' R' B F' D'
B2 F' D' R' B F' D2
B2 F' D' F R' F' B
B2 F' D' F R' B F'
B2 F' D' F' R' F' B
B2 F' D' F' R' B F'
B2 F' D' F2 R' F' B
B2 F' D' F2 R' B F'
B' F2 U R' F' L' U'
R' B2 D F' D2 R' B
D2 B2 D' R' D F' B
D2 B2 D' R' D B F'
D2 B2 D' R' D' F' B
D2 B2 D' R' D' B F'
D2 B2 D' R' D2 F' B
D2 B2 D' R' D2 B F'
D2 B2 D' R' F' D B
D2 B2 D' R' F' D' B
D2 B2 D' R' F' D2 B
D2 B2 D' R' F' B D
D2 B2 D' R' F' B D'
D2 B2 D' R' F' B D2
D2 B2 D' R' B D F'
D2 B2 D' R' B D' F'
D2 B2 D' R' B D2 F'
D2 B2 D' R' B F' D
D2 B2 D' R' B F' D'
D2 B2 D' R' B F' D2
D' B2 D' R' D F' B
D' B2 D' R' D B F'
D' B2 D' R' D' F' B
D' B2 D' R' D' B F'
D' B2 D' R' D2 F' B
D' B2 D' R' D2 B F'
D' B2 D' R' F' D B
D' B2 D' R' F' D' B
D' B2 D' R' F' D2 B
D' B2 D' R' F' B D
D' B2 D' R' F' B D'
D' B2 D' R' F' B D2
D' B2 D' R' B D F'
D' B2 D' R' B D' F'
D' B2 D' R' B D2 F'
D' B2 D' R' B F' D
D' B2 D' R' B F' D'
D' B2 D' R' B F' D2
R' B2 D' F R' F2 B
R' B2 D' F R' B F2
D2 B2 D' F R' F' B
D2 B2 D' F R' B F'
R' B2 D' F' R' D B
R' B2 D' F' R' D' B
R' B2 D' F' R' D2 B
R' B2 D' F' R' B D
R' B2 D' F' R' B D'
R' B2 D' F' R' B D2
D2 B2 D' F' R' F' B
D2 B2 D' F' R' B F'
R' B2 D' F2 R' F B
R' B2 D' F2 R' B F
D2 B2 D' F2 R' F' B
D2 B2 D' F2 R' B F'
D' B2 D' F R' F' B
D' B2 D' F R' B F'
D' B2 D' F' R' F' B
D' B2 D' F' R' B F'
D' B2 D' F2 R' F' B
D' B2 D' F2 R' B F'
R' B2 D2 F' R' D B2
D B2 D' R' D F' B
D B2 D' R' D B F'
D B2 D' R' D' F' B
D B2 D' R' D' B F'
D B2 D' R' D2 F' B
D B2 D' R' D2 B F'
D B2 D' R' F' D B
D B2 D' R' F' D' B
D B2 D' R' F' D2 B
D B2 D' R' F' B D
D B2 D' R' F' B D'
D B2 D' R' F' B D2
D B2 D' R' B D F'
D B2 D' R' B D' F'
D B2 D' R' B D2 F'
D B2 D' R' B F' D
D B2 D' R' B F' D'
D B2 D' R' B F' D2
D B2 D' F R' F' B
D B2 D' F R' B F'
D B2 D' F' R' F' B
D B2 D' F' R' B F'
D B2 D' F2 R' F' B
D B2 D' F2 R' B F'
D2 B2 F D' R' F' B
D2 B2 F D' R' B F'
D' B2 F D' R' F' B
D' B2 F D' R' B F'
F' B2 D' R' D F' B
F' B2 D' R' D B F'
F' B2 D' R' D' F' B
F' B2 D' R' D' B F'
F' B2 D' R' D2 F' B
F' B2 D' R' D2 B F'
F' B2 D' R' F' D B
F' B2 D' R' F' D' B
F' B2 D' R' F' D2 B
F' B2 D' R' F' B D
F' B2 D' R' F' B D'
F' B2 D' R' F' B D2
F' B2 D' R' B D F'
F' B2 D' R' B D' F'
F' B2 D' R' B D2 F'
F' B2 D' R' B F' D
F' B2 D' R' B F' D'
F' B2 D' R' B F' D2
R B2 D' R' B D2 F2
B2 F2 D' R' D F' B
B2 F2 D' R' D B F'
B2 F2 D' R' D' F' B
B2 F2 D' R' D' B F'
B2 F2 D' R' D2 F' B
B2 F2 D' R' D2 B F'
B2 F2 D' R' F' D B
B2 F2 D' R' F' D' B
B2 F2 D' R' F' D2 B
B2 F2 D' R' F' B D
B2 F2 D' R' F' B D'
B2 F2 D' R' F' B D2
B2 F2 D' R' B D F'
B2 F2 D' R' B D' F'
B2 F2 D' R' B D2 F'
B2 F2 D' R' B F' D
B2 F2 D' R' B F' D'
B2 F2 D' R' B F' D2
F' B2 D' F R' F' B
