D2 F L2 B' U F
B2 F U2 R2 U' F'
F B2 U2 R2 U' F'
F L R' B2 L U F
L2 R2 D' B' U' R2 F
L2 R2 D' B' U' F R2
R2 L2 D' B' U' R2 F
R2 L2 D' B' U' F R2
L2 R2 D2 F2 B' U' F'
R2 L2 D2 F2 B' U' F'
L2 R2 D2 B' F2 U' F'
R2 L2 D2 B' F2 U' F'
B' L2 U' R2 F B' U'
B' L2 U' R2 B' F U'
B' L2 U' F R2 B' U'
B' L2 U' F B' R2 U'
B' L2 U' B' R2 F U'
B' L2 U' B' F R2 U'
D L2 U' B' U' F B'
D L2 U' B' U' B' F
B2 L2 U2 R2 B' U' F'
D2 L2 U2 F2 B' U' F'
D2 L2 U2 B' F2 U' F'
L2 R2 B' U2 B' U F
R2 L2 B' U2 B' U F
F' L2 D' R2 F L2 B'
F' L2 D' F L2 R2 B'
F' L2 D' F L2 B' R2
F' L2 D' F R2 L2 B'
B' L2 F B' R2 U' F'
B' L2 B' R2 F U' F2
B' L2 B' F R2 U' F'
F L2 B2 U D F B2
F L2 B2 U D B2 F
F L2 B2 U F D B2
F L2 B2 U2 R2 U' F
F L2 B2 D U F B2
F L2 B2 D U B2 F
R2 U B' U F B' U
R2 U B' U B' F U
D2 R F L2 B' U F
F R' L B2 L U F
R2 U' F' D' L2 R2 F
R2 U' F' D' L2 F R2
R2 U' F' D' R2 L2 F
D2 R' F L2 B' U F
F R' B2 L R2 U F'
F R' B2 L U' B U2
F R' B2 R2 L U F'
R2 U2 F B2 R2 U F'
R2 U2 F B2 U' B U2
B2 R2 U F' D' L2 B'
F' R2 U' D' L2 R2 F
F' R2 U' D' L2 F R2
F' R2 U' D' R2 L2 F
B' R2 U2 F B' U F'
B' R2 U2 B' F U F'
B R2 D L2 F' B' U'
B R2 D L2 B' F' U'
R2 U2 B2 R2 F U F2
F' R2 D' U' L2 R2 F
F' R2 D' U' L2 F R2
F' R2 D' U' R2 L2 F
R2 U2 B2 F R2 U F'
R2 U2 B2 F U' B U2
D2 R2 F L2 B' U F
L D L F B2 L' R'
L D L F B2 R' L'
L D L B2 R' F L'
L D L B2 F L' R'
L D L B2 F R' L'
B2 R2 F U F2 D2 B2
B R2 F' D2 B2 U' F2
F R2 B2 U' B U2 B'
D2 U F L2 B' U F
B' U D F B' U B'
B' U D B' F U B'
F U D B2 D2 R2 F'
B' U D2 F B' L2 U
B' U D2 B' F L2 U
B' U F D B' U B'
B' U F D2 B' L2 U
B' U F B' U D B2
B' U F B' U2 R2 U'
B' U F B' D U B2
B' U F B' D2 L2 U
R2 D' L2 B' U' R2 F
R2 D' L2 B' U' F R2
B' U B' D F U B2
B' U B' D2 F L2 U
B' U B' F U D B2
B' U B' F U2 R2 U'
B' U B' F D U B2
B' U B' F D2 L2 U
D2 U' F L2 B' U F
B' U' R2 U2 F B' U
B' U' R2 U2 B' F U
F U' D L2 U2 F B2
F U' D L2 U2 B2 F
F U' D B' L2 F U2
F U' D' F2 B' U2 R2
F U' D' B' F2 U2 R2
R2 D2 L2 F2 B' U' F'
R2 D2 L2 B' F2 U' F'
U' D2 F L2 B' U F
D2 U2 F L2 B' U F
B2 U2 L' R2 U' F' L'
U2 D2 F L2 B' U F
B2 U2 L2 R2 B' U' F'
U D2 F L2 B' U F
B2 U2 R2 L' U' F' L'
B2 U2 R2 L2 B' U' F'
B2 U2 R2 U' F' D' L2
B2 U2 R2 U2 F U F2
R' F L B2 L U F
D2 F L2 R B' U F
D2 F L2 R' B' U F
D' F L2 U R2 F B'
D' F L2 U R2 B' F
D' F L2 U F R2 B'
D' F L2 U F B' R2
D' F L2 U B' R2 F
D' F L2 U B' F R2
D2 F L2 R2 B' U F
D2 F L2 D B' U F
D2 F L2 D' B' U F
D2 F L2 D2 B' U F
D2 F L2 B' R U F
D2 F L2 B' R' U F
D2 F L2 B' R2 U F
D2 F L2 B' U D F
D2 F L2 B' U D' F
D2 F L2 B' U D2 F
D2 F L2 B' U F D
D2 F L2 B' U F D'
