F L' U L2 U2 B'
F L' U F L2 U2
F2 U L U2 F B'
F2 U L U2 B' F
F L U' L2 U' L2 B'
F' L U2 R U R' B'
U' L U2 D' B' L' F
U' L U2 B' D' L' F
U' L D' U2 B' L' F
U L F' U R U B'
F L' R U L2 U2 B'
F L' R U F L2 U2
F L' R' U L2 U2 B'
F L' R' U F L2 U2
F L' R2 U L2 U2 B'
F L' R2 U F L2 U2
F L' U L2 U2 D B'
F L' U L2 U2 D' B'
F L' U L2 U2 D2 B'
F L' U L2 U2 B' D
F L' U L2 U2 B' D'
F L' U L2 U2 B' D2
F L' U L2 D U2 B'
F L' U L2 D' U2 B'
F L' U L2 D2 U2 B'
F L' U L2 F U2 B'
F L' U L2 F' U2 B'
F L' U L2 F2 U2 B'
F L' U D2 F U2 R2
F L' U F L2 U2 D
F L' U F L2 U2 D'
F L' U F L2 U2 D2
F L' U F L2 D U2
F L' U F L2 D' U2
F L' U F L2 D2 U2
F L' U F U2 D2 R2
F L' U F D2 U2 R2
F L' U F' L2 F2 U2
F L' U F2 L2 F' U2
F L' D F2 R2 U' B
F L' D F2 U F' U2
F L' D2 U F U2 R2
F L' D2 F2 U' R2 B
U L' F L2 U' L U'
F L' F' U L2 F2 U2
F L' F' U F2 L2 U2
F L' F' U' D2 R2 B2
F L' F' U' D2 B2 R2
F L' F' D R2 F2 U'
F L' F' D F2 R2 U'
F L' F' D2 U' R2 B2
F L' F' D2 U' B2 R2
F L' F2 U L2 F' U2
F L' F2 U F' L2 U2
F L' F2 U' D2 R2 B
F L' F2 D2 U' R2 B
U L2 D' L' U2 F B'
U L2 D' L' U2 B' F
D L2 F' R U' F' R
F' L2 F2 L' U' R B'
F' L2 F2 L' U' B' R
D L2 F2 U' R F' B
D L2 F2 U' R B F'
L' U F L2 U' L U'
F R L' U L2 U2 B'
F R L' U F L2 U2
F2 R U L U2 F B'
F2 R U L U2 B' F
F' R U' L U2 B' L'
F R' L' U L2 U2 B'
F R' L' U F L2 U2
F2 R' U L U2 F B'
F2 R' U L U2 B' F
F R2 L' U L2 U2 B'
F R2 L' U F L2 U2
F2 R2 U L U2 F B'
F2 R2 U L U2 B' F
F' U L U R U B'
F2 U L U2 D F B'
F2 U L U2 D B' F
F2 U L U2 D' F B'
F2 U L U2 D' B' F
F2 U L U2 D2 F B'
F2 U L U2 D2 B' F
F2 U L U2 F D B'
F2 U L U2 F D' B'
F2 U L U2 F D2 B'
F2 U L U2 F B' D
F2 U L U2 F B' D'
F2 U L U2 F B' D2
F2 U L U2 B' D F
F2 U L U2 B' D' F
F2 U L U2 B' D2 F
F2 U L U2 B' F D
F2 U L U2 B' F D'
F2 U L U2 B' F D2
F2 U L D U2 F B'
F2 U L D U2 B' F
D' U L B' U L U
F2 U L D' U2 F B'
F2 U L D' U2 B' F
F2 U L D2 U2 F B'
F2 U L D2 U2 B' F
F2 U L F' U2 F2 B'
F2 U L F' U2 B' F2
F2 U L F2 U2 F' B'
F2 U L F2 U2 B' F'
F2 U L B U2 F B2
F2 U L B U2 B2 F
F2 U L B2 U2 F B
F2 U L B2 U2 B F
F U L U2 D F2 B'
F U L U2 D B' F2
F U L U2 B' D F2
F U L D U2 F2 B'
F U L D U2 B' F2
F U L D' B2 U2 B
F2 U L' F L2 U2 F
F2 U L' F B' L2 U2
F2 U L' B' L2 U2 B'
F2 U L' B' F L2 U2
F2 U F L U2 F B'
F2 U F L U2 B' F
F2 U F' L U2 F B'
F2 U F' L U2 B' F
F2 U F2 L U2 F B'
F2 U F2 L U2 B' F
U D' L B' U L U
F2 U' D2 B2 R' F' B
F2 U' D2 B2 R' B F'
F2 U' B2 D2 R' F' B
F2 U' B2 D2 R' B F'
F' U2 R U' L U2 B'
D2 U2 B R' U B R'
U2 D2 B R' U B R'
D2 U2 B2 U R' F' B
D2 U2 B2 U R' B F'
U2 D2 B2 U R' F' B
U2 D2 B2 U R' B F'
R' F L' U L2 U2 B'
R' F L' U F L2 U2
U F L U2 D F2 B'
U F L U2 D B' F2
U F L U2 B' D F2
U F L D U2 F2 B'
U F L D U2 B' F2
R2 F L' U L2 U2 B'
U F L D' B2 U2 B
R2 F L' U F L2 U2
L2 F L' F U' R B'
L2 F L' F U' B' R
L' F L2 U' L U' L'
L F L' U L U2 B'
R F L' U L2 U2 B'
R F L' U F L2 U2
L F U' L' U' L B'
U F' L U R U B'
D F' R U L U2 F'
L' F' D F2 L' R2 U'
L' F' D F2 R2 L' U'
L F' U2 R U R' B'
R' F2 U L U2 F B'
R' F2 U L U2 B' F
R2 F2 U L U2 F B'
R2 F2 U L U2 B' F
R F2 U L U2 F B'
R F2 U L U2 B' F
F2 D2 U' B2 R' F' B
F2 D2 U' B2 R' B F'
