D R F2 L2 B'
D L2 R' F2 B R2
D L2 R' B R2 F2
D L2 R' B F2 R2
D R F2 L2 D B'
D R F2 L2 D' B'
D R F2 L2 D2 B'
D R F2 L2 B' D
D R F2 L2 B' D'
D R F2 L2 B' D2
D R F2 B L2 B'
D R F2 B' L2 B'
D R F2 B2 L2 B'
D R B F2 L2 B'
D R B' F2 L2 B'
D R B2 F2 L2 B'
D R' L2 F2 B R2
D R' L2 B R2 F2
D R' L2 B F2 R2
D R' F2 L2 B R2
D R' F2 B L2 R2
D R' F2 B R2 L2
D R' B L2 R2 F2
D R' B L2 F2 R2
D R' B R2 L2 F2
D R' B R2 F2 L2
D R' B F2 L2 R2
D R' B F2 R2 L2
R2 D L2 R' F2 B
R2 D L2 R' B F2
R2 D L2 F2 R' B
R2 D R' L2 F2 B
R2 D R' L2 B F2
R2 D R' F2 L2 B
R2 D R' F2 B L2
R2 D R' B L2 F2
R2 D R' B F2 L2
D' R2 B2 L U2 B'
U' D R F2 L2 B'
R2 D F2 L2 R' B
U2 D R F2 L2 B'
R2 D F2 R' L2 B
R2 D F2 R' B L2
U D R F2 L2 B'
D U R F2 L2 B'
D U' R F2 L2 B'
D U2 R F2 L2 B'
D F2 L2 B2 R' B
D B R F2 L2 B'
D B' R F2 L2 B'
D B2 R F2 L2 B'
D' L R D2 F2 B' L'
D' L R D2 B' F2 L'
D L R F2 L2 B' L'
D L R' F2 L B R2
D' L R2 B2 L U2 B
B2 L D' L U' R B'
B2 L D' L U' B' R
D2 L D' R F2 L2 B'
D' L D2 R F2 B' L2
D' L D2 R B' L2 F2
D' L D2 R B' F2 L2
L2 R F' B2 R U' R'
D' L D2 B' L2 R F2
D' L D2 B' R L2 F2
D' L D2 B' R F2 L2
L2 R B2 F' R U' R'
D' L B' D2 L2 R F
D' L B' D2 R L2 F
D' L B2 R2 F' U2 R'
D L' R' B L' R2 F2
D L' R' B L' F2 R2
D L' R' B R2 L' F2
D' L' R2 F B2 L U2
D' L' R2 B2 F L U2
L2 R' F' R B2 U' R
L2 R' F' B2 R U' R
D2 L' D' R F2 L2 B'
D' L' D2 L2 R F2 B'
D' L' D2 L2 R B' F2
D' L' D2 L2 B' R F2
D' L' D2 R L2 F2 B'
D' L' D2 R L2 F2 B'
D' L' D2 R L2 B' F2
L2 R' B2 F' R U' R
L2 R2 U' D L2 R' B
L2 R2 U' D R' L2 B
L2 R2 U' D R' B L2
R2 L2 U' D L2 R' B
R2 L2 U' D R' L2 B
R2 L2 U' D R' B L2
L2 R2 D U' L2 R' B
L2 R2 D U' R' L2 B
L2 R2 D U' R' B L2
R2 L2 D U' L2 R' B
R2 L2 D U' R' L2 B
R2 L2 D U' R' B L2
D' L' B2 R2 F U2 R'
D' L2 R D2 F2 L' B'
F' L2 R F B2 U' R
D L2 R U2 F' U2 F'
B2 L2 R F' R U' R'
D L2 R F D2 F B2
D L2 R F D2 B2 F
F' L2 R B2 F U' R
D L2 R F2 L2 B' L2
D L2 R F2 U2 F U2
B2 L2 R' F' R U' R
D L2 R' F B R2 F
D L2 R' F2 B R2 D
D L2 R' F2 B R2 D'
D L2 R' F2 B R2 D2
D L2 R' F2 B' R2 B2
D L2 R' F2 B2 R2 B'
D L2 R' B R' F2 R'
D L2 R' B R2 F2 D
D L2 R' B R2 F2 D'
D L2 R' B R2 F2 D2
D L2 R' B F R2 F
D L2 R' B F2 R2 D
D L2 R' B F2 R2 D'
D L2 R' B F2 R2 D2
D L2 R' B' R2 F2 B2
D L2 R' B' R2 B2 F2
D L2 R' B' F2 R2 B2
D L2 R' B2 R2 F2 B'
D L2 R' B2 R2 B' F2
B2 L2 R2 U' D R' B
D L2 R' B2 F2 R2 B'
R' L2 F' R B2 U' R
B2 L2 R2 D U' R' B
B2 L2 R2 F' R U' R2
D' L2 R2 B2 L F U2
L2 R2 F' R B2 U' R2
R2 L2 F' R B2 U' R2
D L2 R2 F2 R B R2
R' L2 F' B2 R U' R
R L2 F' B2 R U' R'
B2 L2 U' R2 D R' B
B2 L2 U' D R' B R2
B2 L2 D R' U' B R2
B2 L2 D U' R' B R2
D2 L2 D' R F2 L2 B'
R' L2 B2 F' R U' R
R L2 B2 F' R U' R'
B L2 D2 B R' U' R2
F2 L2 F R B2 U' R'
F2 L2 F B2 R U' R2
B2 L2 F' R F U' R
F L2 F' B2 R' U' R2
B2 L2 F2 U L' U2 B'
D L2 B R' F2 B R2
D L2 B R' B R2 F2
D L2 B R' B F2 R2
D L2 B' R' F2 B R2
D L2 B' R' B R2 F2
D L2 B' R' B F2 R2
R2 U D L2 R' F2 B
R2 U D L2 R' B F2
R2 U D L2 F2 R' B
F' L2 B2 R F U' R
R2 U D R' L2 F2 B
R2 U D R' L2 B F2
R2 U D R' F2 L2 B
R2 U D R' F2 B L2
R2 U D R' B L2 F2
R2 U D R' B F2 L2
R2 U D F2 L2 R' B
R2 U D F2 R' L2 B
R2 U D F2 R' B L2
F2 L2 B2 R2 U' R B
D L2 B2 R' F2 B R2
D L2 B2 R' B R2 F2
F2 L2 B2 U' R B R2
D L2 B2 R' B F2 R2
F L2 B2 R' F' U' R
F2 L2 B2 F R U' R2
D' R L D2 F2 B' L'
D' R L D2 B' F2 L'
F L2 B2 F' R' U' R2
D R L F2 L2 B' L'
D' R L2 D2 F2 L' B'
F' R L2 F B2 U' R
D R L2 U2 F' U2 F'
B2 R L2 F' R U' R'
F' R L2 B2 F U' R
D R L2 F D2 F B2
D R L2 F D2 B2 F
D R L2 F2 L2 B' L2
D R L2 F2 U2 F U2
D R U2 F' U2 L2 F'
D R U2 F' U2 F' L2
F' R F L2 B2 U' R
F' R F B2 L2 U' R
F' R F' L2 B2 U' R'
B2 R F' L2 R U' R'
B2 R F' R L2 U' R'
D' R F2 L B' L2 F
D R F2 L' D L' B'
D R F2 L' D' L' B'
D R F2 L' D2 L' B'
D R F2 L' B L' B'
D R F2 L' B' L' B'
D R F2 L' B2 L' B'
D R F2 L2 R' B' R
D R F2 L2 R2 B' R2
D R F2 L2 D B' D
D R F2 L2 D B' D'
D R F2 L2 D B' D2
D R F2 L2 D' B' D
D R F2 L2 D' B' D'
D R F2 L2 D' B' D2
D R F2 L2 D2 B' D
D R F2 L2 D2 B' D'
D R F2 L2 D2 B' D2
D R F2 L2 B2 D B
D R F2 L2 B2 D' B
D R F2 L2 B2 D2 B
D R F2 R' L2 B' R
D R F2 R2 L2 B' R2
D R F2 U2 F U2 L2
D R F2 B L2 D B'
D R F2 B L2 D' B'
D R F2 B L2 D2 B'
D R F2 B L2 B' D
D R F2 B L2 B' D'
D R F2 B L2 B' D2
D R F2 B' L2 D B'
D R F2 B' L2 D' B'
D R F2 B' L2 D2 B'
D R F2 B' L2 B' D
D R F2 B' L2 B' D'
D R F2 B' L2 B' D2
D R F2 B2 L2 D B'
D R F2 B2 L2 D' B'
D R F2 B2 L2 D2 B'
D R F2 B2 L2 B' D
D R F2 B2 L2 B' D'
D R F2 B2 L2 B' D2
L2 U' R2 D L2 R' B
L2 U' R2 D R' L2 B
L2 U' R2 D R' B L2
D R B F2 L2 D B'
D R B F2 L2 D' B'
D R B F2 L2 D2 B'
D R B F2 L2 B' D
D R B F2 L2 B' D'
D R B F2 L2 B' D2
L2 U' D L2 R' B R2
L2 U' D R' L2 B R2
L2 U' D R' B L2 R2
L2 U' D R' B R2 L2
R2 U' D L2 R' F2 B
R2 U' D L2 R' B F2
R2 U' D L2 F2 R' B
F' R B2 L2 F U' R
R2 U' D R' L2 F2 B
R2 U' D R' L2 B F2
R2 U' D R' F2 L2 B
R2 U' D R' F2 B L2
R2 U' D R' B L2 F2
R2 U' D R' B F2 L2
D R B' F2 L2 D B'
D R B' F2 L2 D' B'
D R B' F2 L2 D2 B'
D R B' F2 L2 B' D
D R B' F2 L2 B' D'
D R B' F2 L2 B' D2
R2 U' D F2 L2 R' B
R2 U' D F2 R' L2 B
R2 U' D F2 R' B L2
F' R B2 F L2 U' R
D R B2 F2 L2 D B'
D R B2 F2 L2 D' B'
D R B2 F2 L2 D2 B'
D R B2 F2 L2 B' D
D R B2 F2 L2 B' D'
D R B2 F2 L2 B' D2
D R' L F2 L B R2
D R' L' B L' R2 F2
D R' L' B L' F2 R2
D R' L' B R2 L' F2
B2 R' L2 F' R U' R
D R' L2 F B R2 F
D R' L2 F2 B R2 D
