B' L R' U L' U
B' R' L U L' U
B U L R' D2 F2
B U L D2 R' F2
B U L D2 F2 R'
B U R' L D2 F2
B U R' D2 L F2
B U R' D2 F2 L
B U D2 L R' F2
B U D2 L F2 R'
B U D2 R' L F2
B U D2 R' F2 L
B U D2 F2 L R'
B U D2 F2 R' L
B U' B2 L R' U2
B U' B2 R' L U2
B D' R2 U L R
B D' R2 U R L
B D2 U L R' F2
B D2 U L F2 R'
B D2 U R' L F2
B D2 U R' F2 L
B D2 U F2 L R'
B D2 U F2 R' L
U' B' L U F U
B' L R' U L' U D
B' L R' U L' U D'
B' L R' U L' U D2
B' L R' U L' D U
B' L R' U L' D' U
B' L R' U L' D2 U
B' L R' U D L' U
B' L R' U D' L' U
B' L R' U D2 L' U
B' L R' D U L' U
B' L R' D' U L' U
B' L R' D2 U L' U
B' L R' F2 U' R U'
B' L U L' U' R' U2
B' L U2 L D' B2 L
B' L U2 B2 L D' B2
B' L D R' U L' U
B' L D' R' U L' U
B' L D2 R' U L' U
B L D2 F2 R' D B2
B' L F' D R' U2 B
B' L F2 R' U' R2 U'
B' L F2 R' U2 D B2
B' L F2 R' D U2 B2
B' L F2 R' D' F2 U2
B' L2 R' D L' F2 U2
B' L2 R' D F2 U2 R
B' L2 R' D' L' U2 B2
B' L2 D L' R' F2 U2
B' L2 D L' F2 R' U2
B' L2 D R' L' F2 U2
B' L2 D R' F2 U2 R
B' L2 D F2 R' U2 R2
B' L2 D' L' R' U2 B2
B' L2 D' L' U2 B2 L
B' L2 D' R' L' U2 B2
B R U L R2 D2 F2
B R U R2 L D2 F2
B R U R2 D2 L F2
B R U R2 D2 F2 L
B R U' B2 R' U2 R'
U' R B' L U F U
B' R' L U L' U D
B' R' L U L' U D'
B' R' L U L' U D2
B' R' L U L' D U
B' R' L U L' D' U
B' R' L U L' D2 U
B' R' L U D L' U
B' R' L U D' L' U
B' R' L U D2 L' U
B' R' L D U L' U
B' R' L D' U L' U
B' R' L D2 U L' U
B' R' L F2 U' R U'
B' R' L2 D L' F2 U2
B' R' L2 D F2 U2 R
B' R' L2 D' L' U2 B2
B' R' U B2 U R' B2
R' U' B' L U F U
B' R' U2 R2 D B2 R'
B' R' D L U L' U
R2 U' B' L U F U
R U' B' L U F U
B' R' D' L U L' U
B R' D' R2 U L R2
B R' D' R2 U R2 L
B' R' D2 L U L' U
B' R' F L U L' U
B' R' F' L U L' U
B' R' F2 L U L' U
D' R' B U L D2 F2
D' R' B U D2 L F2
D' R' B U D2 F2 L
D' R' B U' B2 R' U2
D' R' B D' R2 U L
D' R' B D2 U L F2
D' R' B D2 U F2 L
U' R' B' L U F U
B R2 U L R D2 F2
B R2 U L D2 R F2
B R2 U R L D2 F2
B R2 U R D2 L F2
B R2 U R D2 F2 L
B R2 U D2 L R F2
B R2 U D2 R L F2
B R2 U D2 R F2 L
B R2 U' B2 R' U2 R2
B R2 D' R2 U L R'
B R2 D' R2 U R' L
B R2 D2 U L R F2
B R2 D2 U R L F2
B R2 D2 U R F2 L
U' R2 B' L U F U
B2 R2 B' U L F' R'
B2 R2 B' U F' L R'
B2 R2 B' U F' R' L
B U L R' U2 B2 U2
B U L R' D2 F2 D
B U L R' D2 F2 D'
B U L R' D2 F2 D2
B U L R' F D2 F2
B U L R' F' D2 F2
B U L R' F2 D2 F2
B U L R2 D2 R F2
B U L U2 B2 L U2
B U L D R' D F2
B U L D2 R F2 R2
B U L D2 R' F2 D
B U L D2 R' F2 D'
B U L D2 R' F2 D2
B U L D2 F R' F
B U L D2 F2 R' D
B U L D2 F2 R' D'
B U L D2 F2 R' D2
B U L D2 F2 D R'
B U L D2 F2 D' R'
B U L D2 F2 D2 R'
B U L F R' D2 F2
B U L F D2 R' F2
B U L F D2 F2 R'
B U L F' R' D2 F2
B U L F' D2 R' F2
B U L F' D2 F2 R'
B U L F2 R' D2 F2
B U L F2 D2 R' F2
B U L F2 D2 F2 R'
B U L2 R' D2 L' F2
B U L2 D2 L' R' F2
B U L2 D2 L' F2 R'
B U L2 D2 R' L' F2
B U R' L U2 B2 U2
B U R' L D2 F2 D
B U R' L D2 F2 D'
B U R' L D2 F2 D2
B U R' L F D2 F2
B U R' L F' D2 F2
B U R' L F2 D2 F2
B U R' L2 D2 L' F2
B U R' U2 B2 R' U2
B U R' D' L D' F2
B U R' D2 L F2 D
B U R' D2 L F2 D'
B U R' D2 L F2 D2
B U R' D2 L' F2 L2
B U R' D2 F' L F'
B U R' D2 F2 L D
B U R' D2 F2 L D'
B U R' D2 F2 L D2
B U R' D2 F2 D L
B U R' D2 F2 D' L
B U R' D2 F2 D2 L
B U R' F L D2 F2
B U R' F D2 L F2
B U R' F D2 F2 L
B U R' F' L D2 F2
B U R' F' D2 L F2
B U R' F' D2 F2 L
B U R' F2 L D2 F2
B U R' F2 D2 L F2
B U R' F2 D2 F2 L
B U R2 L D2 R F2
B U R2 D2 L R F2
B U R2 D2 R L F2
B U R2 D2 R F2 L
B U D R' D L F2
B U D R' D F2 L
B U D' L D' R' F2
B U D' L D' F2 R'
B U D2 L R F2 R2
B U D2 L R' F2 D
B U D2 L R' F2 D'
B U D2 L R' F2 D2
B U D2 L F R' F
B U D2 L F2 R' D
B U D2 L F2 R' D'
B U D2 L F2 R' D2
B U D2 L F2 D R'
B U D2 L F2 D' R'
B U D2 L F2 D2 R'
B U D2 L' R' F2 L2
B U D2 L' F2 L2 R'
B U D2 L' F2 R' L2
B U D2 R L F2 R2
B U D2 R F2 L R2
B U D2 R F2 R2 L
B U D2 R' L F2 D
B U D2 R' L F2 D'
B U D2 R' L F2 D2
B U D2 R' L' F2 L2
B U D2 R' F' L F'
B U D2 R' F2 L D
B U D2 R' F2 L D'
B U D2 R' F2 L D2
B U D2 R' F2 D L
B U D2 R' F2 D' L
B U D2 R' F2 D2 L
B U D2 F R' F L
B U D2 F' L F' R'
B U D2 F2 L R' D
B U D2 F2 L R' D'
B U D2 F2 L R' D2
B U D2 F2 L D R'
B U D2 F2 L D' R'
B U D2 F2 L D2 R'
B U D2 F2 R' L D
B U D2 F2 R' L D'
B U D2 F2 R' L D2
B U D2 F2 R' D L
B U D2 F2 R' D' L
B U D2 F2 R' D2 L
B U D2 F2 D L R'
B U D2 F2 D R' L
B U D2 F2 D' L R'
B U D2 F2 D' R' L
B U D2 F2 D2 L R'
B U D2 F2 D2 R' L
B U F L R' D2 F2
B U F L D2 R' F2
B U F L D2 F2 R'
B U F R' L D2 F2
B U F R' D2 L F2
B U F R' D2 F2 L
B U F D2 L R' F2
B U F D2 L F2 R'
B U F D2 R' L F2
B U F D2 R' F2 L
B U F D2 F2 L R'
B U F D2 F2 R' L
B U F' L R' D2 F2
B U F' L D2 R' F2
B U F' L D2 F2 R'
B U F' R' L D2 F2
B U F' R' D2 L F2
B U F' R' D2 F2 L
B U F' D2 L R' F2
B U F' D2 L F2 R'
B U F' D2 R' L F2
B U F' D2 R' F2 L
B U F' D2 F2 L R'
B U F' D2 F2 R' L
B U F2 L R' D2 F2
B U F2 L D2 R' F2
B U F2 L D2 F2 R'
B U F2 R' L D2 F2
B U F2 R' D2 L F2
B U F2 R' D2 F2 L
B U F2 D2 L R' F2
B U F2 D2 L F2 R'
B U F2 D2 R' L F2
B U F2 D2 R' F2 L
B U F2 D2 F2 L R'
B U F2 D2 F2 R' L
B' U B2 U L R' B2
B' U B2 U R' L B2
B U B2 L R' U2 B2
B U B2 L U2 B2 L
B' U' L R' U' L' U'
B U B2 R' L U2 B2
B U B2 R' U2 B2 R'
B U B2 U2 B2 L R'
B U B2 U2 B2 R' L
B U' L B2 L U2 L'
B U' L' B2 L U2 L
B U' L2 B2 L U2 L2
B' U' R' L U' L' U'
B U' R B2 R' U2 R'
B U' R' B2 R' U2 R
B U' R2 B2 R' U2 R2
F' U' B' L U F U
F2 U' B' L U F U
F U' B' L U F U
B U' B2 L R' U2 D
B U' B2 L R' U2 D'
B U' B2 L R' U2 D2
B U' B2 L R' D U2
B U' B2 L R' D' U2
B U' B2 L R' D2 U2
B U' B2 L D R' U2
B U' B2 L D' R' U2
B U' B2 L D2 R' U2
B U' B2 R' L U2 D
B U' B2 R' L U2 D'
B U' B2 R' L U2 D2
B U' B2 R' L D U2
B U' B2 R' L D' U2
B U' B2 R' L D2 U2
B U' B2 R' D L U2
B U' B2 R' D' L U2
B U' B2 R' D2 L U2
B U' B2 D L R' U2
B U' B2 D R' L U2
B U' B2 D' L R' U2
B U' B2 D' R' L U2
B U' B2 D2 L R' U2
B U' B2 D2 R' L U2
B U2 D L2 U' L' R'
B U2 D L2 U' R' L'
U2 F U R B' L U2
B' D L R' U L' U
U2 F U B' L R U2
U2 F U B' R L U2
B' D R' L U L' U
L2 F B R' D' L B2
L2 F B D' L R' B2
L2 F B D' R' L B2
L2 F B' D' B2 L R'
L2 F B' D' B2 R' L
B D U R' D L F2
B D U R' D F2 L
B D U2 L2 U' L' R'
B D U2 L2 U' R' L'
B' D' L R' U L' U
U2 F' U B' L U2 L2
B' D' R' L U L' U
B D' R2 U L R D
B D' R2 U L R D'
B D' R2 U L R D2
B D' R2 U L D R
B D' R2 U L D' R
B D' R2 U L D2 R
B D' R2 U R L D
B D' R2 U R L D'
B D' R2 U R L D2
B D' R2 U R D L
B D' R2 U R D' L
B D' R2 U R D2 L
B D' R2 U D L R
B D' R2 U D R L
B D' R2 U D' L R
B D' R2 U D' R L
B D' R2 U D2 L R
B D' R2 U D2 R L
B D' R2 D U L R
B D' R2 D U R L
B D' R2 D' U L R
B D' R2 D' U R L
B D' R2 D2 U L R
B D' R2 D2 U R L
B D' U L D' R' F2
B D' U L D' F2 R'
B D' F R2 U L R
B D' F R2 U R L
B D' F' R2 U L R
B D' F' R2 U R L
B D' F2 R2 U L R
B D' F2 R2 U R L
B' D2 L R' U L' U
B D2 L F2 R' D B2
B' D2 R' L U L' U
B D2 R U L R2 F2
B D2 R U L F2 R2
B D2 R U R2 L F2
B D2 R U R2 F2 L
B D2 R U F2 L R2
B D2 R U F2 R2 L
B D2 R2 U L R F2
B D2 R2 U R L F2
B D2 R2 U R F2 L
B D2 U L R F2 R2
B D2 U L R' F2 D
B D2 U L R' F2 D'
B D2 U L R' F2 D2
B D2 U L F R' F
B D2 U L F2 R' D
B D2 U L F2 R' D'
B D2 U L F2 R' D2
B D2 U L F2 D R'
B D2 U L F2 D' R'
B D2 U L F2 D2 R'
B D2 U L' R' F2 L2
B D2 U L' F2 L2 R'
B D2 U L' F2 R' L2
B D2 U R L F2 R2
B D2 U R F2 L R2
B D2 U R F2 R2 L
B D2 U R' L F2 D
B D2 U R' L F2 D'
B D2 U R' L F2 D2
B D2 U R' L' F2 L2
B D2 U R' F' L F'
B D2 U R' F2 L D
B D2 U R' F2 L D'
B D2 U R' F2 L D2
B D2 U R' F2 D L
B D2 U R' F2 D' L
B D2 U R' F2 D2 L
B D2 U F R' F L
B D2 U F' L F' R'
B D2 U F2 L R' D
B D2 U F2 L R' D'
B D2 U F2 L R' D2
B D2 U F2 L D R'
B D2 U F2 L D' R'
B D2 U F2 L D2 R'
B D2 U F2 R' L D
B D2 U F2 R' L D'
B D2 U F2 R' L D2
B D2 U F2 R' D L
B D2 U F2 R' D' L
B D2 U F2 R' D2 L
B D2 U F2 D L R'
B D2 U F2 D R' L
B D2 U F2 D' L R'
B D2 U F2 D' R' L
B D2 U F2 D2 L R'
B D2 U F2 D2 R' L
L B L R' D' F B2
L B L R' D' B2 F
L B L R' F D' B2
L B L D' R' F B2
L B L D' R' B2 F
L B L D' F R' B2
L B L F R' D' B2
L B L F D' R' B2
L B L' U L2 R' F
L B L' U L2 F R'
L B L' U R' L2 F
B D2 F U R' F L
B D2 F U F L R'
B D2 F U F R' L
B D2 F' U L F' R'
B D2 F' U F' L R'
B D2 F' U F' R' L
L2 B R' D' F L B2
L2 B R' F D' L B2
R' B U L R' D2 F2
R' B U L D2 R' F2
R' B U L D2 F2 R'
L B R' L D' F B2
L B R' L D' B2 F
L B R' L F D' B2
R' B U R' L D2 F2
R' B U R' D2 L F2
R' B U R' D2 F2 L
R' B U D2 L R' F2
R' B U D2 L F2 R'
R' B U D2 R' L F2
R' B U D2 R' F2 L
R' B U D2 F2 L R'
R' B U D2 F2 R' L
R2 B U L R' D2 F2
R2 B U L D2 R' F2
R2 B U L D2 F2 R'
B' F L R' U L' U
R2 B U R' L D2 F2
R2 B U R' D2 L F2
R2 B U R' D2 F2 L
R2 B U D2 L R' F2
R2 B U D2 L F2 R'
R2 B U D2 R' L F2
R2 B U D2 R' F2 L
R2 B U D2 F2 L R'
R2 B U D2 F2 R' L
R' B U' B2 L R' U2
R' B U' B2 R' L U2
R B U L R' D2 F2
R B U L D2 R' F2
R B U L D2 F2 R'
R B U R' L D2 F2
R B U R' D2 L F2
R B U R' D2 F2 L
R B U D2 L R' F2
R B U D2 L F2 R'
R B U D2 R' L F2
R B U D2 R' F2 L
R B U D2 F2 L R'
R B U D2 F2 R' L
R2 B U' B2 L R' U2
R2 B U' B2 R' L U2
R' B D' R2 U L R
R' B D' R2 U R L
R B U' B2 L R' U2
R B U' B2 R' L U2
L2 B D' R' F L B2
R' B D2 U L R' F2
R' B D2 U L F2 R'
B' F R' L U L' U
R' B D2 U R' L F2
R' B D2 U R' F2 L
R' B D2 U F2 L R'
R' B D2 U F2 R' L
L2 B D' F L R' B2
L2 B D' F R' L B2
R2 B D' R2 U L R
R2 B D' R2 U R L
R2 B D2 U L R' F2
R2 B D2 U L F2 R'
R2 B D2 U R' L F2
R2 B D2 U R' F2 L
R2 B D2 U F2 L R'
R2 B D2 U F2 R' L
R B D' R2 U L R
R B D' R2 U R L
L2 B F R' D' L B2
L2 B F D' L R' B2
L2 B F D' R' L B2
F' B U L R' D2 F2
F' B U L D2 R' F2
F' B U L D2 F2 R'
F' B U R' L D2 F2
R B D2 U L R' F2
R B D2 U L F2 R'
F' B U R' D2 L F2
F' B U R' D2 F2 L
R B D2 U R' L F2
R B D2 U R' F2 L
F2 B U L R' D2 F2
R B D2 U F2 L R'
R B D2 U F2 R' L
F2 B U L D2 R' F2
F2 B U L D2 F2 R'
U' B' L R U F U
U' B' L R' U F U
F' B U D2 L R' F2
F' B U D2 L F2 R'
U' B' L R2 U F U
F' B U D2 R' L F2
F' B U D2 R' F2 L
F' B U D2 F2 L R'
F' B U D2 F2 R' L
F2 B U R' L D2 F2
U' B' L U D F U
U' B' L U D' F U
U' B' L U D2 F U
U' B' L U F U D
U' B' L U F U D'
U' B' L U F U D2
U' B' L U F D U
U' B' L U F D' U
U' B' L U F D2 U
F2 B U R' D2 L F2
F2 B U R' D2 F2 L
R' B' L R' U L' U
U' B' L D U F U
F2 B U D2 L R' F2
F2 B U D2 L F2 R'
F2 B U D2 R' L F2
F2 B U D2 R' F2 L
F2 B U D2 F2 L R'
F2 B U D2 F2 R' L
U' B' L D' U F U
U' B' L D2 U F U
B F U L R' D2 F2
B F U L D2 R' F2
B F U L D2 F2 R'
B F U R' L D2 F2
B F U R' D2 L F2
B F U R' D2 F2 L
F B U L R' D2 F2
B F U D2 L R' F2
B F U D2 L F2 R'
F B U L D2 R' F2
F B U L D2 F2 R'
B F U D2 R' L F2
B F U D2 R' F2 L
B F U D2 F2 L R'
B F U D2 F2 R' L
F' B U' B2 L R' U2
F B U R' L D2 F2
F' B U' B2 R' L U2
F B U R' D2 L F2
F B U R' D2 F2 L
R2 B' L R' U L' U
F B U D2 L R' F2
F B U D2 L F2 R'
F B U D2 R' L F2
F B U D2 R' F2 L
F B U D2 F2 L R'
F B U D2 F2 R' L
F2 B U' B2 L R' U2
F2 B U' B2 R' L U2
B F U' B2 L R' U2
B F U' B2 R' L U2
U' B' R L U F U
R B' L R' U L' U
F B U' B2 L R' U2
F B U' B2 R' L U2
F' B D' R2 U L R
F' B D' R2 U R L
U' B' R' L U F U
R' B' R' L U L' U
F2 B D' R2 U L R
F2 B D' R2 U R L
D' B' R' U B U B'
U' B' R2 L U F U
F' B D2 U L R' F2
F' B D2 U L F2 R'
F' B D2 U R' L F2
F' B D2 U R' F2 L
F' B D2 U F2 L R'
F' B D2 U F2 R' L
B F D' R2 U L R
B F D' R2 U R L
B' F' L R' U L' U
F2 B D2 U L R' F2
F2 B D2 U L F2 R'
F2 B D2 U R' L F2
F2 B D2 U R' F2 L
F2 B D2 U F2 L R'
F2 B D2 U F2 R' L
F B D' R2 U L R
F B D' R2 U R L
F' B' L R' U L' U
R2 B' R' L U L' U
F2 B' L R' U L' U
B F D2 U L R' F2
B F D2 U L F2 R'
B F D2 U R' L F2
B F D2 U R' F2 L
B F D2 U F2 L R'
B F D2 U F2 R' L
F B D2 U L R' F2
F B D2 U L F2 R'
F B D2 U R' L F2
F B D2 U R' F2 L
F B D2 U F2 L R'
F B D2 U F2 R' L
R B' R' L U L' U
F B' L R' U L' U
U' B' D L U F U
B' F' R' L U L' U
F' B' R' L U L' U
F2 B' R' L U L' U
U' B' D' L U F U
U' B' D2 L U F U
F B' R' L U L' U
L2 B' D' F B2 L R'
L2 B' D' F B2 R' L
L2 B' D' B2 R' F L
L2 B' D' B2 F L R'
L2 B' D' B2 F R' L
B F' U L R' D2 F2
B F' U L D2 R' F2
B F' U L D2 F2 R'
B F' U R' L D2 F2
B F' U R' D2 L F2
B F' U R' D2 F2 L
B F' U D2 L R' F2
B F' U D2 L F2 R'
B F' U D2 R' L F2
B F' U D2 R' F2 L
B F' U D2 F2 L R'
B F' U D2 F2 R' L
L2 B' F D' B2 L R'
L2 B' F D' B2 R' L
B F' U' B2 L R' U2
B F' U' B2 R' L U2
B F' D' R2 U L R
B F' D' R2 U R L
B' F2 L R' U L' U
B F' D2 U L R' F2
B F' D2 U L F2 R'
B F' D2 U R' L F2
B F' D2 U R' F2 L
B F' D2 U F2 L R'
B F' D2 U F2 R' L
B' F2 R' L U L' U
B F2 U L R' D2 F2
B F2 U L D2 R' F2
B F2 U L D2 F2 R'
B F2 U R' L D2 F2
B F2 U R' D2 L F2
B F2 U R' D2 F2 L
B F2 U D2 L R' F2
B F2 U D2 L F2 R'
B F2 U D2 R' L F2
B F2 U D2 R' F2 L
B F2 U D2 F2 L R'
B F2 U D2 F2 R' L
B F2 U' B2 L R' U2
B F2 U' B2 R' L U2
B F2 D' R2 U L R
B F2 D' R2 U R L
B F2 D2 U L R' F2
B F2 D2 U L F2 R'
B F2 D2 U R' L F2
B F2 D2 U R' F2 L
B F2 D2 U F2 L R'
B F2 D2 U F2 R' L
