D2 B U F2 L' R'
D2 B U F2 R' L'
R' U F D2 F2 L2 R
R' U F D2 F2 R L2
R' U F' R D2 F2 L'
R' U F' D2 L2 R F2
R' U F' D2 R L2 F2
R' U F' D2 R F2 L2
R2 U F' R D2 L2 F2
R2 U F' R D2 F2 L2
D R U' F' L2 U' B'
D R U2 L2 F' U' L2
U' R U2 F D2 F2 R
U' R U2 F' R D2 F2
U' R U2 F' D2 R F2
D R U2 F' L2 U' L2
U' R D2 B U2 R' F2
U' R D2 B U2 F2 R'
U' R D2 B' L U2 F2
U' R F L' F' B2 U2
U' R F L' B2 F' U2
B2 R F L' U L U
U R F L' B2 U2 B2
U' R F B2 L' F' U2
U R F B2 L' U2 B2
U R F' B2 U2 R B2
U R F' B2 U2 B2 R
U' R B U2 R2 F' R
U' R B D2 B U2 R'
U' R B' D2 B' L U2
U' R B2 U' F' U' R
U' R B2 U2 F' R F
U' R B2 F L' F' U2
U R B2 F L' U2 B2
U R B2 F' U2 R B2
U R B2 F' U2 B2 R
R' U' B R2 U2 F' R
D' R' D2 R' B U L2
D R' D2 B R2 U L2
U R' F D2 F2 L2 R
U R' F D2 F2 R L2
U R' F' R D2 F2 L'
U R' F' D2 L2 R F2
U R' F' D2 R L2 F2
U R' F' D2 R F2 L2
U' R' B R2 U2 F' R
D R' B D2 R2 U L2
B R2 U F' R D2 L2
U R2 F' R D2 L2 F2
U R2 F' R D2 F2 L2
B R2 B2 U L F' R
B R2 B2 U F' L R
B R2 B2 U F' R L
B' U L' F2 L' F R
U' D R U' L2 F' U'
U' D R U' F' L2 U'
B U R2 F' R D2 L2
D2 U F' D2 F' L' R
D2 U F' D2 F' R L'
D2 U F2 L' B R' B'
D2 U F2 B R' B' L'
D2 U B F2 R' B' L'
B' U F2 L2 F L R
B' U F2 L2 F R L
B U F' R2 F' L' R'
B U F' R2 F' R' L'
D2 U' R B U2 R' F2
D2 U' R B U2 F2 R'
D2 U' R B' L U2 F2
D U' R U' L2 F' U'
D U' R U' F' L2 U'
B' U' R D2 B' L U2
B U' R U2 R F' R
B U' R U2 F' R F'
D2 U' B R U2 R2 F2
D2 U' B R U2 F2 R2
D2 U' B U2 F2 L' R'
D2 U' B U2 F2 R' L'
D2 U' B' L R U2 F2
D2 U' B' L U2 F2 L'
D2 U' B' R L U2 F2
B' U' D2 R B' L U2
B' U' D2 B' L R U2
B' U' D2 B' R L U2
B U' D2 B R U2 R2
U' D2 R B U2 R' F2
U' D2 R B U2 F2 R'
U' D2 R B' L U2 F2
U' D2 B R U2 R2 F2
U' D2 B R U2 F2 R2
R' D2 B U L2 R' F2
R' D2 B U L2 F2 R'
R' D2 B U R' L2 F2
R' D2 B U R' F2 L2
R' D2 B U F2 L2 R'
R' D2 B U F2 R' L2
U D2 F' D2 F' L' R
U D2 F' D2 F' R L'
U' D2 B U2 F2 L' R'
U' D2 B U2 F2 R' L'
D2 U2 B U' F2 L' R'
D2 U2 B U' F2 R' L'
U D2 F2 L' B R' B'
U' D2 B' L R U2 F2
U' D2 B' L U2 F2 L'
U' D2 B' R L U2 F2
U2 D2 B U' F2 L' R'
U2 D2 B U' F2 R' L'
R' D2 B' U L2 F2 R
U D2 F2 B R' B' L'
U D2 B F2 R' B' L'
U' F L' F' R B2 U2
U' F L' F' B2 R U2
U' F L' B2 F' R U2
R F L' B2 U' R' U'
R' F U D2 F2 L2 R
R' F U D2 F2 R L2
R' F U' L' R2 B2 U2
R' F U' L' B2 R2 U2
R' F U' R2 L' B2 U2
R' F U' R2 B2 L' U2
