U2 D F L' U R
D U2 F L' U R
U2 F L U R B'
U2 F L U B' R
D2 L2 B' L2 U' R' B
D R U2 F L' U R
L2 U B' L2 R' F' U'
L2 U B' R' L2 F' U'
L2 U B' R' F' L2 U'
D2 R' U2 F U B R
D R' U2 F L' U R
R' U2 D F L' U R
R2 U2 D F L' U R
R U2 D F L' U R
R' U2 F L U R B'
R' U2 F L U B' R
R2 U2 F L U R B'
R2 U2 F L U B' R
R U2 F L U R B'
R U2 F L U B' R
D R2 U2 F L' U R
F2 R2 B U L U2 B'
R' D U2 F L' U R
B U L U2 D' B' L
R2 D U2 F L' U R
B U L D' U2 B' L
R D U2 F L' U R
U' D F L' B' U F'
U2 D F L' U R D
U2 D F L' U R D'
U2 D F L' U R D2
U2 D F L' U D R
U2 D F L' U D' R
U2 D F L' U D2 R
U2 D F L' D U R
U2 D F L' D' U R
U2 D F L' D2 U R
U2 D F L' B U R
U2 D F L' B' U R
U2 D F L' B2 U R
U2 D F D L' U R
U2 D F D' L' U R
U2 D F D2 L' U R
U2 D F B L' U R
U2 D F B' L' U R
U2 D F B2 L' U R
U2 D B F L' U R
U2 D B' F L' U R
U2 D B2 F L' U R
B' U' L R' D' B' L
B' U' L D' R' B' L
B' U' R' L D' B' L
D U' F L' B' U F'
U2 D' F B' L U R
U2 D' F B2 U R B
L D' B' L R' D F2
L D' B' L D R' F2
L D' B' L D F2 R'
L D' B' R' L D F2
U2 D' B' F L U R
U2 D' B2 F U R B
D2 U2 F U R' B R2
D' U2 F B' L U R
D' U2 F B2 U R B
U2 D2 F U R' B R2
D U2 F L' U R D
D U2 F L' U R D'
D U2 F L' U R D2
D U2 F L' U D R
D U2 F L' U D' R
D U2 F L' U D2 R
D U2 F L' D U R
D U2 F L' D' U R
D U2 F L' D2 U R
D U2 F L' B U R
D U2 F L' B' U R
D U2 F L' B2 U R
D U2 F D L' U R
D U2 F D' L' U R
D U2 F D2 L' U R
D U2 F B L' U R
D U2 F B' L' U R
D U2 F B2 L' U R
D' U2 B' F L U R
D U2 B F L' U R
B' U2 D F L' U R'
D' U2 B2 F U R B
D U2 B' F L' U R
U2 F L U R D B'
U2 F L U R D' B'
U2 F L U R D2 B'
U2 F L U R B' D
U2 F L U R B' D'
U2 F L U R B' D2
U2 F L U R' B' R2
U2 F L U D R B'
U2 F L U D B' R
U2 F L U D' R B'
U2 F L U D' B' R
U2 F L U D2 R B'
U2 F L U D2 B' R
U2 F L U B R B2
U2 F L U B' R D
U2 F L U B' R D'
U2 F L U B' R D2
U2 F L U B' D R
U2 F L U B' D' R
U2 F L U B' D2 R
D U2 B2 F L' U R
U2 F L D U R B'
U2 F L D U B' R
U2 F L D' U R B'
B' U2 D2 F U R' B
U2 F L D' U B' R
U2 F L D2 U R B'
U2 F L D2 U B' R
U2 F L B U R B2
U2 F L B U B2 R
B' U2 F L U R' B'
U2 F L B2 U B R
B' U2 F U D2 R' B
B' U2 F D2 U R' B
D F L' B' U R' F'
B U2 F U' L U2 B'
F2 U2 F' U' L' F U2
U2 F U L R B' L'
U2 F U L B' L' R
U2 F U L B' R L'
U2 F U R L B' L'
U2 F U R2 D2 R' B
U2 F U D2 R' B R2
U2 F U' L U2 R B'
U2 F U' L U2 B' R
U2 F U' L2 U2 R B
U2 F U' F2 L' F U2
U2 F D' B' L U R
U2 F D' B2 U R B
U2 F D2 U R' B R2
U2 F B L U R B'
U2 F B L U B' R
U2 F B' L U R B'
U2 F B' L U B' R
U2 F B2 L U R B'
U2 F B2 L U B' R
B' D U2 F L' U R'
U2 F2 L F' U R B'
U2 F2 L F' U B' R
B' D2 U2 F U R' B
F' D2 B2 R' U' B R'
F' D2 B2 U' R' B R'
F' D2 B2 U' B R' B
U2 B D F L' U R
U2 B F L U R B'
U2 B F L U B' R
B F U L U2 B' L'
F B U L U2 B' L'
L2 B' L2 U' D2 R' B
L2 B' L2 D2 U' R' B
F' B D2 B2 U' R' B
D2 B' U2 F U R' B
D' B' U2 F L U R'
D B' U2 F L' U R'
U2 B' D F L' U R
U2 B' F L U R B'
U2 B' F L U B' R
B F' D2 B2 U' R' B
U2 B2 D F L' U R
U2 B2 F L U R B'
U2 B2 F L U B' R
