U B' U L U R
U2 L B' L U R F
L2 R2 U' D' R' F B
L2 R2 U' D' R' B F
L2 R2 U' D' F R' B
R2 L2 U' D' R' F B
R2 L2 U' D' R' B F
R2 L2 U' D' F R' B
L2 R2 U' F D' R' B
R2 L2 U' F D' R' B
L2 R2 D' U' R' F B
L2 R2 D' U' R' B F
L2 R2 D' U' F R' B
R2 L2 D' U' R' F B
R2 L2 D' U' R' B F
R2 L2 D' U' F R' B
D' L2 R' U' F B R2
D' L2 R' U' B R2 F
D' L2 R' U' B F R2
D' L2 U' R F D2 B2
D' L2 U' R' F B R2
D' L2 U' R' B R2 F
D' L2 U' R' B F R2
U2 L2 B2 U R F B
U2 L2 B2 U R B F
R' U B' U L U R2
U' R U2 B' U L U
B R B D B2 L2 F
L2 U' R2 D' R' F B
L2 U' R2 D' R' B F
L2 U' R2 D' F R' B
L2 U' R2 F D' R' B
L2 U' D' R F D2 B2
L2 U' D' R' F B R2
L2 U' D' R' B R2 F
L2 U' D' R' B F R2
R2 U' D' R' B D2 F2
D' R' L2 U' F B R2
D' R' L2 U' B R2 F
D' R' L2 U' B F R2
D' R' U B' U2 R2 B2
D' R' U B' U2 B2 R2
D' R' U' B R2 D2 F2
D' R' U' B2 R2 F' B'
D' R' U' B2 R2 B' F'
L2 U' B R D F B2
L2 U' B R D B2 F
L2 U' B R F D B2
B R' D B' L2 F U'
B R' B' L2 U' R2 F
B R' B' L2 U' F R2
B R' B' U B' U2 R2
B' R2 U L F' U R'
B' R2 U F' L U R'
R U2 B' U L U L'
U' R2 D' R' B D2 F2
L2 U2 B2 U R F B
L2 U2 B2 U R B F
L D L U' R F B'
L D L U' R B' F
L D L U' B' R F
B' U L U2 B U' R
D U L2 U2 R F B
D U L2 U2 R B F
U D L2 U2 R F B
U D L2 U2 R B F
F2 U D B' L' F U2
D U F2 B' L' F U2
R2 D' L2 U' R' F B
R2 D' L2 U' R' B F
R2 D' L2 U' F R' B
U D F2 B' L' F U2
D' U B' U2 R' B R2
D U B' L U2 R B'
D U B' L U2 B' R
D U B' L2 U2 R B
U D B' L U2 R B'
U D B' L U2 B' R
U D B' L2 U2 R B
L2 D' R' U' F B R2
L2 D' R' U' B R2 F
L2 D' R' U' B F R2
D U B' F2 L' F U2
U D B' F2 L' F U2
F2 U B' L' U L2 U
F2 U B' L' U2 D' B2
F2 U B' L' D F2 U2
F2 U B' L' D' U2 B2
L2 D' U' R F D2 B2
L2 D' U' R' F B R2
L2 D' U' R' B R2 F
L2 D' U' R' B F R2
R2 D' U' R' B D2 F2
U' D' R U2 F' B' U2
D' U' R U2 F' B' U2
U' D' R U2 B' F' U2
D' U' R U2 B' F' U2
U' D' R' B R2 D2 F2
D' U' R' B R2 D2 F2
U' D' R' B2 R2 F' B'
U' D' R' B2 R2 B' F'
D' U' R' B2 R2 F' B'
D' U' R' B2 R2 B' F'
U' D' B R' B R2 F'
D' U' B R' B R2 F'
U D' B' U2 R' B R2
B' U' B2 R' B' U' R2
B D R' B' L2 U' R2
F2 D U B' L' F U2
D2 F2 U B' L' U2 B'
D F2 U B' L' F U2
U F2 D B' L' F U2
B D2 R' B' U' R2 F2
B D2 R' B' U' F2 R2
U F2 B' L' U L2 U
U F2 B' L' U2 D' B2
U F2 B' L' D F2 U2
U F2 B' L' D' U2 B2
U' B R D B2 D F2
U' B R D2 F2 D' B2
L2 B R' B' U' R2 F
L2 B R' B' U' F R2
U' B D R D F2 B2
U' B D R D B2 F2
U' B D2 R F2 D B2
U B' L' U L2 U R
U B' L' U2 R D' B2
U B' L' U2 D' R B2
U B' L' U2 D' B2 R
U B' L' D F2 L' U2
U B' L' D' U2 R B2
U B' L' D' U2 B2 R
U B' L2 U L' U R
U2 B' U L U L' R
U2 B' U L U R L'
U B' U L U R D
U B' U L U R D'
U B' U L U R D2
U B' U L U D R
U B' U L U D' R
U B' U L U D2 R
U B' U L D U R
U B' U L D' U R
U B' U L D2 U R
U B' U L B U R
U B' U L B' U R
U B' U L B2 U R
U B' U D L U R
U B' U D' L U R
U B' U D2 L U R
U B' U B' U R B
U B' U2 R U' L U
U B' U2 B2 R D B2
U B' D U L U R
U B' D' U L U R
U B' D2 U L U R
U B' F2 L' U L2 U
U B' F2 L' U2 D' B2
U B' F2 L' D F2 U2
U B' F2 L' D' U2 B2
U2 B2 U R2 F' R' B
U2 B2 U' B U2 R B
