U2 D F L' B2 U'
U2 D F L' B2 U'
U2 D F B2 L' U'
U2 D B2 F L' U'
D U2 F L' B2 U'
D U2 F B2 L' U'
D U2 B2 F L' U'
D F L' B2 R' U'
D' F2 R2 B R' U
U' L R2 D' B' L U2
U2 L' U R2 U2 F R
U2 L' U' D2 F L2 R
U2 L' U' D2 F R L2
U2 L' U' F D2 L2 R
U2 L' U' F D2 R L2
U2 L' D B2 U' F R
F L' D B2 R' U' F
U2 L' D2 U' F L2 R
U2 L' D2 U' F R L2
L2 R2 U B' L2 R' U
L2 R2 U B' R' L2 U
R2 L2 U B' L2 R' U
R2 L2 U B' R' L2 U
U' L2 R2 U B' R' U
D' L2 B' L2 F2 R U
D2 R U F' L2 D R2
R U F2 L' F D R2
D2 R U2 F U' L2 F2
D2 R U2 F U' F2 L2
F' R U2 F2 U' L' F
D R U2 F L' B2 U'
D R U2 F B2 L' U'
D R U2 B2 F L' U'
D R F L' B2 R' U'
D' R F2 R2 B R' U
F2 R F2 U L' F R
U R F2 L' F D R2
D R' U2 F L' B2 U'
D R' U2 F B2 L' U'
D R' U2 B2 F L' U'
R2 U2 L' U' F L R
R2 U2 L' U' F R L
D R' F L' B2 R' U'
D' R' F2 R2 B R' U
R2 U2 D F L' U' L
U' R2 L D' B' L U2
R2 U2 F L' U' F L
U' R2 L2 U B' R' U
R U2 F L' U' F L'
R U2 F U' L' F L'
R U2 F U' F L' F
U' R2 U' L' U' F R
U' R2 U' D F L' U'
U' R2 U' F L' U' F
D R2 U2 F L' B2 U'
D R2 U2 F B2 L' U'
U' R2 D U' F L' U'
D R2 U2 B2 F L' U'
D R2 F L' B2 R' U'
D' R2 F2 R2 B R' U
R2 D U2 F L' U' L
D2 U R F' L2 D R2
L' D B2 R' U' F R
U2 D F L B2 L2 U'
U2 D F L' U' D L2
U2 D F L' D U' L2
U2 D F L' B2 U' D
U2 D F L' B2 U' D'
U2 D F L' B2 U' D2
U2 D F L' B2 D U'
U2 D F L' B2 D' U'
U2 D F L' B2 D2 U'
D U F L' B2 U' B2
U2 D F D L' U' L'
U2 D F B L' B U'
U D F L' B2 U' B2
U2 D F B2 L' U' D
U2 D F B2 L' U' D'
U2 D F B2 L' U' D2
U2 D F B2 L' D U'
U2 D F B2 L' D' U'
U2 D F B2 L' D2 U'
U2 D F B2 D L' U'
U2 D F B2 D' L' U'
U2 D F B2 D2 L' U'
D U F B2 L' U' B2
U D F B2 L' U' B2
U2 D B F L' B U'
U2 D B2 F L' U' D
U2 D B2 F L' U' D'
U2 D B2 F L' U' D2
U2 D B2 F L' D U'
U2 D B2 F L' D' U'
U2 D B2 F L' D2 U'
U2 D B2 F D L' U'
U2 D B2 F D' L' U'
U2 D B2 F D2 L' U'
D U B2 F L' U' B2
U D B2 F L' U' B2
F U' L R2 B' U2 R2
F U' L B' R2 U2 R2
F U' L' R2 U2 R2 F
F U' L' R2 U2 F R2
U2 D' F L2 B' L U'
F U' R2 L B' U2 R2
F U' R2 L' U2 R2 F
F U' R2 L' U2 F R2
U D2 R F' L2 D R2
D' U2 F L2 B' L U'
D U2 F L B2 L2 U'
D U2 F L' U' D L2
D U2 F L' D U' L2
D U2 F L' B2 U' D
D U2 F L' B2 U' D'
D U2 F L' B2 U' D2
D U2 F L' B2 D U'
D U2 F L' B2 D' U'
D U2 F L' B2 D2 U'
D U2 F D L' U' L'
D U2 F B L' B U'
D U2 F B2 L' U' D
D U2 F B2 L' U' D'
D U2 F B2 L' U' D2
D U2 F B2 L' D U'
D U2 F B2 L' D' U'
D U2 F B2 L' D2 U'
D U2 F B2 D L' U'
D U2 F B2 D' L' U'
D U2 F B2 D2 L' U'
D U2 B F L' B U'
B' U2 D F L' B2 U'
B' U2 D F B2 L' U'
B2 U2 D F L' B2 U'
B2 U2 D F B2 L' U'
B' U2 D B2 F L' U'
B2 U2 D B2 F L' U'
B U2 D F L' B2 U'
B U2 D F B2 L' U'
U2 F L U R2 B' U2
U2 F L U B' R2 U2
U2 F L U' D2 L2 F
D U2 B2 F L' U' D
D U2 B2 F L' U' D'
D U2 B2 F L' U' D2
D U2 B2 F L' D U'
D U2 B2 F L' D' U'
D U2 B2 F L' D2 U'
D U2 B2 F D L' U'
D U2 B2 F D' L' U'
B U2 D B2 F L' U'
D U2 B2 F D2 L' U'
U2 F L D2 U' L2 F
U2 F L' U R2 U2 F
U2 F L' U' D2 F L2
U2 F L' U' F D2 L2
U2 F L' D B2 U' F
U2 F L' D2 U' F L2
D F L' R B2 R' U'
D F L' R' B2 R' U'
D F L' R2 B2 R' U'
D F L' B2 R' U' D
D F L' B2 R' U' D'
D F L' B2 R' U' D2
D F L' B2 R' D U'
D F L' B2 R' D' U'
D F L' B2 R' D2 U'
D F L' B2 D R' U'
D F L' B2 D' R' U'
D F L' B2 D2 R' U'
D2 F R U' F' L2 B'
D F R L' B2 R' U'
D F R' L' B2 R' U'
D F R2 L' B2 R' U'
U2 F U' L D2 L2 F
U2 F U' L' D2 F L2
U2 F U' L' F D2 L2
D F B2 L' U2 L U
B' D U2 F L' B2 U'
B' D U2 F B2 L' U'
B' D U2 B2 F L' U'
B2 D U2 F L' B2 U'
B2 D U2 F B2 L' U'
B' D F L' B2 R' U'
B2 D U2 B2 F L' U'
B2 D F L' B2 R' U'
B D U2 F L' B2 U'
B D U2 F B2 L' U'
B D U2 B2 F L' U'
B D F L' B2 R' U'
D F' R U D L2 R2
D F' R U D R2 L2
D F' R U2 F2 B2 U'
D F' R U2 B2 F2 U'
D F' R D U L2 R2
D F' R D U R2 L2
D F' R D2 F2 B2 U
D F' R D2 B2 F2 U
D F' U2 F2 L' B2 U'
D F' U2 F2 B2 L' U'
D F' U2 B2 F2 L' U'
D F' D R U L2 R
D F' D R U R L2
D' F' D2 F' R B2 U
D' F' D2 F' B2 R U
D' F' D2 B2 F' R U
D F' D2 R F2 B2 U
D F' D2 R B2 F2 U
D F' D2 B2 R F2 U
F2 D' R2 F2 B R' U
F2 D' R2 B R' F2 U
F2 D' R2 B F2 R' U
B' D' F2 R2 B R' U
B2 D' F2 R2 B R' U
D' F2 R' B R' B U
B D' F2 R2 B R' U
R F2 R U L' F R
D' F2 R2 B R' U D
D' F2 R2 B R' U D'
D' F2 R2 B R' U D2
D' F2 R2 B R' D U
D' F2 R2 B R' D' U
D' F2 R2 B R' D2 U
D' F2 R2 B D R' U
D' F2 R2 B D' R' U
D' F2 R2 B D2 R' U
R F2 R2 B U L' F
R F2 U L' F D R2
F' D2 R B2 U L2 F'
F' D2 R B2 U F' L2
D' F2 B R2 B R U
F D2 R U' F' L2 B'
F' D2 R' B2 U L2 F
D' F2 B' U2 L F' U'
D' F2 B' U2 F' L U'
D' F2 B2 U2 F' L' U'
D' B R F2 R2 B U
D' B R' F2 U2 F' U'
F' D2 B2 R U L2 F'
F' D2 B2 R U F' L2
D B U2 F L' B U'
D B U2 F B L' U'
D B U2 B F L' U'
U2 B D F L' B2 U'
U2 B D F B2 L' U'
U2 B D B2 F L' U'
D' B F2 R2 B R U
D B' U2 F B' L' U'
U2 B' D F L' B2 U'
D B' U2 B' F L' U'
U2 B' D F B2 L' U'
U2 B' D B2 F L' U'
D' B' F2 U2 L F' U'
D' B' F2 U2 F' L U'
U2 B2 D F L' B2 U'
U2 B2 D F B2 L' U'
U2 B2 D B2 F L' U'
D B2 F L' U2 L U
D' B2 F2 U2 F' L' U'
