U' B' U R' F' L'
U2 L U' F U' F' L'
U L U2 F B' U R'
U L U2 B' F U R'
R' L F' B U' B' L'
R' L F' B' U' L' B
R' L F' B' U' B L'
R' L F' B2 U' L' B2
R' L F' B2 U' B2 L'
R' L B F' U' B' L'
U L F' U2 F2 U R
R' L B' F' U' L' B
R' L B' F' U' B L'
U L F2 U2 F' U R
R' L B2 F' U' L' B2
R' L B2 F' U' B2 L'
F' L B U' B' L2 R'
F' L B U' B' R' L2
L2 R' U L' F' B' U'
L2 R' U L' B' F' U'
F' L' R' U L2 F' U'
F' L' R' U F' L2 U'
F' L' R' F D R2 F2
F' L' R' F D F2 R2
F' L' U L2 F U' R
F' L' U F L2 U' R
R' L' F D F2 L' R2
R' L' F D F2 R2 L'
L' R' F D F2 L' R2
L' R' F D F2 R2 L'
L R' F' B U' B' L'
L R' F' B' U' L' B
L R' F' B' U' B L'
L R' F' B2 U' L' B2
L R' F' B2 U' B2 L'
L R' B F' U' B' L'
L R' B' F' U' L' B
L R' B' F' U' B L'
R' L2 U L' F' B' U'
R' L2 U L' B' F' U'
L R' B2 F' U' L' B2
L R' B2 F' U' B2 L'
U L' F B' L2 U' R
U L' B' L2 F U' R
U L' B' F L2 U' R
U2 L2 U' L' F B' U'
U2 L2 U' L' B' F U'
R' U L F' U' D' L2
R' U L F' U2 F2 U
R' U L F' D' U' L2
R' U L F' D2 B2 U'
R U L U2 F B U
R U L U2 B F U
R' U L' F' B' L2 U'
R' U L' B' L2 F' U'
R' U L' B' F' L2 U'
L2 U L' F B' U' R
L2 U L' B' F U' R
R' U F' L U2 F U
R' U F' L' B' L2 U'
F' R' L' U L2 F' U'
F' R' L' U F' L2 U'
F' R' L' F D R2 F2
F' R' L' F D F2 R2
F' R' U L F' U' L2
R2 U' B2 R' F' B U
R2 U' B2 R' B F' U
R U' B2 R' F' B' U
R U' B2 R' B' F' U
F2 R' F L' D R2 F2
F2 R' F L' D F2 R2
B2 R' F' U L' B2 R'
U' R' F' B' U R' F'
U' R' B' F' U R' F'
F' U L F U' L2 R
F' U L F U' R L2
F2 U L F U' L' R
F2 U L F U' R L'
F2 U F L U' L2 R
F2 U F L U' R L2
U' D B' U R' F' L'
R2 D' F' L' R D F2
R2 D' F' L' D R F2
R2 D' F' R L' D F2
U' D' B' U R' F' L'
D' U' B' U R' F' L'
D2 U' B' U R' F' L'
D U' B' U R' F' L'
F' U' B' U L' R' F'
F' U' B' U R' L' F'
U' D2 B' U R' F' L'
R' F L' D F2 L' R2
R' F L' D F2 R2 L'
U F L' B' L2 U' R
R' F U L F2 U' L'
R' F U F2 L U' L2
U' F B' U R' F' L'
R' F' L U' L2 D' B2
R' F' L D' B2 U' B2
R' F' L B U' B' L2
R' F' L B' U' L2 B
R' F' L B' U' B L2
R' F' L B2 U' L2 B2
R' F' L B2 U' B2 L2
R' F' L' D F2 D R2
R' F' L' F2 D R2 F2
R' F' L' F2 D F2 R2
U' F' B' U R' F' L'
L F' B U' B' L' R'
L F' B U' B' R' L'
R' F2 U F L U' L2
U' F2 B' U R' F' L'
L B R' F' U' B' L'
L B F' U' B' L' R'
L B F' U' B' R' L'
U' B' U L R' F' L'
U' B' U L' R' F' L'
U' B' U L2 R' F' L'
U' B' U R' L F' L'
U' B' U R' L' F' L'
U' B' U R' L2 F' L'
U' B' U R' D F' L'
U' B' U R' D' F' L'
U' B' U R' D2 F' L'
U' B' U R' F' L' D
U' B' U R' F' L' D'
U' B' U R' F' L' D2
U' B' U R' F' D L'
U' B' U R' F' D' L'
U' B' U R' F' D2 L'
U' B' U D R' F' L'
U' B' U D' R' F' L'
U' B' U D2 R' F' L'
U' B' U F' L' R' F'
U' B' U F' R' L' F'
U' B' D U R' F' L'
U' B' D' U R' F' L'
U' B' D2 U R' F' L'
U' B' F U R' F' L'
U' B' F' U R' F' L'
U' B' F2 U R' F' L'
U' B2 R' D2 F' U R
U' B2 R' F' B U R'
U' B2 R' B F' U R'
L B2 R' F' U' L' B2
L B2 R' F' U' B2 L'
U' B2 D' R' F' B U
U' B2 D' R' B F' U
U' B2 D2 R' F' U R
