R2 U R F2 B U
R2 U R B F2 U
U R F2 B R2 U
U R B R2 F2 U
U R B F2 R2 U
U' R' F2 L' B' U
U R' F2 U2 F U'
D R2 U R B U
D2 U' B2 L F U'
U' D2 B2 L F U'
U F2 R B R2 U
U F2 R' U2 F' U'
R2 L U R F2 B U
R2 L U R B F2 U
D L R2 U R B U
B L U R' F2 U F
B L U F2 R' U F'
D2 L U' B2 L F U'
U' L D2 F B2 L U'
U' L D2 B2 F L U'
U' L F U2 R' F U
U' L F U2 F R' U
R2 L' U R F2 B U
R2 L' U R B F2 U
B L B' U R' F2 U
B L B' U F2 R' U
U' L' R' F2 B' L' U
U' L' R' B' F2 L' U
D L' R2 U R B U
D2 L' U' B2 L F U'
U' L' U2 R' F2 B' U
U' L' U2 R' B' F2 U
U' L' U2 F2 R' B' U
L' R2 U R F2 B U
L' R2 U R B F2 U
R2 L2 U R F2 B U
L2 R2 U R F2 B U
R2 L2 U R B F2 U
L2 R2 U R B F2 U
L R2 U R F2 B U
L R2 U R B F2 U
U L2 R' F2 L2 B' U
D L2 R2 U R B U
D2 L2 U' B2 L F U'
R' U R F2 B U F2
L' U R F2 B R2 U
R' U R B F2 U F2
L' U R B R2 F2 U
L' U R B F2 R2 U
R2 U R D' B U L2
L2 U R F2 B R2 U
L2 U R B R2 F2 U
L2 U R B F2 R2 U
R2 U R F2 D B U
R2 U R F2 D' B U
R2 U R F2 D2 B U
R2 U R F2 B U D
R2 U R F2 B U D'
R2 U R F2 B U D2
R2 U R F2 B D U
R2 U R F2 B D' U
R2 U R F2 B D2 U
R2 U R B U D' L2
R2 U R B D' U L2
R2 U R B F2 U D
R2 U R B F2 U D'
R2 U R B F2 U D2
R2 U R B F2 D U
R2 U R B F2 D' U
R2 U R B F2 D2 U
L U R F2 B R2 U
L U R B R2 F2 U
L U R B F2 R2 U
R U R B R F2 U
L' U R' F2 U2 F U'
L2 U R' F2 U2 F U'
L U R' F2 U2 F U'
R2 U R2 F2 R' B U
R2 U D' R B U L2
R' U F2 R B U F2
L' U F2 R B R2 U
L' U F2 R' U2 F' U'
R' U F2 U F R F
L2 U F2 R B R2 U
L2 U F2 R' U2 F' U'
L U F2 R B R2 U
L U F2 R' U2 F' U'
R U F2 R B R U
R2 U B R F2 B U
R2 U B R B F2 U
R2 U B' R F2 B U
R2 U B' R B F2 U
R2 U B2 R F2 B U
R2 U B2 R B F2 U
U2 R D' L2 F R F
U2 R D' F R F L2
U R D' B U L2 F2
U R D' B U F2 L2
U R F B R2 F U
U R F2 R2 U2 F' U'
L' U' R' F2 L' B' U
L2 U' R' F2 L' B' U
U R F2 D' B U F2
U R F2 B R2 U D
U R F2 B R2 U D'
U R F2 B R2 U D2
U R F2 B R2 D U
U R F2 B R2 D' U
U R F2 B R2 D2 U
U R F2 B U D' F2
U R F2 B D' U F2
U R F2 B' R2 B2 U
U R F2 B2 R2 B' U
L U' R' F2 L' B' U
U R B R' F2 R' U
U R B R2 U D' L2
U R B R2 D' U L2
U R B R2 F2 U D
U R B R2 F2 U D'
U R B R2 F2 U D2
U R B R2 F2 D U
U R B R2 F2 D' U
U R B R2 F2 D2 U
U R B U D' L2 F2
U R B U D' F2 L2
U R B D' U L2 F2
U R B D' U F2 L2
U R B F R2 F U
U R B F2 R2 U D
U R B F2 R2 U D'
U R B F2 R2 U D2
U R B F2 R2 D U
U R B F2 R2 D' U
U R B F2 R2 D2 U
U R B F2 U D' F2
U R B F2 D' U F2
U R B' R2 F2 B2 U
U R B' R2 B2 F2 U
U R B' F2 R2 B2 U
U R B2 R2 F2 B' U
U R B2 R2 B' F2 U
L' U' D2 B2 L F U'
U R B2 F2 R2 B' U
L2 U' D2 B2 L F U'
U' R' L' F2 B' L' U
U' R' L' B' F2 L' U
L U' D2 B2 L F U'
U R' L2 F2 L2 B' U
U R' U2 D' F' U' L2
U R' U2 D2 F' B2 U'
U R' U2 D2 B2 F' U'
U R' U2 F' U2 F' U
F2 R' D' L2 B' U R'
F2 R' D' B' L2 U R'
U R' D' U2 F' U' L2
F2 R' D2 B' U R' B'
U R' D2 U2 F' B2 U'
U R' D2 U2 B2 F' U'
U R' F D F U R2
U R' F D2 F B2 U
U R' F D2 B2 F U
F R' F B' U R' B
U' R' F2 L' D B' U
U' R' F2 L' D' B' U
U' R' F2 L' D2 B' U
U' R' F2 L' B' U D
U' R' F2 L' B' U D'
U' R' F2 L' B' U D2
U' R' F2 L' B' D U
U' R' F2 L' B' D' U
U' R' F2 L' B' D2 U
U' R' F2 D L' B' U
U' R' F2 D' L' B' U
U' R' F2 D2 L' B' U
U' R' F2 B L' B' U
U' R' F2 B' L' B' U
U' R' F2 B2 L' B' U
U R' F2 L2 B' L2 U
U R' F2 U2 D F U'
U R' F2 U2 D' F U'
U R' F2 U2 D2 F U'
U R' F2 U2 F U' D
U R' F2 U2 F U' D'
U R' F2 U2 F U' D2
U R' F2 U2 F D U'
U R' F2 U2 F D' U'
U R' F2 U2 F D2 U'
U R' F2 D U2 F U'
U R' F2 D' U2 F U'
F2 R' B U D2 B2 R'
U R' F2 D2 U2 F U'
F2 R' B U' L F2 U2
F2 R' B U' F2 L U2
U R' F2 B U2 F U'
U R' F2 B' U2 F U'
U R' F2 B2 U2 F U'
U' R' B F2 L' B' U
F2 R' B D2 U B2 R'
F2 R' B' U R' D2 B2
F2 R' B' U D2 R' B2
F2 R' B' U' F2 U2 R'
U' R' B' F2 L' B' U
F2 R' B' D' L2 U R'
U R' B F2 U2 F U'
F2 R' B' D2 U R' B2
F R' B' F U R' B
U' R' B2 F2 L' B' U
U R' B' F2 U2 F U'
R U2 D' L2 F R F
D R2 L U R B U
R U2 D' F R F L2
U R' B2 F2 U2 F U'
D R2 L' U R B U
D R2 L2 U R B U
D' R2 U R B U L2
D R2 U R D B U
D R2 U R D' B U
D R2 U R D2 B U
D R2 U R B U D
D R2 U R B U D'
D R2 U R B U D2
D R2 U R B D U
D R2 U R B D' U
D R2 U R B D2 U
D R2 U D R B U
D R2 U D' R B U
D R2 U D2 R B U
D R2 U B R B U
D R2 U B' R B U
D R2 U B2 R B U
U2 R2 U' R F2 B U
U2 R2 U' R B F2 U
B' R2 U2 D' L2 R F'
B' R2 U2 D' R L2 F'
B' R2 U2 D' R F' L2
D R2 U2 F D R F'
D R2 D U R B U
B' R2 D' R F' L2 B'
B' R2 D' U2 L2 R F'
B' R2 D' U2 R L2 F'
B' R2 D' U2 R F' L2
D R2 D' U R B U
D R2 D2 U R B U
L' D R2 U R B U
D R2 B L U R U
L2 D R2 U R B U
L D R2 U R B U
D R2 B' U R U R2
D R2 B' U2 R' D' F2
R D R2 B L B U2
D' U R B R2 U L2
D2 U R B R2 F' U
D' U R' U2 F' U' L2
D2 U R' U2 F' B2 U'
D2 U R' U2 B2 F' U'
R D B L R2 U2 F'
R D B L B R2 U2
R D B R2 L U2 F'
U2 D F R D' F2 L'
R D B' R2 B' U2 R
D2 U' L F B2 L U'
D2 U' L B2 F L U'
R2 D' U R B U L2
U2 D' L2 F R D' F2
R D' U2 L2 F R F
R D' U2 F R F L2
U D' R B R2 U L2
U D' R' U2 F' U' L2
R D' F' L2 F' B' R'
R D' F' L2 B' F' R'
U2 D' F L2 R D' F2
U2 D' F R L2 D' F2
D2 U' F B2 L F U'
D2 U' F' B2 L F U'
R D' B L U2 L F2
R D' B L U2 F2 L
R D' B U2 L2 F2 R
D2 U' F2 B2 L F U'
R D' B' U2 L2 R' F2
R D' B' U2 L2 F2 R'
R D' B' U2 R' L2 F2
R D' B' U2 R' F2 L2
R D' B' U2 F2 L2 R'
R D' B' U2 F2 R' L2
U' D' B2 L F U' L
D' U' B2 L F U' L
D2 U' B2 L D F U'
D2 U' B2 L D' F U'
D2 U' B2 L D2 F U'
D2 U' B2 L F U' D
D2 U' B2 L F U' D'
D2 U' B2 L F U' D2
D2 U' B2 L F D U'
D2 U' B2 L F D' U'
D2 U' B2 L F D2 U'
D2 U' B2 D L F U'
D2 U' B2 D' L F U'
D2 U' B2 D2 L F U'
D2 U' B2 F L F U'
D2 U' B2 F' L F U'
D2 U' B2 F2 L F U'
U' D2 L F B2 L U'
U' D2 L B2 F L U'
D' U2 L2 F R D' F2
L' D2 U' B2 L F U'
U D2 R B R2 F' U
L2 D2 U' B2 L F U'
U D2 R' U2 F' B2 U'
U D2 R' U2 B2 F' U'
D' U2 F L2 R D' F2
D' U2 F R L2 D' F2
U' D2 F B2 L F U'
L D2 U' B2 L F U'
D U2 F R D' F2 L'
U' D2 F' B2 L F U'
U' D2 F2 B2 L F U'
B' U2 R2 D' L2 R F'
B' U2 R2 D' R L2 F'
B' U2 R2 D' R F' L2
U' D2 B2 L D F U'
U' D2 B2 L D' F U'
U' D2 B2 L D2 F U'
U' D2 B2 L F U' D
U' D2 B2 L F U' D'
U' D2 B2 L F U' D2
U' D2 B2 L F D U'
U' D2 B2 L F D' U'
U' D2 B2 L F D2 U'
U' D2 B2 D L F U'
U' D2 B2 D' L F U'
U' D2 B2 D2 L F U'
U' D2 B2 F L F U'
U' D2 B2 F' L F U'
U' D2 B2 F2 L F U'
B' U2 D' L2 R F' R2
B' U2 D' R L2 F' R2
B' U2 D' R F' L2 R2
B' U2 D' R F' R2 L2
U2 F R U' R2 F U
U2 F R U' F R2 U
U2 F R F' D' L2 F2
U2 F R F' D' F2 L2
U F R F B R2 U
U F R B R2 F U
U F R B F R2 U
U F R' F U D R2
U F R' F U2 F2 U'
U F R' F D U R2
U F R' F D2 B2 U
B' D L R2 B' U2 R
U2 F U' R' F U R2
B' D L' R2 U2 R F
B' D R2 L B' U2 R
B' D R2 L' U2 R F
B' D R2 U2 D2 R F'
B' D R2 D2 U2 R F'
B' D B2 L R2 B' U2
B' D B2 L B' R2 U2
B' D B2 R2 L B' U2
F2 D' L2 R' B' U R'
B' D' R U2 L2 F' R2
B' D' R U2 F' L2 R2
B' D' R U2 F' R2 L2
B' D' R F' L2 R2 B'
B' D' R F' L2 B' R2
B' D' R F' R2 L2 B'
F2 D' R' L2 B' U R'
F2 D' R' B' L2 U R'
B' D' U2 L2 R F' R2
B' D' U2 R L2 F' R2
B' D' U2 R F' L2 R2
B' D' U2 R F' R2 L2
U F2 R D' B U F2
U F2 R B R2 U D
U F2 R B R2 U D'
U F2 R B R2 U D2
U F2 R B R2 D U
U F2 R B R2 D' U
U F2 R B R2 D2 U
U F2 R B U D' F2
U F2 R B D' U F2
U F2 R B' R2 B2 U
U F2 R B2 R2 B' U
U F2 R' U2 D F' U'
U F2 R' U2 D' F' U'
U F2 R' U2 D2 F' U'
U F2 R' U2 F' U' D
U F2 R' U2 F' U' D'
U F2 R' U2 F' U' D2
U F2 R' U2 F' D U'
U F2 R' U2 F' D' U'
U F2 R' U2 F' D2 U'
U F2 R' D U2 F' U'
U F2 R' D' U2 F' U'
U F2 R' D2 U2 F' U'
U F2 R' B U2 F' U'
U F2 R' B' U2 F' U'
U F2 R' B2 U2 F' U'
U F2 U F R D' F2
R' F2 D' L2 B' U R'
U2 F2 D R' B U B'
R' F2 D' B' L2 U R'
U F2 D R B R2 U
U F2 D R' U2 F' U'
R' F2 D2 B' U R' B'
U F2 D' R B R2 U
U F2 D' R' U2 F' U'
R' F2 B U D2 B2 R'
R' F2 B U' L F2 U2
R' F2 B U' F2 L U2
R' F2 B D2 U B2 R'
F2 D2 R' B' U R' B'
R' F2 B' U R' D2 B2
R' F2 B' U D2 R' B2
R' F2 B' U' F2 U2 R'
U F2 D2 R B R2 U
U F2 D2 R' U2 F' U'
R' F2 B' D' L2 U R'
R' F2 B' D2 U R' B2
R' B L U F2 U F2
U F2 B' R B R' U
R2 B L U R F2 U
U F2 B2 U2 L F U'
R B L U R2 F2 U
R B L U F2 R2 U
R B L U2 D' L2 F2
R B L U2 D' F2 L2
R B L D R2 B2 U2
R B L D B2 R2 U2
R B L D' U2 L2 F2
R B L D' U2 F2 L2
R B U2 D' L2 F2 R
R B D L R2 B2 U2
R B D L B2 R2 U2
R B D R2 L B2 U2
R B D R2 B2 U2 R'
R B D B2 R2 U2 R
R B D' L U2 L F2
R B D' L U2 F2 L
R B D' U2 L2 F2 R
R' B F2 U D2 B2 R'
R' B F2 U' L F2 U2
R' B F2 U' F2 L U2
R' B F2 D2 U B2 R'
F2 B U D2 B2 R' F'
F2 B U' L F2 U2 F'
F2 B U' F2 L U2 F
F2 B D2 U B2 R' F'
U B' R F2 B R' U
U B' R B R' F2 U
U B' R B F2 R' U
R' B' U F2 U R' F2
R' B' U F2 U F2 R'
D B' R2 U2 D' R F'
D B' R2 D' U2 R F'
R2 B' U R F2 U R2
R B' U F2 R2 U R
R2 B' U2 R' D' L2 F2
R2 B' U2 R' D' F2 L2
R B' U2 D' L2 R' F2
R B' U2 D' L2 F2 R'
R B' U2 D' R' L2 F2
R B' U2 D' R' F2 L2
R B' U2 D' F2 L2 R'
R B' U2 D' F2 R' L2
R B' D R2 B2 U2 R
R B' D B2 L R2 U2
R B' D B2 R2 L U2
R B' D' U2 L2 R' F2
R B' D' U2 L2 F2 R'
R B' D' U2 R' L2 F2
R B' D' U2 R' F2 L2
R B' D' U2 F2 L2 R'
R B' D' U2 F2 R' L2
R' B' F2 U R' D2 B2
R' B' F2 U D2 R' B2
R' B' F2 U' F2 U2 R'
R' B' F2 D' L2 U R'
R' B' F2 D2 U R' B2
U' B2 L D' F U' L2
U' B2 L D2 F B2 U'
U' B2 L D2 B2 F U'
U' B2 L F U2 F U
U B' F2 R B R' U
U' B2 D' L F U' L
B F2 U D2 B2 R' F'
U' B2 D2 L F B2 U'
U' B2 D2 L B2 F U'
B F2 U' L F2 U2 F'
B F2 U' F2 L U2 F
B F2 D2 U B2 R' F'
U B2 F2 U2 L F U'
