R B U' R2 F'
L' R B U' R2 F'
L2 R B U' R2 F'
L R B U' R2 F'
R L B U' R2 F'
R L' B U' R2 F'
D L2 R B U' R2
R L2 B U' R2 F'
D R L2 B U' R2
D2 R B U' R2 F2
D2 R B U' F2 R2
D R B L2 U' R2
R F B U' R2 F'
R F' B U' R2 F'
R F2 B U' R2 F'
R B L U' R2 F'
R B L' U' R2 F'
R B L2 U' R2 F'
R B U B U2 R2
R B U' R2 D F'
R B U' R2 D' F'
R B U' R2 D2 F'
R B U' R2 F' D
R B U' R2 F' D'
R B U' R2 F' D2
R B U' F R2 F'
R B U' F' R2 F'
R B U' F2 R2 F'
R B F U' R2 F'
R B F' U' R2 F'
R B F2 U' R2 F'
B2 L R U' B U' B'
D2 L R B U' R2 F2
D2 L R B U' F2 R2
B2 L R' U' R2 B U'
B2 L R2 U' R' B U'
B2 L U F' U L' B'
B2 L U' R B U' L
B2 L U' B R U' L
L' R F B U' R2 F'
L R F B U' R2 F'
L2 R F B U' R2 F'
R L F B U' R2 F'
L' R F' B U' R2 F'
L R F' B U' R2 F'
L2 R F' B U' R2 F'
R L F' B U' R2 F'
L' R F2 B U' R2 F'
L' R B L U' R2 F'
L R F2 B U' R2 F'
L2 R F2 B U' R2 F'
L' R B L' U' R2 F'
R L F2 B U' R2 F'
L' R B L2 U' R2 F'
L R B L U' R2 F'
L2 R B L U' R2 F'
L R B L' U' R2 F'
L2 R B L' U' R2 F'
R L B L U' R2 F'
L R B L2 U' R2 F'
R L B L' U' R2 F'
L2 R B L2 U' R2 F'
R L B L2 U' R2 F'
L' R B U B U2 R2
L' R B U' R2 D F'
L' R B U' R2 D' F'
L' R B U' R2 D2 F'
L' R B U' R2 F' D
L' R B U' R2 F' D'
L' R B U' R2 F' D2
L' R B U' F R2 F'
L' R B U' F' R2 F'
L' R B U' F2 R2 F'
L R B U B U2 R2
L2 R B U B U2 R2
L R B U' R2 D F'
L R B U' R2 D' F'
L R B U' R2 D2 F'
L R B U' R2 F' D
L R B U' R2 F' D'
L R B U' R2 F' D2
L2 R B U' R2 D F'
L2 R B U' R2 D' F'
L2 R B U' R2 D2 F'
L R B U' F R2 F'
L2 R B U' R2 F' D
L2 R B U' R2 F' D'
L2 R B U' R2 F' D2
L R B U' F' R2 F'
L R B U' F2 R2 F'
L2 R B U' F R2 F'
L2 R B U' F' R2 F'
L2 R B U' F2 R2 F'
R L B U B U2 R2
R L B U' R2 D F'
R L B U' R2 D' F'
R L B U' R2 D2 F'
R L B U' R2 F' D
R L B U' R2 F' D'
R L B U' R2 F' D2
R L B U' F R2 F'
R L B U' F' R2 F'
R L B U' F2 R2 F'
L' R B F U' R2 F'
L' R B F' U' R2 F'
L' R B F2 U' R2 F'
L R B F U' R2 F'
L2 R B F U' R2 F'
L R B F' U' R2 F'
L2 R B F' U' R2 F'
R L B F U' R2 F'
L R B F2 U' R2 F'
L2 R B F2 U' R2 F'
R L B F' U' R2 F'
R L B F2 U' R2 F'
D2 L' R B U' R2 F2
D2 L' R B U' F2 R2
D L' R B L' U' R2
R L' F B U' R2 F'
R L' F' B U' R2 F'
R L' F2 B U' R2 F'
R L' B L U' R2 F'
R L' B L' U' R2 F'
R L' B L2 U' R2 F'
R L' B U B U2 R2
R L' B U' R2 D F'
R L' B U' R2 D' F'
R L' B U' R2 D2 F'
R L' B U' R2 F' D
R L' B U' R2 F' D'
R L' B U' R2 F' D2
R L' B U' F R2 F'
R L' B U' F' R2 F'
R L' B U' F2 R2 F'
R L' B F U' R2 F'
R L' B F' U' R2 F'
R L' B F2 U' R2 F'
D2 L2 R B U' R2 F2
D2 L2 R B U' F2 R2
D L2 R D' F2 B U'
B' L2 R B U' R' F
B' L2 R B U' F R'
D L2 R D' B F2 U'
D L2 R F B U' R2
D L2 R F' B U' R2
D L2 R F2 B U' R2
D L2 R B U' R2 D
D L2 R B U' R2 D'
D L2 R B U' R2 D2
D L2 R B D' F2 U'
D L2 R B F U' R2
D L2 R B F' U' R2
