D' L' R F2 U F
D2 L' U D' L' F
D L' U D F L2
D L' U F D L2
D L' U2 B2 U' F
D L' D U F L2
D2 L' D' U L' F
D L' D2 F2 U F'
D' L' F2 R U F'
D' R L' F2 U F
L' D' R F2 U F
L' D' F2 R U F'
L' D2 F' R U L2
D' F2 U2 R U' F'
L' R U D F2 L' F
L' R U F2 D L' F
L' R U' D' R U2 F'
L' R D U F2 L' F
L' R D F2 U L' F
L' R D' U' R U2 F'
B' L D2 R2 F' U' L2
L' R F2 U D L' F
L' R F2 D U L' F
D2 L F' L2 R U L'
D2 L F' R L2 U L'
D' L F2 L2 R U F'
D' L F2 R L2 U F'
R L' U D F2 L' F
R L' U F2 D L' F
R' L' U' D' R' B U2
L' R' U' D' R' B U2
R L' U' D' R U2 F'
D2 L' R U D' L' F
D' L' R U D' L2 F'
D' L' R U D' F' L2
D L' R U D F L2
D L' R U F D L2
D2 L' R D' U L' F
D' L' R D' U L2 F'
D' L' R D' U F' L2
R' L' U2 B2 U' L F
L' R' U2 B2 U' L F
D L' R U2 B2 U' F
D L' R D U F L2
R2 L' U2 B' L U' L'
D' L' R F2 R U F
D' L' R F2 R' U F
D' L' R F2 R2 U F
D L' R D2 F2 U F'
D' L' R F2 U D F
D' L' R F2 U D' F
D' L' R F2 U D2 F
D' L' R F2 U F D
D' L' R F2 U F D'
D' L' R F2 U F D2
D' L' R F2 D U F
D' L' R F2 D' U F
D' L' R F2 D2 U F
D2 L' R' U D' L' F
D L' R' U D F L2
D L' R' U F D L2
D2 L' R' D' U L' F
R L' D U F2 L' F
D L' R' U2 B2 U' F
D L' R' D U F L2
D' L' R' F2 R2 U F'
D' L' R' F2 U' B U2
D L' R' D2 F2 U F'
R L' D F2 U L' F
D2 L' R2 U D' L' F
R' L' D' U' R' B U2
L' R' D' U' R' B U2
D L' R2 U D F L2
D L' R2 U F D L2
D2 L' R2 D' U L' F
D L' R2 U2 B2 U' F
D L' R2 D U F L2
R L' D' U' R U2 F'
D' L' R2 F2 R' U F'
D L' R2 D2 F2 U F'
D L' U L2 D L2 F
D2 L' U D' L' D F
D2 L' U D' L' D' F
D2 L' U D' L' D2 F
D2 L' U D' L' F D
D2 L' U D' L' F D'
D2 L' U D' L' F D2
D L' U D F L2 D
D L' U D F L2 D'
D L' U D F L2 D2
D L' U D F' L2 F2
D L' U D F2 L2 F'
D L' U D' F D2 L2
D L' U F L D L2
D L' U F L' D L2
D L' U F L2 D L2
D L' U F U B2 U'
D L' U F D L2 D
D L' U F D L2 D'
D L' U F D L2 D2
D L' U F2 D L2 F'
D L' U F2 D F' L2
D L' U' D' R2 U2 F
D2 L' D R U L' F'
D L' U2 B2 U' D F
D L' U2 B2 U' D' F
D L' U2 B2 U' D2 F
D L' U2 B2 U' F D
D L' U2 B2 U' F D'
D L' U2 B2 U' F D2
D L' U2 B2 D U' F
D L' U2 B2 D' U' F
D L' U2 B2 D2 U' F
D L' D R U F L2
D L' D R' U F L2
D L' D R2 U F L2
D L' D U F L2 D
D L' D U F L2 D'
D L' D U F L2 D2
D L' D U F' L2 F2
D L' D U F2 L2 F'
R L' F2 U D L' F
D L' D F' U L2 F2
D L' D F' U F2 L2
R L' F2 D U L' F
D L' D F2 U L2 F'
D L' D F2 U F' L2
D2 L' D' R U L' F
D2 L' D' R' U L' F
D2 L' D' R2 U L' F
D2 L' D' U L' D F
D2 L' D' U L' D' F
D2 L' D' U L' D2 F
D2 L' D' U L' F D
D2 L' D' U L' F D'
D2 L' D' U L' F D2
D' L' D' F' R U L2
D L' D' U F D2 L2
D L' D' U' R2 U2 F
D L' D2 R F2 U F'
D L' D2 R' F2 U F'
B L' D2 R' B U L2
D L' D2 R2 F2 U F'
B' L' D2 B R2 U L2
D L' D2 F2 U D F'
D L' D2 F2 U D' F'
D L' D2 F2 U D2 F'
D L' D2 F2 U F' D
D L' D2 F2 U F' D'
D L' D2 F2 U F' D2
D L' D2 F2 D U F'
D L' D2 F2 D' U F'
D L' D2 F2 D2 U F'
D' L' F R F U F2
D L' F D2 F2 U F2
D' L' F' R U F' L'
D2 L' F' R F U L'
D2 L' F' D R F' U
D' L' F' D' F' R U
D L' F' U F2 D L2
D L' F' U2 B2 U' F2
D L' F' D R2 U L2
D' L' F2 R U D F'
D' L' F2 R U D' F'
D' L' F2 R U D2 F'
D' L' F2 R U F' D
D' L' F2 R U F' D'
D' L' F2 R U F' D2
D' L' F2 R D U F'
D' L' F2 R D' U F'
D' L' F2 R D2 U F'
D' L' F2 R' U' B U2
D' L' F2 U R F' R'
D2 L' F2 U' R B U2
D L' F2 U D L2 F'
D L' F2 U D F' L2
D L' F2 U F' D L2
D L' F2 U2 B2 U' F'
D L' F2 D U L2 F'
D L' F2 D U F' L2
D L' F2 D2 F2 U F
L' R2 U2 B' L U' L'
B' L' B D2 R2 U L2
D L2 U2 B2 R' U' F'
D L2 D L U F L
D L2 D2 L F2 U F'
D L2 D2 F2 L U F
R2 U L' B R' U R
D2 L2 F' L R U L'
D2 L2 F' R L U L'
D' L2 F2 L R U F'
D' L2 F2 R L U F'
L' U D L D L2 F
L' U D L' D F L2
L' U D L' F D L2
L' U D2 L' D' L' F
D2 R L' U D' L' F
D' R L' U D' L2 F'
D' R L' U D' F' L2
D2 R L' D' U L' F
D' R L' D' U L2 F'
D' R L' D' U F' L2
D R L' U D F L2
D R L' U F D L2
D' R L' F2 R U F
D' R L' F2 R' U F
D' R L' F2 R2 U F
D' R L' F2 U D F
D' R L' F2 U D' F
D' R L' F2 U D2 F
D' R L' F2 U F D
D' R L' F2 U F D'
D' R L' F2 U F D2
D' R L' F2 D U F
D' R L' F2 D' U F
D' R L' F2 D2 U F
D R L' U2 B2 U' F
D R L' D U F L2
D R L' D2 F2 U F'
R2 U B L' R' U R
R2 U B R' L' U R
D' R D' L' U L' F'
L' U' R D' R U2 F'
D' R F2 U2 R U' F
L' U' R' D' R' B U2
L' U' R2 B U R' U
L' U' R2 B' U' L U'
D2 R' L' U D' L' F
D2 R' L' D' U L' F
D' R' L' F2 R2 U F'
D' R' L' F2 U' B U2
D R' L' U D F L2
D R' L' U F D L2
D R' L' U2 B2 U' F
D R' L' D U F L2
D R' L' D2 F2 U F'
L' U' B R2 U R U
L' U' B' R2 U' L U'
L' U2 D L' B2 U' F
B R' B' D L' F U
L' U2 D B2 L' U' F
B R' B2 L' B U L2
D2 R2 L' U D' L' F
D2 R2 L' D' U L' F
D' R2 L' F2 R' U F'
D R2 L' U D F L2
D R2 L' U F D L2
D R2 L' U2 B2 U' F
D R2 L' D U F L2
D R2 L' D2 F2 U F'
U' R2 U D L' U F
B R2 U R B' L' U
B R2 U B' L' R U
B R2 U B' R L' U
L' U2 B D B2 L U'
L' U2 B' L U R2 U2
L' U2 B' L U' D2 L2
L' U2 B' L D B2 U'
L' U2 B' L D2 U' L2
L' U2 B' D L B2 U'
L' U2 B' D2 L U' L
U' R2 D U L' U F
L2 D L U D L2 F
L2 D L D U L2 F
R' D L' U' R' U2 F
R D L' U F2 L' F'
R D L' U' R U2 F
R D L' F2 U L' F'
U' R2 B U L' R' U
U' R2 B U R' L' U
L' D U L D L2 F
L' D U L' D F L2
L' D U L' F D L2
L' D U2 L' B2 U' F
L' D U2 B2 L' U' F
L2 D' L R F2 U F
R' D' L' U' R' B U2
L2 D' L F2 R U F'
R D' L' U' R U2 F'
L' D' R U D' L2 F'
L' D' R U D' F' L2
L' D' R D' U L2 F'
L' D' R D' U F' L2
L2 D' R L F2 U F
L' D' R F2 R U F
L' D' R F2 R' U F
L' D' R F2 R2 U F
L' D' R F2 U D F
L' D' R F2 U D' F
L' D' R F2 U D2 F
L' D' R F2 U F D
L' D' R F2 U F D'
L' D' R F2 U F D2
L' D' R F2 D U F
L' D' R F2 D' U F
L' D' R F2 D2 U F
L' D' R' F2 R2 U F'
L' D' R' F2 U' B U2
U2 D B2 U2 L' U F
L D' R F2 U F B2
L D' R F2 U B2 F
L' D' R2 F2 R' U F'
L' D' F R F U F2
L' D' F' R U F' L'
L' D' F' D' F' R U
L' D' F2 R U D F'
L' D' F2 R U D' F'
L' D' F2 R U D2 F'
L' D' F2 R U F' D
L' D' F2 R U F' D'
L' D' F2 R U F' D2
L' D' F2 R D U F'
L' D' F2 R D' U F'
L' D' F2 R D2 U F'
L' D' F2 R' U' B U2
L' D' F2 U R F' R'
L2 D' F2 L R U F'
L2 D' F2 R L U F'
L D' F2 R U F' B2
L D' F2 R U B2 F'
L2 D2 L F' R U L
L2 D2 L F2 U L F
L' D2 R F' R U L2
L' D2 R' F' R U L2
L' D2 R2 F' R U L2
L' D2 U L' D' L' F
L' D2 F U2 L' U' L'
L' D2 F D F2 R U
L' D2 F' R U L2 D
L' D2 F' R U L2 D'
L' D2 F' R U L2 D2
L' D2 F' R D F2 U
L' D2 F' R F U L2
L' D2 F' R F' U L2
L' D2 F' R F2 U L2
L2 D2 F' L R U L
L' D2 F' D R F2 U
L2 D2 F' R L U L
L' D2 F2 U L F L
L2 D2 F2 L U L F
D U2 B2 U2 L' U F
D2 F U2 L' U' L' B'
L' F D' R F2 U F
L' F D' F2 R U F'
L' F D2 F' R U L2
D2 F' R F L' U L'
L' F' D' R F2 U F
L' F' D' F2 R U F'
L' F' D2 F' R U L2
B D' R' B' L' F2 U
D' F2 L U2 R U' F'
D' F2 L' U2 R U' F'
D' F2 L2 U2 R U' F'
F2 D' F2 L' R U F'
F2 D' F2 R L' U F'
D' F2 R' U2 R2 U' F'
F2 D' F2 D2 L' U F
D' F2 U2 L R U' F'
D' F2 U2 L' R U' F'
D' F2 U2 L2 R U' F'
D' F2 U2 R L U' F'
D' F2 U2 R L' U' F'
D' F2 U2 R L2 U' F'
D' F2 U2 R U' D F'
D' F2 U2 R U' D' F'
D' F2 U2 R U' D2 F'
D' F2 U2 R U' F' D
D' F2 U2 R U' F' D'
D' F2 U2 R U' F' D2
D' F2 U2 R D U' F'
D' F2 U2 R D' U' F'
D' F2 U2 R D2 U' F'
L' F2 D' R F2 U F
L' F2 D' F2 R U F'
L' F2 D2 F' R U L2
B D2 R' B' L' U L'
F D2 F' L' R U L'
F D2 F' R L' U L'
U' B R2 U L' R U
U' B R2 U R L' U
R2 B U R' B' L' U
L' B D' R' F2 B' U
L' B D' R' B' F2 U
L' B D' F2 R' B' U
L' B D2 R' B' U L2
U2 B' L D2 R2 U' L2
D B2 U2 L' B2 U F
D B2 U2 B2 L' U F
D B2 D2 F2 R U' F'
