U L' R' U' R F
U R' L' U' R F
U R' U' D2 R F'
U2 R' U' F2 L' F
U R' D2 U' R F'
L' U2 R' U' F L
L2 U2 R' U' L2 F'
L2 U2 R' U' F' L2
R2 F2 L' U F L
L' R U D F L B2
L' R U F L D B2
L' R U F D L B2
U2 L R' U R B' U2
U2 L R' U B' R U2
U L R' U B' U2 R
R' L U' B' U2 L' B
R' L U' B' U2 B L'
L' R U2 R2 U' F L
L' R D U F L B2
L R D2 L2 U F L
R L D2 L2 U F L
R L' U D F L B2
R2 L' U F D' L B'
R L' U F L D B2
R L' U F D L B2
R' L' U' F' L F2 R
L' R' U' F' L F2 R
L R' U' B' U2 L' B
L R' U' B' U2 B L'
B2 L B2 R2 U L' F'
B2 L B2 U' B U2 L'
R2 L' U2 R U' F L
R L' U2 R2 U' F L
U2 L' R' U R U2 F
U2 L' R' U' F2 L' F'
R L' D U F L B2
U L' R' U' R D F
U L' R' U' R D' F
U L' R' U' R D2 F
U L' R' U' R F D
U L' R' U' R F D'
U L' R' U' R F D2
U L' R' U' R' F R2
U L' R' U' R2 F R'
U L' R' U' D R F
U L' R' U' D' R F
U L' R' U' D2 R F
U L' R' D U' R F
U L' R' D' U' R F
U L' R' D2 U' R F
U2 L' U' R' U' R F
R' L' F' U' L F2 R
F' L' U2 R' U' F L
L' R' F' U' L F2 R
F2 L' U2 R' U' F L
F L' U2 R' U' F L
R2 L' F2 L' U L2 F'
R2 L' F2 L' U F' L2
U L' D R' U' R F
B2 L' D' R2 F L B2
U L' D' R' U' R F
B2 L' D' F L R2 B2
B2 L' D' F L B2 R2
B2 L' D' F R2 L B2
U L' D2 R' U' R F
B2 L' F D' L R2 B2
B2 L' F D' L B2 R2
B2 L' F D' R2 L B2
L' R2 U F D' L B'
U L' F' R' U' R F2
U L' F2 R' U' R F'
L' R2 U2 R U' F L
L' R2 F2 L' U L2 F'
L' R2 F2 L' U F' L2
F' L2 U2 R' U' L2 F'
F' L2 U2 R' U' F' L2
F2 L2 U2 R' U' L2 F'
F2 L2 U2 R' U' F' L2
F L2 U2 R' U' L2 F'
F L2 U2 R' U' F' L2
U' L2 D' B2 L U F
R2 U L' R U' R' F
R2 U L' R U' F R'
R U L' R2 U' R2 F
R U L' R2 U' F R2
L2 U L2 U R' U' F'
R2 U R L' U' R' F
R2 U R L' U' F R'
L' U R' U' R F L
R U R2 L' U' R2 F
R U R2 L' U' F R2
R2 U D2 R U' F' R'
L' U F L U R' U'
L' U F U R' U' L
D2 R U R2 U' R2 F'
D2 R D F' B2 D' R2
D2 R D B2 D' F' R2
D2 R D B2 F' D' R2
D2 R D2 L2 U L2 F'
D2 R D2 L2 U F' L2
D2 R F' U R2 U' R2
D2 R F' D B2 D' R2
D2 R B2 D' F' R2 B
U2 R' L U R B' U2
U2 R' L U B' R U2
U R' L U B' U2 R
U2 R' L' U R U2 F
U2 R' L' U' F2 L' F'
U R' L' U' R D F
U R' L' U' R D' F
U R' L' U' R D2 F
U R' L' U' R F D
U R' L' U' R F D'
U R' L' U' R F D2
U R' L' U' R' F R2
U R' L' U' R2 F R'
U R' L' U' D R F
U R' L' U' D' R F
U R' L' U' D2 R F
U R' L' D U' R F
U R' L' D' U' R F
U R' L' D2 U' R F
U2 R' U D2 R U2 F'
U R' U L B' U2 R
U R' U L' U2 R F
U2 R' U' L' F2 L' F'
U2 R' U' F L' F L'
U R' U' L' R F L
U2 R' U' F2 L' D F
U2 R' U' F2 L' D' F
U2 R' U' F2 L' D2 F
U2 R' U' F2 L' F D
U2 R' U' F2 L' F D'
U2 R' U' F2 L' F D2
U R' U' R L' F L
U R' U' D2 R D F'
U R' U' D2 R D' F'
U R' U' D2 R D2 F'
U R' U' D2 R F' D
U R' U' D2 R F' D'
U R' U' D2 R F' D2
U2 R' U2 F2 U L' F
L2 U2 L R' U' L F'
L2 U2 L R' U' F' L
U2 R' D2 U R U2 F'
L2 U2 L' R' U' L' F'
U R' D2 L U' R F'
U R' D2 L' U' R F'
U R' D2 L2 U' R F'
U R' D2 U' R D F'
U R' D2 U' R D' F'
U R' D2 U' R D2 F'
U R' D2 U' R F' D
U R' D2 U' R F' D'
U R' D2 U' R F' D2
L U2 L2 R' U' F L
L' U2 R' U' D F L
L' U2 R' U' D' F L
L' U2 R' U' D2 F L
L' U2 R' U' F L D
L' U2 R' U' F L D'
L' U2 R' U' F L D2
L' U2 R' U' F D L
L' U2 R' U' F D' L
L' U2 R' U' F D2 L
L' U2 R' U' F' L F2
L' U2 R' U' F2 L F'
L2 U2 R' L U' L F'
L2 U2 R' L U' F' L
L' U2 R' D U' F L
L2 U2 R' L' U' L' F'
L' U2 R' D' U' F L
L' U2 R' D2 U' F L
L2 U2 R' U' L F' L
L2 U2 R' U' L2 D F'
L2 U2 R' U' L2 D' F'
L2 U2 R' U' L2 D2 F'
L2 U2 R' U' L2 F' D
L2 U2 R' U' L2 F' D'
L2 U2 R' U' L2 F' D2
L2 U2 R' U' F L2 F2
L2 U2 R' U' F' L2 D
L2 U2 R' U' F' L2 D'
L2 U2 R' U' F' L2 D2
L2 U2 R' D' B2 U' F'
U R' F2 U L' U2 F
L U2 R' L2 U' F L
L U2 R' U B' U2 L'
L U2 R' U' L2 F L
L2 U2 R' B U' L2 F'
L2 U2 R' B U' F' L2
L2 U2 R' B' U' L2 F'
L2 U2 R' B' U' F' L2
L2 U2 R' B2 U' L2 F'
L2 U2 R' B2 U' F' L2
U2 R' B U' F2 L' F
L' U2 D R' U' F L
U2 R' B' U' F2 L' F
L' U2 D' R' U' F L
U2 R' B2 U' F2 L' F
L2 U2 D' R' B2 U' F'
L' U2 D2 R' U' F L
D2 R2 U R U' R' F'
U2 R2 D2 R U' L2 F'
U2 R2 D2 R U' F' L2
F' R2 F2 L' U F L
F2 R2 F2 L' U F L
D R2 F2 L' U L F
F R2 F2 L' U F L
L' D U2 R' U' F L
F' U L' R' U' R F
F2 U L' R' U' R F
F U L' R' U' R F
R2 D F2 L' U L F
F' U R' L' U' R F
L2 D F2 U2 R' U' F'
D' U R' U' D' R F'
D2 U R' U B U2 R
