B L B2 D' R2 F'
B L' U F L2 B2
B L' U F B2 L2
B L' U B2 F L2
B U L' F L2 B2
B U L' F B2 L2
B U L' B2 F L2
L' B U F L B'
D' B R' U L B2
B L R B2 D' R2 F'
B L R' B2 D' R2 F'
B L R2 B2 D' R2 F'
B L D L2 U F L2
B L F B2 D' R2 F'
B L F' B2 D' R2 F'
B L F2 B2 D' R2 F'
B L B2 R2 D' F' R2
B L B2 R2 F' D' R2
B L B2 D' R2 D F'
B L B2 D' R2 D' F'
B L B2 D' R2 D2 F'
B L B2 D' R2 F' D
B L B2 D' R2 F' D'
B L B2 D' R2 F' D2
B L B2 D' F R2 F'
B L B2 D' F' R2 F'
B L B2 D' F2 R2 F'
B L B2 F D' R2 F'
B L B2 F' D' R2 F'
B L B2 F2 D' R2 F'
B L' R U F L2 B2
B L' R U F B2 L2
B L' R U B2 F L2
B L' R' U F L2 B2
B L' R' U F B2 L2
B L' R' U B2 F L2
B L' R2 U F L2 B2
B L' R2 U F B2 L2
B L' R2 U B2 F L2
B L' U F L' B2 L'
B L' U F L2 B2 D
B L' U F L2 B2 D'
B L' U F L2 B2 D2
B L' U F B L2 B
B L' U F B2 L2 D
B L' U F B2 L2 D'
B L' U F B2 L2 D2
B L' U F' L2 F2 B2
B L' U F' L2 B2 F2
B L' U F' B2 L2 F2
B L' U F2 L2 F' B2
B L' U F2 L2 B2 F'
B L' U F2 B2 L2 F'
B L' U B F L2 B
B L' U B2 F L2 D
B L' U B2 F L2 D'
B L' U B2 F L2 D2
B L' U B2 F' L2 F2
B L' U B2 F2 L2 F'
B' L' U' B2 U F L
B L' D F2 L2 U F'
B' L' D' R2 F2 L' F'
B' L' D' F' R2 F2 L'
B L' F L2 B2 D' R2
B' L' F U' B2 U L
B L' F B2 L2 D' R2
B L' F' U L2 F2 B2
B L' F' U L2 B2 F2
B L' F' U F2 L2 B2
B L' F' U F2 B2 L2
B L' F' U B2 L2 F2
B L' F' U B2 F2 L2
B L' F2 U L2 F' B2
B L' F2 U L2 B2 F'
B L' F2 U F' L2 B2
B L' F2 U F' B2 L2
B L' F2 U B2 L2 F'
B L' F2 U B2 F' L2
D' L' B R' U L B'
F' L' B U F L B'
F2 L' B U F L B'
F L' B U F L B'
B' L' B2 U F L B2
B L' B2 F L2 D' R2
B L2 U B2 D L' F
B' L2 U' B2 U L F
B R L B2 D' R2 F'
B R L' U F L2 B2
B R L' U F B2 L2
B R L' U B2 F L2
B R U L' F L2 B2
B R U L' F B2 L2
B R U L' B2 F L2
B R' L B2 D' R2 F'
B R' L' U F L2 B2
B R' L' U F B2 L2
B R' L' U B2 F L2
B R' U L' F L2 B2
B R' U L' F B2 L2
B R' U L' B2 F L2
B R2 L B2 D' R2 F'
B R2 L' U F L2 B2
B R2 L' U F B2 L2
B R2 L' U B2 F L2
R2 U2 F' U' B' L' F
B R2 U L' F L2 B2
B R2 U L' F B2 L2
B R2 U L' B2 F L2
U2 R2 F' U' B' L' F
B' R2 F2 L' D' R2 F
B' R2 F2 L' D' F R2
B' R2 F2 L' F D' R2
B U L R2 B2 R2 F'
B U L U2 B' U2 B'
B U L B D2 F2 B
B U L B D2 B F2
B U L B2 R2 F' R2
B U L B2 U2 B U2
B U L' F L' B2 L'
B U L' F L2 B2 D
B U L' F L2 B2 D'
B U L' F L2 B2 D2
B U L' F B L2 B
B U L' F B2 L2 D
B U L' F B2 L2 D'
B U L' F B2 L2 D2
B U L' F' L2 F2 B2
B U L' F' L2 B2 F2
B U L' F' B2 L2 F2
B U L' F2 L2 F' B2
B U L' F2 L2 B2 F'
B U L' F2 B2 L2 F'
B U L' B F L2 B
B U L' B2 F L2 D
B U L' B2 F L2 D'
B U L' B2 F L2 D2
B U L' B2 F' L2 F2
B U L' B2 F2 L2 F'
B U L2 B2 L F L2
B U R2 L B2 R2 F'
D' U B R' F' U B2
B U F L' F L2 B2
B U F L' F B2 L2
B U F L' B2 F L2
B U F' L' F L2 B2
B U F' L' F B2 L2
B U F' L' B2 F L2
B U F2 L' F L2 B2
B U F2 L' F B2 L2
B U F2 L' B2 F L2
B U' L' F B2 L2 R'
B U' L' F B2 R' L2
B U' L' B2 R' F L2
B U' L' B2 F L2 R'
B U' L' B2 F R' L2
U D' B R' F' U B2
B' U' B2 U L' F L2
B U2 L' U' F L2 B2
B U2 L' U' F B2 L2
B U2 L' U' B2 F L2
B D L2 U D' L' F
B D L2 D' U L' F
D' F B R' U L B2
B D F' L2 R U L'
B D F' R L2 U L'
D' F' B R' U L B2
L' F' B U L F2 B'
L' F' B U L B' F2
L' F' B U F2 L B'
B' D' R2 D F2 L' F
U2 F' B U L' F B2
U2 F' B U L' B2 F
U2 F' B U B2 L' F
B' D' R2 F2 D L' F
D F' B R U L B2
U2 F' B' L' D' R2 F
U2 F' B' L' D' F R2
U2 F' B' L' F D' R2
F' D' B R' U L B2
F2 D' B R' U L B2
F D' B R' U L B2
D' F2 B R' U L B2
L' F2 B U L F' B'
L' F2 B U L B' F'
L' F2 B U F' L B'
D F2 B U L F B2
D F2 B U L B2 F
D' B L' R' U L2 B2
D' B L' R' U B2 L2
D' B L2 R' U L' B2
D' B L2 R' U B2 L'
L2 B L2 U B' L' F
D2 B R U L F' B2
D2 B R U L B2 F'
D2 B R U F' L B2
L B L' U B' L2 F
L' B R U F L B'
D' B R' L' U L2 B2
D' B R' L' U B2 L2
D' B R' L2 U L' B2
D' B R' L2 U B2 L'
D' B R' U L B2 D
D' B R' U L B2 D'
D' B R' U L B2 D2
D' B R' U L' B2 L2
D' B R' U L2 B2 L'
L' B R' U F L B'
D' B R' D L2 U L'
D' B R' F U L B2
