R U F2 B U B'
R U B F2 U B'
D' R B U L2 F
F2 R B U' B' U2
F2 R' U2 F' U' F
B U D' L2 F R
R D' B U L2 F
F2 U2 L F U' F'
F2 U2 F' U' F R
B D' U L2 F R
R' F2 U2 F U' F'
R F2 B U' B' U2
D' B U L2 F R
R B U D' L2 F
R B D' U L2 F
F2 B U' B' U2 R'
R B F2 U' B' U2
F2 B' U' B L U2
B' F2 U' B L U2
B F2 U' B' U2 R'
L' R U L F2 B U
L' R U L B F2 U
L R U L' F2 B U
L R U L' B F2 U
L2 R U L2 F2 B U
L2 R U L2 B F2 U
R L U L' F2 B U
R L U L' B F2 U
L' R U F2 L B U
L2 R U F2 L2 B U
L2 R U F2 B L2 U
L2 R U B L2 F2 U
L R U B L' F2 U
L2 R U B F2 L2 U
R L U B L' F2 U
F L U L' F U R
U' L U F2 R B U
U2 L D' F U' L2 F'
U2 L D' F U' F' L2
U2 L D2 F B2 U' F'
U2 L D2 B2 F U' F'
U2 L F L' U' F' L'
U2 L F L2 B' U' F'
L2 R F2 B L2 U F
U2 L F U' F' D' L2
U2 L F U2 F U F2
L2 R B L2 F2 U F'
L2 R B F2 L2 U F
R L' U L F2 B U
R L' U L B F2 U
L2 R' U F2 L2 B' U
R L' U F2 L B U
U2 L' U' F2 B' U B
U2 L' U' B' F2 U B
R L2 U L2 F2 B U
R L2 U L2 B F2 U
R' L2 U F2 L2 B' U
R L2 U F2 L2 B U
R L2 U F2 B L2 U
R L2 U B L2 F2 U
R L2 U B F2 L2 U
F2 L2 R B L2 U F
F L2 U L2 F U R
R L2 F2 B L2 U F
R L2 B L2 F2 U F'
R L2 B F2 L2 U F
R U L F2 B U B'
R U L B F2 U B'
R U L' F2 B U B'
R U L' B F2 U B'
R U L2 F2 B U B'
R U L2 B F2 U B'
F2 L2 B L2 U F R
R U D' B U B' L2
F2 R L2 B L2 U F
R' U F2 L2 B' U B
D' R U B U B' L2
L' U F2 D' L B' U
F R U F B U B'
R U F2 L B U B'
R U F2 L' B U B'
R U F2 L2 B U B'
F R U B F U B'
R U F2 D B U B'
R U F2 D' B U B'
R U F2 D2 B U B'
R U F2 B U D B'
R U F2 B U D' B'
R U F2 B U D2 B'
R U F2 B U B' D
R U F2 B U B' D'
R U F2 B U B' D2
R U F2 B D U B'
R U F2 B D' U B'
R U F2 B D2 U B'
R U B U D' B' L2
R U B U B' D' L2
R U B D' U B' L2
R U B F2 U D B'
R U B F2 U D' B'
R U B F2 U D2 B'
R U B F2 U B' D
R U B F2 U B' D'
R U B F2 U B' D2
R U B F2 D U B'
R U B F2 D' U B'
R U B F2 D2 U B'
D2 R D B U L2 F
F2 R D B U' B' U2
B2 R D' B R2 U L2
F2 R D' B U' B' U2
F2 R D2 B U' B' U2
D' R F B U L2 F
F R F B U' B' U2
D' R F' B U L2 F
B' R F2 D B R' U
D' R F2 B U L2 F
B' R F2 B R U F'
B2 R F2 D' B R2 U
B2 R F2 D2 B U F2
B2 R F2 B R2 U F'
B2 R F2 B U' B U2
D' R B R U L2 F
D' R B R' U L2 F
B' R B R F2 U F
D' R B R2 U L2 F
D' R B U L2 D F
D' R B U L2 D' F
D' R B U L2 D2 F
D' R B U L2 F D
D' R B U L2 F D'
D' R B U L2 F D2
B R F2 B U D2 F2
B R F2 B U' B2 U2
B R F2 B D' R2 U
B R F2 B D2 U F2
D' R B U F L2 F
D' R B U F' L2 F
D' R B U F2 L2 F
D' R B U' B' U2 L2
F2 R B R U' B' U2
F2 R B R' U' B' U2
F' R B U' B' R' U2
B2 R B R2 F2 U F
F2 R B R2 U' B' U2
F2 R B U L2 F L2
D' R B F U L2 F
F2 R B U' D B' U2
F2 R B U' D' B' U2
F2 R B U' D2 B' U2
F2 R B U' B' U2 D
F2 R B U' B' U2 D'
F2 R B U' B' U2 D2
F2 R B U' B' D U2
F2 R B U' B' D' U2
F2 R B U' B' D2 U2
F2 R B U2 L2 U' F
D' R B F' U L2 F
D' R B F2 U L2 F
D R B U' R B' U2
F2 R B D U' B' U2
B' R B F2 R U F'
D R B U' B' R U2
F2 R B D' U' B' U2
F2 R B D2 U' B' U2
B2 R B F2 R2 U F'
B2 R B F2 U' B U2
B R B D' R2 U L2
B R B F2 U D2 F2
B R B F2 U' B2 U2
B R B F2 D' R2 U
B R B F2 D2 U F2
F R B F U' B' U2
F2 R B' R2 B2 U F'
F2 R B' U D' R2 F'
F2 R B' D' U R2 F'
R' U' D' F' U' L2 B'
F2 R B2 D' R2 B' U
F2 R B2 D' B' R2 U
F2 R B2 D2 B' U F2
D' R' U' F' U' L2 B'
U R' U' R F2 B U
U R' U' R B F2 U
F2 R' U2 L F' U' F
F2 R' U2 L' F' U' F
F2 R' U2 L2 F' U' F
D' R' U2 F' U' F L2
D2 R' U2 F' B2 U' F
F2 R' U2 D F' U' F
F2 R' U2 D' F' U' F
F2 R' U2 D2 F' U' F
D2 R' U2 B2 F' U' F
F2 R' U2 F' U' D F
F2 R' U2 F' U' D' F
F2 R' U2 F' U' D2 F
F2 R' U2 F' U' F D
F2 R' U2 F' U' F D'
F2 R' U2 F' U' F D2
F2 R' U2 F' D U' F
F2 R' U2 F' D' U' F
F2 R' U2 F' D2 U' F
F2 R' D U2 F' U' F
B2 R' D' R2 B U L2
F2 R' D' U2 F' U' F
F2 R' D2 U2 F' U' F
L U2 L' F2 B' U F2
L U2 L' B' F2 U F2
F R' F U2 F2 U' F2
U2 R' F2 L' B' U F2
F2 R' B' R2 B U F'
R' U2 D' F' U' F L2
F2 R' B2 D' R2 B U
R' U2 D2 F' B2 U' F
R' U2 D2 B2 F' U' F
R' U2 F' U' F D' L2
R' U2 F' U2 F' U F2
B' R2 U D' L2 F' R
B' R2 U D' F' L2 R
B' R2 U D' F' R L2
B' R2 D' U L2 F' R
B' R2 D' U F' L2 R
B' R2 D' U F' R L2
U R2 D' L2 F R F
U R2 D' F R F L2
B' R2 F2 R' B U F
B' R2 F2 R2 U F R
R' D R2 U B U B'
B U L2 D' F L2 R
B U L2 D' F R L2
F2 U R F R D' F2
B U R D' L2 F R
F2 U R' U' R B U
F2 U R' F D R F'
B U R' D' L2 F R
F2 U R2 D' F R F
R D B U D2 L2 F
F2 U R2 F D' R F2
R D B U' R2 B' U2
R D B U' B' R2 U2
F2 U R2 F' D' F2 R
R D B D2 U L2 F
B U R2 D' L2 F R
B U D' L2 R F R
B U D' L2 R' F R
B U D' L2 R2 F R
B U D' L2 D F R
B U D' L2 D' F R
B U D' L2 D2 F R
B U D' L2 F R D
B U D' L2 F R D'
B U D' L2 F R D2
B U D' L2 F D R
B U D' L2 F D' R
B U D' L2 F D2 R
B U D' R L2 F R
B U D' R' L2 F R
B U D' R2 L2 F R
B U D' F L2 R F
B U D' F R L2 F
F2 U F R U' R' U
F2 U F R2 D' R' F2
F2 U F R2 D' F2 R'
F2 U F' R2 D' F2 R
F U F B U R B'
F U F B U B' R
F U F B' U B R
F U F B2 U R B2
F U F B2 U B2 R
R' D' R2 B U L2 F
U2 D' L F U' L F'
U2 D' L F U' F' L
F U B F U R B'
F U B F U B' R
R' D' U' F' U' L2 B'
F U B' F U B R
R' D' U2 F' U' F L2
R D' U B U B' L2
F U B2 F U R B2
F U B2 F U B2 R
F2 U' L' U' L F U'
R D' F B U L2 F
R D' F' B U L2 F
R D' F2 B U L2 F
U2 D' F' U' F L2 R
U2 D' F' U' F R L2
R D' B R U L2 F
R D' B R' U L2 F
R D' B R2 U L2 F
R D' B U L2 D F
R D' B U L2 D' F
R D' B U L2 D2 F
R D' B U L2 F D
R D' B U L2 F D'
R D' B U L2 F D2
R D' B U F L2 F
R D' B U F' L2 F
R D' B U F2 L2 F
R D' B U' B' U2 L2
R D' B F U L2 F
R D' B F' U L2 F
R D' B F2 U L2 F
B' U' D B L R2 U2
B' U' D B R2 L U2
B' U' D' B L U2 L
B U' D R2 B' U2 R'
B U' D B' R2 U2 R
B U' D' B' U2 L2 R'
B U' D' B' U2 R' L2
D' U2 L F U' L F'
D' U2 L F U' F' L
D2 U2 L F B2 U' F'
D2 U2 L B2 F U' F'
U2 D2 L F B2 U' F'
U2 D2 L B2 F U' F'
B' U' B L U F2 U
