R F' U' L' F' U'
L' R F' U' L' F' U'
L R F' U' L' F' U'
L2 R F' U' L' F' U'
R L F' U' L' F' U'
R L' F' U' L' F' U'
F' L' D' F' R U' L'
F' L' F' R' U' L' B
F' L' F' R' U' B L'
R L2 F' U' L' F' U'
U' R U2 D R2 F' B
U' R U2 D R2 B F'
U' R D U2 R2 F' B
U' R D U2 R2 B F'
U' R D F' U2 R2 F'
U' R D F' B U2 R2
U' R D B U2 R2 B
U' R D B F' U2 R2
U' R D' L2 F' B U2
U' R D' L2 B F' U2
U' R D' F' L2 B U2
U' R D' F' B L2 U2
U' R D' B L2 F' U2
U' R D' B F' L2 U2
B' R F' U' L' F' U'
B2 R F' U' L' F' U'
U' R F' B U' F' U'
B R F' U' L' F' U'
U R F' U' F' L' U'
U' R B U2 D R2 B
U' R B D U2 R2 B
U' R B D F' U2 R2
U' R B D' L2 F' U2
U' R B D' F' L2 U2
U' R B F' U' F' U'
F2 R' U' D' L' F B
F2 R' U' D' L' B F
F2 R' U' D' B L' F
F2 R' U' B D' L' F
F2 R' D' U' L' F B
F2 R' D' U' L' B F
F2 R' D' U' B L' F
D2 R2 B2 U L F B'
D2 R2 B2 U L B' F
R D F' U' L' U' R2
R D' L2 F' U' L' U'
R D' F' L2 U' L U'
R F' L U' L2 F' U'
R F' L U' F' L2 U'
R F' L' U' F' U' F
R F' L2 U' L F' U'
R F' L2 U' F' L U'
R F' U' L F' L2 U'
R F' U' L' D F' U'
R F' U' L' D' F' U'
R F' U' L' D2 F' U'
R F' U' L' F' U' D
R F' U' L' F' U' D'
R F' U' L' F' U' D2
R F' U' L' F' D U'
R F' U' L' F' D' U'
R F' U' L' F' D2 U'
R F' U' L2 F' L U'
F' D' L' F' R U' L'
R F' U' D L' F' U'
R F' U' D' L' F' U'
R F' U' D2 L' F' U'
R F' D U' L' F' U'
R F' D' U' L' F' U'
R F' D2 U' L' F' U'
R F' B U' L' F' U'
R F' B' U' L' F' U'
R F' B2 U' L' F' U'
U' F2 R' U' L' F' B
U' F2 R' U' L' B F'
U' F2 R' U' B L' F'
F2 D2 B' L U' B' L2
R B F' U' L' F' U'
R B' F' U' L' F' U'
R B2 F' U' L' F' U'
