D L2 R2 B' D' R2
D L2 U F' U' B'
B2 L2 F' U' F B'
B2 L2 F' U' B' F
D L2 B' U F' U'
L2 U F' B2 U' B
L2 U B2 F' U' B
D R2 L2 B' D' R2
R' D L2 B R' B2
R2 D L2 B' D' R2
R' D B L2 R' B'
R' D B R' L2 B'
R' D B2 L2 B' R'
F' U' F D L2 B'
F U' F2 B2 U' F
F U' B2 F2 U' F
F U2 D L2 F' R2
F U2 D F' L2 R2
F U2 D F' R2 L2
U2 F U' F2 B2 U'
U2 F U' B2 F2 U'
U2 F U2 D L2 R2
U2 F U2 D R2 L2
U2 F D U2 L2 R2
U2 F D U2 R2 L2
U2 F D' L2 R2 U2
U2 F D' R2 L2 U2
F' D R2 U' F L2
F D U2 L2 F' R2
F D U2 F' L2 R2
F D U2 F' R2 L2
F D F' L2 R2 B'
F D F' L2 B' R2
F D F' R2 L2 B'
D F' U' F L2 B'
U F' D R2 U' L2
F D' L2 R2 B U2
L2 F' B2 U' F B
L2 F' B2 U' B F
F D' R2 L2 B U2
F D' R2 B L2 U2
U F' B2 U F2 U2
U F' B2 U' D2 B2
U F' B2 D R2 U'
U F' B2 D2 U' B2
L2 B' U F' B' U'
L2 B' U B' F' U'
B2 F' U F2 U2 F'
B2 F' U' D2 F B2
B2 F' U' D2 B2 F
B2 F' D R2 U' F
B2 F' D2 U' F B2
B2 F' D2 U' B2 F
F' B2 U F2 U2 F'
F' B2 U' D2 F B2
F' B2 U' D2 B2 F
F' B2 D R2 U' F
F' B2 D2 U' F B2
F' B2 D2 U' B2 F
L2 B2 F' U' F B
L2 B2 F' U' B F
U B2 F' U F2 U2
U B2 F' U' D2 B2
U B2 F' D R2 U'
U B2 F' D2 U' B2
D L U F' U' L B'
F L U' F2 B2 U' F
F L U' B2 F2 U' F
F L U2 D L2 F' R2
F L U2 D F' L2 R2
F L U2 D F' R2 L2
F L D U2 L2 F' R2
F L D U2 F' L2 R2
F L D U2 F' R2 L2
B2 L D F' R U' F
F L D F' L2 R2 B'
F L D F' L2 B' R2
F L D F' R2 L2 B'
F L D' L2 R2 B U2
F L D' R2 L2 B U2
F L D' R2 B L2 U2
D L F' U' F L B'
L2 R' D B L2 R' B2
L2 R' D B R' L2 B2
L2 R' D B R' B2 L2
F L' U' F2 B2 U' F
F L' U' B2 F2 U' F
F L' U2 D L2 F' R2
F L' U2 D F' L2 R2
F L' U2 D F' R2 L2
F L' D U2 L2 F' R2
F L' D U2 F' L2 R2
F L' D U2 F' R2 L2
F L' D F' L2 R2 B'
F L' D F' L2 B' R2
F L' D F' R2 L2 B'
F L' D' L2 R2 B U2
F L' D' R2 L2 B U2
F L' D' R2 B L2 U2
R' L2 D B L2 R' B2
R' L2 D B R' L2 B2
R' L2 D B R' B2 L2
L2 R2 D B' L2 D' R2
R2 L2 D B' L2 D' R2
L2 R2 D2 B' D' L2 R2
L2 R2 D2 B' D' R2 L2
R2 L2 D2 B' D' L2 R2
R2 L2 D2 B' D' R2 L2
D L2 R' D B R' B2
D L2 R' B2 D B R'
D L2 R2 U' B U B2
D L2 R2 D B' D' R2
D L2 R2 D' B' D' R2
D2 L2 R2 B' D' L2 R2
D2 L2 R2 B' D' R2 L2
D L2 R2 D2 B' D' R2
D L2 R2 B' R D' R2
D L2 R2 B' R' D' R2
D L2 R2 B' R2 D' R2
D L2 R2 B' U' B2 U
D L2 R2 B' D' R2 D
D L2 R2 B' D' R2 D'
D L2 R2 B' D' R2 D2
D L2 U R U' B' R'
D L2 U D F' U' B'
D L2 U D' F' U' B'
D L2 U D2 F' U' B'
D L2 U F' R U' B'
D L2 U F' R' U' B'
D L2 U F' R2 U' B'
D L2 U F' U' D B'
D L2 U F' U' D' B'
D L2 U F' U' D2 B'
D L2 U F' U' B' D
D L2 U F' U' B' D'
D L2 U F' U' B' D2
D L2 U F' D U' B'
D L2 U F' D' U' B'
D L2 U F' D2 U' B'
B L2 U F' B U' B2
B L2 U B F' U' B2
U2 L2 U' F' B2 U' B
U2 L2 U' B2 F' U' B
F L2 U' F2 B2 U' F
F L2 U' B2 F2 U' F
U' L2 U2 F' B2 U' B
F L2 U2 D L2 F' R2
F L2 U2 D F' L2 R2
F L2 U2 D F' R2 L2
U' L2 U2 B2 F' U' B
F' L2 D R2 U' L2 F
D L2 D R2 B' D' R2
D L2 D U F' U' B'
B2 L2 D F' U' F B'
B2 L2 D F' U' B' F
F L2 D U2 L2 F' R2
F L2 D U2 F' L2 R2
F L2 D U2 F' R2 L2
F L2 D F' L2 R2 B'
F L2 D F' L2 B' R2
F L2 D F' R2 L2 B'
D L2 D B' U F' U'
F L2 D' L2 R2 B U2
D L2 D' R2 B' D' R2
D L2 D' U F' U' B'
F L2 D' R2 L2 B U2
F L2 D' R2 B L2 U2
B2 L2 D' F' U' F B'
B2 L2 D' F' U' B' F
D L2 D' B' U F' U'
D L2 D2 R2 B' D' R2
D L2 D2 U F' U' B'
B2 L2 D2 F' U' F B'
B2 L2 D2 F' U' B' F
D L2 D2 B' U F' U'
D L2 F D F' R2 B'
D L2 F D F' B' R2
D L2 F D B' F' R2
D L2 F B' D F' R2
B2 L2 F' R U' F B'
B2 L2 F' R U' B' F
B2 L2 F' R' U' F B'
B2 L2 F' R' U' B' F
B2 L2 F' R2 U' F B'
B2 L2 F' R2 U' B' F
B2 L2 F' U' D F B'
B2 L2 F' U' D B' F
B2 L2 F' U' D' F B'
B2 L2 F' U' D' B' F
B2 L2 F' U' D2 F B'
B2 L2 F' U' D2 B' F
B2 L2 F' U' F D B'
B2 L2 F' U' F D' B'
B2 L2 F' U' F D2 B'
B2 L2 F' U' F B' D
B2 L2 F' U' F B' D'
B2 L2 F' U' F B' D2
B2 L2 F' U' B' D F
B2 L2 F' U' B' D' F
B2 L2 F' U' B' D2 F
B2 L2 F' U' B' F D
B2 L2 F' U' B' F D'
B2 L2 F' U' B' F D2
B2 L2 F' D U' F B'
B2 L2 F' D U' B' F
B2 L2 F' D' U' F B'
B2 L2 F' D' U' B' F
B2 L2 F' D2 U' F B'
B2 L2 F' D2 U' B' F
B L2 F' B U' F B2
B L2 F' B U' B2 F
U L2 F' B2 L2 U' B
D L2 B U F' U' B2
B L2 B F' U' F B2
B L2 B F' U' B2 F
B2 L2 B' U F' B U'
B2 L2 B' U B F' U'
D L2 B' R2 U' B U
D L2 B' U D F' U'
D L2 B' U D' F' U'
D L2 B' U D2 F' U'
D L2 B' U F' U' D
D L2 B' U F' U' D'
D L2 B' U F' U' D2
D L2 B' U F' D U'
D L2 B' U F' D' U'
D L2 B' U F' D2 U'
B L2 B' U F' B2 U'
B L2 B' U B2 F' U'
D L2 B' D U F' U'
D L2 B' D' U F' U'
D L2 B' D2 U F' U'
D L2 B' F D F' R2
L2 U D F' U' B' L2
F' L2 B2 U F2 B U2
F' L2 B2 U B F2 U2
L U D F' R U' L2
F' L2 B2 D R2 U' F'
D L2 B2 U F' U' B
U L2 B2 L2 F' U' B
U L2 B2 F' L2 U' B
L2 U F' R B2 U' B
L2 U F' R' B2 U' B
L2 U F' R2 B2 U' B
L2 U F' U' D B' L2
L' U F' B' R' B' U'
L2 U F' D U' B' L2
L2 U F' B2 U' D B
L2 U F' B2 U' D' B
L2 U F' B2 U' D2 B
L2 U F' B2 U' B D
L2 U F' B2 U' B D'
L2 U F' B2 U' B D2
L2 U F' B2 D U' B
L2 U F' B2 D' U' B
L2 U F' B2 D2 U' B
F' R U' F D L2 B'
U R U' D L2 B' R'
F' R D R2 U' F L2
L' U B' F' R' B' U'
U R D U' L2 B' R'
L' U B2 D2 F' R U'
L2 U B2 D F' U' B
L2 U B2 D' F' U' B
L2 U B2 D2 F' U' B
L2 U B2 F' U' D B
L2 U B2 F' U' D' B
L2 U B2 F' U' D2 B
L2 U B2 F' U' B D
L2 U B2 F' U' B D'
L2 U B2 F' U' B D2
L2 U B2 F' D U' B
L2 U B2 F' D' U' B
L2 U B2 F' D2 U' B
L U B2 D F' R U'
F' R B2 U F2 U2 F'
F' R B2 U' D2 F B2
F' R B2 U' D2 B2 F
R2 U' D B U L2 B'
F' R B2 D R2 U' F
F' R B2 D2 U' F B2
F' R B2 D2 U' B2 F
U R B2 U F U2 R
D R' L2 D B R' B2
D R' L2 B2 D B R'
F' R' U' F D L2 B'
F' R' D R2 U' F L2
U2 R' D' R2 F L' U2
U2 R' D' F L' R2 U2
U2 R' D' F R2 L' U2
R' U2 D' R2 F L' U2
F' R' B2 U F2 U2 F'
R' U2 D' F L' R2 U2
R' U2 D' F R2 L' U2
F' R' B2 U' D2 F B2
F' R' B2 U' D2 B2 F
F' R' B2 D R2 U' F
F' R' B2 D2 U' F B2
F' R' B2 D2 U' B2 F
D2 R2 L2 B' D' L2 R2
D2 R2 L2 B' D' R2 L2
D R2 L2 U' B U B2
D R2 L2 D B' D' R2
D R2 L2 D' B' D' R2
D R2 L2 D2 B' D' R2
D R2 L2 B' R D' R2
D R2 L2 B' R' D' R2
D R2 L2 B' R2 D' R2
D R2 L2 B' U' B2 U
D R2 L2 B' D' R2 D
D R2 L2 B' D' R2 D'
D R2 L2 B' D' R2 D2
F' R2 U' F D L2 B'
D R2 U' B U L2 B'
F R2 U2 D L2 R2 F'
F' R2 D R2 U' F L2
F R2 U2 D R2 L2 F'
F R2 U2 D R2 F' L2
D2 R2 D' L2 B' D' R2
F R2 D R2 F' L2 B'
F R2 D U2 L2 R2 F'
F R2 D U2 R2 L2 F'
F R2 D U2 R2 F' L2
F R2 D B U2 L2 R2
F R2 D B U2 R2 L2
F R2 D' L2 R2 U2 F'
F R2 D' L2 B R2 U2
F R2 D' R2 L2 U2 F'
F R2 D' B L2 R2 U2
F R2 D' B R2 L2 U2
R' D L' B L' R' B'
R' D L' B R' L' B'
R' D L' B2 L' B' R'
R' D L2 R B R' B2
