F' D' R F2 L'
F' L D' R F2 L'
F' L' D' R F2 L'
F' L2 D' R F2 L'
B R2 F' U R B'
B R2 F' U B' R
F' D L2 R D2 F2
F' D L2 D2 R F2
F' D R L2 D2 F2
F' D' L R F2 L'
L' F' D' R F2 L'
F' D' L' R F2 L'
F' D' L2 R F2 L'
F' D' R L F2 L'
F' D' R L' F2 L'
F' D' R L2 F2 L'
L2 F' D' R F2 L'
F' D' R F2 L' D
F' D' R F2 L' D'
F' D' R F2 L' D2
F' D' R F2 D L'
F' D' R F2 D' L'
F' D' R F2 D2 L'
L F' D' R F2 L'
F D' R F2 L' R
F D' R F2 R L'
F D' F2 D2 L2 R
F D' F2 D2 R L2
U' B R2 F' U R
F' L D L2 R D2 F2
F' L D L2 D2 R F2
F' L D R L2 D2 F2
F' L D' L R F2 L'
F' L D' L' R F2 L'
F' L D' L2 R F2 L'
F' L D' R L F2 L'
F' L D' R L' F2 L'
F' L D' R L2 F2 L'
F' L D' R F2 L' D
F' L D' R F2 L' D'
F' L D' R F2 L' D2
F' L D' R F2 D L'
F' L D' R F2 D' L'
F' L D' R F2 D2 L'
F2 L F D' R F2 L'
F' L' D L2 R D2 F2
F' L' D L2 D2 R F2
F' L' D R L2 D2 F2
F L' D L2 D2 R2 F2
F L' D L2 D2 F2 R2
F' L' D' L R F2 L'
F' L' D' L' R F2 L'
F' L' D' L2 R F2 L'
F' L' D' R L F2 L'
F' L' D' R L' F2 L'
F' L' D' R L2 F2 L'
F' L' D' R F2 L' D
F' L' D' R F2 L' D'
F' L' D' R F2 L' D2
F' L' D' R F2 D L'
F' L' D' R F2 D' L'
F' L' D' R F2 D2 L'
F L' D B2 U2 L2 B2
F L' D B2 U2 B2 L2
F2 L' F D' R F2 L'
F' L2 D L2 R D2 F2
F' L2 D L2 D2 R F2
F' L2 D R L2 D2 F2
F L2 D L2 D2 F2 R
F' L2 D' L R F2 L'
F' L2 D' L' R F2 L'
F' L2 D' L2 R F2 L'
F' L2 D' R L F2 L'
F' L2 D' R L' F2 L'
F' L2 D' R L2 F2 L'
F' L2 D' R F2 L' D
F' L2 D' R F2 L' D'
F' L2 D' R F2 L' D2
F' L2 D' R F2 D L'
F' L2 D' R F2 D' L'
F' L2 D' R F2 D2 L'
D L2 D' F D' F2 R
D L2 D' F' D' R F2
D L2 D2 F' D F' R
F2 L2 F D' R F2 L'
R' U F' B2 L U' R
R2 U F' B2 U' R F
F' R U B2 U2 R U
F' R U' R U D L2
F' R U' R U2 B2 U'
F' R U' R D U L2
F' R U' R D2 F2 U
F' R U' D R U L2
F' R U' D2 R F2 U
F' R D L2 U' R U
R' U B2 L F' U' R
F' R D U' R U L2
R' U B2 F' L U' R
R2 U B2 F' U' R F
F' R D2 U' R F2 U
F2 R F D L2 R F'
F2 R F D R L2 F'
F2 R F D R F' L2
D' R F' D F' L' R
D' R F' D F' R L'
D' R F2 L' U F U'
F' R F2 L D L2 F2
F' R F2 L D F2 L2
F' R F2 U L' B2 U'
F' R F2 U B2 L' U'
R' U' D R' B U L2
F' R' U B2 L U' R2
F2 R' U B2 L F U'
L' U' B R2 F' U R
L2 U' B R2 F' U R
L U' B R2 F' U R
U' R' D R' B U L2
F' R' B2 L U' R2 B2
F' R' B2 L U' B2 R2
U' R2 U2 F' B2 U' R
U' R2 U2 B2 F' U' R
U' R2 D2 F2 B U R'
U' R2 D2 B F2 U R'
R' D L2 U' R' B U
U' R2 F D2 F2 U R
U' R2 F' U R D L2
U' R2 F' U D L2 R
U' R2 F' U D R L2
U' R2 F' U2 B2 U' R
U' R2 F' D U L2 R
U' R2 F' D U R L2
B2 R2 F' U R B2 L
B R2 F' U R D B'
B R2 F' U R D' B'
B R2 F' U R D2 B'
B R2 F' U R B' D
B R2 F' U R B' D'
B R2 F' U R B' D2
B R2 F' U R' B' R2
B R2 F' U D R B'
B R2 F' U D B' R
B R2 F' U D' R B'
B R2 F' U D' B' R
B R2 F' U D2 R B'
B R2 F' U D2 B' R
B R2 F' U B R B2
B R2 F' U B' R D
B R2 F' U B' R D'
B R2 F' U B' R D2
B R2 F' U B' D R
B R2 F' U B' D' R
B R2 F' U B' D2 R
B R2 F' D U R B'
B R2 F' D U B' R
B R2 F' D' U R B'
B R2 F' D' U B' R
B R2 F' D2 U R B'
B R2 F' D2 U B' R
B R2 F' B U R B2
B R2 F' B U B2 R
B R2 F' B2 U B R
R' D R' B U B' L2
B R2 B F' U R B2
B R2 B F' U B2 R
R' D U' R' B U L2
B R2 B2 F' U B R
B U R2 F' U R B'
