U R F L' F2 U' B
F' R' B L R2 U L'
F' R' B R2 L U L'
F U L' R F' U' B
D U R U' F' B R'
D U R U' B F' R'
F U R L' F' U' B
U D R U' F' B R'
U D R U' B F' R'
R' D2 B L R' U L'
R' D2 B R' L U L'
U F L' R F' U' B
U F R L' F' U' B
U2 F U' L' R F' U'
U2 F U' R L' F' U'
R2 F' R B L U L'
R' F' B L R U L'
R' F' B R L U L'
U F2 R F' L' U' B
D2 B L R' B' U L'
R' B L U D' L' F
R' B L D' U L' F
D2 B R' L B' U L'
D2 B U' L R' B' U
D2 B U' R' L B' U
R' B F' L R U L'
R' B F' R L U L'
D B' R D F' B2 R'
D B' R D B2 F' R'
D B' R F' D B2 R'
