R B R2 F' L' U'
B2 L R U2 B L U'
B2 L R' F R F2 U
B2 L R' F' U2 L' U'
B2 L R2 F R F' U
B2 L U L F' L' F2
B2 L U L2 F' L' F
B2 L U F' L F L2
B2 L U F2 L F L'
B2 L U' R B U2 L
B2 L U' R' U2 F' L'
B2 L U' B U2 L F
B2 L U' B' R' U2 F'
B2 L F R U2 B U'
B2 L F R' F' R2 U
L' R B R2 F' L' U'
L R B R2 F' L' U'
L2 R B R2 F' L' U'
R L B R2 F' L' U'
B2 L F' U2 L' B' U'
B2 L F2 R' F' R U
F' L' R B R2 F' U'
F' L' R' U2 F' B2 U
F' L' R' U2 B2 F' U
F' L' U2 B2 L F U
R L' B R2 F' L' U'
R L2 B R2 F' L' U'
F' L2 B2 L R' F' U
F' L2 B2 R' L F' U
F' L2 B2 R' F' L U
B2 R L U2 B L U'
F' R L' B R2 F' U'
F R U2 B R2 F' U'
F' R B L' R2 F' U'
D' R B R2 U' R' F'
F' R B R2 L' F' U'
F R B2 U2 R2 B' U'
F R B2 U2 B' R2 U'
F R B2 D2 L2 F U
B2 R' L F R F2 U
B2 R' L F' U2 L' U'
F' R' L' U2 F' B2 U
F' R' L' U2 B2 F' U
D' R' U2 F' U R' F'
F2 R' U2 F' R B2 U
F2 R' U2 F' B2 R U
F2 R' U2 B2 F' R U
F R' U2 F' R2 B2 U
F R' U2 F' B2 R2 U
F R' U2 B2 F' R2 U
B2 R' F L R F2 U
B2 R' F R L F2 U
B2 R' F R F2 L U
F R' D2 F2 L2 B' U'
B2 R' F' L U D F2
B2 R' F' L U2 L2 U'
B2 R' F' L D U F2
B2 R' F' L D2 R2 U
F2 R' F' R B2 L U
B2 R2 L F R F' U
R' U2 F' B' R' B' U
R U2 B L R2 F' U'
R U2 B R2 L F' U'
R U2 B R2 F' L U'
R' U2 B' F' R' B' U
R' U2 B2 D2 F' R U
B2 R2 F L R F' U
B2 R2 F R L F' U
B2 R2 F R F' L U
R' F R F2 B2 L U
R' F R B2 L F2 U
R' F R B2 F2 L U
B' U2 B' L R' F U
B' U2 B' L F R' U
B' U2 B' R' L F U
F U2 B2 L R F U
R' F U2 R F2 B2 U
R' F U2 R B2 F2 U
F U2 B2 R L F U
R' F U2 B2 R F2 U
R' F D2 F2 L' B2 U'
R' F D2 F2 B2 L' U'
R' F D2 B2 F2 L' U'
R F' L' B R2 F' U'
R F' B L' R2 F' U'
R F' B R2 L' F' U'
U F' B2 L U F L2
D2 F2 R' U2 F' R U
U F2 B2 L U F L'
R B L R2 F' L' U'
R B L' R2 F' L' U'
R B L2 R2 F' L' U'
R B R2 L F' L' U'
R B R2 L' F' L' U'
R B R2 L2 F' L' U'
B2 F L R U2 B U'
R B R2 D F' L' U'
B2 F L R' F' R2 U
R B R2 D' F' L' U'
R B R2 D2 F' L' U'
R B R2 F' L' U' D
R B R2 F' L' U' D'
R B R2 F' L' U' D2
R B R2 F' L' D U'
R B R2 F' L' D' U'
R B R2 F' L' D2 U'
R B R2 F' D L' U'
R B R2 F' D' L' U'
R B R2 F' D2 L' U'
B2 F R L U2 B U'
B2 F R' L F' R2 U
B2 F R' F' L R2 U
B2 F R' F' R2 L U
R B F' L' R2 F' U'
R B F' R2 L' F' U'
U2 B' R' B' L F U
R' B' U2 F' B' R' U
R' B' U2 B' F' R' U
U B2 L F' U L' F2
B2 F2 L R' F' R U
F2 B2 L R' F' R U
F B2 L R U2 B U'
F B2 L R' F' R2 U
B2 F2 R' L F' R U
F2 B2 R' L F' R U
F B2 R L U2 B U'
B2 F2 R' F' L R U
B2 F2 R' F' R L U
F2 B2 R' F' L R U
F2 B2 R' F' R L U
F B2 R' L F' R2 U
F B2 R' F' L R2 U
F B2 R' F' R2 L U
R B2 D2 L2 F R U
U B2 F' L U F L2
U B2 F2 L U F L'
