F' L' R B U' L
F' L' B R U' L
F' R L' B U' L
F' R B L' U' L2
F' B L' R U' L2
F' B R L' U' L2
B F' L' R U' L2
B F' R L' U' L2
F' L R B L2 U' L'
B L F' L' R U' L
B L F' R L' U' L
U L F' R B U' F2
F' L B L2 R U' L'
F' L B R L2 U' L'
F' L' R U2 F' U L'
F' L' R D B U' L
F' L' R D' B U' L
F' L' R D2 B U' L
F' L' R B U' L D
F' L' R B U' L D'
F' L' R B U' L D2
F' L' R B U' D L
F' L' R B U' D' L
F' L' R B U' D2 L
F' L' R B D U' L
F' L' R B D' U' L
F' L' R B D2 U' L
F' L' R B' U R' U2
F' L' R' B R2 U' L
F' L' U2 F' U L' B'
F' L' D R B U' L
F' L' D B R U' L
F' L' D' R B U' L
F' L' D' B R U' L
F' L' D2 R B U' L
F' L' D2 B R U' L
B L' F' L' R U' L'
B L' F' R L' U' L'
F' L' B R U' L D
F' L' B R U' L D'
F' L' B R U' L D2
F' L' B R U' D L
F' L' B R U' D' L
F' L' B R U' D2 L
F' L' B R D U' L
F' L' B R D' U' L
F' L' B R D2 U' L
F' L' B D R U' L
F' L' B D' R U' L
F' L' B D2 R U' L
F' L' B' R U R2 U2
F' L' B' R U' D2 L2
F' L' B' R D B2 U'
F' L' B' R D2 U' L2
F' L' B2 R B' U' L
F' R L B L2 U' L'
F' R L' U2 F' U L'
F' R L' D B U' L
F' R L' D' B U' L
F' R L' D2 B U' L
F' R L' B U' L D
F' R L' B U' L D'
F' R L' B U' L D2
F' R L' B U' D L
F' R L' B U' D' L
F' R L' B U' D2 L
F' R L' B D U' L
F' R L' B D' U' L
F' R L' B D2 U' L
F' R L' B' U R' U2
F' R D L' B U' L
F' R D B L' U' L2
F' R D' L' B U' L
F' R D' B L' U' L2
F' R D2 L' B U' L
F' R D2 B L' U' L2
F' R B L' U' L2 D
F' R B L' U' L2 D'
F' R B L' U' L2 D2
F' R B L' D' B2 U'
F' R B L' B U' L2
F' R B L' B' U' L2
F' R B L' B2 U' L2
F' R B U' L D F2
F' R B D L' U' L2
F' R B D' L' U' L2
F' R B D2 L' U' L2
F' R B' L' U R' U2
F' R B' L' B2 U' L
F' R B2 L' B' U' L
F' R' L' B R2 U' L
F' R' B L' R2 U' L2
F' R' B R2 L' U' L2
D' R2 B U L F B'
D' R2 B U L B' F
F U F2 L' R B U'
F U F2 R L' B U'
F U F2 R B L' U'
F' U' L' B' R U' R'
R2 D' B U L F B'
R2 D' B U L B' F
F U' F2 L' R B' U'
F U' F2 L' B' R U'
F U' F2 R L' B' U'
R2 F L' B R U L
R F L' R B U L
B U2 F' R U' L F
R F R L' B U L
R F R B L' U L2
F' D L' R B U' L
F' D L' B R U' L
F' D R L' B U' L
F' D R B L' U' L2
R2 F B L' R U L2
R2 F B R L' U L2
L' F' L' R B U' L
L2 F' L' R B U' L
D2 F' L' B R' U' L
U F' L R B U' F
L' F' L' B R U' L
L2 F' L' B R U' L
U2 F' L2 R U' L F
L F' L' R B U' L
U' F' R U B U2 L
L' F' R L' B U' L
L F' L' B R U' L
L2 F' R L' B U' L
U2 F' R L2 U' L F
L' F' R B L' U' L2
U2 F' R U' L F L2
U2 F' R B L U' L2
L2 F' R B L' U' L2
F' D B L' R U' L2
U F' R L B U' F
F' D B R L' U' L2
L F' R L' B U' L
U F' R B L U' F
L F' R B L' U' L2
F' D' L' R B U' L
F' D' L' B R U' L
F' D' R L' B U' L
F' D' R B L' U' L2
D2 F' B L' R' U' L2
D' F' B L' U' L2 B'
L' F' B L' R U' L2
D2 F' B R' L' U' L2
L' F' B R L' U' L2
U2 F' B L R U' L2
L2 F' B L' R U' L2
U2 F' B R L U' L2
L2 F' B R L' U' L2
L F' B L' R U' L2
L F' B R L' U' L2
B D' F' L' U' L2 B'
F' D' B L' R U' L2
F' D' B R L' U' L2
F' D2 L' R B U' L
F' D2 L' B R U' L
F' D2 R L' B U' L
F' D2 R B L' U' L2
U2 B L F' R U' L'
F' D2 B L' R U' L2
F' D2 B R L' U' L2
R2 B U D' L F B'
R2 B U D' L B' F
F' B L' R U' L2 D
F' B L' R U' L2 D'
F' B L' R U' L2 D2
F' B L' R D' B2 U'
F' B L' R B U' L2
F' B L' R B' U' L2
F' B L' R B2 U' L2
F' B L' D' R B2 U'
F' B L' D' B2 R U'
F' B L' B R U' L2
F' B L' B' R U' L2
F' B L' B2 R U' L2
F' B R L' U' L2 D
F' B R L' U' L2 D'
F' B R L' U' L2 D2
F' B R L' D' B2 U'
F' B R L' B U' L2
F' B R L' B' U' L2
F' B R L' B2 U' L2
F' B R U' L D F2
F' B R D L' U' L2
F' B R D' L' U' L2
F' B R D2 L' U' L2
R2 B D' U L F B'
R2 B D' U L B' F
D2 B F' L' R' U' L2
D' B F' L' U' L2 B'
L' B F' L' R U' L2
D2 B F' R' L' U' L2
L' B F' R L' U' L2
R2 B F L' R U L2
R2 B F R L' U L2
U2 B F' L R U' L2
L2 B F' L' R U' L2
U2 B F' R L U' L2
L2 B F' R L' U' L2
L B F' L' R U' L2
L B F' R L' U' L2
F' B D L' R U' L2
F' B D R L' U' L2
F' B D' L' R U' L2
F' B D' R L' U' L2
F' B D2 L' R U' L2
F' B D2 R L' U' L2
B' F' L' R U R2 U2
B' F' L' R U' D2 L2
B' F' L' R D B2 U'
B' F' L' R D2 U' L2
F' B' L' R U R2 U2
F' B' L' R U' D2 L2
F' B' L' R D B2 U'
F' B' L' R D2 U' L2
B2 F' L' R B' U' L
B' F' L' B2 R U' L
F' B' L' B2 R U' L
B2 F' L' B' R U' L
B F' L' R U' L2 D
B F' L' R U' L2 D'
B F' L' R U' L2 D2
B F' L' R D' B2 U'
B F' L' R B U' L2
B F' L' R B' U' L2
B F' L' R B2 U' L2
B F' L' D' R B2 U'
B' F' R L' U R2 U2
B' F' R L' U' D2 L2
B' F' R L' D B2 U'
B' F' R L' D2 U' L2
B F' L' D' B2 R U'
B' F' R D L' B2 U'
B F' L' B R U' L2
B' F' R D B2 L' U'
B F' L' B' R U' L2
F' B' R L' U R2 U2
F' B' R L' U' D2 L2
F' B' R L' D B2 U'
F' B' R L' D2 U' L2
B' F' R D2 L' U' L'
B F' L' B2 R U' L2
B2 F' R L' B' U' L
F' B' R D L' B2 U'
F' B' R D B2 L' U'
F' B' R D2 L' U' L'
B2 F' R B' L' U' L2
B F' R L' U' L2 D
B F' R L' U' L2 D'
B F' R L' U' L2 D2
B F' R L' D' B2 U'
B F' R L' B U' L2
B F' R L' B' U' L2
B F' R L' B2 U' L2
B F' R U' L D F2
B F' R D L' U' L2
B F' R D' L' U' L2
B F' R D2 L' U' L2
B F' D L' R U' L2
B F' D R L' U' L2
B F' D' L' R U' L2
B F' D' R L' U' L2
B F' D2 L' R U' L2
B F' D2 R L' U' L2
F' B2 L' R B' U' L
F' B2 L' B' R U' L
F' B2 R L' B' U' L
F' B2 R B' L' U' L2
