D R' F B
D R' B F
D F R' B
F R' U' L' U
D R' D F B
D R' D B F
D R' D' F B
D R' D' B F
D R' D2 F B
D R' D2 B F
D R' F D B
D R' F D' B
D R' F D2 B
D R' F B D
D R' F B D'
D R' F B D2
F' R' F2 D B2
D R' B D F
D R' B D' F
D R' B D2 F
D R' B F D
D R' B F D'
D R' B F D2
F U' L' U R'
R' F U' L' U
D F R' D B
D F R' D' B
D F R' D2 B
D F R' B D
D F R' B D'
D F R' B D2
D' F D2 R' B
D2 F D' R' B
D F' R' F2 B
D F' R' B F2
F L R' D' L' B2
F L R' D' B2 L'
D L R' B L' F
D' L R' B' L' F
D' L R' B' L' F
F L D' L' R' B2
F L D' R' L' B2
F L D' R' B2 L'
L' R' D' L F B'
L' R' D' L B' F
R' L' D' L F B'
R' L' D' L B' F
F R U' L' U R2
D R F R2 D2 B2
F' R F2 R2 D B2
D R B R2 F B
D R B R2 B F
D R B' R2 F B
D R B' R2 B F
D R B2 R2 F B
D R B2 R2 B F
D' R' L B' L' F
D R' L B L' F
F R' L D' L' B2
F R' L D' B2 L'
F' R' U R2 U' F2
F R' U' L' U D
F R' U' L' U D'
F R' U' L' U D2
F R' U' L' D U
F R' U' L' D' U
F R' U' L' D2 U
F R' U' D L' U
F R' U' D' L' U
F R' U' D2 L' U
F' R' D B2 D' F2
D R' D F D B
D R' D F D' B
D R' D F D2 B
D R' D F B D
D R' D F B D'
D R' D F B D2
D R' D B D F
D R' D B D' F
D R' D B D2 F
D R' D B F D
D R' D B F D'
D R' D B F D2
F R' D U' L' U
D R' D' F D B
D R' D' F D' B
D R' D' F D2 B
D R' D' F B D
D R' D' F B D'
D R' D' F B D2
D R' D' B D F
D R' D' B D' F
D R' D' B D2 F
D R' D' B F D
D R' D' B F D'
D R' D' B F D2
F R' D' U' L' U
D' R' F L B' L'
F' R' F D F B2
F' R' F D B2 F
D R' D2 F D B
D R' D2 F D' B
D R' D2 F D2 B
D R' D2 F B D
D R' D2 F B D'
D R' D2 F B D2
D R' D2 B D F
D R' D2 B D' F
D R' D2 B D2 F
D R' D2 B F D
D R' D2 B F D'
D R' D2 B F D2
F R' D2 U' L' U
D R' F L B L'
D R' F L2 B L2
F' R' F' D F' B2
F' R' F' D B2 F'
D R' F D B D
D R' F D B D'
D R' F D B D2
D R' F D' B D
D R' F D' B D'
D R' F D' B D2
D R' F D2 B D
D R' F D2 B D'
D R' F D2 B D2
D R' F B2 D B'
D R' F B2 D' B'
D R' F B2 D2 B'
F' R' F2 U R2 U'
F' R' F2 D B2 D
F' R' F2 D B2 D'
F' R' F2 D B2 D2
F' R' F2 B D B2
F' R' F2 B' D B2
F' R' F2 B2 D B2
F' R' B F2 D B2
D R' F2 D F' B
D R' F2 D B F'
D R' F2 D' F' B
D R' F2 D' B F'
D R' F2 D2 F' B
D R' F2 D2 B F'
D R' F2 B D F'
D R' F2 B D' F'
D R' F2 B D2 F'
D R' B R F R'
D R' B R2 F R2
F' R' B' F2 D B2
D R' B D F D
D R' B D F D'
D R' B D F D2
F R' B U' L' U
D R' B D' F D
D R' B D' F D'
D R' B D' F D2
D R' B D2 F D
D R' B D2 F D'
D R' B D2 F D2
D R' B F2 D F'
D R' B F2 D' F'
D R' B F2 D2 F'
F' R' B2 F2 D B2
F R' B' U' L' U
D R' B2 D F B'
D R' B2 D B' F
D R' B2 D' F B'
D R' B2 D' B' F
F R' B2 U' L' U
D R' B2 D2 F B'
D R' B2 D2 B' F
D R' B2 F D B'
D R' B2 F D' B'
D R' B2 F D2 B'
L' D L R' F B
L' D L R' B F
F R2 U' L' U R
L' D L F R' B
D R2 D R F B
D R2 D R B F
D R2 D' R F B
D R2 D' R B F
L' D R' L F B
L' D R' L B F
D R2 D2 R F B
D R2 D2 R B F
R' D R' B R F
R2 D R F D2 B2
R2 D R' F B R2
R2 D R' B R2 F
R2 D R' B F R2
D R2 B R F B
D R2 B R B F
D R2 B' R F B
D R2 B' R B F
R' D F R' B R
D R2 B2 R F B
D R2 B2 R B F
F' U R U' R2 F2
F' U R U' F2 R2
L' D' L R' F B'
L' D' L R' B' F
L' D' L F R' B'
R' D' L B' L' F
L' D' R' L F B'
L' D' R' L B' F
F U F2 R U' R2
R' D' F L B' L'
F U' L' U R' D
F U' L' U R' D'
F U' L' U R' D2
F U' L' U D R'
F U' L' U D' R'
F U' L' U D2 R'
F U' L' D U R'
F U' L' D' U R'
F U' L' D2 U R'
F U' D L' U R'
F U' D' L' U R'
F U' D2 L' U R'
R' F L D' L' B2
R' F L D' B2 L'
D' F L R' B' L'
D F L R' B L'
D F L2 R' B L2
D' F R' L B' L'
D F R B R2 B
D F R B' R2 B
D F R B2 R2 B
D F R' L B L'
D F R' L B L'
D F R' L2 B L2
R' F U' L' U D
R' F U' L' U D'
R' F U' L' U D2
R' F U' L' D U
R' F U' L' D' U
R' F U' L' D2 U
D F R' D B D
D F R' D B D'
D F R' D B D2
D F R' D' B D
D F R' D' B D'
D F R' D' B D2
D F R' D2 B D
D F R' D2 B D'
D F R' D2 B D2
R' F U' D L' U
R' F U' D' L' U
R' F U' D2 L' U
D F R' B2 D B'
D F R' B2 D' B'
D F R' B2 D2 B'
D F R2 D R B
D F R2 D' R B
D F R2 D2 R B
D F R2 B R B
D F R2 B' R B
D F R2 B2 R B
R F R2 U' L' U
R' F D U' L' U
R' F D' U' L' U
R F U' L' U R2
R' F D2 U' L' U
D2 F D' R' D B
D2 F D' R' D' B
D2 F D' R' D2 B
D2 F D' R' B D
D2 F D' R' B D
D2 F D' R' B D'
D2 F D' R' B D2
R' F B U' L' U
D' F D2 R' D B
D' F D2 R' D' B
D' F D2 R' D2 B
D' F D2 R' B D
D' F D2 R' B D'
D' F D2 R' B D2
R' F B' U' L' U
R' F B2 U' L' U
F D R' U' L' U
D F B' R' B R'
F D U' L' U R'
B2 D F B2 R' B
B D F B' R' B
R' F' U R U' F2
U F' R U' R2 F2
U F' R U' F2 R2
D F' R' F2 D B
D F' R' F2 D' B
D F' R' F2 D2 B
D F' R' F2 B D
D F' R' F2 B D'
D F' R' F2 B D2
D F' R' B F2 D
D F' R' B F2 D'
D F' R' B F2 D2
B2 D B2 R' F B
B2 D B2 R' B F
B D B' R' F B
B D B' R' B F
B2 D B2 F R' B
B D B' F R' B
F' D' R' D F2 B2
F' D' R' D B2 F2
F D' R' U' L' U
F D' U' L' U R'
D2 F2 D' F' R' B
D2 F2 D' F' R' B
D' F2 D2 F' R' B
F D2 R' U' L' U
F D2 U' L' U R'
R' B F U' L' U
B F U' L' B' U
F B U' L' B' U
D B' R' F B R'
D B' R' B R' F
D B' R' B F R'
R' B' F U' L' U
D B' F R' B R'
R' B2 F U' L' U
F' L R U' L' R2 F2
F' L R U' L' F2 R2
F' L R U' R2 L' F2
D' L R B' L' R2 F
D' L R B' L' F R2
D' L R B' R2 L' F
F L R' U' L2 U L
F L R' D L' D2 B2
F L R' D' L B2 L2
F L R' D' L' B2 D
F L R' D' L' B2 D'
F L R' D' L' B2 D2
F L R' D' B L' B
F L R' D' B2 L' D
F L R' D' B2 L' D'
F L R' D' B2 L' D2
F L R' D' B2 D L'
F L R' D' B2 D' L'
F L R' D' B2 D2 L'
F L R' D2 L' D B2
D' L R' B L' F B2
D' L R' B L' B2 F
D' L R' B' L' D F
D' L R' B' L' D' F
D' L R' B' L' D2 F
D' L R' B' L' F D
D' L R' B' L' F D'
D' L R' B' L' F D2
D L R' B L' D F
D L R' B L' D' F
D L R' B L' D2 F
D L R' B L' F D
D L R' B L' F D'
D L R' B L' F D2
D' L R' B2 L' F B
D' L R' B2 L' B F
F L R' B D' L' B2
F L R' B D' B2 L'
D L R' B' L' F B2
D L R' B' L' B2 F
F L R' B' D' L' B2
F L R' B' D' B2 L'
F L R' B2 D' L' B2
F L R' B2 D' B2 L'
F L R2 D' L' R B2
F L R2 D' L' B2 R
F L R2 D' R L' B2
F L R2 D' R B2 L'
F L R2 D' B2 L' R
F L R2 D' B2 R L'
D' L R2 B' L' R F
D' L R2 B' R L' F
F2 L U L' F' R' B'
D L U L' R' F B
D L U L' R' B F
D L U L' F R' B
D' L U R' B' L' F
D L U R' L' F B
D L U R' L' B F
D L U R' B L' F
D L U' L' R' F B
D L U' L' R' B F
D L U' L' F R' B
F L U' L2 U L R'
F L U' L2 U R' L
D' L U' R' B' L' F
D L U' R' L' F B
D L U' R' L' B F
D L U' R' B L' F
D L U2 L' R' F B
D L U2 L' R' B F
D L U2 L' F R' B
D' L U2 R' B' L' F
D L U2 R' L' F B
D L U2 R' L' B F
D L U2 R' B L' F
F L D L' R' D2 B2
F L D L' D2 R' B2
F L D R' L' D2 B2
F L D R' D2 L' B2
F L D R' D2 B2 L'
F L D' L R' B2 L2
F L D' L' R B2 R2
F L D' L' R' B2 D
F L D' L' R' B2 D'
F L D' L' R' B2 D2
F L D' L' R2 B2 R
F L D' R L' B2 R2
F L D' R B2 L' R2
F L D' R B2 R2 L'
F L D' R' L B2 L2
F L D' R' L' B2 D
F L D' R' L' B2 D'
F L D' R' L' B2 D2
F L D' R' B L' B
F L D' R' B2 L' D
F L D' R' B2 L' D'
F L D' R' B2 L' D2
F L D' R' B2 D L'
F L D' R' B2 D' L'
F L D' R' B2 D2 L'
F L D' R2 L' B2 R
F L D' R2 B2 L' R
F L D' R2 B2 R L'
F L D' B2 L' D2 R2
F L D2 L' D R' B2
F L B2 D' B2 L' R'
F L B2 D' B2 R' L'
F' L' R U' L R2 F2
F' L' R U' L F2 R2
F' L' R U' R2 L F2
F' L' R U' R2 F2 L
F' L' R U' F2 L R2
F' L' R U' F2 R2 L
D2 L' R' D L F B'
D2 L' R' D L B' F
D L' R' D L F B
D L' R' D L B F
D L' R' D' L F B
D L' R' D' L B F
D L' R' D2 L F B
D L' R' D2 L B F
R' L' D' L D F B'
R' L' D' L D B' F
R' L' D' L D' F B'
R' L' D' L D' B' F
R' L' D' L D2 F B'
R' L' D' L D2 B' F
R' L' D' L F D B'
R' L' D' L F D' B'
R' L' D' L F D2 B'
R' L' D' L F B' D
R' L' D' L F B' D'
R' L' D' L F B' D2
F' L' R' F2 L D B2
L' R' D' L D F B'
L' R' D' L D B' F
L' R' D' L D' F B'
L' R' D' L D' B' F
R' L' D' L B' D F
R' L' D' L B' D' F
R' L' D' L B' D2 F
R' L' D' L B' F D
R' L' D' L B' F D'
R' L' D' L B' F D2
L' R' D' L D2 F B'
L' R' D' L D2 B' F
L' R' D' L F D B'
L' R' D' L F D' B'
L' R' D' L F D2 B'
L' R' D' L F B' D
L' R' D' L F B' D'
L' R' D' L F B' D2
D L' R' F L F B
D L' R' F L B F
F' L' R' F2 D L B2
L' R' D' L B' D F
L' R' D' L B' D' F
L' R' D' L B' D2 F
L' R' D' L B' F D
L' R' D' L B' F D'
L' R' D' L B' F D2
D L' R' F' L F B
D L' R' F' L B F
D L' R' F2 L F B
D L' R' F2 L B F
R2 L' D' L R F B'
R2 L' D' L R B' F
R2 L' D' L B' R F
R2 L' D' R L F B'
R2 L' D' R L B' F
R' L' D' F L F B'
R' L' D' F L B' F
L' R' D' F L F B'
L' R' D' F L B' F
R' L' D' F' L F B'
R' L' D' F' L B' F
L' R' D' F' L F B'
L' R' D' F' L B' F
R' L' D' F2 L F B'
R' L' D' F2 L B' F
L' R' D' F2 L F B'
L' R' D' F2 L B' F
R' L' F L D' F B2
R' L' F L D' B2 F
R' L' F L F D' B2
L' R' F L D' F B2
L' R' F L D' B2 F
L' R' F L F D' B2
D L' U2 L R' F' B
D L' U2 L R' B F'
D L' U2 R' L F' B
D L' U2 R' L B F'
D L' U2 R' F' L B
U2 L' U2 D R' F' B
U2 L' U2 D R' B F'
D2 L' D L R' F B'
D2 L' D L R' B' F
D2 L' D L F R' B'
D2 L' D R' L F B'
D2 L' D R' L B' F
U2 L' D U2 R' F' B
U2 L' D U2 R' B F'
D2 L' D' L R' F B
D2 L' D' L R' B F
D2 L' D' L F R' B
D2 L' D' R' L F B
D2 L' D' R' L B F
B L' D' L F B' R'
B L' D' L B' R' F
B L' D' L B' F R'
D L' D2 L R' F B'
D L' D2 L R' B' F
D L' D2 L F R' B'
D L' D2 R' L F B'
D L' D2 R' L B' F
D L' F L R' F B
D L' F L R' B F
D L' F L F R' B
D' L' F U2 L R' F'
D' L' F U2 R' L F'
D' L' F U2 R' F' L
D L' F R' L F B
D L' F R' L B F
F L' F U L F' R'
F L' F U F' L R'
F L' F U F' R' L
F2 L' F' L R' D' B2
F2 L' F' L D' R' B2
D L' F' L R' F B
D L' F' L R' B F
D L' F' L F R' B
F2 L' F' R' L D' B2
D L' F' R' L F B
D L' F' R' L B F
F L' F' U R' F L
F L' F' U F L R'
F L' F' U F R' L
F' L' F2 L R' D' B2
F' L' F2 L D' R' B2
F' L' F2 R' L D' B2
D L' F2 L R' F B
D L' F2 L R' B F
D L' F2 L F R' B
D L' F2 R' L F B
D L' F2 R' L B F
F L' F2 U L R' F2
F L' F2 U L F2 R'
F L' F2 U R' L F2
F L' F2 U R' F2 L
F L' F2 U F2 L R'
F L' F2 U F2 R' L
L' R2 D' L R F B'
L' R2 D' L R B' F
L' R2 D' L B' R F
L' R2 D' R L F B'
L' R2 D' R L B' F
F' L2 R U' L2 R2 F2
F' L2 R U' L2 F2 R2
F' L2 R U' R2 L2 F2
F' L2 R U' R2 F2 L2
F' L2 R U' F2 L2 R2
F' L2 R U' F2 R2 L2
F L2 R' U' L U L
F' L2 R' F2 L2 D B2
D L2 R' F L2 F B
D L2 R' F L2 B F
D L2 R' F' L2 F B
D L2 R' F' L2 B F
D L2 R' F2 L2 F B
D L2 R' F2 L2 B F
D L2 R' B L2 D2 F2
D L2 U L2 R' F B
D L2 U L2 R' B F
D L2 U L2 F R' B
D L2 U R' L2 F B
D L2 U R' L2 B F
D L2 U' L2 R' F B
D L2 U' L2 R' B F
F L2 U' L U L R'
F L2 U' L U R' L
D L2 U' L2 F R' B
D L2 U' R' L2 F B
D L2 U' R' L2 B F
D L2 U2 L2 R' F B
D L2 U2 L2 R' B F
D L2 U2 L2 F R' B
D L2 U2 R' L2 F B
D L2 U2 R' L2 B F
L U L' D R' F B
L U L' D R' B F
L U L' D F R' B
D L2 F L2 R' F B
D L2 F L2 R' B F
D L2 F L2 F R' B
D L2 F R' L2 F B
D L2 F R' L2 B F
L2 U L2 D R' F B
L2 U L2 D R' B F
L2 U L2 D F R' B
D L2 F' L2 R' F B
D L2 F' L2 R' B F
D L2 F' L2 F R' B
D L2 F' R' L2 F B
D L2 F' R' L2 B F
D L2 F2 L2 R' F B
D L2 F2 L2 R' B F
D L2 F2 L2 F R' B
D L2 F2 R' L2 F B
D L2 F2 R' L2 B F
R' U D R' U' F B
R' U D R' U' B F
F' R L U' L' R2 F2
F' R L U' L' F2 R2
F' R L U' R2 L' F2
D' R L B' L' R2 F
D' R L B' L' F R2
D' R L B' R2 L' F
F' R L' U' L R2 F2
F' R L' U' L F2 R2
F' R L' U' R2 L F2
F' R L' U' R2 F2 L
F' R L' U' F2 L R2
F' R L' U' F2 R2 L
F' R L2 U' L2 R2 F2
F' R L2 U' L2 F2 R2
