U' R B U B'
U' L R B U B'
U' L' R B U B'
F2 L' F' U' L R
F2 L' F' U' R L
U' L2 R B U B'
U' R L B U B'
U' R L' B U B'
U' R L2 B U B'
U' R D B U B'
U' R D' B U B'
U' R D2 B U B'
U' R B U D B'
U' R B U D' B'
U' R B U D2 B'
U' R B U B' D
U' R B U B' D'
U' R B U B' D2
U' R B D U B'
U' R B D' U B'
U' R B D2 U B'
U' D R B U B'
U' D' R B U B'
D2 U' R B U B'
D' U' R B U B'
D U' R B U B'
B2 U' R B U B'
B' U' R B U B'
B U' R B U B'
U' D2 R B U B'
F2 D' L' F U' L
U' B R B U B2
U' B R B U B2
U' B2 R B U B
U' L R D B U B'
U' L R D' B U B'
U' L R D2 B U B'
U' L R B U D B'
U' L R B U D' B'
U' L R B U D2 B'
U' L R B U B' D
U' L R B U B' D'
U' L R B U B' D2
U' L R B D U B'
U' L R B D' U B'
U' L R B D2 U B'
U2 L U L' R B U
U2 L U R L' B U
U2 L U R B L' U
F L U' L' D R F'
F L U' R D' L' F
F L U' D L' R F'
F L U' D R L' F'
F L U' D' L' R F
F L U' D' R L' F
U' L D R B U B'
F L D U' L' R F'
F L D U' R L' F'
U' L D' R B U B'
F L D' U' L' R F
F L D' U' R L' F
U' L D2 R B U B'
U' L B R B U B2
U' L B2 R B U B
U' L' R D B U B'
U' L' R D' B U B'
U' L' R D2 B U B'
U' L' R B U D B'
U' L' R B U D' B'
U' L' R B U D2 B'
U' L' R B U B' D
U' L' R B U B' D'
U' L' R B U B' D2
U' L' R B D U B'
U' L' R B D' U B'
U' L' R B D2 U B'
U2 L' U L R B U
U2 L' U R L B U
F2 L' U' L F' R F
F L' U' L D R F'
F L' U' D L R F'
F L' U' D R L F'
F L' U' D R F' L
F2 L' U' F' R F L
U L' U2 R B' U B
F2 L' U2 F' U L R
F2 L' U2 F' U R L
U' L' D R B U B'
F L' D U' L R F'
F L' D U' R L F'
F L' D U' R F' L
U' L' D' R B U B'
U' L' D2 R B U B'
F2 L' F U L' U2 L2
F2 L' F U' L D2 R2
F2 L' F' U' L R D
F2 L' F' U' L R D'
F2 L' F' U' L R D2
F2 L' F' U' L D R
F2 L' F' U' L D' R
F2 L' F' U' L D2 R
F2 L' F' U' R L D
F2 L' F' U' R L D'
F2 L' F' U' R L D2
F2 L' F' U' R D L
F2 L' F' U' R D' L
F2 L' F' U' R D2 L
F2 L' F' U' D L R
F2 L' F' U' D R L
F2 L' F' U' D' L R
F2 L' F' U' D' R L
F2 L' F' U' D2 L R
F2 L' F' U' D2 R L
F2 L' F' D U' L R
F2 L' F' D U' R L
F2 L' F' D' U' L R
F2 L' F' D' U' R L
F2 L' F' D2 U' L R
F2 L' F' D2 U' R L
U' L' B R B U B2
U' L' B2 R B U B
U' L2 R D B U B'
U' L2 R D' B U B'
U' L2 R D2 B U B'
U' L2 R B U D B'
U' L2 R B U D' B'
U' L2 R B U D2 B'
U' L2 R B U B' D
U' L2 R B U B' D'
U' L2 R B U B' D2
U' L2 R B D U B'
U' L2 R B D' U B'
U' L2 R B D2 U B'
F' L2 U L U2 F L
U2 L2 U L2 R B U
U2 L2 U R L2 B U
U2 L2 U R B L2 U
F L2 U' L2 D R F'
U' L2 D R B U B'
U' L2 D' R B U B'
F' L2 D' B2 U' R' F'
R U L R' F U' F'
U' L2 D2 R B U B'
F2 L2 F' L U' L R
F2 L2 F' L U' R L
R' U R U2 R B U
R U R' L F U' F'
U' L2 B R B U B2
R U R' F' U' F R
R2 U R2 U2 R B U
U' L2 B2 R B U B
F' L2 B2 U' L2 R' F'
F' L2 B2 U' R' L2 F'
F' L2 B2 U' R' F' L2
U' R L D B U B'
U' R L D' B U B'
U' R L D2 B U B'
U' R L B U D B'
U' R L B U D' B'
U' R L B U D2 B'
U' R L B U B' D
U' R L B U B' D'
U' R L B U B' D2
U' R L B D U B'
U' R L B D' U B'
U' R L B D2 U B'
U' R L' D B U B'
U' R L' D' B U B'
U' R L' D2 B U B'
U' R L' B U D B'
U' R L' B U D' B'
U' R L' B U D2 B'
U' R L' B U B' D
U' R L' B U B' D'
U' R L' B U B' D2
U' R L' B D U B'
U' R L' B D' U B'
U' R L' B D2 U B'
U' R L2 D B U B'
U' R L2 D' B U B'
U' R L2 D2 B U B'
U' R L2 B U D B'
U' R L2 B U D' B'
U' R L2 B U D2 B'
U' R L2 B U B' D
U' R L2 B U B' D'
U' R L2 B U B' D2
U' R L2 B D U B'
U' R L2 B D' U B'
U' R L2 B D2 U B'
R U F' R' U' F R
U' R D L B U B'
U' R D L' B U B'
U' R D L2 B U B'
U' R D B U D B'
U' R D B U D' B'
U' R D B U D2 B'
U' R D B U B' D
U' R D B U B' D'
U' R D B U B' D2
U' R D B D U B'
U' R D B D' U B'
U' R D B D2 U B'
U' R D' L B U B'
U' R D' L' B U B'
U' R D' L2 B U B'
U' R D' B U D B'
U' R D' B U D' B'
U' R D' B U D2 B'
U' R D' B U B' D
U' R D' B U B' D'
U' R D' B U B' D2
U' R D' B D U B'
U' R D' B D' U B'
U' R D' B D2 U B'
U' R D2 L B U B'
U' R D2 L' B U B'
U' R D2 L2 B U B'
U' R D2 B U D B'
U' R D2 B U D' B'
U' R D2 B U D2 B'
U' R D2 B U B' D
U' R D2 B U B' D'
U' R D2 B U B' D2
U' R D2 B D U B'
U' R D2 B D' U B'
U' R D2 B D2 U B'
F R F U L' R' U'
F R F U R' L' U'
L' U' R B U B' L
L2 U' R B U B' L2
L U' R B U B' L'
U' R B L2 U' F U2
R2 U' R' U2 F' R' U'
U' R B U R' B' R
U' R B U R2 B' R2
U' R B U D B' D
U' R B U D B' D'
U' R B U D B' D2
U' R B U D' B' D
U' R B U D' B' D'
U' R B U D' B' D2
U' R B U D2 B' D
U' R B U D2 B' D'
U' R B U D2 B' D2
U' R B U B2 D B
U' R B U B2 D' B
U' R B U B2 D2 B
U' R B U' F U2 B'
U' R B U' F' U2 B'
U' R B U' F2 U2 B'
U' R B U2 R U' B'
U' R B U2 R' U' B'
U' R B U2 R2 U' B'
U' R B D U B' D
U' R B D U B' D'
U' R B D U B' D2
U' R B D' U B' D
U' R B D' U B' D'
U' R B D' U B' D2
U' R B D2 U B' D
U' R B D2 U B' D'
U' R B D2 U B' D2
U' R B' L B2 U B'
U' R B' L' B2 U B'
U' R B' L2 B2 U B'
U' R B' U D' B R2
U' R B' D' U B R2
U' R B2 D B' L2 U
L2 U2 R B' U L2 R'
L2 U2 R B' U R' L2
L U2 R B' U L' R'
L U2 R B' U R' L'
U' R' B R2 B U B2
U' R' B2 R2 B U B
L2 U2 B' R U L2 R2
L2 U2 B' R U R2 L2
L U2 B' R U L' R2
L U2 B' R U R2 L'
F R2 D R F' R2 B2
F R2 D R F' B2 R2
F R2 D R B2 F' R2
F2 R2 F' D R F' B2
F2 R2 F' D R B2 F'
F2 R2 F' D B2 R F'
F' R2 F2 D R F' B2
F' R2 F2 D R B2 F'
F' R2 F2 D B2 R F'
U' D L R B U B'
U' D L' R B U B'
F' U L' B' U' B U'
R2 D F R B2 D' F2
U' D L2 R B U B'
U' D R L B U B'
U' D R L' B U B'
U' D R L2 B U B'
U' D R D B U B'
U' D R D' B U B'
U' D R D2 B U B'
U' D R B U D B'
U' D R B U D' B'
U' D R B U D2 B'
U' D R B U B' D
U' D R B U B' D'
U' D R B U B' D2
U' D R B D U B'
U' D R B D' U B'
U' D R B D2 U B'
R2 D B2 U L F U'
U' D B R B U B2
U' D B2 R B U B
D' U' L R B U B'
U' D' L R B U B'
D2 U' L R B U B'
D' U' L' R B U B'
U' D' L' R B U B'
D2 U' L' R B U B'
D U' L R B U B'
U' D' L2 R B U B'
D' U' L2 R B U B'
D2 U' L2 R B U B'
D U' L' R B U B'
B' U' L R B U B'
B2 U' L R B U B'
U' D' R L B U B'
D' U' R L B U B'
U' D' R L' B U B'
D' U' R L' B U B'
U' D' R L2 B U B'
D' U' R L2 B U B'
D2 U' R L B U B'
D U' L2 R B U B'
D2 U' R L' B U B'
D2 U' R L2 B U B'
U' D' R D B U B'
D' U' R D B U B'
D' U' R D' B U B'
U' D' R D' B U B'
D2 U' R D B U B'
D' U' R D2 B U B'
U' D' R D2 B U B'
D2 U' R D' B U B'
B' U' L' R B U B'
D2 U' R D2 B U B'
B U' L R B U B'
U' D' R B U D B'
U' D' R B U D' B'
U' D' R B U D2 B'
D' U' R B U D B'
D' U' R B U D' B'
D' U' R B U D2 B'
U' D' R B U B' D
U' D' R B U B' D'
U' D' R B U B' D2
D' U' R B U B' D
D' U' R B U B' D'
D' U' R B U B' D2
U' D' R B D U B'
D' U' R B D U B'
U' D' R B D' U B'
D' U' R B D' U B'
U' D' R B D2 U B'
D' U' R B D2 U B'
D2 U' R B U D B'
D2 U' R B U D' B'
D2 U' R B U D2 B'
D2 U' R B U B' D
D2 U' R B U B' D'
D2 U' R B U B' D2
D2 U' R B D U B'
D2 U' R B D' U B'
D2 U' R B D2 U B'
B2 U' L' R B U B'
D U' R L B U B'
D U' R L' B U B'
D U' R L2 B U B'
D U' R D B U B'
D U' R D' B U B'
B' U' L2 R B U B'
D U' R D2 B U B'
B U' L' R B U B'
B2 U' L2 R B U B'
D U' R B U D B'
D U' R B U D' B'
D U' R B U D2 B'
D U' R B U B' D
D U' R B U B' D'
D U' R B U B' D2
D U' R B D U B'
D U' R B D' U B'
D U' R B D2 U B'
B' U' R L B U B'
B' U' R L' B U B'
B U' L2 R B U B'
B' U' R L2 B U B'
B2 U' R L B U B'
B2 U' R L' B U B'
B2 U' R L2 B U B'
B' U' R D B U B'
B' U' R D' B U B'
B' U' R D2 B U B'
B2 U' R D B U B'
B2 U' R D' B U B'
B2 U' R D2 B U B'
B' U' R B U D B'
B' U' R B U D' B'
B' U' R B U D2 B'
B' U' R B U B' D
B' U' R B U B' D'
B' U' R B U B' D2
B' U' R B D U B'
B' U' R B D' U B'
B' U' R B D2 U B'
B2 U' R B U D B'
B2 U' R B U D' B'
B2 U' R B U D2 B'
B2 U' R B U B' D
B2 U' R B U B' D'
B2 U' R B U B' D2
B2 U' R B D U B'
B2 U' R B D' U B'
B2 U' R B D2 U B'
B U' R L B U B'
B U' R L' B U B'
B U' R L2 B U B'
B U' R D B U B'
B U' R D' B U B'
B U' R D2 B U B'
B U' R B U D B'
B U' R B U D' B'
B U' R B U D2 B'
B U' R B U B' D
B U' R B U B' D'
B U' R B U B' D2
B U' R B D U B'
B U' R B D' U B'
B U' R B D2 U B'
B' U' D R B U B'
D' U' B R B U B2
U' D' B R B U B2
B2 U' D R B U B'
D2 U' B R B U B2
B' U' D' R B U B'
B2 U' D' R B U B'
B U' D R B U B'
D U' B R B U B2
B' U' D2 R B U B'
B2 U' D2 R B U B'
B U' D' R B U B'
D' U' B2 R B U B
U' D' B2 R B U B
D2 U' B2 R B U B
B U' D2 R B U B'
U' D2 L R B U B'
D U' B2 R B U B
U' D2 L' R B U B'
U' D2 L2 R B U B'
B' U' B R B U B2
B2 U' B R B U B2
U' D2 R L B U B'
U' D2 R L' B U B'
U' D2 R L2 B U B'
U' D2 R D B U B'
U' D2 R D' B U B'
U' D2 R D2 B U B'
B U' B R B U B2
U' D2 R B U D B'
U' D2 R B U D' B'
U' D2 R B U D2 B'
U' D2 R B U B' D
U' D2 R B U B' D'
U' D2 R B U B' D2
U' D2 R B D U B'
U' D2 R B D' U B'
U' D2 R B D2 U B'
B' U' B2 R B U B
B2 U' B2 R B U B
B U' B2 R B U B
R2 D2 F R D' F2 B2
R2 D2 F R D' B2 F2
U' D2 B R B U B2
U' D2 B2 R B U B
L' F U' L D R F'
L' F U' D L R F'
L' F U' D R L F'
L' F U' D R F' L
L2 F U' L2 D R F'
R' F D R' B R2 F'
F D L U' L' R F'
F D L U' R L' F'
L' F D U' L R F'
L' F D U' R L F'
L' F D U' R F' L
R2 F D R B2 D' F2
F D L' U' L R F'
F D L' U' R L F'
F D L' U' R F' L
F D L2 U' L2 R F'
F D L2 U' R L2 F'
F D L2 U' R F' L2
R2 F D2 R D' F2 B2
R2 F D2 R D' B2 F2
F D R F' U R' U'
B' D U' R B U B'
F D R2 D R' F' B2
F D R2 D R' B2 F'
B2 D U' R B U B'
R F B2 L U L' R
R F B2 L U R L'
B D U' R B U B'
L' F' U L' U2 L2 F
L' F' U L' B' U2 L2
L2 F' U L' B' U2 L'
F2 D' L' D F U' L
F2 D' L' D' F U' L
F2 D' L' D2 F U' L
F2 D' L' F U' L D
F2 D' L' F U' L D'
F2 D' L' F U' L D2
F2 D' L' F U' D L
F2 D' L' F U' D' L
F2 D' L' F U' D2 L
F2 D' L' F D U' L
F2 D' L' F D' U' L
F2 D' L' F D2 U' L
F D' L' U' R F L
B' D' U' R B U B'
B2 D' U' R B U B'
B D' U' R B U B'
D2 F2 L' F' U' L R
D2 F2 L' F' U' R L
D' F2 L' F' U' L R
D' F2 L' F' U' R L
L' F2 L' F' U' L2 R
L' F2 L' F' U' R L2
U F2 L F L2 U' B'
D F2 L' F' U' L R
D F2 L' F' U' R L
F2 D' B L' F U' L
F2 D' B' L' F U' L
F2 D' B2 L' F U' L
D2 F2 D' L' F U' L
D' F2 D' L' F U' L
L' F2 D' L' F U' L2
L2 F2 D' L' F B2 U'
L2 F2 D' L' B2 F U'
D F2 D' L' F U' L
L2 F2 D' B2 L' F U'
B' D2 U' R B U B'
B2 D2 U' R B U B'
U2 B L U L' R U
U2 B L U R L' U
B D2 U' R B U B'
U' B R U B' D' R2
U' B R D B U B2
U' B R D' B U B2
U' B R D2 B U B2
U' B R B L U B2
U' B R B L' U B2
U' B R B L2 U B2
U' B R B U B2 D
U' B R B U B2 D'
U' B R B U B2 D2
U' B R B D L2 U
U2 B R U' L R' U2
U2 B R U' R' L U2
U2 B R B2 U L R'
U2 B R B2 U R' L
F2 D2 B L' U' L R'
F2 D2 B L' U' R' L
D2 B U' R B U B'
D' B U' R B U B'
F D2 B' L U' L' R
F D2 B' L U' R L'
D B U' R B U B'
U' B D R B U B2
F2 B L' F' U' L R
F2 B L' F' U' R L
U' B D' R B U B2
U' B D2 R B U B2
F2 B D' L' F U' L
U2 B' R U' R' U2 R'
U2 B' R D B2 U L
U2 B' R B2 U L R2
U2 B' R B2 U R2 L
D2 B' U' R B U B'
F2 B' L' F' U' L R
F2 B' L' F' U' R L
D' B' U' R B U B'
D B' U' R B U B'
U' B2 L R B U B
U' B2 L' R B U B
F2 B' D' L' F U' L
U' B2 L2 R B U B
U' B2 R L B U B
U' B2 R L' B U B
U' B2 R L2 B U B
U' B2 R D L2 B U
U' B2 R D B L2 U
U' B2 R B L U B
U' B2 R B L' U B
U' B2 R B L2 U B
U' B2 R B U D B
U' B2 R B U D' B
U' B2 R B U D2 B
U' B2 R B U B D
U' B2 R B U B D'
U' B2 R B U B D2
U' B2 R B D U B
U' B2 R B D' U B
U' B2 R B D2 U B
B' F2 L' F' U' L R
B' F2 L' F' U' R L
B2 F2 L' F' U' L R
B2 F2 L' F' U' R L
F2 B2 L' F' U' L R
F2 B2 L' F' U' R L
B F2 L' F' U' L R
B F2 L' F' U' R L
D2 B2 U' R B U B'
D' B2 U' R B U B'
R2 B2 U L R2 F U'
R2 B2 U L F R2 U'
R2 B2 U R2 L F U'
U' B2 D L2 R B U
U' B2 D R L2 B U
U' B2 D R B L2 U
D B2 U' R B U B'
B' F2 D' L' F U' L
B2 F2 D' L' F U' L
F2 B2 D' L' F U' L
B F2 D' L' F U' L
R B2 F L U L' R
R B2 F L U R L'
