B' R2 U D2 L2
B' R2 U' R2 U2
B' R2 D' F2 U
B' R2 D2 U L2
U R2 B' U B
R2 D' F2 B' U
R2 D' B' F2 U
R2 D2 B' U L2
R2 B' U D2 L2
R2 B' U' R2 U2
R2 B' D' F2 U
R2 B' D2 U L2
L' U L R2 B' U
L' U L B' R2 U
L2 U L2 R2 B' U
L2 U L2 B' R2 U
L' U R2 L B' U
L2 U R2 L2 B' U
R2 U' R2 U B' U
B R B2 R U L
B' R' F2 R' U L'
D' R' B' U F2 L'
B' R2 U L D2 L2
B' R2 U L' D2 L2
B' R2 U L2 D2 L2
B' R2 U D2 L2 D
B' R2 U D2 L2 D'
B' R2 U D2 L2 D2
B' R2 U' R2 U2 D
B' R2 U' R2 U2 D'
B' R2 U' R2 U2 D2
B' R2 U' R2 D U2
B' R2 U' R2 D' U2
B' R2 U' R2 D2 U2
B' R2 U2 D B2 U'
B' R2 D U2 B2 U'
F' R2 D' F2 B' U
F' R2 D' B' F2 U
B' R2 D' F2 U D
B' R2 D' F2 U D'
B' R2 D' F2 U D2
B' R2 D' F2 D U
B' R2 D' F2 D' U
B' R2 D' F2 D2 U
F2 R2 D' F2 B' U
U R2 D B' U B
F2 R2 D' B' F2 U
B' R2 D2 U L2 D
B' R2 D2 U L2 D'
B' R2 D2 U L2 D2
B' R2 D2 F U L2
F' R2 D2 B' U L2
B' R2 D2 F' U L2
B' R2 D2 F2 U L2
B R2 D' F2 U R2
U R2 D' B' U B
F2 R2 D2 B' U L2
F R2 D' F2 B' U
F R2 D' B' F2 U
B' R2 F U D2 L2
B' R2 F U' R2 U2
B' R2 F D' F2 U
B' R2 F D2 U L2
U R2 D2 B' U B
F R2 D2 B' U L2
B' R2 F' U D2 L2
B' R2 F' U' R2 U2
B' R2 F' D' F2 U
B' R2 F' D2 U L2
B' R2 F2 U D2 L2
B' R2 F2 U' R2 U2
B' R2 F2 D' F2 U
B' R2 F2 D2 U L2
F' R2 B' U D2 L2
F' R2 B' U' R2 U2
F' R2 B' D' F2 U
F' R2 B' D2 U L2
F2 R2 B' U D2 L2
F2 R2 B' U' R2 U2
F2 R2 B' D' F2 U
F2 R2 B' D2 U L2
U R2 B' L U B
U R2 B' L' U B
U R2 B' L2 U B
U R2 B' L2 U B
U R2 B' U D B
U R2 B' U D' B
U R2 B' U D2 B
U R2 B' U B D
U R2 B' U B D'
U R2 B' U B D2
U R2 B' D U B
U R2 B' D' U B
U R2 B' D2 U B
F R2 B' U D2 L2
F R2 B' U' R2 U2
F R2 B' D' F2 U
F R2 B' D2 U L2
B R2 B2 U D2 L2
B R2 B2 U' R2 U2
B R2 B2 D' F2 U
B R2 B2 D2 U L2
F' U R2 B' U B
F2 U R2 B' U B
R2 D B' U2 B' U'
B U R2 B2 U B2
F U R2 B' U B
B' U D' F2 D' L2
D' U B' U F2 B
D' U B' U B F2
B' U F2 D' L2 F2
B' U F2 D' F2 L2
B2 U B R2 U B'
B U B2 R2 U B2
R2 D' F2 D B' U
R2 D' F2 D' B' U
R2 D' F2 D' B' U
R2 D' F2 D2 B' U
R2 D' F2 B' U D
R2 D' F2 B' U D'
R2 D' F2 B' U D2
R2 D' F2 B' D U
R2 D' F2 B' D' U
R2 D' F2 B' D2 U
R2 D' B' U D' L2
R2 D' B' D' U L2
R2 D' B' F2 U D
R2 D' B' F2 U D'
R2 D' B' F2 U D2
R2 D' B' F2 D U
R2 D' B' F2 D' U
R2 D' B' F2 D2 U
U D' B' U F2 B
U D' B' U B F2
D2 U2 L2 F U' L2
U2 D2 L2 F U' L2
R2 D2 F B' U L2
R2 D2 F' B' U L2
R2 D2 F2 B' U L2
R2 D2 B' U L2 D
R2 D2 B' U L2 D'
R2 D2 B' U L2 D2
R2 D2 B' D F2 U
R2 D2 B' F U L2
R2 D2 B' F' U L2
R2 D2 B' F2 U L2
B' U2 D2 L2 U' L2
R2 F D' F2 B' U
R2 F D' B' F2 U
R2 F D2 B' U L2
R2 F B' U D2 L2
R2 F B' U' R2 U2
R2 F B' D' F2 U
R2 F B' D2 U L2
R2 F' D' F2 B' U
R2 F' D' B' F2 U
B' D' R' U F2 L'
R2 F' D2 B' U L2
R2 F' B' U D2 L2
R2 F' B' U' R2 U2
R2 F' B' D' F2 U
R2 F' B' D2 U L2
B' D' U F2 D' L2
R' F2 R' B' U L'
R2 F2 D' F2 B' U
R2 F2 D' B' F2 U
R2 F2 D2 B' U L2
R2 F2 D2 B' U L2
R2 F2 B' U D2 L2
R2 F2 B' U' R2 U2
R2 F2 B' D' F2 U
R2 F2 B' D2 U L2
R2 F2 B' D2 U L2
B' D2 U2 L2 U' L2
U B R2 B2 U B
R2 B D' F2 U R2
B' F R2 U D2 L2
B' F R2 U' R2 U2
B' F R2 D' F2 U
B' F R2 D2 U L2
D' B' R' U F2 L'
R2 B' U L D2 L2
R2 B' U L' D2 L2
R2 B' U L2 D2 L2
R2 B' U D2 L2 D
R2 B' U D2 L2 D'
R2 B' U D2 L2 D2
D' B' U F2 D' L2
R2 B' U' R2 U2 D
R2 B' U' R2 U2 D'
R2 B' U' R2 U2 D2
R2 B' U' R2 D U2
R2 B' U' R2 D' U2
R2 B' U' R2 D2 U2
U B' R2 U' F' U2
D2 B' U2 L2 U' L2
R2 B' U2 D B2 U'
R2 B' U2 D B2 U'
U B' U D' F2 B
U B' U D' B F2
F' B' R2 U D2 L2
U B' U B D' F2
F' B' R2 U' R2 U2
F' B' R2 D' F2 U
F' B' R2 D2 U L2
F' B' R2 D2 U L2
R2 B' D U2 B2 U'
B' F' R2 U D2 L2
B' F' R2 U' R2 U2
B' F' R2 D' F2 U
B' F' R2 D2 U L2
B' F' R2 D2 U L2
F2 B' R2 U D2 L2
F2 B' R2 U' R2 U2
R2 B' D' F2 U D
R2 B' D' F2 U D'
R2 B' D' F2 U D2
R2 B' D' F2 D U
R2 B' D' F2 D' U
R2 B' D' F2 D2 U
F2 B' R2 D' F2 U
F2 B' R2 D2 U L2
F2 B' R2 D2 U L2
R2 B' D2 U L2 D
R2 B' D2 U L2 D'
R2 B' D2 U L2 D2
R2 B' D2 F U L2
R2 B' D2 F' U L2
R2 B' D2 F2 U L2
F B' R2 U D2 L2
F B' R2 U' R2 U2
F B' R2 D' F2 U
F B' R2 D2 U L2
F B' R2 D2 U L2
R2 B' F U D2 L2
R2 B' F U' R2 U2
R2 B' F D' F2 U
R2 B' F D2 U L2
U B' D' U F2 B
U B' D' U B F2
R2 B' F' U D2 L2
R2 B' F' U' R2 U2
R2 B' F' D' F2 U
R B' D' R F' U
R2 B' F' D2 U L2
R2 B' F2 U D2 L2
R2 B' F2 U' R2 U2
R2 B' F2 D' F2 U
R2 B' F2 D2 U L2
B' F2 R2 U D2 L2
B' F2 R2 U' R2 U2
B' F2 R2 D' F2 U
B' F2 R2 D2 U L2
D B2 U B U B'
R2 B2 D' F2 B U
R2 B2 D' B F2 U
R2 B2 D2 B U L2
B' L R2 D' L' F2 U
B' L R2 D2 L' U L'
B' L U L' R2 U R2
U L R2 B U B' R'
B2 L U L' B R2 U
B L U L' R2 B2 U
B L U L' B2 R2 U
B' L U R2 L' U R2
B L U R2 L' B2 U
B L U R2 B2 L' U
B2 L U B L' R2 U
B2 L U B R2 L' U
B L U B2 L' R2 U
B L U B2 R2 L' U
R2 L D' L' F2 B' U
