D L' B' L' F2
D F2 L' B' L'
D2 L D' L2 F2 B'
D2 L D' L2 B' F2
D' L D2 L2 F2 B'
D' L D2 L2 B' F2
D2 L' D' F2 B' L2
D2 L' D' B' L2 F2
D2 L' D' B' F2 L2
D' L' D2 F2 B' L2
D' L' D2 B' L2 F2
D' L' D2 B' F2 L2
D L' B L' F2 B2
D L' B L' B2 F2
D L' B' L F2 L2
D L' B' L' F2 D
D L' B' L' F2 D'
D L' B' L' F2 D2
D L' B' L2 F2 L
D2 L' B' D' L2 F2
D2 L' B' D' F2 L2
D' L' B' D2 L2 F
D L' B2 L' F2 B
D L' B2 L' B F2
D L2 F2 L B' L'
U L2 B' R' B' U'
L' U B2 L' U' B
B' U B' L2 R' U'
B' U B' R' L2 U'
F' D L' B' L' F2
F2 D L' B' L' F2
F D L' B' L' F2
F' D F2 L' B' L'
D F' L' B' L' F'
F2 D F2 L' B' L'
F D F2 L' B' L'
D F2 L' D B' L'
D F2 L' D' B' L'
D F2 L' D2 B' L'
D F2 L' B L' B2
D F2 L' B' L' D
D F2 L' B' L' D'
D F2 L' B' L' D2
D F2 L' B' D L'
D F2 L' B' D' L'
D F2 L' B' D2 L'
D F2 L' B2 L' B
D F2 B L' B' L'
D F2 B' L' B' L'
D F2 B2 L' B' L'
D B L' B' L' F2
D B F2 L' B' L'
D B' L' B' L' F2
L' B' U B' L' U'
U B' R' B' L2 U'
D B' F2 L' B' L'
D B2 L' B' L' F2
D B2 F2 L' B' L'
D' L R2 F B2 U2 R2
D2 L R2 F2 U R2 B
D L R2 F2 L R2 B
D L R2 F2 R2 L B
D' L R2 B2 F U2 R2
D2 L U' F2 R2 U B
D' L U2 R2 F B2 U2
D' L U2 R2 B2 F U2
D' L U2 F R2 B2 U2
D' L U2 F B2 R2 U2
D L U2 F U2 F L
D' L U2 B2 R2 F U2
D' L U2 B2 F R2 U2
D2 L D' L F2 L B'
D2 L D' L2 F2 D B'
D2 L D' L2 F2 D' B'
D2 L D' L2 F2 D2 B'
D2 L D' L2 F2 B' D
D2 L D' L2 F2 B' D'
D2 L D' L2 F2 B' D2
D2 L D' L2 B' F2 D
D2 L D' L2 B' F2 D'
D2 L D' L2 B' F2 D2
D2 L D' B L2 F2 B'
D2 L D' B L2 B' F2
D2 L D' B' L2 F2 B'
D2 L D' B' L2 B' F2
D2 L D' B2 L2 F2 B'
D2 L D' B2 L2 B' F2
D' L D2 L F2 L B'
D' L D2 L2 F2 D B'
D' L D2 L2 F2 D' B'
D' L D2 L2 F2 D2 B'
D' L D2 L2 F2 B' D
D' L D2 L2 F2 B' D'
D' L D2 L2 F2 B' D2
D' L D2 L2 B' F2 D
D' L D2 L2 B' F2 D'
D' L D2 L2 B' F2 D2
D' L D2 B L2 F2 B'
D' L D2 B L2 B' F2
D' L D2 B' L2 F2 B'
D' L D2 B' L2 B' F2
D' L D2 B2 L2 F2 B'
D' L D2 B2 L2 B' F2
D' L F R2 B2 U2 R2
D' L F B2 R2 U2 R2
D L F' L D2 F' B2
D L F' L D2 B2 F'
D' L F' D2 L2 F2 B2
D' L F' D2 L2 B2 F2
D' L F' D2 F2 L2 B2
D' L F' D2 F2 B2 L2
D' L F' D2 B2 L2 F2
D' L F' D2 B2 F2 L2
D L F' D2 L F' B2
D L F' D2 L B2 F'
D L F' D2 F' L B2
D L F2 L R2 B R2
D L F2 L U2 F' U2
D2 L F2 R2 U B R2
D L F2 R2 L B R2
D L F2 U2 F' U2 L
D' L F2 D2 F2 L2 B'
L2 R B2 U L U2 B'
D L B L2 F2 B' L
D L B L2 B' L F2
D L B L2 B' F2 L
D2 L B D' L2 F2 B'
D2 L B D' L2 B' F2
D2 L B' D' L2 F2 B'
D2 L B' D' L2 B' F2
D' L B' D2 L2 F B'
D' L B' D2 L2 B' F
D' L B2 R2 F U2 R2
D2 L B2 D' L2 F2 B'
D2 L B2 D' L2 B' F2
D' L B2 F R2 U2 R2
D L' R' B' L' R F2
D L' R' B' R L' F2
D2 L' R2 F2 U R2 B'
D2 L' R2 F2 U B' R2
D' L' R2 B2 U2 B R2
D L' R2 B' L' R2 F2
D L' R2 B' L' F2 R2
D L' R2 B' R2 L' F2
F' L' U B2 L' U' B
F2 L' U B2 L' U' B
B L' U B L' U' B2
F L' U B2 L' U' B
D2 L' U' R2 F2 U B'
D2 L' U' F2 R2 U B'
D' L' U2 R2 B2 U2 B
D' L' U2 B2 R2 F' U2
U L' D L' U' L' B'
D2 L' D B' D2 L2 F
D L' D B' L' D' F2
D L' D B' D' L' F2
D2 L' D' F' B' L2 F'
D2 L' D' F2 B L2 B2
D2 L' D' F2 B' L2 D
D2 L' D' F2 B' L2 D'
D2 L' D' F2 B' L2 D2
D2 L' D' F2 B2 L2 B
D2 L' D' B L2 F2 B2
D2 L' D' B L2 B2 F2
D2 L' D' B F2 L2 B2
D2 L' D' B' L F2 L
D2 L' D' B' L2 F2 D
D2 L' D' B' L2 F2 D'
D2 L' D' B' L2 F2 D2
D2 L' D' B' F' L2 F'
D' L' D' B' D' L2 F2
D2 L' D' B' F2 L2 D
D2 L' D' B' F2 L2 D'
D2 L' D' B' F2 L2 D2
D' L' D' B' D' F2 L2
D2 L' D' B2 L2 F2 B
D2 L' D' B2 L2 B F2
B' L' D' B' L D F2
D2 L' D' B2 F2 L2 B
D L' D' B' D L' F2
D' L' D2 F' B' L2 F'
D' L' D2 F2 B L2 B2
D' L' D2 F2 B' L2 D
D' L' D2 F2 B' L2 D'
D' L' D2 F2 B' L2 D2
D' L' D2 F2 B2 L2 B
D' L' D2 B L2 F2 B2
D' L' D2 B L2 B2 F2
D' L' D2 B F2 L2 B2
D' L' D2 B' L F2 L
D' L' D2 B' L2 F2 D
D' L' D2 B' L2 F2 D'
D' L' D2 B' L2 F2 D2
D' L' D2 B' F' L2 F'
D' L' D2 B' F2 L2 D
D' L' D2 B' F2 L2 D'
D' L' D2 B' F2 L2 D2
D' L' D2 B2 L2 F2 B
D' L' D2 B2 L2 B F2
R' L' B2 L' U' B R
L' R' B2 L' U' B R
D' L' D2 B2 F2 L2 B
D L' D2 B' L2 F L
R2 L' B2 L' U' B R2
D' L' F D2 F2 B' L2
D' L' F D2 B' L2 F2
D' L' F D2 B' F2 L2
D' L' F B' D2 L2 F
D' L' F' D2 F2 B' L2
D' L' F' D2 B' L2 F2
D' L' F' D2 B' F2 L2
D' L' F' B' D2 L2 F
D L' F' D2 F' B' L
D L' F' D2 B' L F'
D L' F' D2 B' F' L
D2 L' F2 R2 U R2 B'
D2 L' F2 R2 U B' R2
D' L' F2 D2 F2 B' L2
D' L' F2 D2 B' L2 F2
D' L' F2 D2 B' F2 L2
D L' F2 U2 R U2 B'
D' L' F2 B' D2 L2 F
D L' F2 B' U2 R U2
D L' B L F2 L2 B2
D L' B L F2 B2 L2
D L' B L B2 L2 F2
D L' B L B2 F2 L2
D L' B L' F2 B2 D
D L' B L' F2 B2 D'
D L' B L' F2 B2 D2
D L' B L' B2 F2 D
D L' B L' B2 F2 D'
D L' B L' B2 F2 D2
D L' B L2 F2 L B2
D2 L' B' L D' L2 F2
D2 L' B' L D' F2 L2
D2 L' B' L' D' L2 F2
D2 L' B' L' D' F2 L2
D' L' B' L2 D2 F L2
D2 L' B' L2 D' L2 F2
D2 L' B' L2 D' F2 L2
D' L' B' L2 F D2 L2
B L' B' L D L2 F2
B L' B' L D F2 L2
D L' B' L F' L2 F'
D L' B' L F2 L2 D
D L' B' L F2 L2 D'
D L' B' L F2 L2 D2
D L' B' L' R F2 R'
D L' B' L' R2 F2 R2
D L' B' L' F D F
D L' B' L' F D' F
D L' B' L' F D2 F
D L' B' L' F' D F'
D L' B' L' F' D' F'
D L' B' L' F' D2 F'
D2 L' B' U' R2 F2 U
F' L' B' U B' L' U'
D2 L' B' U' F2 R2 U
D L' B' L2 F' L F'
D L' B' L2 F2 L D
D L' B' L2 F2 L D'
D L' B' L2 F2 L D2
D L' B' L2 F2 D L
D L' B' L2 F2 D' L
D L' B' L2 F2 D2 L
D L' B' R L' F2 R'
D' L' B' U2 R2 B' U2
D' L' B' U2 B' R2 U2
B2 L' B' U L' B U'
F2 L' B' U B' L' U'
D2 L' B' D' L F2 L
D2 L' B' D' L2 F2 D
D2 L' B' D' L2 F2 D'
D2 L' B' D' L2 F2 D2
B2 L' B' U B L' U'
D L' B' R2 L' F2 R2
D2 L' B' D' F' L2 F'
D2 L' B' D' F2 L2 D
D2 L' B' D' F2 L2 D'
D2 L' B' D' F2 L2 D2
D' L' B' D2 L2 D F
D' L' B' D2 L2 D' F
D' L' B' D2 L2 D2 F
D' L' B' D2 L2 F D
D' L' B' D2 L2 F D'
D' L' B' D2 L2 F D2
B L' B' U L' B2 U'
D' L' B' D2 F L2 F
D' L' B' D2 F' L2 F
D' L' B' D2 F2 L2 F
B L' B' U B2 L' U'
D' L' B' F D2 L2 F
U L' B' R' B' L' U'
F L' B' U B' L' U'
D' L' B' F' D2 L2 F
D L' B' D L' D' F2
D' L' B' F2 D2 L2 F
D L' B' D2 L' D2 F2
D L' B' F2 U2 R U2
D' L' B2 R2 U2 R2 B
D' L' B2 R2 F' U2 R2
D L' B2 L F2 L2 B
D L' B2 L F2 B L2
D L' B2 L B L2 F2
D L' B2 L B F2 L2
D L' B2 L' F2 D B
D L' B2 L' F2 D' B
D L' B2 L' F2 D2 B
D L' B2 L' F2 B D
D L' B2 L' F2 B D'
D L' B2 L' F2 B D2
D L' B2 L' B F2 D
D L' B2 L' B F2 D'
D L' B2 L' B F2 D2
D L' B2 L2 F2 L B
D2 L' B2 D' L2 F2 B
D2 L' B2 D' L2 B F2
D2 L' B2 D' F2 L2 B
D2 L' B2 D' F2 B L2
D2 L' B2 D' B L2 F2
D2 L' B2 D' B F2 L2
D' L' B2 D2 B L2 F
B2 L2 R U' D2 R' B
B2 L2 R D2 U' R' B
D L2 R F2 D2 R' B
U L2 R B' R' B' U'
U L2 R' B' R' B' U'
D L2 U L U' F2 B'
D L2 U L U' B' F2
U L2 R2 B' R' B' U'
D L2 U' L U F2 B'
D L2 U' L U B' F2
U L2 U' L D L2 B'
U L2 U' L' D B' L2
U L2 U' D L' B' L'
L' R2 B2 L' U' B R2
B2 L2 D F' R U' R'
U L2 D U' L' B' L'
R L2 B2 U L U2 B'
U L2 D B' R' U' L2
B L2 D' B R' U' R
B2 L2 D2 R' U' B R
D L2 F L B' L' F
D L2 F' L B' L' F'
L U L2 B2 L' U' B
L' U R B2 L' U' B
D L2 F2 L D B' L'
D L2 F2 L D' B' L'
D L2 F2 L D2 B' L'
D L2 F2 L B L' B2
D L2 F2 L B' L' D
D L2 F2 L B' L' D'
D L2 F2 L B' L' D2
D L2 F2 L B' D L'
D L2 F2 L B' D' L'
D L2 F2 L B' D2 L'
D L2 F2 L B2 L' B
D L2 F2 R D2 R' B
D L2 F2 U' L U B'
D L2 F2 D2 R' B R
D L2 F2 B L B' L'
D L2 F2 B' L B' L'
D L2 F2 B2 L B' L'
L' U R' B2 L' U' B
D L2 B L B' L' F2
D L2 B F2 L B' L'
L' U R2 B2 L' U' B
D L2 B' L B' L' F2
U L2 B' R B' R2 U'
U L2 B' R' D B' U'
U L2 B' R' D' B' U'
U L2 B' R' D2 B' U'
U L2 B' R' B' U' D
U L2 B' R' B' U' D'
U L2 B' R' B' U' D2
U L2 B' R' B' D U'
U L2 B' R' B' D' U'
U L2 B' R' B' D2 U'
L U D L U' L B'
U L2 B' R2 B' R U'
D L2 B' F2 L B' L'
U L2 B' D R' B' U'
D L2 B2 L B' L' F2
U L2 B' D' R' B' U'
U L2 B' D2 R' B' U'
D L2 B2 F2 L B' L'
U L2 B2 D' R' U' B
B2 R L2 U' D2 R' B
B2 R L2 D2 U' R' B
D R L2 F2 D2 R' B
U R L2 B' R' B' U'
U2 R U' L2 B2 U' B'
L' U B L' B U' B
U2 R U2 D L2 F2 B
U2 R U2 D L2 B F2
D R U2 R' F2 L2 B'
U2 R U2 D F2 L2 B
U2 R U2 D F2 B L2
U2 R U2 D B L2 F2
U2 R U2 D B F2 L2
L' U B2 L' U' D B
L' U B2 L' U' D' B
L' U B2 L' U' D2 B
L' U B2 L' U' B D
L' U B2 L' U' B D'
L' U B2 L' U' B D2
L' U B2 L' D U' B
L' U B2 L' D' U' B
L' U B2 L' D2 U' B
U2 R D U2 L2 F2 B
U2 R D U2 L2 B F2
U2 R D U2 F2 L2 B
U2 R D U2 F2 B L2
U2 R D U2 B L2 F2
U2 R D U2 B F2 L2
L' U B2 D L' U' B
L' U B2 D' L' U' B
L' U B2 D2 L' U' B
U2 R D' R2 F' B2 U2
U2 R D' R2 B2 F' U2
U2 R D' B2 R2 U2 B'
D' R D2 F2 L' R' B'
D' R D2 F2 R' L' B'
R' U' L2 B2 U' R B
D R F2 L' R' B' L'
D R F2 L2 D2 R' B
D R F2 R' L' B' L'
D' R B2 L R F U2
D' R B2 R L F U2
U R B' R' B' L2 U'
L' U' D2 F2 R U B'
D R' L' B' L' R F2
D R' L' B' R L' F2
U R' L2 B' R' B' U'
D R' U2 L2 R F2 B
D R' U2 L2 R B F2
D R' U2 R L2 F2 B
D R' U2 R L2 B F2
U2 R' U2 D F2 L2 B'
D R' U2 R F2 L2 B
D R' U2 R F2 B L2
D R' U2 R B L2 F2
D R' U2 R B F2 L2
R' U' B2 L2 U' R B
U2 R' D U2 F2 L2 B'
U2 R' D F' U2 L2 F'
U2 R' D F' U2 F' L2
U2 R' D' R2 B2 U2 B'
U2 R' D' F' R2 B2 U2
U2 R' D' F' B2 R2 U2
U2 R' D' B2 R2 U2 B
U2 R' D' B2 F' R2 U2
R' U2 R D L2 F2 B
R' U2 R D L2 B F2
R' U2 R D F2 L2 B
R' U2 R D F2 B L2
R' U2 R D B L2 F2
R' U2 R D B F2 L2
U2 R' F' U' L2 B2 U'
U2 R' F' U' B2 L2 U'
U2 R' F' U2 D L2 F2
U2 R' F' U2 D F2 L2
U2 R' F' D U2 L2 F2
U2 R' F' D U2 F2 L2
U2 R' F' D' R2 B2 U2
U2 R' F' D' B2 R2 U2
R U2 R' D F2 L2 B'
R' U2 D L2 R F2 B
R' U2 D L2 R B F2
R' U2 D R L2 F2 B
R' U2 D R L2 B F2
R' U2 D R F2 L2 B
R' U2 D R F2 B L2
R' U2 D R B L2 F2
R' U2 D R B F2 L2
U R' B' R' B' L2 U'
D' R' B2 U2 L R B
D' R' B2 U2 R L B
R U2 D R' F2 L2 B'
D' R2 L F B2 U2 R2
D2 R2 L F2 U R2 B
D' R2 L B2 F U2 R2
D R2 L F2 L R2 B
D R2 L F2 R2 L B
D2 R2 L' F2 U R2 B'
D2 R2 L' F2 U B' R2
D' R2 L' B2 U2 B R2
D R2 L' B' L' R2 F2
D R2 L' B' L' F2 R2
D R2 L' B' R2 L' F2
L U2 F U' L B2 U'
U R2 L2 B' R' B' U'
R' D L' R B' L' F2
R' D L' B' L' R F2
R' D L' B' R L' F2
R D L' R' B' L' F2
L D L' D L' F2 B'
L D L' D L' B' F2
R' D R L' B' L' F2
D2 R2 F2 L' U R2 B'
D2 R2 F2 L' U B' R2
R' D R F2 L' B' L'
R D L2 F2 D2 R' B
L D L2 B' U L' U'
D R2 F2 L' R2 B' L'
D R2 F2 L' B' L' R2
D R2 F2 L' B' R2 L'
D R2 F2 R2 L' B' L'
R D R' L' B' L' F2
R D R' F2 L' B' L'
D' R2 B2 L F U2 R2
D' R2 B2 L' U2 R2 B'
D' R2 B2 L' U2 B' R2
D' R2 B2 U2 R B R
U R2 B' R' B' L2 U'
L D U L U' L B'
R' D U2 L2 R F2 B
R' D U2 L2 R B F2
R' D U2 R L2 F2 B
R' D U2 R L2 B F2
R' D U2 R F2 L2 B
R' D U2 R F2 B L2
R' D U2 R B L2 F2
R' D U2 R B F2 L2
U' D L' U L' F2 B'
U' D L' U L' B' F2
U2 D L F2 L R B
U2 D L F2 R L B
R D U2 R' F2 L2 B'
D U L' U' L' F2 B'
D U L' U' L' B' F2
U D L' U' L' F2 B'
U D L' U' L' B' F2
L2 D F' R U' L2 R'
L2 D F' R U' R' L2
F' U L2 B' R' B' U'
F2 U L2 B' R' B' U'
B U L2 B U2 L U
B U L2 B' R' B2 U'
U2 D R U2 L2 F2 B
U2 D R U2 L2 B F2
U2 D R U2 F2 L2 B
U2 D R U2 F2 B L2
U2 D R U2 B L2 F2
U2 D R U2 B F2 L2
B' U R B' L2 R' U'
B' U R B' R' L2 U'
F U L2 B' R' B' U'
R D F2 L' R' B' L'
R D F2 L2 D2 R' B
R D F2 R' L' B' L'
U2 D R' U2 F2 L2 B'
B' U R' B' L2 R' U'
B' U R' B' R' L2 U'
L' D B' L D L F2
L' D B' L D F2 L
U2 D R' F' U2 L2 F'
U2 D R' F' U2 F' L2
L' D B' L2 U L U'
L' D B' U L' U' L'
B' U R2 B' L2 R' U'
B' U R2 B' R' L2 U'
B' U D B' R' U' F2
U' D F' L' U L' F'
R' D' R D2 F2 L' B'
D U B' R' U' L2 F2
D U B' R' U' F2 L2
U D B' R' U' L2 F2
U D B' R' U' F2 L2
B' U B' L2 R' U' D
B' U B' L2 R' U' D'
B' U B' L2 R' U' D2
B' U B' L2 R' D U'
B' U B' L2 R' D' U'
B' U B' L2 R' D2 U'
B U B L2 U2 L' U
B' U B' L2 D R' U'
B' U B' L2 D' R' U'
B' U B' L2 D2 R' U'
R' D' R2 B2 L F U2
B' U B' R' L2 U' D
B' U B' R' L2 U' D'
B' U B' R' L2 U' D2
B' U B' R' L2 D U'
B' U B' R' L2 D' U'
B' U B' R' L2 D2 U'
B' U B' R' U' D F2
B' U B' R' D U' F2
F' U B' R' B' L2 U'
B' U B' D R' U' F2
F2 U B' R' B' L2 U'
B U B' L2 R' B2 U'
B' U B2 L2 B R' U'
B U B' R' L2 B2 U'
B U B' R' B2 L2 U'
D U' L' U L' F2 B'
D U' L' U L' B' F2
F U B' R' B' L2 U'
R D' R2 B2 U2 R B
U2 D' R B2 R U2 B'
U2 D' R' F' R' B2 U2
U2 D' R' F' B2 U2 L
U2 D' R' B2 F' U2 L
D2 U' R2 F' L' F' U
D2 U' F' L' F' R2 U
D U' F' L' U L' F'
R D' B2 L R2 F U2
R D' B2 L F R2 U2
R D' B2 R2 L F U2
B U' D2 R2 F' L' U
U2 D' B2 R' F' R' U2
D U2 L F2 L R B
D U2 L F2 R L B
B U' B L2 F R U'
D' U2 R B2 R U2 B'
D U2 R U2 L2 F2 B
D U2 R U2 L2 B F2
D' U2 R' F' R' B2 U2
D U2 R U2 F2 L2 B
D U2 R U2 F2 B L2
D U2 R U2 B L2 F2
D U2 R U2 B F2 L2
D' U2 R' F' B2 U2 L
D' U2 R' B2 F' U2 L
L' D2 U' F2 R U B'
U' D2 R2 F' L' F' U
D U2 R' U2 F2 L2 B'
D U2 R' F' U2 L2 F'
D U2 R' F' U2 F' L2
U' D2 F' L' F' R2 U
L' D2 F2 R U R' B'
L' D2 B' U' F2 R U
D' U2 B2 R' F' R' U2
D' F L D2 L2 F2 B'
D' F L D2 L2 B' F2
D' F L' D2 F2 B' L2
D' F L' D2 B' L2 F2
D' F L' D2 B' F2 L2
D' F L' B' D2 L2 F
D F L' B' L F L2
U' F U2 L2 R B2 U'
U' F U2 L2 B2 R U'
U' F U2 R L2 B2 U'
U' F U2 R B2 L2 U'
U' F U2 B2 L2 R U'
U' F U2 B2 R L2 U'
B' D L' F2 D' B' L
F' D L' B L' F2 B2
F' D L' B L' B2 F2
F' D L' B' L F2 L2
F' D L' B' L' F2 D
F' D L' B' L' F2 D'
F' D L' B' L' F2 D2
F' D L' B' L2 F2 L
F' D L' B2 L' F2 B
F' D L' B2 L' B F2
F2 D L' B L' F2 B2
F2 D L' B L' B2 F2
F2 D L' B' L F2 L2
F2 D L' B' L' F2 D
F2 D L' B' L' F2 D'
F2 D L' B' L' F2 D2
F2 D L' B' L2 F2 L
F2 D L' B2 L' F2 B
F2 D L' B2 L' B F2
F' D L2 F2 L B' L'
B D L' F2 B' D L2
F2 D L2 F2 L B' L'
B D L' B' F2 D L2
F D L' B L' F2 B2
F D L' B L' B2 F2
F D L' B' L F2 L2
F D L' B' L' F2 D
F D L' B' L' F2 D'
F D L' B' L' F2 D2
F D L' B' L2 F2 L
D' F D2 L' B' L' F2
F D L' B2 L' F2 B
F D L' B2 L' B F2
U' F D2 F2 L' R2 U
U' F D2 F2 R2 L' U
D' F D2 F2 L' B' L'
F D L2 F2 L B' L'
B' D U B' R' U' F2
D' F' L D2 L2 F2 B'
D' F' L D2 L2 B' F2
U' F' L' U2 L' B2 U'
U' F' L' U2 B2 L' U'
U' F' L' D2 F2 R U
D' F' L' D2 F2 B' L2
D' F' L' D2 B' L2 F2
D' F' L' D2 B' F2 L2
D' F' L' B' D2 L2 F
D F' L F' L D2 B2
D F' L F' D2 L B2
D F' L' D B' L' F'
F' D F' L' B' L' F'
D F' L' D' B' L' F'
D F' L' D2 B' L' F'
D F' L' F' D2 B' L
F2 D F' L' B' L' F'
D F' L' B L' F' B2
D F' L' B L' B2 F'
