L B' U R' F2 L'
U' L U2 F B' U' F
U' L U2 B' F U' F
U2 L U2 B' U' R' F2
U2 L U2 B' U' F2 R'
R' L B' U R' F2 L'
R2 L B' U R' F2 L'
L R B' U R' F2 L'
R L B' U R' F2 L'
D' L B' U L R' F'
D' L B' U R' L F'
D' L B' U R' F' L
L R' B' U R' F2 L'
L R2 B' U R' F2 L'
L U2 F B' U' R F
L U2 B' F U' R F
L' D' L2 B' U' R' B'
F2 U' L U2 F B' U'
F2 U' L U2 B' F U'
F2 U' L' F B' L2 U
F2 U' L' B' F L2 U
L B U2 B2 U' R' F2
L B U2 B2 U' F2 R'
D' B' L2 U' L' R' B'
D' B' L2 U' R' L' B'
F2 B D' B2 R' B L
L B' U L R' F2 L'
L B' U L' R' F2 L'
L B' U L2 R' F2 L'
L B' U R' L F2 L'
L B' U R' L' F2 L'
L B' U R' L2 F2 L'
L B' U R' F2 L' D
L B' U R' F2 L' D'
L B' U R' F2 L' D2
L B' U R' F2 D L'
L B' U R' F2 D' L'
L B' U R' F2 D2 L'
L B' U' R' F2 D2 B2
L B' U' F2 R' D2 B2
L B' U' F2 D2 R' B2
D2 B2 U' R' B U' R'
L B2 U2 B U' R' F2
L B2 U2 B U' F2 R'
B F2 D' B2 R' B L
