L2 F U F2 R
F' L2 F U F' R
U' L2 F U F2 R
U2 L2 F U F2 R
U L2 F U F2 R
L2 U F' R D' L2
L2 U F' D' L2 R
L2 U F' D' R L2
F' R U' L2 F U
B' U' F' R D' B2
B' U' F' D' R B2
B' U' F' D' B2 R
B' U2 L2 U F' R
L2 F R U F2 R
L2 F R' U F2 R
L2 F R2 U F2 R
L2 F U R F2 R
L2 F U R' F2 R
L2 F U R2 F2 R
L2 F U F2 R D
L2 F U F2 R D'
L2 F U F2 R D2
L2 F U F2 D R
L2 F U F2 D' R
L2 F U F2 D2 R
L2 F U' L' U2 F2
L2 F B U F2 R
L2 F B' U F2 R
L2 F B2 U F2 R
L2 B F U F2 R
L2 B' F U F2 R
L2 B2 F U F2 R
B' L U2 L U F' R
F' L' R U' L' F U
F L' U L' F U F
L2 R' F U F2 R F'
B' L' U2 L' U F' R
B' L' F U' F2 R B
R' L2 F U F2 R F'
F' L2 R' F U F' R2
L2 R2 F U' L' B U2
L2 R2 F U' B L' U2
R2 L2 F U' L' B U2
R2 L2 F U' B L' U2
F' L2 R2 F U F' R'
U' L2 U F' R D' L2
U' L2 U F' D' L2 R
U' L2 U F' D' R L2
U2 L2 U F' R D' L2
U2 L2 U F' D' L2 R
U2 L2 U F' D' R L2
B L2 U F' R D L2
B L2 U F' D L2 R
B L2 U F' D R L2
U L2 U F' R D' L2
U L2 U F' D' L2 R
U L2 U F' D' R L2
B2 L2 U2 B U' F' R
B L2 U2 B2 U' F' R
F' L2 D F U F' R
F' L2 D' F U F' R
F' L2 D2 F U F' R
L' U L' F U F2 R
U' L2 F R U F2 R
U' L2 F R' U F2 R
U' L2 F R2 U F2 R
U2 L2 F R U F2 R
U' L2 F U R F2 R
U' L2 F U R' F2 R
U' L2 F U R2 F2 R
U' L2 F U F2 R D
U' L2 F U F2 R D'
U' L2 F U F2 R D2
U' L2 F U F2 D R
U' L2 F U F2 D' R
U' L2 F U F2 D2 R
U2 L2 F R' U F2 R
F' L2 F U F' R D
F' L2 F U F' R D'
F' L2 F U F' R D2
F' L2 F U F' D R
F' L2 F U F' D' R
F' L2 F U F' D2 R
U' L2 F U' L' U2 F2
U2 L2 F R2 U F2 R
U2 L2 F U R F2 R
U2 L2 F U R' F2 R
U2 L2 F U R2 F2 R
U2 L2 F U F2 R D
U2 L2 F U F2 R D'
U2 L2 F U F2 R D2
U2 L2 F U F2 D R
U2 L2 F U F2 D' R
U2 L2 F U F2 D2 R
U2 L2 F U' L' U2 F2
F2 L2 F U' B' U2 R
U' L2 F B U F2 R
F' L2 F B U F' R
U L2 F R U F2 R
F' L2 F B' U F' R
U' L2 F B' U F2 R
U L2 F R' U F2 R
F' L2 F B2 U F' R
U' L2 F B2 U F2 R
U L2 F R2 U F2 R
U2 L2 F B U F2 R
U L2 F U R F2 R
U2 L2 F B' U F2 R
U L2 F U R' F2 R
U L2 F U R2 F2 R
U L2 F U F2 R D
U L2 F U F2 R D'
U L2 F U F2 R D2
U L2 F U F2 D R
U L2 F U F2 D' R
U L2 F U F2 D2 R
U2 L2 F B2 U F2 R
U L2 F U' L' U2 F2
F L2 F B2 U R' F
F L2 F B2 U F R'
U L2 F B U F2 R
U L2 F B' U F2 R
U L2 F B2 U F2 R
F' L2 B F U F' R
U' L2 B F U F2 R
U2 L2 B F U F2 R
U L2 B F U F2 R
F' L2 B' F U F' R
U' L2 B' F U F2 R
U2 L2 B' F U F2 R
U L2 B' F U F2 R
F' L2 B2 F U F' R
U' L2 B2 F U F2 R
U2 L2 B2 F U F2 R
F L2 B2 F U R' F
F L2 B2 F U F R'
U L2 B2 F U F2 R
F' R L' U' L' F U
L2 U F' L R D' L2
L2 U F' L D' L2 R
L2 U F' L D' R L2
L2 U F' L' R D' L2
L2 U F' L' D' L2 R
L2 U F' L' D' R L2
L2 U F' L2 R D' L2
L2 U F' L2 D' L2 R
L2 U F' L2 D' R L2
L2 U F' R L D' L2
L2 U F' R L' D' L2
L2 U F' R L2 D' L2
L2 U F' R U' F2 U
L2 U F' R D' L2 D
L2 U F' R D' L2 D'
L2 U F' R D' L2 D2
L2 U F' R2 D' L2 R'
L2 U F' R2 D' R' L2
F' R U D' B' U' B'
L2 U F' D' L2 R D
L2 U F' D' L2 R D'
L2 U F' D' L2 R D2
L2 U F' D' L2 D R
L2 U F' D' L2 D' R
L2 U F' D' L2 D2 R
L2 U F' D' R L2 D
L2 U F' D' R L2 D'
L2 U F' D' R L2 D2
F' R U D2 R2 B' U'
F' R U D2 B' R2 U'
L2 U F' D2 R D L2
F' R U B' U' D' B2
F' R U B' U2 L2 U
F' R U B' D' U' B2
F' R U B' D2 R2 U'
F' R U' L2 D F U
F' R U' L2 D' F U
F' R U' L2 D2 F U
F' R U' L2 F U D
F' R U' L2 F U D'
F' R U' L2 F U D2
F' R U' L2 F D U
F' R U' L2 F D' U
F' R U' L2 F D2 U
F' R U' F L2 F U
F' R U' F' L2 F U
F' R U' F2 L2 F U
F' R D' U B' U' B'
F' R D' B D L2 B
F' R D' B D B L2
F' R D' B2 U B U'
F' R D2 U R2 B' U'
F' R D2 U B' R2 U'
F' R D2 B D L2 B2
F' R D2 B D B2 L2
L' U' L' F U F2 R
F' R B D L2 D2 B2
F' R B D' B2 D2 L2
F' R B' U' L2 U L2
F' R B' D' B2 D L2
F' R' L2 F U F' R2
L2 U' F' R D' L2 B'
L U' F' L' R D' B2
L U' F' L' D' R B2
L U' F' L' D' B2 R
L U' F' R L' D' B2
L2 U' F' D' L2 R B'
L2 U' F' D' L2 B' R
L2 U' F' D' R L2 B'
F' R' U' L2 F U R2
L U2 L U F' L' R
L U2 L U F' R L'
L' U2 L' F U F2 R
L2 U2 L' U' F' L' R
L2 U2 L' U' F' R L'
L2 U2 L2 B' U' F' R
F' R2 L2 F U F' R'
F' R2 U' L2 F U R'
D2 R2 B' U L B2 U2
D2 R2 B' U B2 U2 R'
L2 D F R' B U F2
F' U D' B' U' R B'
F' U D' B' U' B' R
F' U D2 B' R2 U' R'
L D' L F B' U F2
L D' L B' F U F2
B' U F' R D' B2 L
B' U F' D' R B2 L
F' U B' U' R D' B2
F' U B' U' D' R B2
F' U B' U' D' B2 R
F' U B' U2 L2 U R
F' U B' D' U' R B2
F' U B' D' U' B2 R
F' U B' D2 R2 U' R'
B' U' L2 U L2 F' R
B' U' L2 U F' L2 R
B' U' L2 U F' R L2
B' U' D' B2 D F' R
B' U' F' R U' L2 U
B' U' F' R D' B2 D
B' U' F' R D' B2 D'
B' U' F' R D' B2 D2
B' U' F' R B D' B2
B' U' F' R B' D' B2
B' U' F' R B2 D' B2
F' U' F' L2 F U R
B' U' F' R2 D' R' B2
B' U' F' U' L2 U R
B' U' F' D R D2 B2
B' U' F' D' R B2 D
B' U' F' D' R B2 D'
B' U' F' D' R B2 D2
B' U' F' D' R' B2 R2
B' U' F' D' B' R B'
B' U' F' D' B2 R D
B' U' F' D' B2 R D'
B' U' F' D' B2 R D2
B' U' F' D' B2 D R
B' U' F' D' B2 D' R
B' U' F' D' B2 D2 R
B' U' F' B R D' B2
B' U' F' B D' R B2
B' U' F' B D' B2 R
B' U' F' B' R D' B2
B' U' F' B' D' R B2
B' U' F' B' D' B2 R
B' U' F' B2 R D' B2
B' U' F' B2 D' R B2
B' U' F' B2 D' B2 R
B' U' F2 D' F R B2
B' U' F2 D' F B2 R
B' U' F2 D' B2 F R
B' U' B F' R D' B2
B' U' B F' D' R B2
B' U' B F' D' B2 R
B' U' B' F' R D' B2
B' U' B' F' D' R B2
B' U' B' F' D' B2 R
B' U' B2 F' R D' B2
B' U' B2 F' D' R B2
B' U' B2 F' D' B2 R
B' U2 L2 U F' R D
B' U2 L2 U F' R D'
B' U2 L2 U F' R D2
B' U2 L2 U F' D R
B' U2 L2 U F' D' R
B' U2 L2 U F' D2 R
L2 D2 F B U R' F2
L2 D2 F B U F2 R'
B' U2 L2 B U F' R
B' U2 L2 B' U F' R
B' U2 L2 B2 U F' R
L2 D2 B F U R' F2
L2 D2 B F U F2 R'
L2 F R U R F2 R
L2 F R U R' F2 R
L2 F R U R2 F2 R
L2 F R U F2 R D
L2 F R U F2 R D'
L2 F R U F2 R D2
L2 F R U F2 D R
L2 F R U F2 D' R
L2 F R U F2 D2 R
L2 F R U' L' U2 F2
L2 F R B U F2 R
L2 F R B' U F2 R
B' U2 B L2 U F' R
L2 F R B2 U F2 R
L2 F R' U R F2 R
L2 F R' U R' F2 R
L2 F R' U R2 F2 R
L2 F R' U F2 R D
L2 F R' U F2 R D'
L2 F R' U F2 R D2
L2 F R' U F2 D R
L2 F R' U F2 D' R
L2 F R' U F2 D2 R
L2 F R' U' L' U2 F2
L2 F R' B U F2 R
L2 F R' B' U F2 R
B' U2 B' L2 U F' R
L2 F R' B2 U F2 R
L2 F R2 U R F2 R
L2 F R2 U R' F2 R
L2 F R2 U R2 F2 R
L2 F R2 U F2 R D
L2 F R2 U F2 R D'
L2 F R2 U F2 R D2
L2 F R2 U F2 D R
L2 F R2 U F2 D' R
L2 F R2 U F2 D2 R
L2 F R2 U' L' U2 F2
L2 F R2 B U F2 R
L2 F R2 B' U F2 R
B' U2 B2 L2 U F' R
L2 F R2 B2 U F2 R
L2 F U R F2 R D
L2 F U R F2 R D'
L2 F U R F2 R D2
L2 F U R F2 D R
L2 F U R F2 D' R
L2 F U R F2 D2 R
L2 F U R' F2 R D
L2 F U R' F2 R D'
L2 F U R' F2 R D2
L2 F U R' F2 D R
L2 F U R' F2 D' R
L2 F U R' F2 D2 R
L2 F U R2 F2 R D
L2 F U R2 F2 R D'
L2 F U R2 F2 R D2
L2 F U R2 F2 D R
L2 F U R2 F2 D' R
L2 F U R2 F2 D2 R
L2 F U F R F R
L2 F U F R' F R
L2 F U F R2 F R
L2 F U F D F R
L2 F U F D' F R
L2 F U F D2 F R
L2 F U F2 R2 D R'
L2 F U F2 R2 D' R'
L2 F U F2 R2 D2 R'
L2 F U F2 D R D
L2 F U F2 D R D'
L2 F U F2 D R D2
L2 F U F2 D' R D
L2 F U F2 D' R D'
L2 F U F2 D' R D2
L2 F U F2 D2 R D
L2 F U F2 D2 R D'
L2 F U F2 D2 R D2
L2 F U F2 B R B'
L2 F U F2 B2 R B2
L2 F U B F2 R B'
L2 F U B2 F2 R B2
L2 F U' L' U2 F2 D
L2 F U' L' U2 F2 D'
L2 F U' L' U2 F2 D2
L2 F U' L' D2 B2 U2
L2 F U' L' B U2 F2
L2 F U' L' B' U2 F2
L2 F U' L' B2 U2 F2
L2 F U' D2 L' B2 U2
L2 F U' D2 B2 L' U2
L2 F U' B L' U2 F2
L2 F U' B U2 F2 R
L2 F U' B' L' U2 F2
L2 F U' B' U2 F2 R
L2 F U' B2 L' U2 F2
L2 F U' B2 U2 F2 R
L2 F U2 F' U' F' R
L2 F D R2 U' L' U2
L2 F D2 U' L' B2 U2
L2 F D2 U' B2 L' U2
L2 F B R U F2 R
L2 F B R' U F2 R
L2 F B R2 U F2 R
L2 F B U R F2 R
L2 F B U R' F2 R
L2 F B U R2 F2 R
L2 F B U F2 R D
L2 F B U F2 R D'
L2 F B U F2 R D2
L2 F B U F2 D R
L2 F B U F2 D' R
L2 F B U F2 D2 R
L2 F B U' L' U2 F2
L2 F B' R U F2 R
L2 F B' R' U F2 R
L2 F B' R2 U F2 R
L2 F B' U R F2 R
L2 F B' U R' F2 R
L2 F B' U R2 F2 R
L2 F B' U F2 R D
L2 F B' U F2 R D'
L2 F B' U F2 R D2
L2 F B' U F2 D R
L2 F B' U F2 D' R
L2 F B' U F2 D2 R
L2 F B' U' L' U2 F2
L2 F B2 R U F2 R
L2 F B2 R' U F2 R
L2 F B2 R2 U F2 R
L2 F B2 U R F2 R
L2 F B2 U R' F2 R
L2 F B2 U R2 F2 R
L2 F B2 U F2 R D
L2 F B2 U F2 R D'
L2 F B2 U F2 R D2
L2 F B2 U F2 D R
L2 F B2 U F2 D' R
L2 F B2 U F2 D2 R
L2 F B2 U' L' U2 F2
U' F' L2 F U F' R
L F' L F U F' R
L2 F' L2 R D' L2 B2
L2 F' L2 R D' B2 L2
U' F' R U' L2 F U
L2 F' L2 D' L2 R B2
L2 F' L2 D' L2 B2 R
L2 F' L2 D' R L2 B2
L2 F' L2 D' R B2 L2
