L2 R U' B2 L U'
R L2 U' B2 L U'
R L2 U' B2 L U'
L2 R2 D B2 U2 L2
R2 L2 D B2 U2 L2
L2 R2 D' R2 U2 F2
R2 L2 D' R2 U2 F2
B' L2 U F U F'
U' L2 U' B2 U' B2
L2 U D2 F2 U F2
L2 U' B2 U B2 U2
L2 U' B2 U' D2 F2
L2 U' B2 D L2 U'
L2 U' B2 D2 U' F2
L2 U2 L2 D L2 F2
L2 U2 L2 D F2 L2
L2 U2 D L2 D F2
D' R2 U R2 B2 U
D' R2 U B2 R2 U
D' R2 U2 D' R2 F2
D' R2 U2 D' F2 R2
D' R2 D L2 B2 U2
D' R2 D B2 L2 U2
D' R2 D' U2 R2 F2
D' R2 D' U2 F2 R2
L U2 B2 U' R' B2
L2 D U2 L2 D F2
U2 D L2 D R2 F2
U2 D L2 D F2 R2
D2 U F2 U R2 F2
D2 U F2 U F2 R2
L2 D' R2 U R2 U
L2 D' R2 U2 D' F2
L2 D' R2 D B2 U2
L2 D' R2 D' U2 F2
D U2 L2 D R2 F2
D U2 L2 D F2 R2
L2 D2 U F2 U F2
U D2 F2 U R2 F2
U D2 F2 U F2 R2
D2 F2 U R2 D2 B2
D2 F2 U' F2 U2 R2
F' D2 F2 U R2 B
F2 D2 F2 U R2 B2
F2 D2 F2 U B2 R2
U' B2 U L2 B2 U2
U2 B2 U L2 U2 B2
U' B2 U B2 L2 U2
U' B2 U' D2 R2 F2
U' B2 U' D2 F2 R2
U2 B2 U' B2 D2 R2
U' B2 D L2 F2 U'
U' B2 D F2 L2 U'
U' B2 D2 U' R2 F2
U' B2 D2 U' F2 R2
L2 R U R' U D L2
L2 R U R' U2 B2 U'
L2 R U R' D U L2
L2 R U R' D2 F2 U
L2 R U D R' U L2
L2 R U D2 R' F2 U
L2 R U D2 F2 R' U
L2 R U' L B2 L U'
L2 R U' L' B2 L U'
L2 R U' L2 B2 L U'
D' L R2 U R2 B2 U
D' L R2 U B2 R2 U
D' L R2 U2 D' R2 F2
D' L R2 U2 D' F2 R2
D' L R2 D L2 B2 U2
D' L R2 D B2 L2 U2
D' L R2 D' U2 R2 F2
D' L R2 D' U2 F2 R2
L2 R U' B2 L U' D
L2 R U' B2 L U' D'
L2 R U' B2 L U' D2
L2 R U' B2 L D U'
L2 R U' B2 L D' U'
L2 R U' B2 L D2 U'
L R U' B2 L U' R'
L2 R U' B2 D L U'
L2 R U' B2 D' L U'
L2 R U' B2 D2 L U'
R L U' B2 L U' R'
R2 L D L B2 R' U2
D2 L U F2 U R2 F2
D2 L U F2 U F2 R2
U2 L U B2 L' U' R'
L2 R D U R' U L2
R2 L D B2 U2 L2 R'
R2 L D B2 U2 R' L2
R2 L D' L R2 U2 F2
R2 L D' R2 L U2 F2
L2 R D' R2 U R U
U' L U' B2 U' R' B2
L2 R D2 U R' F2 U
L2 R D2 U F2 R' U
F2 L D2 F2 U B2 R'
L2 R B' U' B' L U'
D2 L F2 U R2 D2 B2
D2 L F2 U' F2 U2 R2
L2 R B2 U' L U' L'
L2 R' U R U D L2
L2 R' U R U2 B2 U'
L2 R' U R D U L2
L2 R' U R D2 F2 U
L2 R' U D R U L2
L2 R' U D2 R F2 U
U2 L B2 L' U' R' B2
L2 R' U' B2 U2 R U
U' L B2 U B2 L U2
U' L B2 U' R' D2 F2
U' L B2 U' D2 R' F2
U' L B2 U' D2 F2 R'
U' L B2 D L2 U' R'
U' L B2 D2 U' R' F2
U' L B2 D2 U' F2 R'
R2 L' D L' B2 U2 L'
L2 R' D U R U L2
R2 L' D B2 L' U2 L'
D' L' R2 U R2 B2 U
R2 L' D' L' R2 U2 F2
D' L' R2 U B2 R2 U
D' L' R2 U2 D' R2 F2
D' L' R2 U2 D' F2 R2
D' L' R2 D L2 B2 U2
D' L' R2 D B2 L2 U2
D' L' R2 D' U2 R2 F2
D' L' R2 D' U2 F2 R2
R2 L' D' R2 L' U2 F2
L2 R' D' R2 U R' U
R2 L' D' R2 U2 F2 R
L2 R' D2 U R F2 U
D2 L' U F2 U R2 F2
D2 L' U F2 U F2 R2
F2 L' D2 F2 U R B2
F2 L' D2 F2 U B2 R
R' L2 U R U D L2
R' L2 U R U2 B2 U'
R' L2 U R D U L2
R' L2 U R D2 F2 U
R' L2 U D R U L2
R' L2 U D2 R F2 U
L2 R2 U R2 U D L2
R2 L2 U R2 U D L2
L2 R2 U R2 U2 B2 U'
R2 L2 U R2 U2 B2 U'
L2 R2 U R2 D U L2
R2 L2 U R2 D U L2
R2 L2 U R2 D2 F2 U
L2 R2 U R2 D2 F2 U
R L2 U R' U D L2
R L2 U R' U2 B2 U'
R L2 U R' D U L2
R L2 U R' D2 F2 U
R L2 U D R' U L2
R L2 U D2 R' F2 U
R L2 U D2 F2 R' U
D2 L' F2 U R2 D2 B2
R L2 U' L B2 L U'
D2 L' F2 U' F2 U2 R2
R L2 U' L' B2 L U'
R L2 U' L2 B2 L U'
R' L2 U' B2 U2 R U
L2 R2 U' B2 U' D' F2
L2 R2 U' B2 U2 R2 U
L2 R2 U' B2 D' U' F2
L2 R2 U' B2 D2 L2 U'
R2 L2 U' B2 U' D' F2
R2 L2 U' B2 U2 R2 U
R2 L2 U' B2 D' U' F2
R2 L2 U' B2 D2 L2 U'
R L2 U' B2 L U' D
R L2 U' B2 L U' D'
R L2 U' B2 L U' D2
R L2 U' B2 L D U'
R L2 U' B2 L D' U'
R L2 U' B2 L D2 U'
R L2 U' B2 D L U'
R L2 U' B2 D' L U'
R L2 U' B2 D2 L U'
L2 R2 U2 D L2 D2 F2
R2 L2 U2 D L2 D2 F2
L2 R2 U2 D' F2 D2 L2
R2 L2 U2 D' F2 D2 L2
L' R2 D L' B2 U2 L'
R' L2 D U R U L2
L R2 D L B2 R' U2
L2 R2 D R B2 U2 L2
R2 L2 D R B2 U2 L2
L2 R2 D R' B2 U2 L2
R2 L2 D R' B2 U2 L2
L2 R2 D R2 B2 U2 L2
R2 L2 D R2 B2 U2 L2
L2 R2 D U2 L2 D2 F2
R2 L2 D U2 L2 D2 F2
L' R2 D B2 L' U2 L'
R L2 D U R' U L2
L' R2 D' L' R2 U2 F2
L2 R2 D B' U2 L2 F
R2 L2 D B' U2 L2 F
L2 R2 D B2 R U2 L2
L2 R2 D B2 R' U2 L2
L2 R2 D B2 R2 U2 L2
L2 R2 D B2 U2 L2 D
L2 R2 D B2 U2 L2 D'
