L U F R U
R' L U F U F2
R' L U2 F' D' L2
D' L U F R U
D L U F R U
D2 L U F R U
L R B U F U
R L B U F U
L R' U F U F2
L R' U2 F' D' L2
L U R F R U
L U R' F R U
L U R2 F R U
L U D F R U
L U D' F R U
L U D2 F R U
L U F R U D
L U F R U D'
L U F R U D2
L U F R D U
L U F R D' U
L U F R D2 U
L U F D R U
L U F D' R U
L U F D2 R U
L U2 L D F L'
L D U F R U
L D' U F R U
L D2 U F R U
L B U F R U
L B' U F R U
L B2 U F R U
R2 L U R F U F2
R' L U D F U F2
R' L U D' F U F2
L R U R2 F U F2
R' L U D2 F U F2
R' L U F R U F2
R' L U F R' U F2
R' L U F R2 U F2
R' L U F U F2 D
R' L U F U F2 D'
R' L U F U F2 D2
R' L U F D R2 U
R L U R2 F U F2
R2 L U F R U F'
D2 L R B U F U
D' L R B U F U
L R U F R2 U F'
L R U F U' B U2
D L R B U F U
R L U F R2 U F'
R L U F U' B U2
D2 L R' U F U F2
D' L R' U F U F2
D L R' U F U F2
R' L U' L' U' F' L'
D2 L R' U2 F' D' L2
D' L R' U2 F' D' L2
R' L U' L2 B' U' F'
D L R' U2 F' D' L2
B2 L R' F' D' L2 B'
R' L U2 D F' D' L2
R' L U2 D' F' D' L2
R' L U2 D2 F' D' L2
R' L U2 F' L D' L2
R' L U2 F' L' D' L2
R' L U2 F' L2 D' L2
R' L U2 F' U' F2 U
R' L U2 F' D' L2 D
R' L U2 F' D' L2 D'
R' L U2 F' D' L2 D2
D' L U R F R U
D2 L U R F R U
D' L U R' F R U
D2 L U R' F R U
D L U R F R U
D' L U R2 F R U
D2 L U R2 F R U
D' L U D F R U
D L U R' F R U
D2 L U D F R U
D' L U D' F R U
D2 L U D' F R U
D L U R2 F R U
B' L U F R B U
D' L U D2 F R U
D2 L U D2 F R U
D L U D F R U
D' L U F R U D
D' L U F R U D'
D' L U F R U D2
D' L U F R D U
D' L U F R D' U
D' L U F R D2 U
D2 L U F R U D
D2 L U F R U D'
D2 L U F R U D2
D2 L U F R D U
D2 L U F R D' U
D2 L U F R D2 U
D' L U F D R U
D' L U F D' R U
D L U D' F R U
D' L U F D2 R U
B2 L U F R U R2
D2 L U F D R U
D2 L U F D' R U
D2 L U F D2 R U
D L U D2 F R U
D L U F R U D
D L U F R U D'
D L U F R U D2
D L U F R D U
D L U F R D' U
D L U F R D2 U
D L U F D R U
D L U F D' R U
D L U F D2 R U
R' L D U F U F2
R' L D U2 F' D' L2
L R D B U F U
R L D B U F U
L2 R D' L' B R' U2
R' L D' U F U F2
R' L D' U2 F' D' L2
D2 L U2 L D F L'
D' L U2 L D F L'
D L U2 L D F L'
L2 R D' B L' R' U2
L2 R D' B R' L' U2
L R D' B U F U
R L D' B U F U
R' L D2 U F U F2
R' L D2 U2 F' D' L2
L R D2 B U F U
D2 L D U F R U
D' L D U F R U
R L D2 B U F U
D L D U F R U
D' L D' U F R U
D2 L D' U F R U
D L D' U F R U
D' L D2 U F R U
D2 L D2 U F R U
D L D2 U F R U
L' R B L2 U' B2 U'
L' R B L2 U2 D L2
L' R B L2 D U2 L2
L' R B L2 D' R2 U2
L2 R B L' U F U
L R B R U F U
R' L B U F U F2
L R B R' U F U
R L B R U F U
L R B R2 U F U
R L B R' U F U
R' L B U2 F' D' L2
R L B R2 U F U
L R B U D F U
L R B U D' F U
L R B U D2 F U
L R B U F U D
L R B U F U D'
L R B U F U D2
L R B U F D U
L R B U F D' U
L R B U F D2 U
R L B U D F U
R L B U D' F U
R L B U D2 F U
R L B U F U D
R L B U F U D'
R L B U F U D2
R L B U F D U
R L B U F D' U
R L B U F D2 U
L R B D U F U
L R B D' U F U
R L B D U F U
L R B D2 U F U
R L B D' U F U
R L B D2 U F U
R' L B' U F U F2
R' L B' U2 F' D' L2
R' L B2 U F U F2
R' L B2 U2 F' D' L2
D2 L B U F R U
D' L B U F R U
D L B U F R U
L R' U D F U F2
L R' U D' F U F2
L R' U D2 F U F2
L R' U F R U F2
L R' U F R' U F2
L R' U F R2 U F2
L R' U F U F2 D
L R' U F U F2 D'
L R' U F U F2 D2
L R' U F D R2 U
D2 L B' U F R U
D' L B' U F R U
D L B' U F R U
L R' U' L' U' F' L'
L R' U' L2 B' U' F'
D2 L B2 U F R U
D' L B2 U F R U
D L B2 U F R U
L R' U2 D F' D' L2
L R' U2 D' F' D' L2
L R' U2 D2 F' D' L2
L R' U2 F' L D' L2
L R' U2 F' L' D' L2
L R' U2 F' L2 D' L2
L R' U2 F' U' F2 U
L R' U2 F' D' L2 D
L R' U2 F' D' L2 D'
L R' U2 F' D' L2 D2
L R' D U F U F2
L R' D U2 F' D' L2
L R' D' U F U F2
L R' D' U2 F' D' L2
L R' D2 U F U F2
L R' D2 U2 F' D' L2
R L' B L2 U' B2 U'
R L' B L2 U2 D L2
R L' B L2 D U2 L2
R L' B L2 D' R2 U2
L R' B U F U F2
L R' B U2 F' D' L2
L R' B' U F U F2
L R' B' U2 F' D' L2
L R' B2 U F U F2
L R' B2 U2 F' D' L2
L R2 U R F U F2
L R2 U F R U F'
R L2 D' L' B R' U2
R L2 D' B L' R' U2
R L2 D' B R' L' U2
R L2 B L' U F U
L U R D F R U
L U R D' F R U
L U R D2 F R U
L U R F R U D
L U R F R U D'
L U R F R U D2
L U R F R D U
L U R F R D' U
L U R F R D2 U
L U R F D R U
L U R F D' R U
L U R F D2 R U
L U R' D F R U
L U R' D' F R U
L U R' D2 F R U
L U R' F R U D
L U R' F R U D'
L U R' F R U D2
L U R' F R D U
L U R' F R D' U
L U R' F R D2 U
L U R' F D R U
L U R' F D' R U
L U R' F D2 R U
L U R2 D F R U
L U R2 D' F R U
L U R2 D2 F R U
L U R2 F R U D
