L U2 F B R U
L U2 B F R U
B' U2 R' F' B2 U
B' U2 R' B2 F' U
L' B' U2 R' B2 U
B' L U2 R' F B2 U
B' L U2 R' B2 F U
B' L U2 F R' B2 U
F' L U2 F B R U
D2 L U2 F B R U
D' L U2 F B R U
F2 L U2 F B R U
D L U2 F B R U
B L U2 F U2 F' U'
F L U2 F B R U
D2 L U2 B F R U
F' L U2 B F R U
D' L U2 B F R U
F2 L U2 B F R U
D L U2 B F R U
F L U2 B F R U
B L B U2 F B' U
B L B U2 B' F U
B L B' U2 F B U
B L B' U2 B F U
B L B2 U2 F B2 U
B L B2 U2 B2 F U
B L' B L2 F B2 U'
B L' B L2 B2 F U'
B2 L' B' L U2 B' U
B2 L' B' L' F L2 U'
B L' B' L2 U2 B U
D2 L' B' U2 R' B2 U
D' L' B' U2 R' B2 U
F' L' B' U2 R' B2 U
F2 L' B' U2 R' B2 U
D L' B' U2 R' B2 U
F L' B' U2 R' B2 U
B2 L2 D F U' L' F
B2 L2 F L B' L U'
B2 L2 F B' L B' U'
B2 L2 B' F L B' U'
U R D B U2 L R'
U R D B U2 R' L
B' R B2 L R2 F U
B' R B2 L F R2 U
B' R B2 R2 L F U
B R' U2 L R B U'
B R' U2 R L B U'
U2 R' F R F2 B U
U2 R' F R B F2 U
L U2 R' F R B U
B' R' B2 U2 R B U'
L U2 D F B R U
L U2 D B F R U
L U2 D' F B R U
L U2 D' B F R U
L U2 D2 F B R U
L U2 D2 B F R U
L U2 F D B R U
L U2 F D' B R U
L U2 F D2 B R U
L U2 F B R U D
L U2 F B R U D'
L U2 F B R U D2
L U2 F B R D U
L U2 F B R D' U
L U2 F B R D2 U
L U2 F B D R U
L U2 F B D' R U
L U2 F B D2 R U
L U2 F B' R B2 U
L U2 F B2 R B' U
L U2 B R F R U
L U2 B R' F R U
L U2 B R2 F R U
L U2 B D F R U
L U2 B D' F R U
L U2 B D2 F R U
L U2 B F R U D
L U2 B F R U D'
L U2 B F R U D2
L U2 B F R D U
L U2 B F R D' U
L U2 B F R D2 U
L U2 B F D R U
L U2 B F D' R U
L U2 B F D2 R U
L U2 B' F R B2 U
L U2 B2 F R B' U
L D U2 F B R U
L D U2 B F R U
L' D B' U2 R' B2 U
L D' U2 F B R U
L D' U2 B F R U
L' D' B' U2 R' B2 U
L D2 U2 F B R U
L D2 U2 B F R U
B' U2 R' D' F' U R2
B' U2 R' F' U D' R2
B' U2 R' F' D' U R2
B' U2 R' F' B2 U D
B' U2 R' F' B2 U D'
B' U2 R' F' B2 U D2
B' U2 R' F' B2 D U
B' U2 R' F' B2 D' U
B' U2 R' F' B2 D2 U
B' U2 R' B2 D F' U
B' U2 R' B2 D' F' U
B' U2 R' B2 D2 F' U
B' U2 R' B2 F' U D
B' U2 R' B2 F' U D'
B' U2 R' B2 F' U D2
B' U2 R' B2 F' D U
B' U2 R' B2 F' D' U
B' U2 R' B2 F' D2 U
L' D2 B' U2 R' B2 U
B' U2 R2 B2 R F' U
B' U2 D' R' F' U R'
B' U2 F R' F' B2 U
B' U2 F R' B2 F' U
B' U2 F' R' F' B2 U
B' U2 F' R' B2 F' U
B' U2 F2 R' F' B2 U
B' U2 F2 R' B2 F' U
B2 U2 B R' F' B2 U
B2 U2 B R' B2 F' U
U2 F B R U2 B U'
U2 F B R' F' R2 U
L' F B' U2 R' B2 U
U2 F' B U2 L' B' U'
L' F' B' U2 R' B2 U
B' D' U2 R' F' U R'
U2 F2 R' F' R B U
U2 F2 D2 B R' F' U
U2 F2 B R' F' R U
L' F2 B' U2 R' B2 U
L' B L B2 U' D' R2
L' B L B2 U2 B2 U
L' B L B2 D' U' R2
L' B L B2 D2 F2 U'
L2 B L B' U2 B U
B' D2 F2 U2 R' F' U
U2 B R U2 B L U'
U2 B R' F R F2 U
U2 B R' F' U2 L' U'
U2 B R2 F R F' U
U2 B U L F' L' F2
U2 B U L2 F' L' F
U2 B U F' L F L2
U2 B U F2 L F L'
U2 B U' R B U2 L
U2 B U' R' U2 F' L'
U2 B U' B U2 L F
U2 B U' B' R' U2 F'
U2 B F R U2 B U'
U2 B F R' F' R2 U
U2 B F' U2 L' B' U'
U2 B F2 R' F' R U
L' B' L U2 R' B2 U
B' F U2 R' F' B2 U
B' F U2 R' B2 F' U
L' B' L' U2 R' B2 U
L' B' L2 U2 R' B2 U
U B' R' U B2 U F'
U B' R' U2 D' F' R2
U B' R' U2 F' D' R2
U B' R' D L2 U2 F'
U B' R' D' U2 F' R2
L' B' U' R D' R2 F2
L' B' U' R D' F2 R2
D2 B' U2 R' F' B2 U
D2 B' U2 R' B2 F' U
D' B' U2 R' F' B2 U
D' B' U2 R' B2 F' U
L' B' U2 R B2 R2 U
L' B' U2 R' U D' R2
L' B' U2 R' D' U R2
L' B' U2 R' B2 U D
L' B' U2 R' B2 U D'
L' B' U2 R' B2 U D2
L' B' U2 R' B2 D U
L' B' U2 R' B2 D' U
L' B' U2 R' B2 D2 U
L' B' U2 R2 B2 R U
L' B' U2 D' R' U R'
L' B' U2 B2 U2 L U'
U B' U B2 U L F
D B' U2 R' F' B2 U
D B' U2 R' B2 F' U
L B' U2 R' F B2 U
L B' U2 R' B2 F U
L' B' D' U2 R' U R'
L B' U2 F R' B2 U
U B' D L2 R' U2 F'
U B' D R' L2 U2 F'
L' B' D2 F2 U2 R' U
U B' D' R' U2 F' R'
L' B' F U2 R' B2 U
