R2 L D' L2 F' B'
R2 L D' L2 B' F'
R2 L' D' F' B' L2
R2 L' D' B' L2 F'
R2 L' D' B' F' L2
F2 L' U R2 F' B'
F2 L' U R2 B' F'
R2 L' B' D' L2 F'
R2 L' B' D' F' L2
L' R2 D' F' B' L2
L' R2 D' B' L2 F'
L' R2 D' B' F' L2
L R2 D' L2 F' B'
L R2 D' L2 B' F'
L' R2 B' D' L2 F'
L' R2 B' D' F' L2
R2 D' L' B' L' F'
R2 D' F' L' B' L'
R2 F' U' F' L' U
L' F2 U R2 F' B'
L' F2 U R2 B' F'
L F2 U R2 F' B
L F2 U R2 B F'
F2 L U R2 F' D2 B2
F2 L U F2 R2 F' B
F2 L U F2 R2 B F'
B L U F2 U R2 B
R2 L D F' D2 L2 B2
R2 L D F' D2 B2 L2
R' L D' L2 R' F' B'
R' L D' L2 R' B' F'
R2 L D' L F' L B'
F2 L U' F U2 R2 F'
R' L D' R' L2 F' B'
R' L D' R' L2 B' F'
F2 L U' F B U2 R2
R2 L D' L2 D F' B'
R2 L D' L2 D B' F'
R2 L D' L2 D' F' B'
R2 L D' L2 D' B' F'
R2 L D' L2 D2 F' B'
R2 L D' L2 D2 B' F'
R2 L D' L2 F' D B'
R2 L D' L2 F' D' B'
R2 L D' L2 F' D2 B'
R2 L D' L2 F' B' D
R2 L D' L2 F' B' D'
R2 L D' L2 F' B' D2
R2 L D' L2 B' D F'
R2 L D' L2 B' D' F'
R2 L D' L2 B' D2 F'
R2 L D' L2 B' F' D
R2 L D' L2 B' F' D'
R2 L D' L2 B' F' D2
F2 L U' B F U2 R2
R2 L D' F' L2 D2 B2
R2 L D' B L2 F' B'
R2 L D' B L2 B' F'
R2 L D' B' L2 F' B'
R2 L D' B' L2 B' F'
R2 L D' B2 L2 F' B'
R2 L D' B2 L2 B' F'
B L U2 R2 D' L2 B'
B L F U F U R2
R2 L B D' L2 F' B'
R2 L B D' L2 B' F'
L' R B' R D' L2 F'
L' R B' R D' F' L2
R2 L B' D' L2 F' B'
R2 L B' D' L2 B' F'
R2 L B2 D' L2 F' B'
R2 L B2 D' L2 B' F'
R2 L' U' F2 U F B'
R2 L' U' F2 U B' F
F2 L' R U R F' B'
F2 L' R U R B' F'
F2 L' R U B' R F'
R2 L' D F' D2 B' L2
R2 L' D F' B' D2 L2
R2 L' D B' D2 L2 F'
R2 L' D B' D2 F' L2
R2 L' D B' F' D2 L2
R' L' D' R' F' B' L2
R' L' D' R' B' L2 F'
R' L' D' R' B' F' L2
L' R' D' R' F' B' L2
L' R' D' R' B' L2 F'
L' R' D' R' B' F' L2
L R' D' L2 R' F' B'
L R' D' L2 R' B' F'
R2 L' D' L2 F' D2 B2
L R' D' R' L2 F' B'
L R' D' R' L2 B' F'
F' L' R2 F' B' D L2
R2 L' D' F B' L2 F2
R2 L' D' F' B L2 B2
R2 L' D' F' B' L2 D
R2 L' D' F' B' L2 D'
R2 L' D' F' B' L2 D2
R2 L' D' F' B2 L2 B
F' L' R2 B' D L2 F'
F' L' R2 B' D F' L2
F' L' R2 B' F' D L2
R2 L' D' B L2 F' B2
R2 L' D' B L2 B2 F'
R2 L' D' B F' L2 B2
B' L' R2 B' D' L2 F
R2 L' D' B' L F' L
R2 L' D' B' L2 D F'
R2 L' D' B' L2 D' F'
R2 L' D' B' L2 D2 F'
R2 L' D' B' L2 F' D
R2 L' D' B' L2 F' D'
R2 L' D' B' L2 F' D2
R2 L' D' B' F L2 F2
R2 L' D' B' F' L2 D
R2 L' D' B' F' L2 D'
R2 L' D' B' F' L2 D2
R2 L' D' B2 L2 F' B
R2 L' D' B2 L2 B F'
R2 L' D' B2 F' L2 B
F2 L' U R B' R F'
F2 L' U R2 D F' B'
F2 L' U R2 D B' F'
F2 L' U R2 D' F' B'
F2 L' U R2 D' B' F'
F2 L' U R2 D2 F' B'
F2 L' U R2 D2 B' F'
F2 L' U R2 F' D B'
F2 L' U R2 F' D' B'
F2 L' U R2 F' D2 B'
F2 L' U R2 F' B' D
F2 L' U R2 F' B' D'
F2 L' U R2 F' B' D2
F2 L' U R2 B' D F'
F2 L' U R2 B' D' F'
F2 L' U R2 B' D2 F'
F2 L' U R2 B' F' D
F2 L' U R2 B' F' D'
F2 L' U R2 B' F' D2
F2 L' U F R2 F' B'
F2 L' U F R2 B' F'
F2 L' U F' R2 F' B'
F2 L' U F' R2 B' F'
R2 L' D2 F' D B' L2
F2 L' U F2 R2 F' B'
F2 L' U F2 R2 B' F'
F2 L' U B' R2 D2 F2
B L' U F2 U R2 B'
B L' U F2 U B' R2
F L' U' R2 F' B' L'
F L' U' R2 B' F' L'
F2 L' U' B U2 R2 B2
F2 L' U' B U2 B2 R2
R2 L' F' U' F' U B'
B L' U2 R2 D' B' L2
B L' U2 R2 B' D' L2
R2 L' F' B' U' F' U
B L' U2 B' R2 D' L2
D' L' D R2 B' L' F'
R2 L' B' L D' L2 F'
R2 L' B' L D' F' L2
R2 L' B' L' D' L2 F'
R2 L' B' L' D' F' L2
R2 L' B' L2 D' L2 F'
R2 L' B' L2 D' F' L2
R L' B' R D' L2 F'
R L' B' R D' F' L2
R2 L' B' U' F2 U F
R2 L' B' D F' D2 L2
R2 L' B' D' L F' L
R2 L' B' D' L2 D F'
R2 L' B' D' L2 D' F'
R2 L' B' D' L2 D2 F'
R2 L' B' D' L2 F' D
R2 L' B' D' L2 F' D'
R2 L' B' D' L2 F' D2
R2 L' B' D' F L2 F2
R2 L' B' D' F' L2 D
R2 L' B' D' F' L2 D'
R2 L' B' D' F' L2 D2
R2 L' B' D2 F' D L2
R2 L' B' F' U' F' U
R2 L' B2 D' L2 F' B
R2 L' B2 D' L2 B F'
R2 L' B2 D' F' L2 B
R2 L' B2 D' F' B L2
R2 L' B2 D' B L2 F'
R2 L' B2 D' B F' L2
F' L' F' U R2 F' B'
F' L' F' U R2 B' F'
L' R2 U' F2 U F B'
L' R2 U' F2 U B' F
B' L' B' R2 D' L2 F
L' R2 D F' D2 B' L2
L' R2 D F' B' D2 L2
B L' B' R2 D' L2 F'
B L' B' R2 D' F' L2
L' R2 D B' D2 L2 F'
L' R2 D B' D2 F' L2
L' R2 D B' F' D2 L2
L R2 D F' D2 L2 B2
L R2 D F' D2 B2 L2
L' R2 D' L2 F' D2 B2
L R2 D' L F' L B'
L R2 D' L2 D F' B'
L R2 D' L2 D B' F'
L R2 D' L2 D' F' B'
L R2 D' L2 D' B' F'
L R2 D' L2 D2 F' B'
L R2 D' L2 D2 B' F'
L R2 D' L2 F' D B'
L R2 D' L2 F' D' B'
L R2 D' L2 F' D2 B'
L R2 D' L2 F' B' D
L R2 D' L2 F' B' D'
L R2 D' L2 F' B' D2
L R2 D' L2 B' D F'
L R2 D' L2 B' D' F'
L R2 D' L2 B' D2 F'
L R2 D' L2 B' F' D
L R2 D' L2 B' F' D'
L R2 D' L2 B' F' D2
L' R2 D' F B' L2 F2
L' R2 D' F' B L2 B2
L' R2 D' F' B' L2 D
L' R2 D' F' B' L2 D'
L' R2 D' F' B' L2 D2
L' R2 D' F' B2 L2 B
L' R2 D' B L2 F' B2
L' R2 D' B L2 B2 F'
L' R2 D' B F' L2 B2
L' R2 D' B' L F' L
L' R2 D' B' L2 D F'
L' R2 D' B' L2 D' F'
L' R2 D' B' L2 D2 F'
L' R2 D' B' L2 F' D
L' R2 D' B' L2 F' D'
L' R2 D' B' L2 F' D2
L' R2 D' B' F L2 F2
L' R2 D' B' F' L2 D
L' R2 D' B' F' L2 D'
L' R2 D' B' F' L2 D2
L' R2 D' B2 L2 F' B
L' R2 D' B2 L2 B F'
L' R2 D' B2 F' L2 B
L R2 D' F' L2 D2 B2
L R2 D' B L2 F' B'
L R2 D' B L2 B' F'
L R2 D' B' L2 F' B'
L R2 D' B' L2 B' F'
L R2 D' B2 L2 F' B'
L R2 D' B2 L2 B' F'
L' R2 D2 F' D B' L2
L' R2 F' U' F' U B'
L' R2 F' B' U' F' U
L' R2 B' L D' L2 F'
L' R2 B' L D' F' L2
L' R2 B' L' D' L2 F'
L' R2 B' L' D' F' L2
L' R2 B' L2 D' L2 F'
L' R2 B' L2 D' F' L2
L R2 B D' L2 F' B'
L R2 B D' L2 B' F'
L' R2 B' U' F2 U F
L' R2 B' D F' D2 L2
L' R2 B' D' L F' L
L' R2 B' D' L2 D F'
L' R2 B' D' L2 D' F'
L' R2 B' D' L2 D2 F'
L' R2 B' D' L2 F' D
L' R2 B' D' L2 F' D'
L' R2 B' D' L2 F' D2
L' R2 B' D' F L2 F2
L' R2 B' D' F' L2 D
L' R2 B' D' F' L2 D'
L' R2 B' D' F' L2 D2
L' R2 B' D2 F' D L2
L' R2 B' F' U' F' U
L R2 B' D' L2 F' B'
L R2 B' D' L2 B' F'
L' R2 B2 D' L2 F' B
L' R2 B2 D' L2 B F'
L' R2 B2 D' F' L2 B
L' R2 B2 D' F' B L2
L' R2 B2 D' B L2 F'
L' R2 B2 D' B F' L2
L R2 B2 D' L2 F' B'
L R2 B2 D' L2 B' F'
L' U R2 D' F' B' L2
L' U R2 D' B' L2 F'
L' U R2 D' B' F' L2
L' U R2 B' D' L2 F'
L' U R2 B' D' F' L2
L U R2 D' L2 F' B'
L U R2 D' L2 B' F'
F2 R L' U R F' B'
F2 R L' U R B' F'
F2 R L' U B' R F'
L' U F2 U R2 F' B'
L' U F2 U R2 B' F'
L U F2 U R2 F' B
L U F2 U R2 B F'
B R U2 R D' L2 B
B R U2 R D' B L2
B R U2 R B D' L2
B R U2 D' L2 R B
B R U2 D' R L2 B
B R U2 D' R B L2
B R D' U2 L2 R B
B R D' U2 R L2 B
B R D' U2 R B L2
U2 R B R D' L2 F'
U2 R B R D' F' L2
L' U' R2 D' F' B' L2
L' U' R2 D' B' L2 F'
L' U' R2 D' B' F' L2
L' U' R2 B' D' L2 F'
L' U' R2 B' D' F' L2
L U' R2 D' L2 F' B'
L U' R2 D' L2 B' F'
R2 U' F' L' F' U F
L' U' F2 U R2 F' B'
L' U' F2 U R2 B' F'
L U' F2 U R2 F' B
L U' F2 U R2 B F'
B R' D R2 U2 R B
R U2 R D' L2 F' B
R U2 R D' L2 B F'
R U2 R D' F' L2 B
R U2 R D' F' B L2
R U2 R D' B L2 F'
R U2 R D' B F' L2
R U2 R B D' L2 F'
R U2 R B D' F' L2
L' U2 R2 D' F' B' L2
L' U2 R2 D' B' L2 F'
L' U2 R2 D' B' F' L2
L' U2 R2 B' D' L2 F'
L' U2 R2 B' D' F' L2
L U2 R2 D' L2 F' B'
L U2 R2 D' L2 B' F'
F' R2 L' F' B' D L2
F' R2 L' B' D L2 F'
B' R2 L' B' D' L2 F
F' R2 L' B' D F' L2
F' R2 L' B' F' D L2
L' U2 F2 U R2 F' B'
L' U2 F2 U R2 B' F'
L U2 F2 U R2 F' B
L U2 F2 U R2 B F'
B2 R2 D' L' B' L' F
R2 D L D2 L2 F' B'
R2 D L D2 L2 B' F'
R2 D L F' D2 L2 B2
R2 D L F' D2 B2 L2
R2 D L' D2 F' B' L2
R2 D L' D2 B' L2 F'
R2 D L' D2 B' F' L2
R2 D L' F' D2 B' L2
R2 D L' F' B' D2 L2
R2 D L' B' D2 L2 F'
R2 D L' B' D2 F' L2
R2 D L' B' F' D2 L2
F' R2 F' L' B' D L2
U' R2 F' U' L' F' U
F R2 F' L D' L2 B'
F R2 F' L' D' B' L2
F R2 F' L' B' D' L2
F R2 F' D' L' B' L'
R' D R2 U2 R F' B
R' D R2 U2 R B F'
R2 D F' L D2 L2 B'
R2 D F' L' D2 B' L2
R2 D F' L' B' D2 L2
R2 D F' D2 L' B' L'
R' D' L' R' B' L' F'
R2 D' L F' L D2 B2
R2 D' L F' D2 L B2
R2 D' L' D B' L' F'
R2 D' L' D' B' L' F'
R' D' L2 D2 R' F' B
R' D' L2 D2 R' B F'
R2 D' L' D2 B' L' F'
R2 D' L' F' D2 B' L
R2 D' L' B L' F' B2
R2 D' L' B L' B2 F'
R2 D' L' B' L F' L2
R2 D' L' B' L' D F'
R2 D' L' B' L' D' F'
R2 D' L' B' L' D2 F'
R2 D' L' B' L' F' D
R2 D' L' B' L' F' D'
R2 D' L' B' L' F' D2
R2 D' L' B' L2 F' L
R2 D' L' B' D L' F'
R2 D' L' B' D' L' F'
R2 D' L' B' D2 L' F'
R2 D' L' B2 L' F' B
R2 D' L' B2 L' B F'
R2 D' L2 F' L B' L'
L D' L2 D R2 F' B'
L D' L2 D R2 B' F'
R' D' R' L' B' L' F'
R' D' R' F' L' B' L'
B U F2 U R B R
B U F2 B L U R2
B U B L F2 U R2
B U B F2 L U R2
R2 D' F L' B' L' F2
R2 D' F' L' D B' L'
R2 D' F' L' D' B' L'
R2 D' F' L' D2 B' L'
R2 D' F' L' B L' B2
R2 D' F' L' B' L' D
R2 D' F' L' B' L' D'
R2 D' F' L' B' L' D2
R2 D' F' L' B' D L'
R2 D' F' L' B' D' L'
R2 D' F' L' B' D2 L'
R2 D' F' L' B2 L' B
R2 D' F' B L' B' L'
R2 D' F' B' L' B' L'
R2 D' F' B2 L' B' L'
