B2 L F' R B U'
F' R U2 R2 F' U
F' R D' B U' F2
F' R D2 L2 B U'
F' R D2 B L2 U'
F' R B U' D' F2
F' R B U2 R2 U
F' R B D' U' F2
F' R B D2 L2 U'
R' F' U2 R F' U'
F' B R B L U'
B2 F' L R B U'
B2 F' R L B U'
B F' R B L U'
F' B2 L R B U'
F' B2 R L B U'
F' L R U2 R2 F' U
F' L R D' B U' F2
F' L R D2 L2 B U'
F' L R D2 B L2 U'
F' L R B U' D' F2
F' L R B U2 R2 U
F' L R B D' U' F2
F' L R B D2 L2 U'
R' L F' U2 R F' U'
B2 L F' R D B U'
B2 L F' R D' B U'
B2 L F' R D2 B U'
B2 L F' R B U' D
B2 L F' R B U' D'
B2 L F' R B U' D2
B2 L F' R B D U'
B2 L F' R B D' U'
B2 L F' R B D2 U'
B L F' R B L U'
B2 L F' D R B U'
B2 L F' D' R B U'
B2 L F' D2 R B U'
B2 L F' B R B U'
B2 L F' B' R B U'
B2 L F' B2 R B U'
F' L B R B L U'
B2 L B F' R B U'
F' L B2 L R B U'
B2 L B' F' R B U'
F' L B2 R L B U'
B2 L B2 F' R B U'
F' L' R U2 R2 F' U
F' L' R D' B U' F2
F' L' R D2 L2 B U'
F' L' R D2 B L2 U'
F' L' R B U' D' F2
F' L' R B U2 R2 U
F' L' R B D' U' F2
F' L' R B D2 L2 U'
F L' R' D F' U R2
F2 L' R' F' L' B' U
F L' R' D2 F' B2 U
F L' R' D2 B2 F' U
F L' R' F' U2 F' U'
R' L' F' U2 R F' U'
L' R' F' U2 R F' U'
L2 R' F' U2 R F' U'
L R' F' U2 R F' U'
F L' D R' F' U R'
F L' D2 R' F' B2 U
F L' D2 R' B2 F' U
B2 L' F' L2 R B U'
B2 L' F' R L2 B U'
B2 L' F' R B L2 U'
B L' F' R B L U'
F' L' B R B L U'
F' L' B2 L R B U'
F' L' B2 R L B U'
F' L2 R U2 R2 F' U
F' L2 R D' B U' F2
F' L2 R D2 L2 B U'
F' L2 R D2 B L2 U'
F' L2 R B U' D' F2
F' L2 R B U2 R2 U
F' L2 R B D' U' F2
F' L2 R B D2 L2 U'
F2 L2 R' F' B' L' U
F2 L2 R' B' F' L' U
R' L2 F' U2 R F' U'
B L2 F' R B L U'
F' L2 B R B L U'
F' L2 B2 L R B U'
F' L2 B2 R L B U'
F' R L U2 R2 F' U
F' R L D' B U' F2
F' R L D2 L2 B U'
F' R L D2 B L2 U'
F' R L B U' D' F2
F' R L B U2 R2 U
F' R L B D' U' F2
F' R L B D2 L2 U'
F' R L' U2 R2 F' U
F' R L' D' B U' F2
F' R L' D2 L2 B U'
F' R L' D2 B L2 U'
F' R L' B U' D' F2
F' R L' B U2 R2 U
F' R L' B D' U' F2
F' R L' B D2 L2 U'
F' R L2 U2 R2 F' U
F' R L2 D' B U' F2
F' R L2 D2 L2 B U'
F' R L2 D2 B L2 U'
F' R L2 B U' D' F2
F' R L2 B U2 R2 U
F' R L2 B D' U' F2
F' R L2 B D2 L2 U'
F' R U2 R2 D F' U
F' R U2 R2 D' F' U
F' R U2 R2 D2 F' U
F' R U2 R2 F' U D
F' R U2 R2 F' U D'
F' R U2 R2 F' U D2
F' R U2 R2 F' D U
F' R U2 R2 F' D' U
F' R U2 R2 F' D2 U
F' R U2 F R2 F' U
F' R U2 F' R2 F' U
F' R U2 F2 R2 F' U
F' R D B U B U2
F' R D' L B U' F2
F' R D' L' B U' F2
F' R D' L2 B U' F2
F' R D' B L U' F2
F' R D' B L' U' F2
F' R D' B L2 U' F2
F' R D' B U' F2 D
F' R D' B U' F2 D'
F' R D' B U' F2 D2
F' R D' B D' L2 U'
F' R D2 L' B L' U'
F' R D2 L2 D B U'
F' R D2 L2 D' B U'
F' R D2 L2 D2 B U'
F' R D2 L2 B U' D
F' R D2 L2 B U' D'
F' R D2 L2 B U' D2
F' R D2 L2 B D U'
F' R D2 L2 B D' U'
F' R D2 L2 B D2 U'
F' R D2 B L2 U' D
F' R D2 B L2 U' D'
F' R D2 B L2 U' D2
F' R D2 B L2 D U'
F' R D2 B L2 D' U'
F' R D2 B L2 D2 U'
F' R D2 B U' D F2
F' R D2 B D U' F2
F' R D2 B' L2 B2 U'
F' R B L U' D' F2
F' R B L U2 R2 U
F' R B L D' U' F2
F' R B L D2 L2 U'
F' R B L' U' D' F2
F' R B L' U2 R2 U
F' R B L' D' U' F2
F' R B L' D2 L2 U'
F' R B L2 U' D' F2
F' R B L2 U2 R2 U
F' R B L2 D' U' F2
F' R B L2 D2 L2 U'
F' R B U D B2 U2
F' R B U' D' F2 D
F' R B U' D' F2 D'
F' R B U' D' F2 D2
F' R B U' F D' F2
F' R B U' F' D' F2
F' R B U' F2 D' F2
F' R B U2 R2 U D
F' R B U2 R2 U D'
F' R B U2 R2 U D2
F' R B U2 R2 D U
F' R B U2 R2 D' U
F' R B U2 R2 D2 U
F' R B D U B2 U2
F' R B D' L U' F2
F' R B D' L' U' F2
F' R B D' L2 U' F2
F' R B D' U' F2 D
F' R B D' U' F2 D'
F' R B D' U' F2 D2
F' R B D2 L2 U' D
F' R B D2 L2 U' D'
F' R B D2 L2 U' D2
F' R B D2 L2 D U'
F' R B D2 L2 D' U'
F' R B D2 L2 D2 U'
F' R B2 D' B' U' F2
F' R B2 D2 B' L2 U'
F2 R' L' F' L' B' U
F R' L' D F' U R2
F R' L' D2 F' B2 U
F R' L' D2 B2 F' U
F R' L' F' U2 F' U'
F2 R' L2 F' B' L' U
F2 R' L2 B' F' L' U
F R' D L' F' U R2
D R' D F' U B R'
D R' D' F' U B R
F' R' D2 F' L2 B' U
F R' D2 L' F' B2 U
F R' D2 L' B2 F' U
F R' D2 B2 L' F' U
F2 R' F' L' U D R2
F2 R' F' L' U2 F2 U'
F2 R' F' L' D U R2
F2 R' F' L' D2 B2 U
F' R' F' U2 R2 F U'
F' R' F' U2 F R2 U'
F' R' F' D2 L2 B' U
F2 R' F' U2 F2 R U'
R' U2 R F' R B U'
F2 R' F' D L' U R2
D R' F' U D B R'
F2 R' F' D2 L' B2 U
F2 R' F' D2 B2 L' U
D R' F' D U B R'
F R' F' U2 F' R U'
D R2 B R F' U B
B2 U L F' R U' L'
R' D F' U R' B R'
R' D F' U B R' B
R' D F' B U R' B
R' D B F' U R' B
R' D' L F' U R B'
R' D' L F' U B' R
B2 U F' L R U' L2
B2 U F' R L U' L2
R' D' F' L U R B'
R' D' F' L U B' R
R' D2 L F' B' L U
R' D2 L B' L F' U
R' D2 L B' F' L U
R D2 L2 B R' F' U'
R' D2 F' L B' L U
R' D2 F' B' L B' U
R' D2 B' L F' B' U
R' D2 B' L B' F' U
R' D2 B' F' L B' U
R D2 B L2 R' F' U'
R D2 B R' L2 F' U'
R D2 B R' F' L2 U'
B U2 F' L' R B' U'
B U2 F' L' B' R U'
B U2 F' R L' B' U'
F D L' R' F' U R'
F' D R U2 R2 F' U
F' D R D' B U' F2
F' D R D2 L2 B U'
F' D R D2 B L2 U'
F' D R B U' D' F2
F' D R B U2 R2 U
F' D R B D' U' F2
F' D R B D2 L2 U'
F D R' L' F' U R'
R' F' L U2 R F' U'
R' F' L' U2 R F' U'
R' F' L2 U2 R F' U'
L' F' R U2 R2 F' U
L' F' R D' B U' F2
L' F' R D2 L2 B U'
L' F' R D2 B L2 U'
L' F' R B U' D' F2
L' F' R B U2 R2 U
L' F' R B D' U' F2
L' F' R B D2 L2 U'
L2 F' R U2 R2 F' U
L2 F' R D' B U' F2
L2 F' R D2 L2 B U'
L2 F' R D2 B L2 U'
L2 F' R B U' D' F2
L2 F' R B U2 R2 U
L2 F' R B D' U' F2
L2 F' R B D2 L2 U'
F' D B R B L U'
U F' R U' L' D' F2
U F' R U' D' L' F2
U F' R U2 R2 U L'
L F' R U2 R2 F' U
U F' R D' U' L' F2
U F' R D2 L2 U' L
L F' R D' B U' F2
L F' R D2 L2 B U'
L F' R D2 B L2 U'
L F' R B U' D' F2
L F' R B U2 R2 U
L F' R B D' U' F2
L F' R B D2 L2 U'
F' D B2 L R B U'
F' D B2 R L B U'
R' F' U2 R D F' U'
R' F' U2 R D' F' U'
R' F' U2 R D2 F' U'
R' F' U2 R F' U' D
R' F' U2 R F' U' D'
R' F' U2 R F' U' D2
R' F' U2 R F' D U'
R' F' U2 R F' D' U'
R' F' U2 R F' D2 U'
D F' U2 R' U B L
F' D' R U2 R2 F' U
F' D' R D' B U' F2
F' D' R D2 L2 B U'
F' D' R D2 B L2 U'
F' D' R B U' D' F2
F' D' R B U2 R2 U
F' D' R B D' U' F2
F' D' R B D2 L2 U'
U' F' B R U' L F
L' F' B R B L U'
R' F' B U2 R F' U'
L2 F' B R B L U'
R' F' B' U2 R F' U'
L' F' B2 L R B U'
L' F' B2 R L B U'
R' F' B2 U2 R F' U'
L F' B R B L U'
L2 F' B2 L R B U'
L2 F' B2 R L B U'
U F' B2 L R U' L2
L F' B2 L R B U'
U F' B2 R L U' L2
L F' B2 R L B U'
F' D' B R B L U'
F' D' B2 L R B U'
F' D' B2 R L B U'
F D2 L' R' F' B2 U
F D2 L' R' B2 F' U
F' D2 R U2 R2 F' U
F' D2 R D' B U' F2
F' D2 R D2 L2 B U'
F' D2 R D2 B L2 U'
F' D2 R B U' D' F2
F' D2 R B U2 R2 U
F' D2 R B D' U' F2
F' D2 R B D2 L2 U'
F D2 R' L' F' B2 U
F D2 R' L' B2 F' U
F D2 R' B2 L' F' U
R2 B R F L' F2 U
R2 B R F' U2 R U'
F' D2 B R B L U'
F' D2 B2 L R B U'
F' D2 B2 R L B U'
F' B L R B L U'
F' B L' R B L U'
F' B L2 R B L U'
F' B R L B L U'
F' B R L' B L U'
F' B R L2 B L U'
F' B R D B L U'
F' B R D' B L U'
F' B R D2 B L U'
F' B R B L U' D
F' B R B L U' D'
F' B R B L U' D2
F' B R B L D U'
F' B R B L D' U'
F' B R B L D2 U'
F' B R B D L U'
F' B R B D' L U'
F' B R B D2 L U'
U' B F' R U' L F
L' B F' R B L U'
R' B F' U2 R F' U'
L2 B F' R B L U'
L B F' R B L U'
F' B D R B L U'
F' B D' R B L U'
F' B D2 R B L U'
B2 F' L R D B U'
B2 F' L R D' B U'
B2 F' L R D2 B U'
B2 F' L R B U' D
B2 F' L R B U' D'
B2 F' L R B U' D2
B2 F' L R B D U'
B2 F' L R B D' U'
B2 F' L R B D2 U'
B2 F' L D R B U'
B2 F' L D' R B U'
B2 F' L D2 R B U'
B2 F' L B R B U'
B2 F' L B' R B U'
B2 F' L B2 R B U'
B F' L R B L U'
B2 F' L' R B L2 U'
B F' L' R B L U'
B2 F' L2 R B L' U'
B2 F' R L D B U'
B F' L2 R B L U'
B2 F' R L D' B U'
B2 F' R L D2 B U'
B2 F' R L B U' D
B2 F' R L B U' D'
B2 F' R L B U' D2
B2 F' R L B D U'
B2 F' R L B D' U'
B2 F' R L B D2 U'
B2 F' R L' B L2 U'
B2 F' R L2 B L' U'
B' F' R B U2 R' U
B' F' R B' L B2 U'
B2 F' R D L B U'
B2 F' R D' L B U'
B2 F' R D2 L B U'
F' B' R B U2 R' U
F' B' R B' L B2 U'
B F' R L B L U'
B F' R L' B L U'
B F' R L2 B L U'
B F' R D B L U'
B F' R D' B L U'
B F' R D2 B L U'
B F' R B L U' D
B F' R B L U' D'
B F' R B L U' D2
B F' R B L D U'
B F' R B L D' U'
B F' R B L D2 U'
B F' R B D L U'
B F' R B D' L U'
B F' R B D2 L U'
R' B' F' U2 R F' U'
B2 F' D L R B U'
B2 F' D R L B U'
B' F' D' R B U' F'
L' B2 L F' R B U'
B2 F' D' L R B U'
F' B' D' R B U' F'
B2 F' D' R L B U'
B F' D R B L U'
L2 B2 L F' R B U'
B2 F' D2 L R B U'
B2 F' D2 R L B U'
B F' D' R B L U'
F' B2 L R D B U'
F' B2 L R D' B U'
F' B2 L R D2 B U'
F' B2 L R B U' D
