F' R2 U' L' F2 U2
F' R2 U' F2 U2 R
F U R2 F2 U R'
F U2 D' L2 R F2
F U2 D' R L2 F2
F U2 D' R F2 L2
F D R2 B2 L U2
F D B2 R2 U2 R'
F D' U2 L2 R F2
F D' U2 R L2 F2
F D' U2 R F2 L2
F' L R2 U D2 R2 B2
F' L R2 U D2 B2 R2
F' L R2 U' L2 F2 U2
F' L R2 U' F2 L2 U2
F' L R2 D' L2 B2 U
F' L R2 D' B2 L2 U
F' L R2 D2 U R2 B2
F' L R2 D2 U B2 R2
F L U R2 F2 U R'
F L U2 D' L2 R F2
F L U2 D' R L2 F2
F L U2 D' R F2 L2
F L D R2 B2 L U2
F L D B2 R2 U2 R'
F' L D' L2 B2 U F2
F L D' U2 L2 R F2
F L D' U2 R L2 F2
F L D' U2 R F2 L2
F' L D' B2 L2 U F2
F L' U R2 F2 U R'
F L' U2 D' L2 R F2
F L' U2 D' R L2 F2
F L' U2 D' R F2 L2
F L' D R2 B2 L U2
F L' D B2 R2 U2 R'
F L' D' U2 L2 R F2
F L' D' U2 R L2 F2
F L' D' U2 R F2 L2
F' L' F2 U R2 F2 U
F' L' F2 U F2 R2 U
F' L' F2 U2 D' L2 F2
F' L' F2 U2 D' F2 L2
F' L' F2 D R2 B2 U2
F' L' F2 D B2 R2 U2
F' L' F2 D' U2 L2 F2
F' L' F2 D' U2 F2 L2
L2 R2 U2 B U' B2 R'
R2 L2 U2 B U' B2 R'
F' L2 R2 U D2 B2 R'
F' L2 R2 U' L F2 U2
F' L2 R2 U' F2 L U2
F' L2 R2 D2 U B2 R'
F L2 U R2 F2 U R'
F L2 U2 D' L2 R F2
F L2 U2 D' R L2 F2
F L2 U2 D' R F2 L2
F L2 D R2 B2 L U2
F' L2 D' L2 U F2 R
F L2 D B2 R2 U2 R'
F L2 D' U2 L2 R F2
F L2 D' U2 R L2 F2
F L2 D' U2 R F2 L2
L2 U F' R2 U B' R'
F R' U R' F2 U R'
F R' U F2 R' U R'
F' R2 L U D2 R2 B2
F' R2 L U D2 B2 R2
F' R2 L U' L2 F2 U2
F' R2 L U' F2 L2 U2
F' R2 L D' L2 B2 U
F' R2 L D' B2 L2 U
F' R2 L D2 U R2 B2
F' R2 L D2 U B2 R2
F' R2 L2 U D2 B2 R'
F' R2 L2 U' L F2 U2
F' R2 L2 U' F2 L U2
F' R2 L2 D2 U B2 R'
F' R2 U' L F2 L2 U2
F' R2 U' L' U2 D2 B2
F' R2 U' L' D2 U2 B2
F' R2 U' L' F2 U2 D
F' R2 U' L' F2 U2 D'
F' R2 U' L' F2 U2 D2
F' R2 U' L' F2 D U2
F' R2 U' L' F2 D' U2
F' R2 U' L' F2 D2 U2
F' R2 U' L2 F2 L U2
F' R2 U' D2 L' U2 B2
F R2 U F2 U R' F2
F R2 U F2 U F2 R'
F' R2 U' F2 L U2 R
F' R2 U' F2 L' U2 R
F' R2 U' F2 L2 U2 R
F' R2 U' F2 U2 R D
F' R2 U' F2 U2 R D'
F' R2 U' F2 U2 R D2
F' R2 U' F2 U2 D R
F' R2 U' F2 U2 D' R
F' R2 U' F2 U2 D2 R
F' R2 U' F2 D U2 R
F' R2 U' F2 D' U2 R
F' R2 U' F2 D2 U2 R
R2 U2 B U F L U2
F' R2 D' L2 U' L U2
F' R2 D' L2 B2 U R'
F' R2 D2 L2 U B2 R'
F' R2 D2 U' L' U2 B2
F2 R2 D2 F U B R'
F2 R2 F U' L' U2 B
F R2 F2 U R' D2 B2
F R2 F2 U D2 R' B2
F' R2 B U' L' F2 U2
F' R2 B U' F2 U2 R
F R2 F2 U' F2 U2 R'
F R2 F2 D' L2 U R'
F R2 F2 D2 U R' B2
F' R2 B' U' L' F2 U2
F' R2 B' U' F2 U2 R
F' R2 B2 U' L' F2 U2
F' R2 B2 U' F2 U2 R
F U R' F2 R' U R'
F U R2 U R' D' L2
F U R2 U D' L2 R'
F U R2 U D' R' L2
F U R2 D' U L2 R'
F U R2 D' U R' L2
F U R2 F2 U R' D
F U R2 F2 U R' D'
F U R2 F2 U R' D2
F U R2 F2 U D R'
F U R2 F2 U D' R'
F U R2 F2 U D2 R'
F U R2 F2 D U R'
F U R2 F2 D' U R'
F U R2 F2 D2 U R'
F' U D' F2 R D' B2
F' U D' F2 D' R B2
F' U D' F2 D' B2 R
F' U D2 B2 D F2 R
F U F2 R2 U' L' U2
F U F2 U D' F2 R
F U F2 D' U F2 R
F U B R2 F2 U R'
F U B' R2 F2 U R'
F U B2 R2 F2 U R'
F' U' L' F2 U R2 U
F' U' L' F2 U2 D' F2
F' U' L' F2 D B2 U2
F' U' L' F2 D' U2 F2
F U' D2 L2 B2 U' R
F U' D2 B2 L2 U' R
F' U' F2 U R2 U R'
F' U' F2 U2 D' R F2
F' U' F2 D B2 U2 R
F' U' F2 D' U2 R F2
F U2 L D' L2 R F2
F U2 L D' R L2 F2
F U2 L D' R F2 L2
F U2 L' D' L2 R F2
F U2 L' D' R L2 F2
F U2 L' D' R F2 L2
F U2 L2 D' L2 R F2
F U2 L2 D' R L2 F2
F U2 L2 D' R F2 L2
F U2 R U' R F2 U
F U2 D R D2 F2 L'
F' U2 D2 L2 U' B2 R'
F U2 D' L R F2 L
F U2 D' L2 R F2 D
F U2 D' L2 R F2 D'
F U2 D' L2 R F2 D2
F U2 D' L2 R' F2 R2
F U2 D' L2 R2 F2 R'
F U2 D' R L F2 L
F U2 D' R L2 F2 D
F U2 D' R L2 F2 D'
F U2 D' R L2 F2 D2
F U2 D' R F' L2 F'
F U2 D' R F2 L2 D
F U2 D' R F2 L2 D'
F U2 D' R F2 L2 D2
F U2 D' R' L2 F2 R2
F U2 D' R' F2 L2 R2
F U2 D' R' F2 R2 L2
F U2 D' R2 L2 F2 R'
F U2 D' R2 F2 L2 R'
F U2 D' R2 F2 R' L2
F U2 D2 R D L2 F2
F U2 D2 R D F2 L2
L2 F R2 F2 U R' B'
D' F U2 R D' F L2
D2 F U2 D R F2 L'
D' F U2 D' R F L2
D' F D R2 U2 R' F
D' F D R2 U2 F R'
F D L R2 B2 L U2
D2 F D R2 U2 R' F2
D2 F D R2 U2 F2 R'
D2 F D U2 R F2 L'
R2 F U2 B U' R B'
R2 F U2 B U' B' R
F D L B2 R2 U2 R'
F D L' R2 B2 L U2
D' F D' U2 R F L2
D2 F D' B2 U2 L2 R
D2 F D' B2 U2 R L2
L2 F D' R F2 B' L2
L2 F D' R B' L2 F2
L2 F D' R B' F2 L2
F D L' B2 R2 U2 R'
F D L2 R2 B2 L U2
L2 F D' B' L2 R F2
L2 F D' B' R L2 F2
L2 F D' B' R F2 L2
F D L2 B2 R2 U2 R'
F D R B2 R U2 R'
F D R' B2 U2 L R2
F D R' B2 U2 R2 L
F D R2 L B2 L U2
L2 F B' D' L2 R F2
L2 F B' D' R L2 F2
L2 F B' D' R F2 L2
F D R2 L' B2 L U2
F D R2 L2 B2 L U2
F D R2 U2 R' D2 F2
F D R2 U2 D2 R' F2
F D R2 U2 D2 F2 R'
F D R2 D2 U2 R' F2
F D R2 D2 U2 F2 R'
F D R2 B2 L U2 D
F D R2 B2 L U2 D'
F D R2 B2 L U2 D2
F D R2 B2 L D U2
F D R2 B2 L D' U2
F D R2 B2 L D2 U2
F D R2 B2 D L U2
F D R2 B2 D' L U2
F D R2 B2 D2 L U2
D F B2 U2 R D' L2
D F B2 U2 D' L2 R
D F B2 U2 D' R L2
D F B2 D R2 U2 R'
D F B2 D' U2 L2 R
D F B2 D' U2 R L2
F D U2 R D2 F2 L'
F D B R2 U2 F' R'
D' F' U' L' F2 U2 F
L F' R2 U' L' F U2
L2 F' U D' F2 R B'
L2 F' U D' F2 B' R
L2 F' U D' B' F2 R
L2 F' U B' D' F2 R
D' F' U' F2 U2 R F
D F' U D2 F2 R B2
D F' U D2 F2 B2 R
D F' U D2 B2 F2 R
F D B2 L R2 U2 R'
F D B2 L' R2 U2 R'
F D B2 L2 R2 U2 R'
D F' U' L' F2 B2 U2
D F' U' L' B2 F2 U2
F D B2 R2 L U2 R'
F D B2 R2 L' U2 R'
F D B2 R2 L2 U2 R'
F D B2 R2 U2 R' D
F D B2 R2 U2 R' D'
F D B2 R2 U2 R' D2
F D B2 R2 U2 D R'
F D B2 R2 U2 D' R'
F D B2 R2 U2 D2 R'
F D B2 R2 D U2 R'
F D B2 R2 D' U2 R'
F D B2 R2 D2 U2 R'
F D B2 U2 D2 L2 R
F D B2 U2 D2 R L2
F D B2 D2 U2 L2 R
F D B2 D2 U2 R L2
D F' U' F2 B2 U2 R
D F' U' B2 L' F2 U2
D F' U' B2 F2 U2 R
F D' L U2 L R F2
F D' L U2 R L F2
F D' L U2 R F2 L
F' D' L2 U' L U2 F2
F D' L' U2 L' R F2
F D' L' U2 R L' F2
F' D' L2 B2 U R' F2
F' D' L2 B2 U F2 R'
L2 F' D' U F2 R B'
L2 F' D' U F2 B' R
L2 F' D' U B' F2 R
F D' L2 R F2 D2 B2
F D' R L2 F2 D2 B2
D F' D2 U F2 R B2
D F' D2 U F2 B2 R
D F' D2 U B2 F2 R
F D' R F' L2 F' B'
F D' R F' L2 B' F'
F D' R F2 L2 D2 B2
F D' R' U2 L2 R2 F2
F D' R' U2 L2 F2 R2
F D' R' U2 R2 L2 F2
F D' R' U2 R2 F2 L2
F D' R' U2 F2 L2 R2
F D' R' U2 F2 R2 L2
F' D' U F2 R D' B2
F' D' U F2 D' R B2
F' D' U F2 D' B2 R
F D' R2 U2 L2 R' F2
F D' R2 U2 L2 F2 R'
F D' R2 U2 R' L2 F2
F D' R2 U2 R' F2 L2
F D' R2 U2 F2 L2 R'
F D' R2 U2 F2 R' L2
F D' U2 L R F2 L
F D' U2 L2 R F2 D
F D' U2 L2 R F2 D'
F D' U2 L2 R F2 D2
F D' U2 L2 R' F2 R2
F D' U2 L2 R2 F2 R'
F D' U2 R L F2 L
F D' U2 R L2 F2 D
F D' U2 R L2 F2 D'
F D' U2 R L2 F2 D2
F D' U2 R F' L2 F'
F D' U2 R F2 L2 D
F D' U2 R F2 L2 D'
F D' U2 R F2 L2 D2
F D' U2 R' L2 F2 R2
F D' U2 R' F2 L2 R2
F D' U2 R' F2 R2 L2
F D' U2 R2 L2 F2 R'
F D' U2 R2 F2 L2 R'
F D' U2 R2 F2 R' L2
F' D' F2 R D' L2 B2
F' D' F2 R D' B2 L2
F' D' F2 D' L2 R B2
F' D' F2 D' L2 B2 R
F' D' F2 D' R L2 B2
F' D' F2 D' R B2 L2
F' D' F2 D' B2 L2 R
F' D' F2 D' B2 R L2
F D' F2 L2 D2 B2 R'
F D' B U2 L2 R F2
F D' B U2 R L2 F2
F D' B U2 R F2 L2
F D' B' U2 L2 R F2
F D' B' U2 R L2 F2
F D' B' U2 R F2 L2
F D' B2 U2 L2 R F2
F D' B2 U2 R L2 F2
F D' B2 U2 R F2 L2
F' D2 U B2 D F2 R
F' D2 U2 L2 U' B2 R'
F D2 U' L2 B2 U' R
F D2 U' B2 L2 U' R
F D2 U2 R D L2 F2
F D2 U2 R D F2 L2
F' B R2 U' L' F2 U2
F' B R2 U' F2 U2 R
B' F U R2 F2 U R'
B2 F U R2 F2 U R'
B F U R2 F2 U R'
F B U R2 F2 U R'
B' F U2 D' L2 R F2
B' F U2 D' R L2 F2
B' F U2 D' R F2 L2
B2 F U2 D' L2 R F2
B2 F U2 D' R L2 F2
B2 F U2 D' R F2 L2
B' F D R2 B2 L U2
B' F D B2 R2 U2 R'
B2 F D R2 B2 L U2
B F U2 D' L2 R F2
B F U2 D' R L2 F2
B F U2 D' R F2 L2
B' F D' U2 L2 R F2
B' F D' U2 R L2 F2
B2 F D B2 R2 U2 R'
B' F D' U2 R F2 L2
F B U2 D' L2 R F2
F B U2 D' R L2 F2
F B U2 D' R F2 L2
B F D R2 B2 L U2
B2 F D' U2 L2 R F2
B2 F D' U2 R L2 F2
B2 F D' U2 R F2 L2
F B D R2 B2 L U2
B F D B2 R2 U2 R'
F B D B2 R2 U2 R'
B F D' U2 L2 R F2
B F D' U2 R L2 F2
B F D' U2 R F2 L2
F B D' U2 L2 R F2
F B D' U2 R L2 F2
F B D' U2 R F2 L2
B' F' R2 U' L' F2 U2
B' F' R2 U' F2 U2 R
F' B' R2 U' L' F2 U2
F' B' R2 U' F2 U2 R
B2 F' R2 U' L' F2 U2
B2 F' R2 U' F2 U2 R
B F' R2 U' L' F2 U2
B F' R2 U' F2 U2 R
F B' U R2 F2 U R'
L2 B' F D' L2 R F2
L2 B' F D' R L2 F2
L2 B' F D' R F2 L2
F B' U2 D' L2 R F2
F B' U2 D' R L2 F2
F B' U2 D' R F2 L2
F B' D R2 B2 L U2
F B' D B2 R2 U2 R'
F B' D' U2 L2 R F2
F B' D' U2 R L2 F2
F B' D' U2 R F2 L2
R2 B2 L2 F U R B'
R2 B2 L2 F U B' R
F' B2 R2 U' L' F2 U2
F' B2 R2 U' F2 U2 R
F B2 U R2 F2 U R'
F B2 U2 D' L2 R F2
F B2 U2 D' R L2 F2
F B2 U2 D' R F2 L2
F B2 D R2 B2 L U2
D B2 F U2 R D' L2
D B2 F U2 D' L2 R
D B2 F U2 D' R L2
D B2 F D R2 U2 R'
D B2 F D' U2 L2 R
D B2 F D' U2 R L2
F B2 D B2 R2 U2 R'
F B2 D' U2 L2 R F2
F B2 D' U2 R L2 F2
F B2 D' U2 R F2 L2
