D L' R2 F2 U' L
U L' U L' F2 U2
D2 L' U' L R2 B2
D2 L' U' L B2 R2
U L' U F2 U2 R
D2 L' U' R2 L B2
D L' F2 R2 U' L
F2 L2 U R U L2
L' U L' F2 U2 L2
U2 L2 F2 U' L U'
D' L2 B2 R' U L2
L' U F2 U2 L R
L' U F2 U2 R L
L' U' L D2 R2 B2
L' U' L D2 B2 R2
D R2 L' F2 U' L
D2 R2 U L' U' B2
D2 R2 B2 U L' U'
D2 U L' U' R2 B2
D2 U L' U' B2 R2
U D L' R2 F2 U'
D U L' R2 F2 U'
U D L' F2 R2 U'
D U L' F2 R2 U'
U D R2 L' F2 U'
D U R2 L' F2 U'
U' D' L2 B2 R' U
D' U' L2 B2 R' U
U D2 L' U' R2 B2
U D2 L' U' B2 R2
U2 F2 L2 U R U
L2 F2 U' L U' L
D2 B2 R2 U L' U'
D2 B2 U L' U' R2
D2 B2 U L' U' R2
L' R U L' F2 U2 L2
L' R U F2 U2 L R
L' R U F2 U2 R L
L' R U' L D2 R2 B2
L' R U' L D2 B2 R2
D2 L R2 B2 D L' F2
D L D L' R2 F2 B2
D L D L' R2 B2 F2
D L D L' F2 R2 B2
D L D L' F2 B2 R2
D L D L' B2 R2 F2
D L D L' B2 F2 R2
D L D R2 L' F2 B2
D L D R2 L' B2 F2
D L D R2 B2 L' F2
D L D F2 R2 B2 L
D L D B2 L' R2 F2
D L D B2 L' F2 R2
D L D B2 R2 L' F2
U' L D2 R2 U B2 R'
L2 R F2 U' L U' L
U2 L F2 L U' L U'
U2 L F2 D L U2 F2
U2 L F2 D' L B2 U2
U2 L F2 D' B2 U2 R'
L' R' U L' F2 U2 L2
R' L' U L' F2 U2 L2
R2 L' U L' F2 U2 L2
R L' U L' F2 U2 L2
L' R' U F2 U2 L R
L' R' U F2 U2 R L
R' L' U F2 U2 L R
R' L' U F2 U2 R L
R2 L' U F2 U2 L R
R2 L' U F2 U2 R L
L' R' U' L D2 R2 B2
L' R' U' L D2 B2 R2
R' L' U' L D2 R2 B2
R' L' U' L D2 B2 R2
R L' U F2 U2 L R
R L' U F2 U2 R L
R2 L' U' L D2 R2 B2
R2 L' U' L D2 B2 R2
R L' U' L D2 R2 B2
R L' U' L D2 B2 R2
D2 L B2 R2 D L' F2
D2 L' R U' L R B2
D2 L' R U' L B2 R
D2 L' R U' R L B2
U L' R U L' F2 U2
U L' R U F2 U2 R
D2 L' R' U' L R' B2
D2 L' R' U' R' L B2
U L' R' U L' F2 U2
U L' R' U F2 U2 R
D L' R' F2 R' U' L
D L' R2 U' L D R2
D L' R2 U' D L R2
D L' R2 U' D R2 L
U L' R2 U L' F2 U2
D L' R2 D U' L R2
D L' R2 D U' R2 L
U L' R2 U F2 U2 R
D L' R2 F2 U' L D
D L' R2 F2 U' L D'
D L' R2 F2 U' L D2
D L' R2 F2 U' D L
D L' R2 F2 U' D' L
D L' R2 F2 U' D2 L
D L' R2 F2 D U' L
D L' R2 F2 D' U' L
D L' R2 F2 D2 U' L
B' L' U L' F2 U2 L2
U' L' U L' F2 U2 L
B2 L' U L' F2 U2 L2
B L' U L' F2 U2 L2
U L' U L F2 L2 U2
U L' U L' U2 D2 B2
U L' U L' D2 U2 B2
U L' U L' F2 U2 D
U L' U L' F2 U2 D'
U L' U L' F2 U2 D2
U L' U L' F2 D U2
U L' U L' F2 D' U2
U L' U L' F2 D2 U2
U L' U L2 F2 L U2
B' L' U F2 U2 L R
B' L' U F2 U2 R L
D2 L' U' L R B2 R
D2 L' U' L R2 B2 D
D2 L' U' L R2 B2 D'
D2 L' U' L R2 B2 D2
U L' U D2 L' U2 B2
B2 L' U F2 U2 L R
B2 L' U F2 U2 R L
D2 L' U' L B' R2 B'
D2 L' U' L B2 R2 D
D2 L' U' L B2 R2 D'
D2 L' U' L B2 R2 D2
D' L' U' L D' R2 B2
D' L' U' L D' B2 R2
D2 L' U' L' R2 B2 L2
D2 L' U' L' B2 L2 R2
D2 L' U' L' B2 R2 L2
B L' U F2 U2 L R
B L' U F2 U2 R L
D2 L' U' L2 R2 B2 L'
B' L' U' L D2 R2 B2
B' L' U' L D2 B2 R2
U L' U F2 L U2 R
D2 L' U' L2 B2 L' R2
D2 L' U' L2 B2 R2 L'
U L' U F2 L' U2 R
D2 L' U' R L B2 R
U L' U F2 L2 U2 R
U L' U F2 U2 R D
U L' U F2 U2 R D'
U L' U F2 U2 R D2
U L' U F2 U2 D R
U L' U F2 U2 D' R
U L' U F2 U2 D2 R
U L' U F2 D U2 R
U L' U F2 D' U2 R
U L' U F2 D2 U2 R
U' L' U' L' F2 U2 F2
B2 L' U' L D2 R2 B2
B2 L' U' L D2 B2 R2
D L' U' L D R2 B2
D L' U' L D B2 R2
D2 L' U' R2 L B2 D
D2 L' U' R2 L B2 D'
D2 L' U' R2 L B2 D2
D2 L' U' R2 L' B2 L2
D2 L' U' R2 L2 B2 L'
B L' U' L D2 R2 B2
B L' U' L D2 B2 R2
D L' U' D L R2 B2
D L' U' D L B2 R2
D L' U' D R2 L B2
U' L' U' F2 U2 R F2
D' L' U2 L' B2 U L2
L2 R' F2 U' L U' L
D L' D U' L R2 B2
D L' D U' L B2 R2
D L' D U' R2 L B2
U L' D R2 U L' U2
U L' D R2 F2 U' R
U L' D F2 R2 U' R'
D2 L' D' R2 F2 U' L
D2 L' D' F2 R2 U' L
D' L' D2 F2 R U' L
U L' D2 U L' U2 B2
U L' D2 F2 U' R B2
U L' D2 F2 U' B2 R
D2 L' F U' L R2 B2
D2 L' F U' L B2 R2
D2 L' F U' R2 L B2
D L' F R2 F U' L
L' R2 U L' F2 U2 L2
D2 L' F' U' L R2 B2
D2 L' F' U' L B2 R2
D2 L' F' U' R2 L B2
L' R2 U F2 U2 L R
L' R2 U F2 U2 R L
L' R2 U' L D2 R2 B2
L' R2 U' L D2 B2 R2
U L' F' U F' U2 R
D2 L' F2 U' L R2 B2
D2 L' F2 U' L B2 R2
D2 L' F2 U' R2 L B2
D L' F2 R2 U' L D
D L' F2 R2 U' L D'
D L' F2 R2 U' L D2
D L' F2 R2 U' D L
D L' F2 R2 U' D' L
D L' F2 R2 U' D2 L
D L' F2 R2 D U' L
D L' F2 R2 D' U' L
D L' F2 R2 D2 U' L
D L' F2 U' L D B2
D L' F2 U' D L B2
D L' F2 D U' L B2
D L' B2 R2 F2 U' L'
F2 L2 R U2 L2 D F2
D' L2 R B2 R' U L2
F2 L2 R' U R2 U L2
F2 L2 R' U2 L2 D' F2
D' L2 R' B2 R' U L2
F2 L2 R2 U R' U L2
D' L2 R2 B2 R' U L2
D L2 R2 F2 L U' L
F2 L2 U R U L2 D
F2 L2 U R U L2 D'
F2 L2 U R U L2 D2
F2 L2 U R D F2 U
F2 L2 U R F U L2
F2 L2 U R F' U L2
F2 L2 U R F2 U L2
F2 L2 U D R F2 U
R' L2 F2 U' L U' L
L2 R2 F2 U' L U' L
U2 L2 U' L U F2 U2
U2 L2 U' L U' D2 B2
U2 L2 U' L D R2 U'
U2 L2 U' L D2 U' B2
R2 L2 F2 U' L U' L
R L2 F2 U' L U' L
U2 L2 U' D L R2 U'
U2 L2 U' D R2 L U'
U2 L2 U' D2 L U' B2
F2 L2 U2 L2 U' R U
F2 L2 D U R F2 U
U2 L2 D U' L R2 U'
U2 L2 D U' R2 L U'
L' U L F2 L2 U2 L2
L' U L' R F2 U2 L2
L' U L' R' F2 U2 L2
R' U L' U L' F2 U2
R' U L' U F2 U2 R
L' U L' R2 F2 U2 L2
F2 L2 D2 R2 U R' U
U2 L2 D2 U' L U' B2
L' U L' U2 L2 D2 B2
L' U L' D2 R2 U2 B2
L' U L' F U2 L2 B'
R2 U L' U L' F2 U2
R2 U L' U F2 U2 R
L' U L' F2 R U2 L2
L' U L' F2 R' U2 L2
L' U L' F2 R2 U2 L2
L' U L' F2 U2 L2 D
L' U L' F2 U2 L2 D'
L' U L' F2 U2 L2 D2
L' U L' F2 D2 R2 U2
R U L' U L' F2 U2
R U L' U F2 U2 R
D' L2 F B2 R' U L2
L' U L2 F2 L R U2
L' U L2 F2 R L U2
F' L2 F' U R U L2
L' U R L' F2 U2 L2
D' L2 F' B2 R' U L2
L' U R F2 U2 L R
L' U R F2 U2 R L
D L2 F2 L R2 U' L
B' L2 F2 U' L U' L
L' U R' L' F2 U2 L2
B2 L2 F2 U' L U' L
U2 L2 F2 U' L U' D
U2 L2 F2 U' L U' D'
U2 L2 F2 U' L U' D2
U2 L2 F2 U' L D U'
U2 L2 F2 U' L D' U'
U2 L2 F2 U' L D2 U'
D L2 F2 R2 L U' L
U2 L2 F2 U' D L U'
U2 L2 F2 U' D' L U'
U2 L2 F2 U' D2 L U'
U2 L2 F2 D U' L U'
B L2 F2 U' L U' L
D' L2 F2 B2 R' U L2
U2 L2 F2 D' U' L U'
U2 L2 F2 D2 U' L U'
L' U R' F2 U2 L R
L' U R' F2 U2 R L
U2 L2 F2 B2 U R' U
U L2 F2 U' L U' L'
L' U R2 L' F2 U2 L2
F2 L2 B U R U L2
L' U R2 F2 U2 L R
L' U R2 F2 U2 R L
R' U D L' R2 F2 U'
R' U D L' F2 R2 U'
F2 L2 B' U R U L2
R' U D R2 L' F2 U'
R2 U D L' R2 F2 U'
R2 U D L' F2 R2 U'
R U D L' R2 F2 U'
D' L2 B2 R' U L2 D
D' L2 B2 R' U L2 D'
D' L2 B2 R' U L2 D2
D' L2 B2 R' D F2 U
R2 U D R2 L' F2 U'
D' L2 B2 R' F U L2
D' L2 B2 R' F' U L2
R U D L' F2 R2 U'
D' L2 B2 R' F2 U L2
R U D R2 L' F2 U'
D' L2 B2 D R' F2 U
F2 L2 B2 U R U L2
D' L2 B2 D F2 R' U
D' L2 B2 F R' U L2
D' L2 B2 F' R' U L2
D' L2 B2 F2 R' U L2
R' U D2 L' U' R2 B2
R' U D2 L' U' B2 R2
L' U D2 L' U2 L2 B2
L' U D2 L' U2 B2 L2
U2 L2 B2 F2 U R' U
R2 U D2 L' U' R2 B2
R2 U D2 L' U' B2 R2
D2 R L' U' L R B2
D2 R L' U' L B2 R
D2 R L' U' R L B2
R U D2 L' U' R2 B2
R U D2 L' U' B2 R2
U R L' U L' F2 U2
U R L' U F2 U2 R
F2 R L2 U2 L2 D F2
D' R L2 B2 R' U L2
D2 R U L' U' R B2
D2 R U L' U' B2 R
D R U L' R F2 U'
L' U F2 L' U2 L2 R
L' U F2 L' U2 R L2
L' U F2 L2 U2 L' R
L' U F2 L2 U2 R L'
D R U R L' F2 U'
L' U F2 R' U2 L R2
L' U F2 R' U2 R2 L
L' U F2 R2 U2 L R'
L' U F2 R2 U2 R' L
L' U F2 U2 L R D
L' U F2 U2 L R D'
L' U F2 U2 L R D2
L' U F2 U2 L D R
L' U F2 U2 L D' R
L' U F2 U2 L D2 R
L' U F2 U2 R L D
L' U F2 U2 R L D'
L' U F2 U2 R L D2
L' U F2 U2 R D L
L' U F2 U2 R D' L
L' U F2 U2 R D2 L
L' U F2 U2 D L R
L' U F2 U2 D R L
L' U F2 U2 D' L R
L' U F2 U2 D' R L
L' U F2 U2 D2 L R
L' U F2 U2 D2 R L
L' U F2 D U2 L R
L' U F2 D U2 R L
D' R U' L2 B2 R' U
L' U F2 D' U2 L R
L' U F2 D' U2 R L
L' U F2 D2 U2 L R
L' U F2 D2 U2 R L
U R D L' R2 F2 U'
U R D L' F2 R2 U'
U R D R2 L' F2 U'
U' R D' L2 B2 R' U
L' U' L R D2 R2 B2
L' U' L R D2 B2 R2
L' U' L R' D2 R2 B2
L' U' L R' D2 B2 R2
L' U' L R2 D2 R2 B2
L' U' L R2 D2 B2 R2
L' U' L U2 L2 F2 U2
L' U' L U2 F2 L2 U2
L' U' L D2 R B2 R
L' U' L D2 R2 B2 D
L' U' L D2 R2 B2 D'
L' U' L D2 R2 B2 D2
L2 U' L U F2 U2 L
L' U' L D2 B' R2 B'
L2 U' L U' L D2 B2
L' U' L D2 B2 R2 D
L' U' L D2 B2 R2 D'
L' U' L D2 B2 R2 D2
L2 U' L U' D2 L B2
L2 U' L D R2 U' L
L' U' L B D2 R2 B2
L' U' L B D2 B2 R2
L2 U' L D2 U' L B2
L' U' L B' D2 R2 B2
L' U' L B' D2 B2 R2
L' U' L B2 D2 R2 B2
L' U' L B2 D2 B2 R2
U R D2 L' U' R2 B2
U R D2 L' U' B2 R2
L' U' L' F2 U2 L2 F2
L' U' L' F2 U2 F2 L2
L' U' L2 D2 B2 L' R'
L' U' L2 D2 B2 R' L'
L' U' R L D2 R2 B2
L' U' R L D2 B2 R2
L' U' R' L D2 R2 B2
L' U' R' L D2 B2 R2
L' U' R2 L D2 R2 B2
L' U' R2 L D2 B2 R2
D2 R B2 R U L' U'
R' U' D' L2 B2 R' U
D2 R B2 U L' U' R
L2 U' D' L B2 R' U'
R2 U' D' L2 B2 R' U
L' U' D2 L B2 D2 R2
L' U' D2 L2 B2 L' R'
L' U' D2 L2 B2 R' L'
R U' D' L2 B2 R' U
D2 R' L' U' L R' B2
D2 R' L' U' R' L B2
U R' L' U L' F2 U2
U R' L' U F2 U2 R
D R' L' F2 R' U' L
F2 R' L2 U R2 U L2
F2 R' L2 U2 L2 D' F2
D' R' L2 B2 R' U L2
D2 R' U L' U' R' B2
D R' U L' R' F2 U'
D R' U L' F2 R' U'
D R' U R' L' F2 U'
L' U' F2 U2 L R F2
L' U' F2 U2 R L F2
L' U' F2 U2 R F2 L
D' R' U' L2 B2 R' U
U R' D L' R2 F2 U'
U R' D L' F2 R2 U'
U' R' D' L2 B2 R' U
U R' D R2 L' F2 U'
U R' D2 L' U' R2 B2
U R' D2 L' U' B2 R2
R' U2 L2 F2 U' L U'
R2 U2 L2 F2 U' L U'
R U2 L2 F2 U' L U'
D2 R' F2 R' B2 D' F2
D2 R2 L B2 D L' F2
D R2 L' U' L D R2
D R2 L' U' D L R2
D R2 L' U' D R2 L
D R2 L' D U' L R2
D R2 L' D U' R2 L
U R2 L' U L' F2 U2
U R2 L' U F2 U2 R
F2 R2 L2 U R' U L2
D R2 L' F2 U' L D
D R2 L' F2 U' L D'
D R2 L' F2 U' L D2
D R2 L' F2 U' D L
D R2 L' F2 U' D' L
D R2 L' F2 U' D2 L
D R2 L' F2 D U' L
D R2 L' F2 D' U' L
D R2 L' F2 D2 U' L
D' R2 L2 B2 R' U L2
D2 R2 U L' R U' B2
D2 R2 U L' R' U' B2
D2 R2 U L' R2 U' B2
D2 R2 U L' U' B2 D
D2 R2 U L' U' B2 D'
D2 R2 U L' U' B2 D2
D2 R2 U L' D' R2 U'
D2 R2 U R L' U' B2
D2 R2 U R' L' U' B2
D2 R2 U R2 L' U' B2
D R2 L2 F2 L U' L
R' U2 F2 L2 U R U
D2 R2 U D' L' R2 U'
D2 R2 U D' R2 L' U'
