U2 L B' U'
U2 L D B' U'
U2 L D' B' U'
U2 L D2 B' U'
U2 L B' U' D
U2 L B' U' D'
U2 L B' U' D2
U2 L B' D U'
U2 L B' D' U'
U2 L B' D2 U'
R' U2 L B' U'
R2 U2 L B' U'
R U2 L B' U'
F U2 L B' U'
F' U2 L B' U'
F2 U2 L B' U'
U2 L R' B' R U'
U2 L R2 B' R2 U'
U2 L D B' U' D
U2 L D B' U' D'
U2 L D B' U' D2
U2 L D B' D U'
U2 L D B' D' U'
U2 L D B' D2 U'
U2 L D' B' U' D
U2 L D' B' U' D'
U2 L D' B' U' D2
U2 L D' B' D U'
U2 L D' B' D' U'
U2 L D' B' D2 U'
U2 L D' B' D2 U'
U2 L D2 B' U' D
U2 L D2 B' U' D'
U2 L D2 B' U' D2
U2 L D2 B' D U'
U2 L D2 B' D' U'
U2 L D2 B' D2 U'
U2 L B U' D L2
U2 L B D U' L2
U2 L B2 D B U'
U2 L B2 D' B U'
U2 L B2 D2 B U'
U L' U L2 B' U'
U2 L' B L2 B' U'
U2 L' B' L2 B' U'
U2 L' B2 L2 B' U'
U2 L2 D L' B' U'
U2 L2 D' L' B' U'
U2 L2 D2 L' B' U'
U2 L2 B L' B' U'
U2 L2 B' L' B' U'
U2 L2 B2 L' B' U'
U' R U' L B' U'
F' R U2 L B' U'
F2 R U2 L B' U'
F R U2 L B' U'
D2 R F' U2 L U'
U2 R' L B' R U'
U' R' U' L B' U'
F' R' U2 L B' U'
F2 R' U2 L B' U'
D2 R' U2 L B U'
F R' U2 L B' U'
R' U2 L D B' U'
R' U2 L D' B' U'
R' U2 L D2 B' U'
R' U2 L B' U' D
R' U2 L B' U' D'
R' U2 L B' U' D2
R' U2 L B' D U'
R' U2 L B' D' U'
R' U2 L B' D2 U'
R2 U2 L D B' U'
R2 U2 L D' B' U'
R2 U2 L D2 B' U'
R2 U2 L B' U' D
R2 U2 L B' U' D'
R2 U2 L B' U' D2
R2 U2 L B' D U'
R2 U2 L B' D' U'
R2 U2 L B' D2 U'
R U2 L D B' U'
R U2 L D' B' U'
R U2 L D2 B' U'
R U2 L B' U' D
R U2 L B' U' D'
R U2 L B' U' D2
R U2 L B' D U'
R U2 L B' D' U'
R U2 L B' D2 U'
U2 R2 L B' R2 U'
U' R2 U' L B' U'
F' R2 U2 L B' U'
F2 R2 U2 L B' U'
F R2 U2 L B' U'
D U F L' D F2
U D F L' D F2
U2 D' L B' U' L
U2 D' B' U' L F
L' D2 R2 F L U
D' U2 L B' U' L
L' D2 F L R2 U
L' D2 F R2 L U
F' U2 L D B' U'
F' U2 L D' B' U'
F' U2 L D2 B' U'
F' U2 L B' U' D
F' U2 L B' U' D'
F' U2 L B' U' D2
F' U2 L B' D U'
F' U2 L B' D' U'
F' U2 L B' D2 U'
F2 U2 L D B' U'
F2 U2 L D' B' U'
F2 U2 L D2 B' U'
F2 U2 L B' U' D
F2 U2 L B' U' D'
F2 U2 L B' U' D2
F2 U2 L B' D U'
F2 U2 L B' D' U'
F2 U2 L B' D2 U'
F U2 L D B' U'
F U2 L D' B' U'
F U2 L D2 B' U'
