F' L2 R U' R' F
F' L2 R U' F R'
F' R L2 U' R' F
F' R L2 U' F R'
L2 F U' L' U L
L2 F' R U' R' F2
L2 F' R U' F2 R'
L2 R U' D R' F B
L2 R U' D R' B F
L2 R U' D F R' B
L2 R D U' R' F B
L2 R D U' R' B F
L2 R D U' F R' B
L2 R F' R U' R2 F2
L2 R F' R U' F2 R2
D' L B' U B L U'
F' L' D2 R U' F' R'
U' L' F L' U F L2
R L2 U' D R' F B
R L2 U' D R' B F
R L2 U' D F R' B
R L2 D U' R' F B
R L2 D U' R' B F
R L2 D U' F R' B
F' L2 R U' R F R2
F' L2 R U' R' D F
F' L2 R U' R' D' F
F' L2 R U' R' D2 F
F' L2 R U' R' F D
F' L2 R U' R' F D'
F' L2 R U' R' F D2
F' L2 R U' D R' F
F' L2 R U' D F R'
F' L2 R U' D' R' F
F' L2 R U' D' F R'
F' L2 R U' D2 R' F
F' L2 R U' D2 F R'
F' L2 R U' F R' D
F' L2 R U' F R' D'
F' L2 R U' F R' D2
F' L2 R U' F D R'
F' L2 R U' F D' R'
F' L2 R U' F D2 R'
F' L2 R U' F' R' F2
F' L2 R D U' R' F
F' L2 R D U' F R'
F' L2 R D' U' R' F
F' L2 R D' U' F R'
F' L2 R D2 U' R' F
F' L2 R D2 U' F R'
F' L2 R F' U' R' F2
F' L2 R F' U' F2 R'
F' L2 R F2 U' F' R'
F2 L2 R' U' R F B
F2 L2 R' U' R B F
D L2 R' U' B R F
L2 R2 F' R U' R F2
R2 L2 F' R U' R F2
R L2 F' R U' R2 F2
R L2 F' R U' F2 R2
F L2 U' L U L' F
F' L2 D R U' R' F
F' L2 D R U' F R'
F' L2 D' R U' R' F
F' L2 D' R U' F R'
F' L2 D2 R U' R' F
F' L2 D2 R U' F R'
F L2 F U' L U L'
F' R L2 U' R F R2
F' R L2 U' R' D F
F' R L2 U' R' D' F
F' R L2 U' R' D2 F
F' R L2 U' R' F D
F' R L2 U' R' F D'
F' R L2 U' R' F D2
F' R L2 U' D R' F
F' R L2 U' D F R'
F' R L2 U' D' R' F
F' R L2 U' D' F R'
F' R L2 U' D2 R' F
F' R L2 U' D2 F R'
F' R L2 U' F R' D
F' R L2 U' F R' D'
F' R L2 U' F R' D2
F' R L2 U' F D R'
F' R L2 U' F D' R'
F' R L2 U' F D2 R'
F' R L2 U' F' R' F2
F' R L2 D U' R' F
F' R L2 D U' F R'
F' R L2 D' U' R' F
F' R L2 D' U' F R'
F' R L2 D2 U' R' F
F' R L2 D2 U' F R'
F' R L2 F' U' R' F2
F' R L2 F' U' F2 R'
F' R L2 F2 U' F' R'
F' R U L U2 R' F'
F' R U L2 U2 R' F
F' R U L2 U2 F R'
F' R U B2 L B U2
F' R U' L2 R' F L2
F' R U' L2 F L2 R'
F' R U' L2 F R' L2
F' R U' R' L2 F L2
F' R U' R' U2 B' U2
F' R D L2 U' R' F
F' R D L2 U' F R'
F' R D' L2 U' R' F
F' R D' L2 U' F R'
F' R D2 L2 U' R' F
F' R D2 L2 U' F R'
F' R F L2 U' R' F
F' R F L2 U' F R'
F' R F' L2 U' R' F
F' R F' L2 U' F R'
F' R F2 L2 U' R' F
F' R F2 L2 U' F R'
R U' D R' B D2 F2
L' U' F L' U F L
L U' F L' R U L
L U' F R L' U L
F2 R' L2 U' R F B
F2 R' L2 U' R B F
D R' L2 U' B R F
F2 R' U B' U2 R B
D R' U B' U2 R B2
D R' U B' U2 B2 R
F2 R' U' R B D2 F2
D R' U' B R D2 F2
D R' U' B D2 R F2
R D L2 U' R' F B
R D L2 U' R' B F
R D L2 U' F R' B
L2 D R' U' B R F
R D U' R' B D2 F2
F' U R U R' B' U2
F' U B' U' R U' R'
F U' L' U L' F L2
F U2 L' U' L B' U2
D2 U2 B' U L U L'
U2 D2 B' U L U L'
L2 F L U' L2 U L2
U' F L' U L' F L2
L2 F L D' B2 D L2
L2 F L2 U' L U L'
L' F U' L' U F L
F U2 B' U L' U L
L2 F U' L' U L D
L2 F U' L' U L D'
L2 F U' L' U L D2
L2 F U' L' U D L
L2 F U' L' U D' L
L2 F U' L' U D2 L
L2 F U' L' D U L
L2 F U' L' D' U L
L2 F U' L' D2 U L
L2 F U' L' F U L
L2 F U' L' F' U L
L2 F U' L' F2 U L
L2 F U' D L' U L
L2 F U' D' L' U L
L2 F U' D2 L' U L
L F U' L' U L F
F' D L2 R U' R' F
F' D L2 R U' F R'
L2 F D U' L' U L
F' D R L2 U' R' F
F' D R L2 U' F R'
L2 F D' U' L' U L
L2 F D2 U' L' U L
U2 F B' U L' F' U
L2 F' L R U' R' F2
L2 F' L R U' F2 R'
L' F' L' R U' R' F
L' F' L' R U' F R'
L2 F' L' R U' R' F2
L2 F' L' R U' F2 R'
L F' L R U' R' F
L F' L R U' F R'
L2 F' L2 R U' R' F2
L2 F' L2 R U' F2 R'
R2 F' L2 R U' R F
L' F' R L' U' R' F
L' F' R L' U' F R'
L2 F' R L U' R' F2
L2 F' R L U' F2 R'
L2 F' R L' U' R' F2
L2 F' R L' U' F2 R'
L2 F' R L2 U' R' F2
L2 F' R L2 U' F2 R'
L2 F' R U' R F2 R2
L2 F' R U' R' F2 D
L2 F' R U' R' F2 D'
L2 F' R U' R' F2 D2
L2 F' R U' F R' F
L2 F' R U' F2 R' D
L2 F' R U' F2 R' D'
L2 F' R U' F2 R' D2
L2 F' R U' F2 D R'
L2 F' R U' F2 D' R'
L2 F' R U' F2 D2 R'
R F' L2 R U' R2 F
R F' L2 R U' F R2
L2 F' R D' L2 U' R'
R2 F' R L2 U' R F
R2 F' R U B' U2 R
L2 F' R F U' R' F
L2 F' R F U' F R'
L2 F' R F' U' F' R'
L F' R L U' R' F
L F' R L U' F R'
R F' R L2 U' R2 F
R F' R L2 U' F R2
R F' R U B' U2 R2
B2 D' L B' D2 L2 F2
B2 D' L B' D2 F2 L2
F' D' L2 R U' R' F
F' D' L2 R U' F R'
F' D' R L2 U' R' F
F' D' R L2 U' F R'
L2 F' D' L2 R U' R'
L2 F' D' R L2 U' R'
L' F' D2 R U' F' R'
U F' B' U' R F U'
L2 F2 R' U' R F' B
L2 F2 R' U' R B F'
R' F2 U B' L' U2 B'
F' D2 L2 R U' R' F
F' D2 L2 R U' F R'
F' D2 R L2 U' R' F
F' D2 R L2 U' F R'
U2 B' U F L' U L
U B' U' F' R U' R'
U2 B' F U L' F' U
U B' F' U' R F U'
