B U2 R B U B2
F2 L U F L2 B U'
F2 L U F B L2 U'
F L U F L' B U'
F L U F B L' U'
F2 L U B F L2 U'
F L U B F L' U'
L' R D B' U L B
F2 L F L2 B U' B'
F L F L' B U' B'
B L F2 L' F' U' B'
R2 L' U' F' R' B' U
R L' D B' U L B
R2 L' F' R' B' U B
L' R2 U' F' R' B' U
F2 L' B U' D' R2 B'
F2 L' B U' D' B' R2
F2 L' B U2 B2 U B
F2 L' B D' U' R2 B'
F2 L' B D' U' B' R2
F2 L' B D2 F2 U' B'
L' R2 F' R' B' U B
L2 U F2 L' F B U'
L2 U F2 L' B F U'
L U F2 L' F' B U'
L U F2 L' B F' U'
L2 U F2 B L' F U'
L U F2 B L' F' U'
L' U B U2 R B2 U
L' U B U2 B2 R U
L' U B D2 F2 L' U'
L2 U B F2 L' F U'
B2 R U2 B' U' B' R'
L U B F2 L' F' U'
U' R D' F U L' R
U' R D' F U R L'
L' U' R D B' U L
L' U' R2 F' R' B' U
R2 U' F R' F2 U R2
R2 U' F' R' U' L' U2
L' U' B' R U D L2
L' U' B' R U2 B2 U'
L' U' B' R D U L2
L' U' B' R D2 F2 U
L' U' B' D R U L2
L' U' B' D2 R F2 U
U2 R2 U F' R' B U
U' R2 F R' F2 U R2
U' R2 F' R' U' L' U2
R D L' B' U L B
F2 U L' B U L U2
F2 U B L' U L2 U2
F2 U B L' U' D2 R2
F2 U B L' D F2 U'
F2 U B L' D2 U' R2
B U B' R' D' F2 L'
B U' F D R F' B'
B U' F D R B' F'
B U' F D B' R F'
R D2 L' F B' U B
B U' F B' D R F'
R D2 L' B' F U B
B U' B' U' R B U
B U' B' F D R F'
B U2 R U B' D' R2
B U2 R D B U B2
B U2 R D' B U B2
B U2 R D2 B U B2
B U2 R B L U B2
B U2 R B L' U B2
B U2 R B L2 U B2
B U2 R B U B2 D
B U2 R B U B2 D'
B U2 R B U B2 D2
B U2 R B D L2 U
B U2 D R B U B2
B U2 D' R B U B2
B U2 D2 R B U B2
U' F R2 F' R U R2
B U2 B R B U B
B U2 B' R B U B'
R2 F' L' R' B' U B
B D U2 R B U B2
R2 F' R' L' B' U B
R2 F' R' B U B' R'
R2 F' B U B' R' F'
U F' B U L U2 F
B D' U2 R B U B2
L2 F2 L' F B U' B'
L2 F2 L' B F U' B'
L F2 L' F' B U' B'
U F2 L' B U L U2
L F2 L' B F' U' B'
L2 F2 U L' F B U'
L2 F2 U L' B F U'
L2 F2 U B L' F U'
L F2 U L' F' B U'
L F2 U L' B F' U'
R2 F2 U' R' F U R
R2 F2 U' F R' U R2
L F2 U B L' F' U'
U F2 B L' U L2 U2
U F2 B L' U' D2 R2
U F2 B L' D F2 U'
U F2 B L' D2 U' R2
B D2 U2 R B U B2
U B L U2 R U R'
U B L' D F2 L' U'
U B L2 F2 L' U' R
U B U L U R U
D2 B U2 R B U B2
D' B U2 R B U B2
L' B U2 R B2 U B
R B U D B' L R'
R B U D B' R' L
B F L F L' U' B'
D B U2 R B U B2
F B L F L' U' B'
U B U2 R U' L U2
U B U2 R B2 U R'
U B U2 B2 R U R2
R B D U B' L R'
R B D U B' R' L
R2 B F' U B' R' F'
U B F' U L U2 F
U B F2 L' U L2 U2
U B F2 L' U' D2 R2
U B F2 L' D F2 U'
U B F2 L' D2 U' R2
U' B2 R U2 B' U' R'
