L D L B' U L
L2 R D' F' R' B U
F' L D L B' U L
F2 L D L B' U L
F L D L B' U L
L2 R D2 F' R' U R2
L2 R F' R' B U R'
L2 R F' D' R' B U
L2 R F' B U R' F'
L2 R B F' U R' F'
D L B' U L D2 B2
D L B' U D2 L B2
D L B' U' F2 U2 L
D L B' D' L2 U L'
D L B' D2 U L B2
B' L' D2 L' F U R2
B L' D2 L' F U R'
R L2 D' F' R' B U
B L2 R F' R' U R'
R L2 D2 F' R' U R2
R L2 F' R' B U R'
B L2 U R' U B U'
R L2 F' D' R' B U
R L2 F' B U R' F'
R L2 B F' U R' F'
B2 L2 D B' U L R'
B2 L2 D B' U R' L
B L2 D' F U L' R'
B L2 D' F U R' L'
L2 U R' U B U' R'
B R L2 F' R' U R'
L2 U B R' B' D L2
L2 U B D R' B' L
B R F' L2 R' U R'
B R F' R' L2 U R'
L2 U' R' U' B U' R'
L2 U2 R' B R U' R2
U2 R' B U' R' D' B2
U2 R' B U' D' R' B2
U2 R' B U2 L2 U R'
U2 R' B D' U' R' B2
U2 R' B D2 R2 U' R
L' D L B' L2 U L'
L2 D L B' L' U L2
L D L F B' U L
L D L F' B' U L
L D L F2 B' U L
L D L B' U L D
L D L B' U L D'
L D L B' U L D2
L D L B' U D L
L D L B' U D' L
L D L B' U D2 L
L D L B' D U L
L D L B' D' U L
L D L B' D2 U L
L D L B' F U L
L D L B' F' U L
L D L B' F2 U L
L D F L B' U L
L D F' L B' U L
L D F2 L B' U L
R D' F' R' B U B
L' D2 L' F U' L' U2
D F L B' U L B'
D F L2 U B' L R'
D F L2 U B' R' L
L F D L B' U L
R F' L2 R' B U R'
R F' L2 D' R' B U
R F' L2 B U R' F'
R F' R' L2 B U R'
R F' R' B L2 U R'
L F' D L B' U L
R F' D' R' B U B
R F' B L2 U R' F'
B' D' F U B2 L' R'
B' D' F U B2 R' L'
B D' F U L' R' B2
B D' F U R' L' B2
B D' F U R' B2 L'
L F2 D L B' U L
L2 B R F' R' U R'
R B L2 F' U R' F'
L2 B U R' U B U'
R' B U' R' D' F2 B2
R' B U' R' D' B2 F2
R' B U2 L2 R U R2
R' B U2 R L2 U R2
L' B D2 L' F U R'
L2 B D' F U L' R'
L2 B D' F U R' L'
R B F' L2 U R' F'
L2 B2 D B' U L R'
L2 B2 D B' U R' L
