R' L U' F B' R'
R' L U' B' R' F
R' L U' B' F R'
R2 L F' U' F2 B'
R2 L F' U' B' F2
L R' U' F B' R'
L R' U' B' R' F
L R' U' B' F R'
L R2 F' U' F2 B'
L R2 F' U' B' F2
L U' F B' D' R2
L U' B' D' R2 F
L U' B' D' F R2
L U' B' F D' R2
L U2 B U F B2
L U2 B U B2 F
R2 F' L U' F B'
R2 F' L U' B' F
F' L R' U' F B' R'
F' L R' U' B' R' F
F' L R' U' B' F R'
F2 L R' U' F B' R'
F2 L R' U' B' R' F
F2 L R' U' B' F R'
F L R' U' F B' R'
F L R' U' B' R' F
F L R' U' B' F R'
R' L U' R F B' R'
R' L U' R B' R' F
R' L U' R B' F R'
R' L U' R' F B' R'
R' L U' R' B' R' F
R' L U' R' B' F R'
R' L U' R2 F B' R'
R' L U' R2 B' R' F
R' L U' R2 B' F R'
R' L U' D F B' R'
R' L U' D B' R' F
R' L U' D B' F R'
R' L U' D' F B' R'
R' L U' D' B' R' F
R' L U' D' B' F R'
R' L U' D2 F B' R'
R' L U' D2 B' R' F
R' L U' D2 B' F R'
R' L U' F R B' R'
R' L U' F R' B' R'
R' L U' F R2 B' R'
R' L U' F D B' R'
R' L U' F D' B' R'
R' L U' F D2 B' R'
R' L U' F B' R' D
R' L U' F B' R' D'
R' L U' F B' R' D2
R' L U' F B' D R'
R' L U' F B' D' R'
R' L U' F B' D2 R'
R' L U' F' B' R' F2
R2 L U' F D R2 B'
R2 L U' F D B' R2
R2 L U' F B' D R2
R' L U' B' R F R2
R' L U' B' R' D F
R' L U' B' R' D' F
R' L U' B' R' D2 F
R' L U' B' R' F D
R' L U' B' R' F D'
R' L U' B' R' F D2
R' L U' B' D R' F
R' L U' B' D F R'
R' L U' B' D' R' F
R' L U' B' D' F R'
R' L U' B' D2 R' F
R' L U' B' D2 F R'
R' L U' B' F R' D
R' L U' B' F R' D'
R' L U' B' F R' D2
R' L U' B' F D R'
R' L U' B' F D' R'
R' L U' B' F D2 R'
R' L U' B' F' R' F2
R2 L U' B' F D R2
F' L R2 F' U' F2 B'
F' L R2 F' U' B' F2
F2 L R2 F' U' F2 B'
F2 L R2 F' U' B' F2
D L R2 F' R U' F2
F L R2 F' U' F2 B'
F L R2 F' U' B' F2
B L U F B L B2
R' L D U' F B' R'
R' L D U' B' R' F
R' L D U' B' F R'
B L U B F L B2
R2 L D F' U' F2 B'
R2 L D F' U' B' F2
F' L U' F B' D' R2
F2 L U' F B' D' R2
F L U' F B' D' R2
F' L U' B' D' R2 F
F' L U' B' D' F R2
F' L U' B' F D' R2
R' L D' U' F B' R'
R' L D' U' B' R' F
R' L D' U' B' F R'
F2 L U' B' D' R2 F
F2 L U' B' D' F R2
F2 L U' B' F D' R2
F L U' B' D' R2 F
F L U' B' D' F R2
F L U' B' F D' R2
R2 L D' F' U' F2 B'
R2 L D' F' U' B' F2
F' L U2 B U F B2
F' L U2 B U B2 F
F2 L U2 B U F B2
F2 L U2 B U B2 F
R' L D2 U' F B' R'
R' L D2 U' B' R' F
R' L D2 U' B' F R'
F L U2 B U F B2
F L U2 B U B2 F
R2 L D2 F' U' F2 B'
R2 L D2 F' U' B' F2
R2 L F' R U' F2 B'
R2 L F' R U' B' F2
R2 L F' R' U' F2 B'
R2 L F' R' U' B' F2
R' L F' U' F2 B' R'
R' L F' U' B' R' F2
R' L F' U' B' F2 R'
R2 L F' R2 U' F2 B'
R2 L F' R2 U' B' F2
R2 L F' U' F2 D B'
R2 L F' U' F2 D' B'
R2 L F' U' F2 D2 B'
R2 L F' U' F2 B' D
R2 L F' U' F2 B' D'
R2 L F' U' F2 B' D2
R2 L F' U' B' F2 D
R2 L F' U' B' F2 D'
R2 L F' U' B' F2 D2
R' L F2 U' F' B' R'
R' L F2 U' B' F' R'
U2 L B R' U F' B2
U2 L B R' U B2 F'
L' R' U F B' U2 R
R' L' U F B' U2 R
L' R' U B' F U2 R
R' L' U B' F U2 R
L R' U' R F B' R'
L R' U' R B' R' F
L R' U' R B' F R'
L R' U' R' F B' R'
L R' U' R' B' R' F
L R' U' R' B' F R'
L R' U' R2 F B' R'
L R' U' R2 B' R' F
L R' U' R2 B' F R'
L R' U' D F B' R'
L R' U' D B' R' F
L R' U' D B' F R'
L R' U' D' F B' R'
L R' U' D' B' R' F
L R' U' D' B' F R'
L R' U' D2 F B' R'
L R' U' D2 B' R' F
L R' U' D2 B' F R'
L R' U' F R B' R'
L R' U' F R' B' R'
L R' U' F R2 B' R'
L R' U' F D B' R'
L R' U' F D' B' R'
L R' U' F D2 B' R'
L R' U' F B' R' D
L R' U' F B' R' D'
L R' U' F B' R' D2
L R' U' F B' D R'
L R' U' F B' D' R'
L R' U' F B' D2 R'
L R' U' F' B' R' F2
L R' U' B' R F R2
L R' U' B' R' D F
L R' U' B' R' D' F
L R' U' B' R' D2 F
L R' U' B' R' F D
L R' U' B' R' F D'
L R' U' B' R' F D2
L R' U' B' D R' F
L R' U' B' D F R'
L R' U' B' D' R' F
L R' U' B' D' F R'
L R' U' B' D2 R' F
L R' U' B' D2 F R'
L R' U' B' F R' D
L R' U' B' F R' D'
L R' U' B' F R' D2
L R' U' B' F D R'
L R' U' B' F D' R'
L R' U' B' F D2 R'
L R' U' B' F' R' F2
B2 L B2 U' F B R
B2 L B2 U' B F R
L R' D U' F B' R'
L R' D U' B' R' F
L R' D U' B' F R'
L R' D' U' F B' R'
L R' D' U' B' R' F
L R' D' U' B' F R'
L R' D2 U' F B' R'
L R' D2 U' B' R' F
L R' D2 U' B' F R'
R2 L' F' U F2 B' U2
