D R' B U L B'
D' L R' B' U B2 L
D L R' B U L B2
B L U R' U' F' R
D' R' L B' U B2 L
D R' L B U L B2
B R' U' L F' R F2
B R' U' F' L R F
B R' U' F' R L F
B R' U' F2 L F R
D R' F B U L B'
B R' F' U' L R F
B R' F' U' R L F
D R' F' B U L B'
U R' F' B' L U R
U R' F' B2 U R B
D R' F2 B U L B'
D R' B L' U L2 B'
D R' B U L D B'
D R' B U L D' B'
D R' B U L D2 B'
D R' B U L B' D
D R' B U L B' D'
D R' B U L B' D2
D R' B F U L B'
D R' B F' U L B'
D R' B F2 U L B'
U R' B' L F' U R
U R' B' F' L U R
U R' B2 F' U R B
L' D R' B U L B'
L2 D R' B U L B'
L D R' B U L B'
B U R' U' L F' R
B U R' U' F' L R
B U R' U' F' R L
D F R' B U L B'
D F' R' B U L B'
D F2 R' B U L B'
F' B R' U' L R2 F
F' B R' U' L F R2
F' B R' U' R2 L F
B F' R' U' L R2 F
B F' R' U' L F R2
B F' R' U' R2 L F
