B2 L F R F2 U'
B2 L F' U2 L' U
F' L2 B2 L R' U'
F' L2 B2 R' L U'
B2 F L R F2 U'
B2 F R L F2 U'
B2 F R F2 L U'
B2 F' L U' D' B2
B2 F' L U2 L2 U
B2 F' L D' U' B2
B2 F' L D2 R2 U'
F' B2 L U' D' B2
F' B2 L U2 L2 U
F' B2 L D' U' B2
F' B2 L D2 R2 U'
F B2 L R F2 U'
F B2 R L F2 U'
F B2 R F2 L U'
B2 L R' F R F' U'
B2 L R2 U2 B L U
B2 L D F R F2 U'
B2 L D F' U2 L' U
B2 L D' F R F2 U'
B2 L D' F' U2 L' U
B2 L D2 F R F2 U'
B2 L D2 F' U2 L' U
B2 L F R U' D R2
B2 L F R D U' R2
B2 L F R F2 U' D
B2 L F R F2 U' D'
B2 L F R F2 U' D2
B2 L F R F2 D U'
B2 L F R F2 D' U'
B2 L F R F2 D2 U'
B2 L F R' F2 R2 U'
B2 L F R2 F2 R' U'
B2 L F D R U' R
B2 L F' R U2 L' U
B2 L F' R' U2 L' U
B2 L F' R2 U2 L' U
B2 L F' U2 L' U D
B2 L F' U2 L' U D'
B2 L F' U2 L' U D2
B2 L F' U2 L' D U
B2 L F' U2 L' D' U
B2 L F' U2 L' D2 U
B2 L F' U2 D L' U
B2 L F' U2 D' L' U
B2 L F' U2 D2 L' U
B2 L F' D U2 L' U
B2 L F' D' U2 L' U
B2 L F' D2 U2 L' U
F' L B2 L U2 L U
F L B2 L R F2 U'
F L B2 R L F2 U'
F L B2 R F2 L U'
F' L B2 D' L U' B2
F' L B2 D2 L R2 U'
F' L B2 D2 R2 L U'
B2 L' F L2 R F2 U'
B2 L' F R L2 F2 U'
B2 L' F R F2 L2 U'
B2 L' F' L2 U2 L U
U L' F' B2 L U' B
F' L' B2 L U2 L' U
F L' B2 L R F2 U'
U L' B2 L F' U' B
F L' B2 R L F2 U'
F L' B2 R F2 L U'
U L' B2 F' L U' B
U L2 F' B2 L U' B'
F' L2 B2 L R' U' D
F' L2 B2 L R' U' D'
F' L2 B2 L R' U' D2
F' L2 B2 L R' D U'
F' L2 B2 L R' D' U'
F' L2 B2 L R' D2 U'
F' L2 B2 L D R' U'
F' L2 B2 L D' R' U'
F' L2 B2 L D2 R' U'
F' L2 B2 R' L U' D
F' L2 B2 R' L U' D'
F' L2 B2 R' L U' D2
F' L2 B2 R' L D U'
F' L2 B2 R' L D' U'
F' L2 B2 R' L D2 U'
F' L2 B2 R' D L U'
F' L2 B2 R' D' L U'
F' L2 B2 R' D2 L U'
F L2 B2 L R F2 U'
F' L2 B2 D L R' U'
F' L2 B2 D R' L U'
F' L2 B2 D' L R' U'
F' L2 B2 D' R' L U'
F' L2 B2 D2 L R' U'
F' L2 B2 D2 R' L U'
F L2 B2 R L F2 U'
U L2 B2 L F' U' B'
F L2 B2 R F2 L U'
U L2 B2 F' L U' B'
F R F2 B2 U' D' F2
F R F2 B2 U2 R2 U
F R F2 B2 D' U' F2
F R F2 B2 D2 L2 U'
F' R B2 U2 L' R2 U
F' R B2 U2 R2 L' U
B2 R' L F R F' U'
F R B2 F2 U' D' F2
F R B2 F2 U2 R2 U
F R B2 F2 D' U' F2
F R B2 F2 D2 L2 U'
F R' U D L2 R2 B2
F R' U D L2 B2 R2
F R' U D R2 L2 B2
F R' U D R2 B2 L2
F R' U D B2 L2 R2
F R' U D B2 R2 L2
F R' U2 R2 F2 B2 U'
F R' U2 R2 B2 F2 U'
F R' U2 F2 R2 B2 U'
F R' U2 F2 B2 R2 U'
F R' U2 B2 R2 F2 U'
F R' U2 B2 F2 R2 U'
F R' D U L2 R2 B2
F R' D U L2 B2 R2
F R' D U R2 L2 B2
F R' D U R2 B2 L2
F R' D U B2 L2 R2
F R' D U B2 R2 L2
F R' D2 L2 F2 B2 U
F R' D2 L2 B2 F2 U
B2 R' F L R F' U'
B2 R' F R L F' U'
B2 R' F R F' L U'
F R' D2 F2 L2 B2 U
F R' D2 F2 B2 L2 U
F R' D2 B2 L2 F2 U
F R' D2 B2 F2 L2 U
B2 R2 L U2 B L U
F R2 F2 L' R' B2 U'
F R2 F2 R' L' B2 U'
F R2 F2 R' B2 L' U'
F' R2 B2 U2 L' R U
F' R2 B2 U2 R L' U
F U B2 L R F2 U'
F U B2 R L F2 U'
F U B2 R F2 L U'
F U' B2 L R F2 U'
F U' B2 R L F2 U'
F U' B2 R F2 L U'
F' U2 L' R' U D L2
F' U2 L' R' U2 B2 U'
F' U2 L' R' D U L2
F' U2 L' R' D2 F2 U
F' U2 L' U2 B2 L U'
F' U2 L' D R' U L2
F' U2 L' D2 R' F2 U
F' U2 L' D2 F2 R' U
F' U2 R' L' U D L2
F' U2 R' L' U2 B2 U'
F' U2 R' L' D U L2
F' U2 R' L' D2 F2 U
F' U2 R' D L' U L'
F' U2 R' D2 L' F2 U
F' U2 D L' R' U L'
F' U2 D R' L' U L'
F' U2 D2 L' R' F2 U
F' U2 D2 L' F2 R' U
F' U2 D2 R' L' F2 U
B' U2 F' B' L R' U'
B' U2 F' B' R' L U'
R' F R F' B2 L U'
R' F R B2 L F' U'
R' F R B2 F' L U'
B' U2 B' L F' R' U'
B' U2 B' F' L R' U'
B' U2 B' F' R' L U'
R' F U2 R F' B2 U'
F U2 B2 L R F2 U'
R' F U2 R B2 F' U'
F U2 B2 R L F2 U'
F U2 B2 R F2 L U'
B2 D L F R F2 U'
B2 D L F' U2 L' U
R' F U2 B2 R F' U'
L' F B2 L R F2 U'
L' F B2 R L F2 U'
L' F B2 R F2 L U'
L2 F B2 L R F2 U'
L2 F B2 R L F2 U'
L2 F B2 R F2 L U'
F' D U2 L' R' U L'
L F B2 L R F2 U'
F' D U2 R' L' U L'
L F B2 R L F2 U'
L F B2 R F2 L U'
B2 D F L R F2 U'
B2 D F R L F2 U'
B2 D F R F2 L U'
B2 D F' L U' D' B2
B2 D F' L U2 L2 U
B2 D F' L D' U' B2
B2 D F' L D2 R2 U'
L' F' L2 B2 L R' U'
L' F' L2 B2 R' L U'
L2 F' L2 B2 L R' U'
L2 F' L2 B2 R' L U'
U F' L' B2 L U' B
U F' L2 B2 L U' B'
L F' L2 B2 L R' U'
L F' L2 B2 R' L U'
D2 F' U2 L' F' R' U
B2 D' L F R F2 U'
B2 D' L F' U2 L' U
D F' U2 L' R' U L'
D F' U2 R' L' U L'
U' F' B2 L R U' B
U' F' B2 R L U' B
L' F' B2 L U' D' B2
L' F' B2 L U2 L2 U
L' F' B2 L D' U' B2
L' F' B2 L D2 R2 U'
U2 F' B' R' B' L U'
L2 F' B2 L U' D' B2
L2 F' B2 L U2 L2 U
L2 F' B2 L D' U' B2
L2 F' B2 L D2 R2 U'
U2 F' B2 D L U' B'
U F' B2 L U F U2
L F' B2 L U' D' B2
L F' B2 L U2 L2 U
L F' B2 L D' U' B2
L F' B2 L D2 R2 U'
B2 D' F L R F2 U'
B2 D' F R L F2 U'
B2 D' F R F2 L U'
B2 D' F' L U' D' B2
B2 D' F' L U2 L2 U
B2 D' F' L D' U' B2
B2 D' F' L D2 R2 U'
B2 D2 L F R F2 U'
B2 D2 L F' U2 L' U
F' D2 U2 L' R' F2 U
F' D2 U2 L' F2 R' U
F' D2 U2 R' L' F2 U
B2 D2 F L R F2 U'
B2 D2 F R L F2 U'
B2 D2 F R F2 L U'
B2 D2 F' L U' D' B2
B2 D2 F' L U2 L2 U
B2 D2 F' L D' U' B2
B2 D2 F' L D2 R2 U'
F D2 F2 L' R' B2 U
F D2 F2 R' L' B2 U
F D2 F2 R' B2 L' U
R2 B R2 F' L' R' U
R2 B R2 F' R' L' U
B2 F L R U' D R2
B2 F L R D U' R2
B2 F L R F2 U' D
B2 F L R F2 U' D'
B2 F L R F2 U' D2
B2 F L R F2 D U'
B2 F L R F2 D' U'
B2 F L R F2 D2 U'
B2 F L R' F2 R2 U'
B2 F L R2 F2 R' U'
B2 F L D R U' R
B2 F L F2 U2 L' U
B2 F L' R F2 L2 U'
B2 F R L U' D R2
B2 F R L D U' R2
B2 F R L F2 U' D
B2 F R L F2 U' D'
B2 F R L F2 U' D2
B2 F R L F2 D U'
B2 F R L F2 D' U'
B2 F R L F2 D2 U'
B2 F R L' F2 L2 U'
B' F R F2 B' L U'
B' F R B' L F2 U'
B' F R B' F2 L U'
B2 F R D L U' R2
B2 F R F' L F' U'
B2 F R F2 L U' D
B2 F R F2 L U' D'
B2 F R F2 L U' D2
B2 F R F2 L D U'
B2 F R F2 L D' U'
B2 F R F2 L D2 U'
B2 F R F2 D L U'
B2 F R F2 D' L U'
B2 F R F2 D2 L U'
B2 F R' L F2 R2 U'
B2 F R' F2 L R2 U'
B2 F R' F2 R2 L U'
B2 F R2 L F2 R' U'
B2 F R2 F2 L R' U'
B2 F R2 F2 R' L U'
B2 F D L R U' R
B2 F D R L U' R
B2 F' L R U' D' B2
B2 F' L R U2 L2 U
B2 F' L R D' U' B2
B2 F' L R D2 R2 U'
B2 F' L R' U' D' B2
B2 F' L R' U2 L2 U
B2 F' L R' D' U' B2
B2 F' L R' D2 R2 U'
B2 F' L R2 U' D' B2
B2 F' L R2 U2 L2 U
B2 F' L R2 D' U' B2
B2 F' L R2 D2 R2 U'
B2 F' L U D F2 U2
B2 F' L U' D' B2 D
B2 F' L U' D' B2 D'
B2 F' L U' D' B2 D2
B2 F' L U' B D' B2
B2 F' L U' B' D' B2
B2 F' L U' B2 D' B2
B2 F' L U2 L2 U D
B2 F' L U2 L2 U D'
B2 F' L U2 L2 U D2
B2 F' L U2 L2 D U
B2 F' L U2 L2 D' U
B2 F' L U2 L2 D2 U
B2 F' L D U F2 U2
B2 F' L D' R U' B2
B2 F' L D' R' U' B2
B2 F' L D' R2 U' B2
B2 F' L D' U' B2 D
B2 F' L D' U' B2 D'
B2 F' L D' U' B2 D2
B2 F' L D2 R2 U' D
B2 F' L D2 R2 U' D'
B2 F' L D2 R2 U' D2
B2 F' L D2 R2 D U'
B2 F' L D2 R2 D' U'
B2 F' L D2 R2 D2 U'
B2 F' R L U' D' B2
B2 F' R L U2 L2 U
B2 F' R L D' U' B2
B2 F' R L D2 R2 U'
B2 F' R' L U' D' B2
B2 F' R' L U2 L2 U
B2 F' R' L D' U' B2
B2 F' R' L D2 R2 U'
B2 F' R2 L U' D' B2
B2 F' R2 L U2 L2 U
B2 F' R2 L D' U' B2
B2 F' R2 L D2 R2 U'
F B' R F2 B' L U'
F B' R B' L F2 U'
F B' R B' F2 L U'
B2 F' U2 L' U D F2
B2 F' U2 L' U2 L2 U'
B2 F' U2 L' D U F2
B2 F' U2 L' D2 R2 U
U2 B' F' R' B' L U'
B2 F' D L U' D' B2
B2 F' D L U2 L2 U
B2 F' D L D' U' B2
B2 F' D L D2 R2 U'
U' B2 L F' R U' B
L' B2 L F R F2 U'
L' B2 L F' U2 L' U
B2 F' D' L U' D' B2
B2 F' D' L U2 L2 U
B2 F' D' L D' U' B2
B2 F' D' L D2 R2 U'
L2 B2 L F R F2 U'
U2 B2 L D2 F' R U'
L2 B2 L F' U2 L' U
B2 F' D2 L U' D' B2
B2 F' D2 L U2 L2 U
B2 F' D2 L D' U' B2
B2 F' D2 L D2 R2 U'
F' B2 L R U' D' B2
F' B2 L R U2 L2 U
F' B2 L R D' U' B2
F' B2 L R D2 R2 U'
F' B2 L R' U' D' B2
F' B2 L R' U2 L2 U
L B2 L F R F2 U'
F' B2 L R' D' U' B2
F' B2 L R' D2 R2 U'
F' B2 L R2 U' D' B2
F' B2 L R2 U2 L2 U
F' B2 L R2 D' U' B2
F' B2 L R2 D2 R2 U'
L B2 L F' U2 L' U
U B2 L F' U F2 U2
F' B2 L U D F2 U2
U B2 L F' U' D2 B2
U B2 L F' D R2 U'
U B2 L F' D2 U' B2
F' B2 L U' D' B2 D
F' B2 L U' D' B2 D'
F' B2 L U' D' B2 D2
F' B2 L U' B D' B2
F' B2 L U' B' D' B2
F' B2 L U' B2 D' B2
F' B2 L U2 L2 U D
F' B2 L U2 L2 U D'
F' B2 L U2 L2 U D2
F' B2 L U2 L2 D U
F' B2 L U2 L2 D' U
F' B2 L U2 L2 D2 U
F' B2 L D U F2 U2
F' B2 L D' R U' B2
F' B2 L D' R' U' B2
F' B2 L D' R2 U' B2
F' B2 L D' U' B2 D
F' B2 L D' U' B2 D'
F' B2 L D' U' B2 D2
F' B2 L D2 R2 U' D
F' B2 L D2 R2 U' D'
F' B2 L D2 R2 U' D2
F' B2 L D2 R2 D U'
F' B2 L D2 R2 D' U'
F' B2 L D2 R2 D2 U'
F B2 L R U' D R2
F B2 L R D U' R2
F B2 L R F2 U' D
F B2 L R F2 U' D'
F B2 L R F2 U' D2
F B2 L R F2 D U'
F B2 L R F2 D' U'
F B2 L R F2 D2 U'
