F' R B U L' U
U2 L F B L' D' B2
U2 L B F L' D' B2
F L' R' D F' B2 R'
F L' R' D B2 F' R'
F L' R' F' D B2 R'
U L' U L F L' B'
U L' U D2 B' L F
U L' U B' L F L'
U L' D2 U B' L F
U L' F R U B' L'
F L' B2 R' D F' B2
F L' B2 R' D B2 F'
F L' B2 R' F' D B2
U L2 U L F B' L'
U L2 U L B' F L'
F' R U L' R2 U F'
F' R U L' U' B U2
F' R U R2 L' U F'
U' R U' L F L' B
U' R U' L F B L'
U' R U' L B F L'
U' R U' B L F L'
F' R D B U L' U
F' R D' B U L' U
F' R D2 B U L' U
F' R F2 B U' R U'
F' R B U L' U D
F' R B U L' U D'
F' R B U L' U D2
F' R B U L' D U
F' R B U L' D' U
F' R B U L' D2 U
F' R B U D L' U
F' R B U D' L' U
F' R B U D2 L' U
F' R B D U L' U
F' R B D' U L' U
F' R B D2 U L' U
F' R B F2 U' R U'
F R' L' D F' B2 R'
F R' L' D B2 F' R'
F R' L' F' D B2 R'
U' R' U F' R B U2
F R' U2 L' D F' B2
F R' U2 L' D B2 F'
F R' U2 L' F' D B2
F R' U2 D L' F' B2
F R' U2 D L' B2 F'
F R' U2 D B2 L' F'
F R' D L' F' B2 R'
F R' D L' B2 F' R'
F R' D U2 L' F' B2
F R' D U2 L' B2 F'
F R' D U2 B2 L' F'
F R' D' F2 R U2 F
F2 U L F L' R U
F2 U L F R L' U
D2 U L' U B' L F
F' U L' U' R B U2
D' U L' F R U B'
U D' L' F R U B'
F U' L2 R U' L F
F U' R L2 U' L F
F U' R U' L F L2
F U' R B L U' L2
U D2 L' U B' L F
F U' B L R U' L2
F U' B R L U' L2
F2 U2 D' B L F B'
F2 U2 D' B L B' F
U F L R U L2 B'
U F L2 R U L B'
U F R L U L2 B'
U F R L2 U L B'
F2 U2 B D' L F B'
F2 U2 B D' L B' F
R' F U' R U' L' F2
R2 F U' R U' L' F'
F' D R B U L' U
F2 D R F' B U2 L'
F2 D R B F' U2 L'
F2 D R' U2 F' B L
F2 D R' U2 B L F'
F2 D R' U2 B F' L
R F B U' R U' L'
F2 D F R F' B U2
F2 D F R B F' U2
R2 F' R U L' U F'
D' F' U L' F R U
F' D' R B U L' U
R F' B R U L' U
F2 D' U2 B L F B'
F2 D' U2 B L B' F
F' D2 R B U L' U
F' B R B U L' U
R B F U' R U' L'
R B F' R U L' U
B' F' R B U L' U
F' B' R B U L' U
B2 F' R B U L' U
B F' R B U L' U
F' B2 R B U L' U
