F L D L2 F2 B'
F L D L2 B' F2
D' L D2 L2 F B'
D' L D2 L2 B' F
D' L' D2 F B' L2
D' L' D2 B' F L2
D L' D2 B' L' F
D' L' F D2 B' L2
D' L' F B' D2 L2
D' L' B' D2 F L2
D' L' B' F D2 L2
D L' B' D2 L' F
D' L R2 F B' U2 R2
D' L R2 B' F U2 R2
F L U L2 B2 U' B
R' L D L2 R F' B'
R' L D L2 R B' F'
R' L D L2 B' R F'
R' L D R L2 F' B'
R' L D R L2 B' F'
F L U B2 L2 U' B'
D' L U2 R2 F B' U2
D' L U2 R2 B' F U2
D' L U2 F R2 B' U2
D' L U2 F B' R2 U2
D' L U2 B' R2 F U2
D' L U2 B' F R2 U2
F L D L F2 L B'
F L D L2 F2 D B'
F L D L2 F2 D' B'
F L D L2 F2 D2 B'
F L D L2 F2 B' D
F L D L2 F2 B' D'
F L D L2 F2 B' D2
F L D L2 B' F2 D
F L D L2 B' F2 D'
F L D L2 B' F2 D2
F L D B L2 F2 B'
F L D B L2 B' F2
F L D B' L2 F2 B'
F L D B' L2 B' F2
F L D B2 L2 F2 B'
F L D B2 L2 B' F2
D' L D2 L2 D F B'
D' L D2 L2 D B' F
D' L D2 L2 D' F B'
D' L D2 L2 D' B' F
D' L D2 L2 D2 F B'
D' L D2 L2 D2 B' F
D' L D2 L2 F D B'
D' L D2 L2 F D' B'
D' L D2 L2 F D2 B'
D' L D2 L2 F B' D
D' L D2 L2 F B' D'
D' L D2 L2 F B' D2
D' L D2 L2 B' D F
D' L D2 L2 B' D' F
D' L D2 L2 B' D2 F
D' L D2 L2 B' F D
D' L D2 L2 B' F D'
D' L D2 L2 B' F D2
D' L F R2 B' U2 R2
D' L F B' R2 U2 R2
D' L F' D2 L2 F B2
D' L F' D2 L2 B2 F
F L F2 D F2 L2 B'
D' L B D2 L2 F2 B'
D' L B D2 L2 B' F2
D' L B' R2 F U2 R2
D' L B' F R2 U2 R2
R' L' D R F' B' L2
R' L' D R B' L2 F'
R' L' D R B' F' L2
L' R' D R F' B' L2
L' R' D R B' L2 F'
L' R' D R B' F' L2
L R' D L2 R F' B'
L R' D L2 R B' F'
L R' D L2 B' R F'
L R' D R L2 F' B'
L R' D R L2 B' F'
R' L' D B' L2 R F'
R' L' D B' R L2 F'
R' L' D B' R F' L2
L' R' D B' L2 R F'
L' R' D B' R L2 F'
L' R' D B' R F' L2
D' L' R2 U2 R2 F B'
D' L' R2 U2 R2 B' F
D' L' R2 U2 F R2 B'
D' L' R2 U2 F B' R2
D' L' R2 U2 B' R2 F
D' L' R2 U2 B' F R2
F L' R' B2 U' B R
F L' R2 B2 U' B R2
D' L' U2 R2 U2 F B'
D' L' U2 R2 U2 B' F
D' L' D F D B' L2
D L' D B' L' D F2
F L' D B' L2 D F2
D' L' D' B' D' F L2
B' L' D' B' L' F L2
D L' D' B' D' L' F
D' L' D2 F B L2 B2
