B' U' R' F U2 F2
B' U' F R' U2 F'
B' L U B2 L F B'
B' L U B2 L B' F
B' L2 U B2 L F B
B' L2 U B2 L B F
B' L2 U' R' U2 F' B'
B' L2 U' R' U2 B' F'
B2 L2 B U B2 L F
B' R' F U R U R'
F R2 U R' F' B' U
B' R2 U' R F B U2
F R2 U R' B' F' U
B' R2 U' R B F U2
B' U L F B2 L B'
B' U L B2 F L B'
F U R B' U D L2
F U R B' U2 B2 U'
F U R B' D U L2
F U R B' D2 F2 U
F U R' F' R2 B' U
F U R' F' B' R2 U
F U R' B' F' R2 U
B' U F' D2 B2 L F
B' U B2 L2 B' L' F
F U B' R U2 B U'
F U B' R' F' R2 U
B' U' R F R2 U2 F'
B' U' R F B R2 U2
B' U' R B R2 F U2
B' U' R B F R2 U2
B' U' R' U2 F' D2 B2
B' U' R' D F U2 F2
B' U' R' D' F U2 F2
B' U' R' D2 F U2 F2
B' U' R' F U2 F2 D
B' U' R' F U2 F2 D'
B' U' R' F U2 F2 D2
B' U' R' F D2 B2 U2
B' U' R' F B U2 F2
B' U' R' F B' U2 F2
B' U' R' F B2 U2 F2
B' U' R' B F U2 F2
B' U' R' B' F U2 F2
B' U' R' B2 F U2 F2
B' U' D R' F U2 F2
B' U' D F R' U2 F'
B' U' D' R' F U2 F2
B' U' D' F R' U2 F'
B' U' D2 R' F U2 F2
B' U' D2 F R' U2 F'
B' U' F R B R2 U2
B' U' F R' U2 D F'
B' U' F R' U2 D' F'
B' U' F R' U2 D2 F'
B' U' F R' U2 F' D
B' U' F R' U2 F' D'
B' U' F R' U2 F' D2
B' U' F R' D U2 F'
B' U' F R' D' U2 F'
B' U' F R' D2 U2 F'
B' U' F R' B U2 F'
B' U' F R' B' U2 F'
B' U' F R' B2 U2 F'
B' U' F D R' U2 F'
B' U' F D' R' U2 F'
B' U' F D2 R' U2 F'
B' U' F B2 U2 L F
B' U' F' R' F2 U2 F
B' U' B2 F U2 L F
B' D U' R' F U2 F2
B' D U' F R' U2 F'
B' D' U' R' F U2 F2
B' D' U' F R' U2 F'
B' D2 U' R' F U2 F2
B' D2 U' F R' U2 F'
L B U L F B' R'
L B U L B' R' F
L B U L B' F R'
B' F R' U R2 U R2
R' B' U' R' F U2 F2
D2 B' U' R' F U2 F2
D' B' U' R' F U2 F2
R' B' U' F R' U2 F'
D2 B' U' F R' U2 F'
D' B' U' F R' U2 F'
R2 B' U' R' F U2 F2
D B' U' R' F U2 F2
R2 B' U' F R' U2 F'
D B' U' F R' U2 F'
R B' U' R' F U2 F2
R B' U' F R' U2 F'
F B' R' U R2 U R2
