B U L' B' U L
U' L R2 D' F' R B2
U' L R2 D' F' B2 R
U' L R2 D' B2 F' R
F2 L R2 F' R D B2
R2 L D' F R F2 B2
R2 L D' F R B2 F2
R2 L D' F B2 R F2
R2 L D' B2 F R F2
L' R F U L2 R F'
L' R F U R L2 F'
L' R F U R F' L2
L R F R D' F' B2
L R F R D' B2 F'
R2 L F R F2 D' B2
L R F R F' D' B2
R L F R D' F' B2
R L F R D' B2 F'
R L F R F' D' B2
B2 L D' B2 L F R
R2 L' U L2 D F' R
U L' R2 B' U L2 F'
U L' R2 B' U F' L2
R2 L' F U L2 R F2
R2 L' F U R L2 F2
R2 L' F U R F2 L2
R L' F U L2 R F'
R L' F U R L2 F'
R L' F U R F' L2
U' L' U' B L U2 L
R2 L' F' L2 D' B2 R'
L' R2 U L2 D F' R
U L' B' U L2 D2 F2
U L' B' U' B2 U2 L2
U' L' B2 U L2 F R
L R2 D' F R F2 B2
L R2 D' F R B2 F2
L R2 D' F B2 R F2
L R2 D' B2 F R F2
L' R2 F U L2 R F2
L' R2 F U R L2 F2
L' R2 F U R F2 L2
L R2 F R F2 D' B2
L' R2 F' L2 D' B2 R'
L' U L2 R2 D F' R
R2 U L' B' U L2 F'
R2 U L' B' U F' L2
L' U L2 D R2 F' R
L' U R2 L2 D F' R
B R U L' B' U L
F2 R U' L R F' R
F2 R U' L F' R F'
F2 R U' R L F' R
F2 R U' R F' L R
F2 R U' R F' R L
F2 R U' F' L R F'
F2 R U' F' R L F'
F2 R U' F' R F' L
L U' L2 U' B L U2
F2 R F' U' L R F'
F2 R F' U' R L F'
F2 R F' U' R F' L
B R' U L' B' U L
L U' B2 L2 U F R
B2 R' B' U L' B' U
L U2 D F2 B L U2
L U2 D B L F2 U2
L U2 D B F2 L U2
U' R2 L D' F' R B2
U' R2 L D' F' B2 R
U' R2 L D' B2 F' R
F2 R2 L F' R D B2
L U2 D' B L U2 B
U R2 L' B' U L2 F'
U R2 L' B' U F' L2
B R2 U L' B' U L
R2 U2 F' D' L B' R'
L U2 B L U L U
L U2 B U2 D' B2 R'
L U2 B D L F2 U2
L U2 B D F2 L U2
L U2 B D' L U2 B2
L U2 B D' U2 B2 R'
F2 R2 F' L R D B2
F2 R2 F' R L D B2
F2 R2 F' R D L B2
F R2 F' L R' D' B2
F R2 F' L D' R' B2
U2 R2 F' D' L B' R'
F R2 F' R' L D' B2
L D U2 F2 B L U2
L D U2 B L F2 U2
L D U2 B F2 L U2
B U L' F B' U L
B U L' F' B' U L
B U L' F2 B' U L
B U L' B' U L D
B U L' B' U L D'
B U L' B' U L D2
B U L' B' U D L
B U L' B' U D' L
B U L' B' U D2 L
B U L' B' D U L
B U L' B' D' U L
B U L' B' D2 U L
B U L' B' F U L
B U L' B' F' U L
B U L' B' F2 U L
L' D F2 R2 U F' R
L' D F2 U R2 F' R
B U D L' F B' U
B U D L' B' F U
L D' L2 B2 L2 F R
L D' R F R F' B2
L D' R F R B2 F'
L D' R F B2 R F'
L D' R B2 F R F'
B U B' L' B' U L2
L D' R2 F R F2 B2
L D' R2 F R B2 F2
L D' R2 F B2 R F2
L D' R2 B2 F R F2
F U' L R2 F' R' B
L D' U2 B L U2 B
L D' F R2 F' R' B2
L D' F2 R2 F' R B2
L D' F2 R2 F' B2 R
L D' F2 R2 B2 F' R
F U' R2 L F' R' B
F U' R2 F' L R' B
F U' R2 F' R' L B
L D' B2 L2 F L2 R
L D' B2 L2 F R L2
L D' B2 U2 B' U2 R'
R2 F R F2 D' L B'
L' F R2 U L2 F' R'
L' F R2 U F' L2 R'
L' F R2 U F' R' L2
R F R F' L D' B2
L' F U L2 R2 F' R'
L' F U R2 L2 F' R'
L' F U R2 F' L2 R'
L' F U R2 F' R' L2
B U2 B' L R' D' B2
B U2 B' L D' R' B2
B U2 B' R' L D' B2
L F R2 D' F' R' B2
L F R2 F' R' D' B2
L F R2 F' D' R' B2
L' F U' B U2 L2 R
L' F U' B U2 R L2
R2 F U' L R F2 B
R2 F U' L R B F2
R2 F U' R L F2 B
R2 F U' R L B F2
R2 F U' R F2 L B
R F U' L R F' B
R F U' L R B F'
R F U' R L F' B
R F U' R L B F'
R F U' R F' L B
L F D' R2 F' R' B2
L' F B2 U L2 R F
L' F B2 U R L2 F
B D U L' F B' U
B D U L' B' F U
L' F' U' L' B U2 L'
L' F' U' B L' U2 L'
F' D' L D2 R2 F' B'
F' D' L D2 R2 B' F'
F' D' L B' D2 R2 F2
F' D' L B' D2 F2 R2
F' D' L' F B U2 L2
F' D' L' B U2 L2 B'
F' D' L' B F U2 L2
R2 F' D' L D2 R2 B'
R2 F' D' L D2 B' R2
R2 F' D' L B' D2 R2
L' F2 R2 U L2 F' R
L' F2 R2 U F' L2 R
L' F2 R2 U F' R L2
R F2 R U' L F' R
R F2 R U' F' L R
R F2 R U' F' R L
L' F2 U L2 R2 F' R
L' F2 U R2 L2 F' R
L' F2 U R2 F' L2 R
L' F2 U R2 F' R L2
L F2 R2 F' R D' B2
L F2 R2 F' D' R B2
L F2 R2 F' D' B2 R
D2 B U L' B' U L
D' B U L' B' U L
D B U L' B' U L
L' B2 L2 D' F R B2
L' B2 L2 D' F B2 R
L' B2 L2 D' B2 F R
L' B2 L2 F R D' B2
L' B2 L2 F D' R B2
L' B2 L2 F D' B2 R
L B2 U' L2 U F R
L' B2 F U L2 R F
L' B2 F U R L2 F
