L2 F L U F2
L' U L' F' D' L2
F' L2 F L' U F'
D' L2 F L U F2
D2 L2 F L U F2
D L2 F L U F2
L' U D F L' F2
L' U F2 D F L'
L' U2 L B' U' F'
L' U2 L2 U' F' L'
L' D U F L' F2
L' D F U L' F2
L2 D F L U F2
L2 D' F L U F2
L2 D2 F L U F2
B' U2 L' B U F'
F2 U2 R B' U' F
L2 F L R U F2
L2 F L R' U F2
L2 F L R2 U F2
L2 F L U F2 D
L2 F L U F2 D'
L2 F L U F2 D2
L2 F L D R2 U
L2 F R L U F2
L2 F R' L U F2
B' U2 B L' U F'
L2 F R2 L U F2
F2 U2 B' R U' F
F U2 B' R' U' F2
L2 F D L R2 U
L2 F D R2 L U
L2 F' L F2 U F2
L' F2 U D F L'
L' F2 D U F L'
U2 B' U2 L' U F'
L' R U2 L B' U' F
U2 L U' D' F' L' B2
U2 L U' D' F' B2 L'
U2 L U' D' B2 F' L'
U2 L U' F' D' L' B2
U2 L U' F' D' B2 L'
B' L U2 L2 B U F'
U2 L U2 L2 U F' L'
B' L U2 B L2 U F'
L2 R F L R' U F'
L2 R F R' L U F'
U2 L D' U' F' L' B2
U2 L D' U' F' B2 L'
U2 L D' U' B2 F' L'
B' L B L2 F U F2
R2 L' U' D' B R' U2
B2 L B2 L2 F U F2
R L' U2 L B' U' F
R2 L' D' U' B R' U2
D2 L' U L' F' D' L2
D' L' U L' F' D' L2
D L' U L' F' D' L2
D2 L' U D F L' F2
D' L' U D F L' F2
R2 L' D2 R2 U F' L'
D L' U D F L' F2
D2 L' U F2 D F L'
B L' U D L2 F' R
D' L' U F2 D F L'
B L' U D F' L2 R
B L' U D F' R L2
D L' U F2 D F L'
L2 R' F L R U F'
L2 R' F R L U F'
D2 L' U2 L B' U' F'
D' L' U2 L B' U' F'
D2 L' U2 L2 U' F' L'
D' L' U2 L2 U' F' L'
D L' U2 L B' U' F'
D L' U2 L2 U' F' L'
D2 L' D U F L' F2
D' L' D U F L' F2
D2 L' D F U L' F2
D' L' D F U L' F2
D L' D U F L' F2
B L' D U L2 F' R
B L' D U F' L2 R
B L' D U F' R L2
D L' D F U L' F2
F' L' F L' F U F2
F L' F' L' F U F2
L' R2 U' D' B R' U2
D' L' F2 U D F L'
D2 L' F2 U D F L'
D' L' F2 D U F L'
D2 L' F2 D U F L'
D L' F2 U D F L'
D L' F2 D U F L'
B' L' B U2 B' U' F'
L' R2 D' U' B R' U2
B2 L' B2 U2 B' U' F'
L' R2 D2 R2 U F' L'
F' L2 R F L' U F'
R' L2 F L R U F'
R' L2 F R L U F'
L2 R2 F L R2 U F'
L2 R2 F L U' B U2
F' L2 R' F L' U F'
R2 L2 F L R2 U F'
R2 L2 F L U' B U2
R L2 F L R' U F'
L2 R2 F R2 L U F'
R2 L2 F R2 L U F'
R L2 F R' L U F'
F' L2 R2 F L' U F'
B' L2 U2 L B U F'
U L2 U' F L U F2
U2 L2 U2 F L U F2
D2 L2 D F L U F2
D' L2 D F L U F2
D L2 D F L U F2
D2 L2 D' F L U F2
D' L2 D' F L U F2
L' U L U B' U' F'
D L2 D' F L U F2
L' U L F' U B' U'
D2 L2 D2 F L U F2
D' L2 D2 F L U F2
L' U L' U' F U F2
L' U L' D F' D' L2
L' U L' D' F' D' L2
D2 L2 F L R U F2
D2 L2 F L R' U F2
D2 L2 F L R2 U F2
D2 L2 F L U F2 D
D2 L2 F L U F2 D'
D2 L2 F L U F2 D2
D2 L2 F L D R2 U
D' L2 F L R U F2
D' L2 F L R' U F2
D L2 D2 F L U F2
D' L2 F L R2 U F2
L' U L' D2 F' D' L2
D' L2 F L U F2 D
D' L2 F L U F2 D'
D' L2 F L U F2 D2
D' L2 F L D R2 U
L' U L' F' L D' L2
L' U L' F' L' D' L2
L' U L' F' L2 D' L2
L' U L' F' U' F2 U
L' U L' F' D' L2 D
L' U L' F' D' L2 D'
L' U L' F' D' L2 D2
D2 L2 F R L U F2
F' L2 F L' U D F'
F' L2 F L' U D' F'
F' L2 F L' U D2 F'
F' L2 F L' U F' D
F' L2 F L' U F' D'
F' L2 F L' U F' D2
F' L2 F L' D U F'
F' L2 F L' D' U F'
F' L2 F L' D2 U F'
D' L2 F R L U F2
D2 L2 F R' L U F2
D' L2 F R' L U F2
D2 L2 F R2 L U F2
D' L2 F R2 L U F2
D L2 F L R U F2
D L2 F L R' U F2
D L2 F L R2 U F2
D L2 F L U F2 D
D L2 F L U F2 D'
D L2 F L U F2 D2
D L2 F L D R2 U
D2 L2 F D L R2 U
D2 L2 F D R2 L U
D L2 F R L U F2
D' L2 F D L R2 U
D' L2 F D R2 L U
D L2 F R' L U F2
F' L2 F D L' U F'
D L2 F R2 L U F2
F' L2 F D' L' U F'
F' L2 F D2 L' U F'
D2 L2 F' L F2 U F2
D L2 F D L R2 U
D L2 F D R2 L U
D' L2 F' L F2 U F2
F L2 F U2 R U' F
B L2 F B2 R' U' F2
D L2 F' L F2 U F2
F L2 F' L' F2 U F
U L2 F' L' D' L2 B2
U L2 F' L' D' B2 L2
U L2 F' U' L F2 U
U L2 F' U' F2 L U
L' U D L F L' F2
L' U D L' F L' F2
L' U D L2 F L' F2
L' U D F L F2 L2
L' U D F L' F2 D
L' U D F L' F2 D'
L' U D F L' F2 D2
L' U D F L2 F2 L
L' U D F' U2 R U2
L' U D' F' B' L B
L' U D' F2 D2 F L'
L' U D' B' L F' B
L' U D' B' L B F'
L' U D' B' F' L B
B L2 B2 F R' U' F2
L U D' F' B L B
L U D' B L F' B
L U D' B L B F'
L U D' B F' L B
L' U D2 F2 D' F L'
L' U F' L U B' U'
L' U F' L' U' F U
F' R L2 F L' U F'
L2 U F' L' D' L2 B2
L2 U F' L' D' B2 L2
L' U F' D F L' F'
L' U F' D' B' L B
L2 U F' U' L F2 U
L' U F' B D' B' L
L2 U F' U' F2 L U
L U F' D' B L B
L U F' B D' L B2
L U F' B' D' B2 L
L' U F2 D F L' D
L' U F2 D F L' D'
L' U F2 D F L' D2
L' U F2 D F D L'
L' U F2 D F D' L'
L' U F2 D F D2 L'
L' U B D' F' B' L
L' U B D' B' L F'
L' U B D' B' F' L
L' U B F' D' B' L
L U B D' L F' B2
L U B D' L B2 F'
L U B D' F' L B2
L U B F' D' L B2
F R U2 B' R' U' F2
L U B' D' F' B2 L
L U B' D' B2 L F'
L U B' D' B2 F' L
L U B' F' D' B2 L
L' U' R2 D' B R' U2
F2 R B' U2 B U F
L' U' D' R2 B R' U2
L U' D F2 U2 F L'
L' U' D' B' U2 L F'
L' U' D' B' U2 F' L
L' U' D' B2 U2 F' L'
L U' D' F' L' B2 R'
L2 U' F L U F2 R
F' R' L2 F L' U F'
L U' F' D' L' B2 R'
F2 R' U2 R2 B' U' F
F2 R' U2 B' R2 U' F
F R' U2 B' R' U' F2
L' U2 L D B' U' F'
L' U2 L D' B' U' F'
L' U2 L D2 B' U' F'
L' U2 L B' L U' F'
L' U2 L B' L' U' F'
L' U2 L B' L2 U' F'
L' U2 L B' U' D F'
L' U2 L B' U' D' F'
L' U2 L B' U' D2 F'
L' U2 L B' U' F' D
L' U2 L B' U' F' D'
L' U2 L B' U' F' D2
L' U2 L B' D U' F'
L' U2 L B' D' U' F'
L' U2 L B' D2 U' F'
L' U2 L' U' F' D' L2
L' U2 L' U2 F U F2
L' U2 L2 U' L F' L'
L' U2 L2 U' L' F' L'
L' U2 L2 U' L2 F' L'
L' U2 L2 U' D F' L'
L' U2 L2 U' D' F' L'
L' U2 L2 U' D2 F' L'
L' U2 L2 U' F' L' D
L' U2 L2 U' F' L' D'
L' U2 L2 U' F' L' D2
L' U2 L2 U' F' D L'
L' U2 L2 U' F' D' L'
L' U2 L2 U' F' D2 L'
L' U2 L2 D U' F' L'
L' U2 L2 D' U' F' L'
L' U2 L2 D2 U' F' L'
L' U2 L2 B U' F' L'
L' U2 L2 B' U' F' L'
L' U2 L2 B2 U' F' L'
F2 R' B' R2 F' U' F2
L' U2 D' B' U' L F'
L' U2 D' B' U' F' L
F' R2 L2 F L' U F'
L' U2 B L B' U' F'
L' U2 B L2 U' F' L'
L' U2 B' L B' U' F'
F2 R2 U2 R' B' U' F
L' U2 B' L2 U' F' L'
L' U2 B2 L B' U' F'
L' U2 B2 L2 U' F' L'
F R2 U2 B' R' U' F2
L' D U L F L' F2
L' D U L' F L' F2
L' D U L2 F L' F2
L' D U F L F2 L2
L' D U F L' F2 D
L' D U F L' F2 D'
L' D U F L' F2 D2
L' D U F L2 F2 L
L' D U F' U2 R U2
L D U' F2 U2 F L'
L' D F R U L' F2
L' D F R' U L' F2
L' D F R2 U L' F2
L' D F U L F2 L2
L' D F U L' F2 D
L' D F U L' F2 D'
L' D F U L' F2 D2
L' D F U L2 F2 L
L2 D F L R U F2
L2 D F L R' U F2
L2 D F L R2 U F2
L2 D F L U F2 D
L2 D F L U F2 D'
L2 D F L U F2 D2
L2 D F L D R2 U
L' D F D R2 U L'
L2 D F R L U F2
L2 D F R' L U F2
L2 D F R2 L U F2
L2 D F D L R2 U
L2 D F D R2 L U
L2 D F' L F2 U F2
F U L' F2 D' B' L
L D' L F U F2 B2
L D' L F U B2 F2
F' U F' B' R U' R'
U2 D B' U2 L' U F'
F U F2 L' D' B' L
F U F2 U B' R' U'
L' D' R2 U' B R' U2
F2 U B' R U' R' F
F2 U B' R U' F R'
F' U B' F' R U' R'
L' D' U F' B' L B
L' D' U F2 D2 F L'
L' D' U B' L F' B
L' D' U B' L B F'
L' D' U B' F' L B
L' D' U' R2 B R' U2
L' D' U' B' U2 L F'
L' D' U' B' U2 F' L
L' D' U' B2 U2 F' L'
L D' U F' B L B
L D' U B L F' B
L D' U B L B F'
L D' U B F' L B
L' D' U2 B' U' L F'
L' D' U2 B' U' F' L
L D' U' F' L' B2 R'
L2 D' F L R U F2
L2 D' F L R' U F2
L2 D' F L R2 U F2
L2 D' F L U F2 D
L2 D' F L U F2 D'
L2 D' F L U F2 D2
L2 D' F L D R2 U
L2 D' F R L U F2
L2 D' F R' L U F2
L2 D' F R2 L U F2
L2 D' F D L R2 U
L2 D' F D R2 L U
L2 D' F' L F2 U F2
L' D' F2 U D2 F L'
L' D' F2 D2 U F L'
R' D2 L' U D F L'
R' D2 L' D U F L'
U2 D' B' U2 L' U F'
R' D2 L2 F L U F
L' D2 R F' R' U F'
B' U' B L' U L F'
B' U' B L' U F' L
L' D2 R2 U' B U2 L
L' D2 U F2 D' F L'
B' U2 L B L2 U F'
L' D2 F R F' U F'
B' U2 L' D B U F'
B' U2 L' D' B U F'
B' U2 L' D2 B U F'
L2 D2 F L R U F2
L2 D2 F L R' U F2
L2 D2 F L R2 U F2
L2 D2 F L U F2 D
L2 D2 F L U F2 D'
L2 D2 F L U F2 D2
L2 D2 F L D R2 U
B' U2 L' B U D F'
B' U2 L' B U D' F'
B' U2 L' B U D2 F'
B' U2 L' B U F' D
B' U2 L' B U F' D'
B' U2 L' B U F' D2
L2 D2 F R L U F2
B' U2 L' B D U F'
B' U2 L' B D' U F'
B' U2 L' B D2 U F'
L2 D2 F R' L U F2
L2 D2 F R2 L U F2
L2 D2 F D L R2 U
L2 D2 F D R2 L U
L' D2 F' R F' U F
L2 D2 F' L F2 U F2
L' D2 F2 R F' U F2
L' D2 F2 U D' F L'
L' D2 F2 D' U F L'
F2 U2 R D B' U' F
F2 U2 R D' B' U' F
F2 U2 R D2 B' U' F
F2 U2 R B' U' D F
F2 U2 R B' U' D' F
F2 U2 R B' U' D2 F
F2 U2 R B' U' F D
F2 U2 R B' U' F D'
F2 U2 R B' U' F D2
F2 U2 R B' D U' F
F2 U2 R B' D' U' F
F2 U2 R B' D2 U' F
F2 U2 R' B' R2 U' F
D' U2 B' U2 L' U F'
F U2 R B' R' U' F2
D2 U2 B' U2 L' U F'
B' U2 D L' B U F'
U2 D2 B' U2 L' U F'
F U2 R' B' R' U' F2
B' U2 D B L' U F'
F2 U2 D R B' U' F
D U2 B' U2 L' U F'
B' U2 D' L' B U F'
F2 U2 D B' R U' F
B' U2 D' B L' U F'
F U2 R2 B' R' U' F2
F2 U2 D' R B' U' F
L2 F L R U F2 D
L2 F L R U F2 D'
L2 F L R U F2 D2
L2 F L R D R2 U
L2 F L R' U F2 D
L2 F L R' U F2 D'
L2 F L R' U F2 D2
L2 F L R' D R2 U
L2 F L R2 U F2 D
L2 F L R2 U F2 D'
L2 F L R2 U F2 D2
L2 F L R2 D R2 U
B' U2 D2 L' B U F'
L2 F L U L' F2 L
L2 F L U L2 F2 L2
L2 F L U R F2 R'
L2 F L U R2 F2 R2
L2 F L U F D F
L2 F L U F D' F
L2 F L U F D2 F
L2 F L U F' D F'
L2 F L U F' D' F'
L2 F L U F' D2 F'
L2 F L U' D2 B2 U2
L2 F L U' B U2 F2
L2 F L U' B' U2 F2
L2 F L U' B2 U2 F2
L2 F L U2 L U' F2
L2 F L U2 L' U' F2
L2 F L U2 L2 U' F2
F2 U2 D' B' R U' F
L2 F L U2 D' L2 U'
L2 F L D R2 U D
L2 F L D R2 U D'
L2 F L D R2 U D2
L2 F L D R2 D U
L2 F L D R2 D' U
L2 F L D R2 D2 U
L2 F L D' U2 L2 U'
L2 F L D2 U' B2 U2
B' U2 D2 B L' U F'
F2 U2 D2 R B' U' F
F2 U2 D2 B' R U' F
L2 F L' U F2 D' B2
F U2 D' B' L2 R' U'
F U2 D' B' R' L2 U'
L2 F L2 D L' R2 U
L2 F L2 D R2 L' U
L2 F R L U F2 D
L2 F R L U F2 D'
L2 F R L U F2 D2
L2 F R L D R2 U
L2 F R D L R2 U
L2 F R D R2 L U
B' U2 B L' U D F'
B' U2 B L' U D' F'
B' U2 B L' U D2 F'
B' U2 B L' U F' D
B' U2 B L' U F' D'
B' U2 B L' U F' D2
B' U2 B L' D U F'
B' U2 B L' D' U F'
B' U2 B L' D2 U F'
L2 F R' L U F2 D
L2 F R' L U F2 D'
L2 F R' L U F2 D2
L2 F R' L D R2 U
L2 F R' D L R2 U
L2 F R' D R2 L U
B' U2 B D L' U F'
B' U2 B D' L' U F'
F2 U2 B R B2 U' F
B' U2 B D2 L' U F'
B' U2 B' L' B2 U F'
L2 F R2 L U F2 D
L2 F R2 L U F2 D'
L2 F R2 L U F2 D2
L2 F R2 L D R2 U
L2 F R2 D L R2 U
L2 F R2 D R2 L U
F2 U2 B' R U' D F
F2 U2 B' R U' D' F
F2 U2 B' R U' D2 F
F2 U2 B' R U' F D
F2 U2 B' R U' F D'
F2 U2 B' R U' F D2
F2 U2 B' R D U' F
F2 U2 B' R D' U' F
F2 U2 B' R D2 U' F
F2 U2 B' D R U' F
F2 U2 B' D' R U' F
F2 U2 B' D2 R U' F
L' F U F D F L'
F U2 B' L R' U' F2
F U2 B' L' R' U' F2
F U2 B' L2 R' U' F2
F U2 B' R' L U' F2
F U2 B' R' L' U' F2
F U2 B' R' L2 U' F2
F U2 B' R' U' F2 D
F U2 B' R' U' F2 D'
F U2 B' R' U' F2 D2
F U2 B' R' D' L2 U'
L2 F U F2 U' L U
F U2 B' D' L2 R' U'
F U2 B' D' R' L2 U'
L' F U2 L B' U' F2
D' F U2 B' R' U' F2
D2 F U2 B' R' U' F2
L' F D R2 F U L'
L2 F D L R2 U D
L2 F D L R2 U D'
L2 F D L R2 U D2
L2 F D L R2 D U
L2 F D L R2 D' U
L2 F D L R2 D2 U
L2 F D L U D' F2
L2 F D L D' U F2
L' F D F R2 U L'
L2 F D R2 L U D
L2 F D R2 L U D'
L2 F D R2 L U D2
L2 F D R2 L D U
L2 F D R2 L D' U
L2 F D R2 L D2 U
L2 F D R2 D L U
L2 F D R2 D' L U
L2 F D R2 D2 L U
D F U2 B' R' U' F2
L2 F D' L U2 L U'
L2 F D2 L U D2 F2
L2 F D2 L U' B2 U2
L2 F D2 L D' R2 U
L2 F D2 L D2 U F2
F D R2 U2 B' R' U'
B' D U2 L' B U F'
L2 F' L R F2 U F2
L2 F' L R' F2 U F2
L2 F' L R2 F2 U F2
B' D U2 B L' U F'
F2 D U2 R B' U' F
L2 F' L F2 R U F2
L2 F' L F2 R' U F2
L2 F' L F2 R2 U F2
L2 F' L F2 U F2 D
L2 F' L F2 U F2 D'
L2 F' L F2 U F2 D2
L2 F' L F2 D R2 U
L' F' L' F L U F'
F2 D U2 B' R U' F
L2 F' L' F2 L2 U F2
L F' L F L U F'
D2 F' L2 F L' U F'
D' F' L2 F L' U F'
U F' L' D' L B' L
U F' L' D' B' L B'
L2 F' R L F2 U F2
D F' L2 F L' U F'
U F' L2 U' F L' U
L2 F' R F2 L U F2
L2 F' R' L F2 U F2
L2 F' R' F2 L U F2
L2 F' R2 L F2 U F2
L2 F' R2 F2 L U F2
B D B' L' U L' F'
L2 F' U' L F2 U R
U F' U' L2 F L' U
L' F' D F U L' F'
L' F' D2 R F' U F
B' D' U2 L' B U F'
L2 F2 L D F' R U
B' D' U2 B L' U F'
F2 D' U2 R B' U' F
L' F2 L' F L U F
F2 D' U2 B' R U' F
F D' U2 B' L2 R' U'
F D' U2 B' R' L2 U'
L' F2 R U D F L'
L' F2 R D U F L'
L' F2 R' U D F L'
L' F2 R' D U F L'
U2 F2 R F2 B' U' F'
U2 F2 R B' F2 U' F'
L' F2 R2 U D F L'
L' F2 R2 D U F L'
L' F2 U D F L' D
L' F2 U D F L' D'
L' F2 U D F L' D2
L' F2 U D F D L'
L' F2 U D F D' L'
L' F2 U D F D2 L'
U' F2 U' R B' U' F
U' F2 U' B' R U' F
R' F2 U2 R B' U' F'
D2 F2 U2 R B' U' F
D' F2 U2 R B' U' F
U F2 U R B' U' F
R' F2 U2 B' R U' F'
D2 F2 U2 B' R U' F
U F2 U B' R U' F
D' F2 U2 B' R U' F
L' F2 D R U F L'
L' F2 D R' U F L'
L' F2 D R2 U F L'
L' F2 D U F L' D
L' F2 D U F L' D'
L' F2 D U F L' D2
L' F2 D U F D L'
L' F2 D U F D' L'
L' F2 D U F D2 L'
D F2 U2 R B' U' F
L' F2 D F' U F2 L'
D F2 U2 B' R U' F
L2 F2 D F' L U F2
L' F2 D2 R F' U F2
L2 F2 D' F' L U F2
L2 F2 D2 F' L U F2
U2 F2 B' R F2 U' F'
U F2 B' R U' R' F
U F2 B' R U' F R'
B' D2 U2 L' B U F'
B' D2 U2 B L' U F'
F2 D2 U2 R B' U' F
F2 D2 U2 B' R U' F
B2 D2 F2 B R U' F
B2 D2 B F2 R U' F
B D2 B' L' F2 U F
L' B D' B' U L F'
L' B D' B' U F' L
U2 B' L U' D' F' B2
U2 B' L U' D' B2 F'
U2 B' L U' F' D' B2
U2 B' L U2 L2 U F'
U2 B' L D' U' F' B2
U2 B' L D' U' B2 F'
B' F U2 B L U F2
U2 B' L2 U2 L U F'
D2 B' U2 L' B U F'
D' B' U2 L' B U F'
D2 B' U2 B L' U F'
D' B' U2 B L' U F'
U2 B' U2 L' U D F'
U2 B' U2 L' U D' F'
U2 B' U2 L' U D2 F'
U2 B' U2 L' U F' D
U2 B' U2 L' U F' D'
U2 B' U2 L' U F' D2
U2 B' U2 L' D U F'
U2 B' U2 L' D' U F'
U2 B' U2 L' D2 U F'
U2 B' U2 D L' U F'
U B' U' L' U L F'
U B' U' L' U F' L
U2 B' U2 D' L' U F'
U2 B' U2 D2 L' U F'
D B' U2 L' B U F'
D B' U2 B L' U F'
U2 B' D U2 L' U F'
B' F' R2 F' R U' F
F' B' R2 F' R U' F
F2 B' R2 F' R' U' F2
U2 B' D' U2 L' U F'
U2 B' D2 U2 L' U F'
U2 B' F2 R F2 U' F'
F B' U2 B L U F2
U B' F2 R U' R' F
U B' F2 R U' F R'
B' F2 R2 F' R' U' F2
