B' R F' U L' B2 R'
U2 D B L R' D' F2
U2 D B R' L D' F2
U2 D B R' D' L F2
U2 D B R' D' F2 L
F' U' L' D B R' F'
B U' R U2 F' B U'
B U' R U2 B F' U'
B U' R' F' B R2 U
B U' R' B F' R2 U
F' U' D L' B R' F'
F' U' D B L' R' F'
F' U' D B R' L' F'
D U2 B L R' D' F2
D U2 B R' L D' F2
D U2 B R' D' L F2
D U2 B R' D' F2 L
F' D U' L' B R' F'
F' D U' B L' R' F'
F' D U' B R' L' F'
R F' U L' B2 R' B
D F' U' L' B R' F'
D F' U' B L' R' F'
D F' U' B R' L' F'
D2 F2 L' F U' L' B
D2 F2 L' F U' B L'
F D' F2 L' F B R
F D' F2 L' B F R
F D' F2 B L' F R
F D' B F2 L' F R
D B R' D' F' L' F'
D B R' F D' F2 L'
D B R' F' L' D' F2
D B R' F' D' L' F2
B F D' F2 L' F R
F B D' F2 L' F R
