R2 U' L B L F R
R2 U' L2 F B L R
R2 U' L2 F B R L
R2 U' L2 B F L R
R2 U' L2 B F R L
D' U F' R B' U2 R'
D' U F' B' R U2 R2
U' D F' B' L' U2 L2
D U F' B' U2 L R'
D U F' B' U2 R' L
U D F' B' U2 L R'
U D F' B' U2 R' L
D' U B' F' R U2 R2
U' D B' F' L' U2 L2
D U B' F' U2 L R'
D U B' F' U2 R' L
U D B' F' U2 L R'
U D B' F' U2 R' L
L2 D' R2 F L' B R'
L2 D' R2 F B L' R'
L2 D' R2 F B R' L'
L2 D' R2 B R' F L'
L2 D' R2 B F L' R'
L2 D' R2 B F R' L'
D' U' F' R B' L' U2
U' D' F' R B' L' U2
U' D' F' B' L' R U2
D' U' F' B' L' R U2
U' D' F' B' R L' U2
D' U' F' B' R L' U2
U D' F' R B' U2 R'
D U' F' B' L' U2 L2
U D' F' B' R U2 R2
U' D' B' F' L' R U2
D' U' B' F' L' R U2
U' D' B' F' R L' U2
D' U' B' F' R L' U2
D U' B' F' L' U2 L2
U D' B' F' R U2 R2
U' F' D B' L' U2 L2
U F' D B' U2 L R'
U F' D B' U2 R' L
U' B' D' F' L' R U2
U' B' D' F' R L' U2
U B' D' F' R U2 R2
