B L B U' B R'
B L F B U' B R'
B L F' B U' B R'
B L F2 B U' B R'
B L B U' B R' D
B L B U' B R' D'
B L B U' B R' D2
B L B U' B D R'
B L B U' B D' R'
B L B U' B D2 R'
B L B F U' B R'
B L B F' U' B R'
B L B F2 U' B R'
B L2 U' L' B U' B
B L2 U' B L' U' B
D2 R B' R D' L2 F2
D2 R B' R D' F2 L2
D2 R' F2 U R' F' B'
D2 R' F2 U R' B' F'
D2 R2 B' U' R' F2 U
D2 R2 B' U' F2 R' U
B U L B U' B R'
B U' L B U' B R'
B U2 L B U' B R'
B' U2 L2 U R' F U
B' U2 L2 U F R' U
L2 F U' L B2 U' F
L2 F U' B2 L U' F
B2 D L' F2 U' F' B
B2 D L' F2 U' B F'
L2 F B U' L B U'
B2 D F2 L' U' F B
B2 D F2 L' U' B F
B D' L B R2 F' U'
D2 F2 R' U R' F' B'
D2 F2 R' U R' B' F'
D2 F2 U R' F' R' B'
D2 F2 U B' R' F' R'
D F2 U' B' L F L
D F2 B L U' L B2
R' B L B U' B R'
B2 D2 F L' U' B R2
R2 B L B U' B R'
D B L F2 U' L B2
R B L B U' B R'
F' B L B U' B R'
F2 B L B U' B R'
B F L B U' B R'
F B L B U' B R'
L2 B F U' L B U'
D B F2 L U' L B2
D2 B' R D' L2 R F2
D2 B' R D' R L2 F2
D2 B' R D' R F2 L2
D2 B' R2 U' R F2 U
D2 B' U' R' F2 U R'
B F' L B U' B R'
D2 B' U' F2 R' U R'
B F2 L B U' B R'
