F' L U L2 R2 U
F' L U R2 L2 U
F' L U2 D' F2 B2
F' L U2 D' B2 F2
F' L D F2 B2 U2
F' L D B2 F2 U2
F' L D' U2 F2 B2
F' L D' U2 B2 F2
L U L' R2 U B'
L U R2 L' U B'
L F' U L' R2 U
L F' U R2 L' U
F2 D B2 U2 R' B
F2 D' L U2 F2 B'
F2 D' L U2 B' F2
U2 B2 D' R' F2 B
U2 B2 D' R' B F2
U2 B2 D' F2 R' B
D' L U L' U F2 B'
D' L U L' U B' F2
F' L U L2 R2 U D
F' L U L2 R2 U D'
F' L U L2 R2 U D2
F' L U L2 R2 D U
F' L U L2 R2 D' U
F' L U L2 R2 D2 U
F' L U L2 U D' F2
F' L U L2 D' U F2
F' L U R2 L2 U D
F' L U R2 L2 U D'
F' L U R2 L2 U D2
F' L U R2 L2 D U
F' L U R2 L2 D' U
F' L U R2 L2 D2 U
F' L U R2 U D' B2
F' L U R2 D' U B2
F L U R2 U2 R' U'
D2 L U' L R U' B
D2 L U' R L U' B
D' L U' R U' F2 B
D' L U' R U' B F2
F L U' R U2 R U
F' L U' D2 L2 R2 U'
F' L U' D2 R2 L2 U'
F L U' D' R U' F2
F L U' D2 L2 R U'
F L U' D2 R L2 U'
F' L U2 D' F2 B2 D
F' L U2 D' F2 B2 D'
F' L U2 D' F2 B2 D2
F' L U2 D' B2 F2 D
F' L U2 D' B2 F2 D'
F' L U2 D' B2 F2 D2
F' L U2 F D' F2 B2
F' L U2 F D' B2 F2
F' L U2 F' D' F2 B2
F' L U2 F' D' B2 F2
F' L U2 F2 D' F2 B2
F' L U2 F2 D' B2 F2
F' L U2 B D' F2 B2
F' L U2 B D' B2 F2
F' L U2 B' D' F2 B2
F' L U2 B' D' B2 F2
F' L U2 B2 D' F2 B2
F' L U2 B2 D' B2 F2
F' L D F2 U2 D2 F2
F' L D F2 D2 U2 F2
F' L D F2 B2 U2 D
F' L D F2 B2 U2 D'
F' L D F2 B2 U2 D2
F' L D F2 B2 D U2
F' L D F2 B2 D' U2
F' L D F2 B2 D2 U2
F' L D B2 U2 D2 B2
F' L D B2 D2 U2 B2
F' L D B2 F2 U2 D
F' L D B2 F2 U2 D'
F' L D B2 F2 U2 D2
F' L D B2 F2 D U2
F' L D B2 F2 D' U2
F' L D B2 F2 D2 U2
F L D B2 U' R U'
F' L D' U2 F2 B2 D
F' L D' U2 F2 B2 D'
F' L D' U2 F2 B2 D2
F' L D' U2 B2 F2 D
F' L D' U2 B2 F2 D'
F' L D' U2 B2 F2 D2
F' L D' F U2 F B2
F' L D' F U2 B2 F
F L D' U' R U' F2
F' L D' F' U2 F' B2
F' L D' F' U2 B2 F'
F' L D' B U2 F2 B
F' L D' B U2 B F2
F' L D' B' U2 F2 B'
F' L D' B' U2 B' F2
F' L D2 U' L2 R2 U'
F' L D2 U' R2 L2 U'
F L D2 U' L2 R U'
F L D2 U' R L2 U'
F' L F U L2 R2 U
F' L F U R2 L2 U
D2 L F U' L R U'
D2 L F U' R L U'
D' L F U' R U' F
F2 L F U L' R2 U
F2 L F U R2 L' U
F' L F U2 D' F2 B2
F' L F U2 D' B2 F2
F' L F D F2 B2 U2
F' L F D B2 F2 U2
F' L F D' U2 F2 B2
F' L F D' U2 B2 F2
U L F U F' R2 U
D L F B2 U' R U'
D' L F' U L' U F'
F' L F' U L2 R2 U
F' L F' U R2 L2 U
F' L F' U2 D' F2 B2
F' L F' U2 D' B2 F2
F' L F' D F2 B2 U2
F' L F' D B2 F2 U2
F' L F' D' U2 F2 B2
F' L F' D' U2 B2 F2
D L F' B2 U L' U
F' L F2 U L2 R2 U
F' L F2 U R2 L2 U
F' L F2 U2 D' F2 B2
F' L F2 U2 D' B2 F2
F L F2 U L' R2 U
F L F2 U R2 L' U
F' L F2 D F2 B2 U2
F' L F2 D B2 F2 U2
F' L F2 D' U2 F2 B2
F' L F2 D' U2 B2 F2
F' L B U L2 R2 U
F' L B U R2 L2 U
F' L B U2 D' F2 B2
F' L B U2 D' B2 F2
F' L B D F2 B2 U2
F' L B D B2 F2 U2
F' L B D' U2 F2 B2
F' L B D' U2 B2 F2
F' L B' U L2 R2 U
F' L B' U R2 L2 U
F' L B' U2 D' F2 B2
F' L B' U2 D' B2 F2
F' L B' D F2 B2 U2
F' L B' D B2 F2 U2
F' L B' D' U2 F2 B2
F' L B' D' U2 B2 F2
F' L B2 U L2 R2 U
F' L B2 U R2 L2 U
D L B2 U L' U B'
F' L B2 U2 D' F2 B2
F' L B2 U2 D' B2 F2
D L B2 U' R U' B
F' L B2 D F2 B2 U2
F' L B2 D B2 F2 U2
F' L B2 D' U2 F2 B2
F' L B2 D' U2 B2 F2
D L B2 F U' R U'
D L B2 F' U L' U
F' L' R2 U D2 L2 R2
F' L' R2 U D2 R2 L2
F' L' R2 U' L2 R2 U2
F' L' R2 U' R2 L2 U2
F' L' R2 D' F2 B2 U
F' L' R2 D' B2 F2 U
F' L' R2 D2 U L2 R2
F' L' R2 D2 U R2 L2
U L' R2 U D2 R2 B'
U L' R2 U D2 B' R2
U L' R2 U B' D2 R2
U L' R2 U' L2 F U2
U L' R2 D' B2 U B
U L' R2 D2 U R2 B'
U L' R2 D2 U B' R2
U L' D' B2 U F2 B
U L' D' B2 U B F2
U L2 R2 U' L' F U2
F2 L2 D' L' F U2 F
R2 U L R2 F U2 F'
L U L R2 U' F U2
R2 U L F R2 B U2
L U L' R2 U D B'
L U L' R2 U D' B'
L U L' R2 U D2 B'
L U L' R2 U B' D
L U L' R2 U B' D'
L U L' R2 U B' D2
L U L' R2 D U B'
L U L' R2 D' U B'
L U L' R2 D2 U B'
L U L' U D' F2 B'
L U L' U D' B' F2
L U L' U B' D' F2
R2 U L' D2 R2 B' L2
L U L' D' U F2 B'
L U L' D' U B' F2
R2 U L' D2 B' L2 R2
R2 U L' D2 B' R2 L2
R2 U L' B' D2 L2 R2
R2 U L' B' D2 R2 L2
R2 U R2 L F U2 F'
L U R2 L U' F U2
L U R2 L' U D B'
L U R2 L' U D' B'
L U R2 L' U D2 B'
L U R2 L' U B' D
L U R2 L' U B' D'
L U R2 L' U B' D2
L U R2 L' D U B'
L U R2 L' D' U B'
L U R2 L' D2 U B'
L U R2 U2 R U' B
L U R2 D L' U B'
