U2 L U L2 R U2
U2 L U R L2 U2
U2 L D F2 U' L'
U' L' R U' L2 U'
U' L' R U2 D F2
U' L' R D U2 F2
U' L' R D' B2 U2
U' L' U2 D F2 L'
U' L' D R U2 F2
U' L' D U2 F2 L'
U' L' D' R B2 U2
U' L' D' B2 R U2
U' R L' U' L2 U'
U' R L' U2 D F2
U' R L' D U2 F2
U' R L' D' B2 U2
B2 R' U' L' R2 U2
B2 R' U' R2 L' U2
B2 R' D' F2 U R
F2 U L' R D F2
F2 U L' D R F2
F2 U R L' D F2
L D F2 R U' L'
B' U' L' R B' U2
B' U' L' B' R U2
B' U' R L' B' U2
F2 U2 L U' L2 R
F2 U2 L U' R L2
U2 F2 L U' L2 R
U2 F2 L U' R L2
U F2 L' R D F2
U F2 L' D R F2
U F2 R L' D F2
B2 F2 R' U L' R2
B2 F2 R' U R2 L'
F2 B2 R' U L' R2
F2 B2 R' U R2 L'
L' R U L U2 L U'
L' R U D L U F2
L' R U D2 L R2 U
L' R U D2 R2 L U
L' R U' L2 U2 L' U
U2 L U L2 R U2 D
U2 L U L2 R U2 D'
U2 L U L2 R U2 D2
U2 L U L2 R D U2
U2 L U L2 R D' U2
U2 L U L2 R D2 U2
U2 L U L2 D R U2
U2 L U L2 D' R U2
U2 L U L2 D2 R U2
U2 L U R L2 U2 D
U2 L U R L2 U2 D'
U2 L U R L2 U2 D2
U2 L U R L2 D U2
U2 L U R L2 D' U2
U2 L U R L2 D2 U2
U2 L U R U2 D2 R2
U2 L U R D2 U2 R2
U2 L U D2 R U2 R
L' R D U L U F2
R' L D F2 R B2 U'
R' L D F2 B2 R U'
U2 L U' R' D2 L2 R2
U2 L U' R' D2 R2 L2
R' L D B2 F2 R U'
U2 L U' F2 L' F2 R
F2 L U2 L' U L' R
F2 L U2 L' U R L'
L' R D' B2 U' R' U'
L' R D2 U L R2 U
L' R D2 U R2 L U
D2 L D F2 R U' L'
D' L D F2 R U' L'
U2 L D F2 U' L' D
U2 L D F2 U' L' D'
U2 L D F2 U' L' D2
U2 L D F2 U' D L'
U2 L D F2 U' D' L'
U2 L D F2 U' D2 L'
U2 L D F2 D U' L'
U2 L D F2 D' U' L'
U2 L D F2 D2 U' L'
U2 L D F2 B U' L'
U2 L D F2 B' U' L'
D L D F2 R U' L'
U2 L D F2 B2 U' L'
U2 L D B F2 U' L'
U2 L D B' F2 U' L'
U2 L D B2 F2 U' L'
U2 L D2 U R U2 R
U2 L D2 F2 U' L' R2
U2 L D2 F2 U' R2 L'
F L F U' L' R B
F L F U' R L' B
F L F U' R B L'
U2 L F2 U L2 U2 L
U2 L F2 U' D2 L' R2
U2 L F2 U' D2 R2 L'
U2 L F2 D2 U' L' R2
U2 L F2 D2 U' R2 L'
L' R B2 U' L2 R' U'
L' R B2 U' R' L2 U'
U2 L B U L2 R U2
U2 L B U R L2 U2
R L' U L U2 L U'
U2 L B D F2 U' L'
R L' U D L U F2
R L' U D2 L R2 U
R L' U D2 R2 L U
U2 L B' U L2 R U2
U2 L B' U R L2 U2
U2 L B' D F2 U' L'
R L' U' L2 U2 L' U
U2 L B2 U L2 R U2
U2 L B2 U R L2 U2
U2 L B2 D F2 U' L'
U' L' R U D2 R2 U
U' L' R U' L2 U' D
U' L' R U' L2 U' D'
U' L' R U' L2 U' D2
U' L' R U' L2 D U'
U' L' R U' L2 D' U'
U' L' R U' L2 D2 U'
B2 L' R U L R2 U
B2 L' R U R2 L U
U2 L' R U' L2 R' U'
U2 L' R U' R' L2 U'
U' L' R U2 D F2 D
U' L' R U2 D F2 D'
U' L' R U2 D F2 D2
U' L' R U2 F D F2
U' L' R U2 F' D F2
U' L' R U2 F2 D F2
U' L' R D U2 F2 D
U' L' R D U2 F2 D'
U' L' R D U2 F2 D2
U' L' R D B U2 F2
U' L' R D B' U2 F2
U' L' R D B2 U2 F2
U' L' R D' B2 U2 D
U' L' R D' B2 U2 D'
U' L' R D' B2 U2 D2
U' L' R D' B2 D U2
U' L' R D' B2 D' U2
U' L' R D' B2 D2 U2
U' L' R D2 U R2 U
U L' R D' B2 U2 B2
U' L' R B U' L2 U'
U' L' R B U2 D F2
U' L' R B D U2 F2
U' L' R B D' B2 U2
U' L' R B' U' L2 U'
U' L' R B' U2 D F2
U' L' R B' D U2 F2
U' L' R B' D' B2 U2
U' L' R B2 U' L2 U'
U' L' R B2 U2 D F2
U' L' R B2 D U2 F2
U' L' R B2 D' B2 U2
R L' D U L U F2
L R' D F2 R B2 U'
L R' D F2 B2 R U'
L R' D B2 F2 R U'
U' L' R2 D R' U2 F2
U' L' R2 D' R' B2 U2
U' L' R2 D' B2 U2 L
R L' D' B2 U' R' U'
R L' D2 U L R2 U
R L' D2 U R2 L U
U' L' U' L2 U R U2
U' L' U2 D L F2 L'
U' L' U2 D L' F2 L'
U' L' U2 D L2 F2 L'
U' L' U2 D F2 L' D
U' L' U2 D F2 L' D'
U' L' U2 D F2 L' D2
U' L' U2 D F2 D L'
U' L' U2 D F2 D' L'
U' L' U2 D F2 D2 L'
U' L' U2 F2 D L' F2
U' L' D R U2 F2 D
U' L' D R U2 F2 D'
U' L' D R U2 F2 D2
U' L' D R D2 B2 U2
U' L' D R B U2 F2
U' L' D R B' U2 F2
U' L' D R B2 U2 F2
U L' D L F2 L' R
U L' D L F2 R L'
U' L' D U2 L F2 L'
U' L' D U2 L' F2 L'
U' L' D U2 L2 F2 L'
U' L' D U2 F2 L' D
U' L' D U2 F2 L' D'
U' L' D U2 F2 L' D2
U' L' D U2 F2 D L'
U' L' D U2 F2 D' L'
U' L' D U2 F2 D2 L'
U' L' D B R U2 F2
U' L' D B U2 F2 L'
U' L' D B' R U2 F2
U' L' D B' U2 F2 L'
U' L' D B2 R U2 F2
U' L' D B2 U2 F2 L'
U' L' D' R U2 D2 F2
U' L' D' R D2 U2 F2
U' L' D' R B2 U2 D
U' L' D' R B2 U2 D'
U' L' D' R B2 U2 D2
U' L' D' R B2 D U2
U' L' D' R B2 D' U2
U' L' D' R B2 D2 U2
U' L' D' R' B2 R2 U2
U' L' D' R2 B2 U2 L
U L' D' R B2 U2 B2
U' L' D' B' R B' U2
U' L' D' B2 R U2 D
U' L' D' B2 R U2 D'
U' L' D' B2 R U2 D2
U' L' D' B2 R D U2
U' L' D' B2 R D' U2
U' L' D' B2 R D2 U2
U' L' D' B2 D R U2
U' L' D' B2 D' R U2
U' L' D' B2 D2 R U2
U' L' D2 R U R U
U L' D' B2 R U2 B2
R L' B2 U' L2 R' U'
R L' B2 U' R' L2 U'
U' L' B R U' L2 U'
U' L' B R U2 D F2
U' L' B R D U2 F2
U' L' B R D' B2 U2
U' L' B U2 D F2 L'
U' L' B D R U2 F2
U' L' B D U2 F2 L'
U' L' B D' R B2 U2
U' L' B D' B2 R U2
U' L' B' R U' L2 U'
U' L' B' R U2 D F2
U' L' B' R D U2 F2
U' L' B' R D' B2 U2
U' L' B' U2 D F2 L'
U' L' B' D R U2 F2
U' L' B' D U2 F2 L'
U' L' B' D' R B2 U2
U' L' B' D' B2 R U2
U' L' B2 R U' L2 U'
U' L' B2 R U2 D F2
U' L' B2 R D U2 F2
U' L' B2 R D' B2 U2
F2 L' B2 R D F2 B2
F2 L' B2 R D B2 F2
U' L' B2 U2 D F2 L'
U' L' B2 D R U2 F2
U' L' B2 D U2 F2 L'
U' L' B2 D' R B2 U2
U' L' B2 D' B2 R U2
L U L2 R U L U
L U R L2 U L U
L' U D L U F2 L'
U' R L' U D2 R2 U
U' R L' U' L2 U' D
U' R L' U' L2 U' D'
U' R L' U' L2 U' D2
