B' L R2 U' D' L2
B' L R2 U2 F2 U
B' L R2 D' U' L2
B' L R2 D2 B2 U'
B' R2 L U' D' L2
B' R2 L U2 F2 U
B' R2 L D' U' L2
B' R2 L D2 B2 U'
B R2 U2 R F2 U
B' R2 D' L U' L
B' R2 D2 L B2 U'
R D' R U' L2 F'
R D' R U' F' L2
B' D2 L B2 R' U'
R2 B U2 R' F2 U
R2 B U2 F2 R' U
R2 B D2 B2 L U'
R2 B' L U' D' L2
R2 B' L U2 F2 U
R2 B' L D' U' L2
R2 B' L D2 B2 U'
R2 B' D' L U' L
R2 B' D2 L B2 U'
B' L R U2 F2 L' U
B' L R D' R U' L2
B' L R D2 R B2 U'
B' L R D2 B2 R U'
B' L R' D' R' U' L2
B' L R' D2 R' B2 U'
B' L R2 U D R2 U2
B' L R2 U' L D' L2
B' L R2 U' L' D' L2
B' L R2 U' L2 D' L2
B' L R2 U' D' L2 D
B' L R2 U' D' L2 D'
B' L R2 U' D' L2 D2
B' L R2 U2 F2 U D
B' L R2 U2 F2 U D'
B' L R2 U2 F2 U D2
B' L R2 U2 F2 D U
B' L R2 U2 F2 D' U
B' L R2 U2 F2 D2 U
B' L R2 D U R2 U2
B' L R2 D' U' L2 D
B' L R2 D' U' L2 D'
B' L R2 D' U' L2 D2
B' L R2 D' B U' L2
B' L R2 D' B' U' L2
B' L R2 D' B2 U' L2
B L R2 U2 R F2 U
B' L R2 D2 B2 U' D
B' L R2 D2 B2 U' D'
B' L R2 D2 B2 U' D2
B' L R2 D2 B2 D U'
B' L R2 D2 B2 D' U'
B' L R2 D2 B2 D2 U'
B' L R2 B U' D' L2
B' L R2 B U2 F2 U
B' L R2 B D' U' L2
B' L R2 B D2 B2 U'
B' L R2 B' U' D' L2
B' L R2 B' U2 F2 U
B' L R2 B' D' U' L2
B' L R2 B' D2 B2 U'
B' L R2 B2 U' D' L2
B' L R2 B2 U2 F2 U
B' L R2 B2 D' U' L2
B' L R2 B2 D2 B2 U'
B' L U D R2 U2 B2
B' L U D' F2 U2 L2
D L U R2 B' U2 B'
D L U B' R2 U2 B'
B' L U' D B2 D2 L2
B' L U' D' L2 D2 B2
L' R D' R U' L2 F'
L' R D' R U' F' L2
L2 R D' R U' L2 F'
L2 R D' R U' F' L2
L R D' R U' L2 F'
L R D' R U' F' L2
R L D' R U' L2 F'
R L D' R U' F' L2
B' L U2 F2 U D B2
B' L U2 F2 U2 R2 U'
B' L U2 F2 D U B2
B' L U2 F2 D2 L2 U
B' L D R' U' B2 L
B' L D U R2 U2 B2
B' L D U' B2 D2 L2
B' L D' U F2 U2 L2
B' L D' U' L2 D2 B2
B' L D2 B2 U' D' B2
B' L D2 B2 U2 L2 U
B' L D2 B2 D' U' B2
B' L D2 B2 D2 R2 U'
R2 L B U2 R' F2 U
R2 L B U2 F2 R' U
R2 L B U2 F2 R' U
R2 L B D2 B2 L U'
B' L F' R2 F B U'
B' L F' R2 B F U'
R2 L B' L U' D' L2
R2 L B' L U2 F2 U
R2 L B' L D' U' L2
R2 L B' L D2 B2 U'
R2 L B' D' L U' L
R2 L B' D2 L B2 U'
B' L B R2 U' D' L2
B' L B R2 U2 F2 U
B' L B R2 D' U' L2
B' L B R2 D2 B2 U'
B' L B' R2 U' D' L2
B' L B' R2 U2 F2 U
B' L B' R2 D' U' L2
B' L B' R2 D2 B2 U'
B' L B2 R2 U' D' L2
B' L B2 R2 U2 F2 U
B' L B2 R2 D' U' L2
B' L B2 R2 D2 B2 U'
D L' R' U' F B2 L
D L' R' U' B2 F L
R L' D' R U' L2 F'
R L' D' R U' F' L2
B L' R2 U2 R F2 U
D L' U R2 U2 F B2
D L' U R2 U2 B2 F
D' L' U F2 R U2 F'
D' L' U' D2 L' F B2
D' L' U' D2 L' B2 F
D' L' U' D2 B2 L' F
D L' U' D2 F L2 B'
D L' U' F B2 D2 L2
D L' U' B2 D2 F L2
D L' U' B2 F D2 L2
R2 L' B U2 R' F2 U
R2 L' B U2 F2 R' U
R2 L' B D2 B2 L U'
R2 L' B' L U' D' L2
R2 L' B' L U2 F2 U
R2 L' B' L D' U' L2
R2 L' B' L D2 B2 U'
D' L' D2 U' L' F B2
D' L' D2 U' L' B2 F
D' L' D2 U' B2 L' F
D L' D2 U' F L2 B'
R2 L' B' D' L U' L
R2 L' B' D2 L B2 U'
R L2 D' R U' L2 F'
R L2 D' R U' F' L2
B' L2 R2 U2 F2 R U
B' L2 R2 D' L' U' L'
B' L2 R2 D2 L' B2 U'
B' L2 R2 D2 B2 L' U'
B L2 R2 U2 R F2 U
L' R2 B U2 R' F2 U
L' R2 B U2 F2 R' U
L' R2 B D2 B2 L U'
L2 R2 B U2 R' F2 U
L2 R2 B U2 F2 R' U
R2 L2 B U2 R' F2 U
R2 L2 B U2 F2 R' U
L' R2 B' L U' D' L2
L' R2 B' L U2 F2 U
L' R2 B' L D' U' L2
L' R2 B' L D2 B2 U'
L R2 B U2 R' F2 U
L R2 B U2 F2 R' U
L2 R2 B D2 B2 L U'
R2 L2 B D2 B2 L U'
L R2 B D2 B2 L U'
L2 R2 B' L U' D' L2
L2 R2 B' L U2 F2 U
L2 R2 B' L D' U' L2
L2 R2 B' L D2 B2 U'
R2 L2 B' L U' D' L2
R2 L2 B' L U2 F2 U
R2 L2 B' L D' U' L2
R2 L2 B' L D2 B2 U'
L R2 B' L U' D' L2
L R2 B' L U2 F2 U
L R2 B' L D' U' L2
L R2 B' L D2 B2 U'
L' R2 B' D' L U' L
L' R2 B' D2 L B2 U'
L2 R2 B' D' L U' L
R2 L2 B' D' L U' L
L2 R2 B' D2 L B2 U'
L R2 B' D' L U' L
R2 L2 B' D2 L B2 U'
L R2 B' D2 L B2 U'
F L2 F' R2 B' L U'
F L2 F' B' L R2 U'
F L2 F' B' R2 L U'
F L2 B' L F' R2 U'
F L2 B' F' L R2 U'
F L2 B' F' R2 L U'
R2 U D' R U2 L2 F'
R2 U D' R U2 F' L2
R2 U D' R' B U2 L2
B' R L U2 F2 L' U
B' R L D' R U' L2
B' R L D2 R B2 U'
B' R L D2 B2 R U'
D' R U F2 U2 F L2
D' R U' L2 D2 F' B2
D' R U' L2 D2 B2 F'
D' R U' F L2 F2 B'
D' R U' F L2 B' F2
D R U' F2 L' F B2
D R U' F2 L' B2 F
D R U' F2 B2 L' F
D R U' B2 F2 L' F
R2 U B U R' F2 U
R2 U B U F2 R' U
B R U2 F2 L' R2 U
B R U2 F2 R2 L' U
B' R D' L R U' L
B' R D' R L U' L
B R D' R U' L2 F2
B R D' R U' F2 L2
B' R D2 L R B2 U'
B' R D2 L B2 R U'
B' R D2 R L B2 U'
B R D2 L2 R B2 U'
B R D2 L2 B2 R U'
B R D2 R L2 B2 U'
B R D2 R B2 L2 U'
B R D2 B2 L2 R U'
B R D2 B2 R L2 U'
U2 R F2 D L' U F
R2 U' R' D' L2 R F'
R2 U' R' D' R L2 F'
R2 U' R' D' R F' L2
R2 U' D L D2 L2 F
R2 U' D L' D2 F L2
R2 U' D L' F D2 L2
R2 U' D' L' D2 L' F
R2 U' D' L2 R F' R'
R2 U' D' R L2 F' R'
R2 U' D' R F' L2 R'
R2 U' D' R F' R' L2
B' R' L D' R' U' L2
B' R' L D2 R' B2 U'
D R' L' U' F B2 L
D R' L' U' B2 F L
D' R' U F2 B U2 L2
D' R' U B F2 U2 L2
D R' U' L' F B2 L
D R' U' L' B2 F L
D R' U' L2 B2 L F
D R' U' B2 L' F L2
B' R' D' L R' U' L
B' R' D' R' L U' L
B' R' D2 L R' B2 U'
B' R' D2 R' L B2 U'
B R' F2 U2 R' F2 U'
B R' F2 U2 F2 R' U'
B R' F2 D2 B2 L U
B' R2 L U D R2 U2
B' R2 L U' L D' L2
B' R2 L U' L' D' L2
B' R2 L U' L2 D' L2
B' R2 L U' D' L2 D
B' R2 L U' D' L2 D'
B' R2 L U' D' L2 D2
R2 U2 D' R U L2 F'
R2 U2 D' R U F' L2
B' R2 L U2 F2 U D
B' R2 L U2 F2 U D'
B' R2 L U2 F2 U D2
B' R2 L U2 F2 D U
B' R2 L U2 F2 D' U
B' R2 L U2 F2 D2 U
B' R2 L D U R2 U2
B' R2 L D' U' L2 D
B' R2 L D' U' L2 D'
B' R2 L D' U' L2 D2
B' R2 L D' B U' L2
B' R2 L D' B' U' L2
B' R2 L D' B2 U' L2
B' R2 L D2 B2 U' D
B' R2 L D2 B2 U' D'
B' R2 L D2 B2 U' D2
B' R2 L D2 B2 D U'
B' R2 L D2 B2 D' U'
B' R2 L D2 B2 D2 U'
B' R2 L B U' D' L2
B' R2 L B U2 F2 U
B' R2 L B D' U' L2
B' R2 L B D2 B2 U'
B' R2 L B' U' D' L2
B' R2 L B' U2 F2 U
B' R2 L B' D' U' L2
B' R2 L B' D2 B2 U'
B R2 L U2 R F2 U
B' R2 L B2 U' D' L2
B' R2 L B2 U2 F2 U
B' R2 L B2 D' U' L2
B' R2 L B2 D2 B2 U'
B R2 L' U2 R F2 U
B' R2 L2 U2 F2 R U
B' R2 L2 D' L' U' L'
B' R2 L2 D2 L' B2 U'
B' R2 L2 D2 B2 L' U'
B R2 L2 U2 R F2 U
R2 U2 F' D2 F' R U
B2 R2 U' L D' F L2
B2 R2 U' L' D' L2 F
B2 R2 U' D' L F L
R2 U2 F2 D' R U F'
R2 U2 F2 B R' B' U
R U2 F2 D L' U F
R2 U2 B R' F2 B' U
R2 U2 B R' B' F2 U
B' R2 U2 F2 U2 L U'
B2 R2 U2 F R F U
B R2 U2 R U D' L2
B R2 U2 R D' U L2
B R2 U2 R F2 U D
B R2 U2 R F2 U D'
B R2 U2 R F2 U D2
B R2 U2 R F2 D U
B R2 U2 R F2 D' U
