B L2 B' U' B' R'
D F U F R B'
D F U F B' R
D F U B' F R
L2 B' U F U2 R
L2 R' F' D R2 B' U'
L2 R' F' D B' R2 U'
L2 R' F' D2 B' U' B'
L2 R' F' B' U F2 U2
L2 R' F' B' U' D2 B2
L2 R' F' B' D R2 U'
L2 R' F' B' D2 U' B2
L2 R' B' F' U F2 U2
L2 R' B' F' U' D2 B2
L2 R' B' F' D R2 U'
L2 R' B' F' D2 U' B2
B' L2 R' F' B' U' B
B' L2 R' B' F' U' B
B L2 R' F' B' U' B'
B L2 R' B' F' U' B'
R' L2 F' D R2 B' U'
R' L2 F' D B' R2 U'
R' L2 F' D2 B' U' B'
R' L2 F' B' U F2 U2
R' L2 F' B' U' D2 B2
R' L2 F' B' D R2 U'
R' L2 F' B' D2 U' B2
F' L2 U' D' L2 B' R'
R' L2 B' F' U F2 U2
R' L2 B' F' U' D2 B2
R' L2 B' F' D R2 U'
R' L2 B' F' D2 U' B2
F' L2 D' U' L2 B' R'
B L2 F B' U' B' R'
B L2 F' B' U' B' R'
B L2 F2 B' U' B' R'
U' L2 B' U F U2 R'
B2 L2 B' R' F' U' B2
B' L2 B' U' B' R' B2
B2 L2 B' U' B' R' B'
B L2 B' R' F' U' B'
B L2 B' U' R B' R'
B L2 B' U' R' B' R'
B L2 B' U' R2 B' R'
B L2 B' U' D B' R'
B L2 B' U' D' B' R'
B L2 B' U' D2 B' R'
B L2 B' U' B' R' D
B L2 B' U' B' R' D'
B L2 B' U' B' R' D2
B L2 B' U' B' D R'
B L2 B' U' B' D' R'
B L2 B' U' B' D2 R'
B L2 B' D U' B' R'
B L2 B' D' U' B' R'
B L2 B' D2 U' B' R'
B L2 B' F U' B' R'
B L2 B' F' U' B' R'
B L2 B' F2 U' B' R'
L2 U F U' B' U' R
F R D B U F2 B2
F R D B U B2 F2
F R D2 B R2 U B2
D R F B U F B2
D R F B U B2 F
D2 R B R F U B2
F R B U B2 D F2
D R B F U F B2
D R B F U B2 F
F R B U2 L2 U' B2
F R B D L2 U F2
B' R' L2 F' B' U' B
B' R' L2 B' F' U' B
B' R' U L2 F' B' U'
B' R' U L2 B' F' U'
B R' L2 F' B' U' B'
B R' L2 B' F' U' B'
F R' D2 R2 B U B2
B' U L2 F B' U' R
B' U L2 B' F U' R
R D F B U F B2
R D F B U B2 F
D2 U R2 F U R B'
D2 U R2 F U B' R
L2 D B' U F U2 R
D2 U F R2 U R' B'
R D B F U F B2
R D B F U B2 F
U2 D F U F B' R'
U2 D F U B' R' F
U2 D F U B' F R'
D U F U R F B'
D U F U R B' F
D U F U B' R F
F' U D' B' L2 F R
F U D F R F B'
F U D F R B' F
F U D F B' R F
U D F U R F B'
U D F U R B' F
U D F U B' R F
F U D B' F R F
F U F R D F2 B'
F U F R D B' F2
F U F R B' D F2
F U F D R F2 B'
F U F D R B' F2
F U F D B' R F2
F U F B' R D F2
F U F B' D R F2
F U F' D F2 R B'
F U F' D F2 B' R
F U F' D B' F2 R
F U F' B' D F2 R
F U B' D F R F
F U B' F R D F2
F U B' F D R F2
F U B' F' D F2 R
B2 U' L2 B' U' R' B2
B U' L2 B' U' R' B'
L2 D' B' U F U2 R
F' U' D' B' L2 R' F
F' U' D' B' L2 F R'
F' U' D' B' R' L2 F
F U' D B' R' F2 L'
F U' D' B2 U2 B R'
R' D2 R2 F B U B2
R' D2 R2 B F U B2
F U' B' R' D F2 L'
F U' B' D R' F2 L'
D2 U2 R2 F U B' R'
U2 D2 R2 F U B' R'
D2 U2 F R2 U B' R'
U2 D2 F R2 U B' R'
U D2 R2 F U R B'
U D2 R2 F U B' R
D U2 F U F B' R'
D U2 F U B' R' F
D U2 F U B' F R'
U D2 F R2 U R' B'
R D2 F B R2 U B2
L2 D2 B' U F U2 R
R D2 B R2 F U B2
R D2 B F R2 U B2
D2 F R B R U B2
D F R B U F B2
D F R B U B2 F
R' F U D R2 F2 B'
R' F U D R2 B' F2
R' F U D F2 R2 B'
R' F U D F2 B' R2
R' F U D B' R2 F2
R' F U D B' F2 R2
R' F U B' D R2 F2
R' F U B' D F2 R2
U2 F U D F2 B' R'
U2 F U D B' R' F2
U2 F U D B' F2 R'
D F U R F R B'
D F U R F B' R
D F U R B' F R
U2 F U B' R' D F2
U2 F U B' D R' F2
U2 F U B' D F2 R'
D F U R' F R B'
D F U R' F B' R
D F U R' B' F R
D F U R2 F R B'
D F U R2 F B' R
D F U R2 B' F R
D F U D F R B'
D F U D F B' R
D F U D B' F R
D F U D' F R B'
D F U D' F B' R
D F U D' B' F R
D F U D2 F R B'
D F U D2 F B' R
D F U D2 B' F R
D F U F R D B'
D F U F R D' B'
D F U F R D2 B'
D F U F R B' D
D F U F R B' D'
D F U F R B' D2
D F U F R' B' R2
D' F U' B2 U2 B R'
D F U F D R B'
D F U F D B' R
D F U F D' R B'
D F U F D' B' R
D F U F D2 R B'
D F U F D2 B' R
D F U F B R B2
D F U F B' R D
D F U F B' R D'
D F U F B' R D2
D F U F B' D R
D F U F B' D' R
D F U F B' D2 R
U F U R D F2 B'
U F U R D B' F2
U F U R B' D F2
D F U B F R B2
U F U D R F2 B'
U F U D R B' F2
D F U B' R F R
D F U B' R' F R
D F U B' R2 F R
U F U D B' R F2
D F U B' D F R
D F U B' D' F R
D F U B' D2 F R
D F U B' F R D
D F U B' F R D'
D F U B' F R D2
D F U B' F D R
D F U B' F D' R
D F U B' F D2 R
U F U B' R D F2
U F U B' D R F2
R' F D U R2 F2 B'
R' F D U R2 B' F2
R' F D U F2 R2 B'
R' F D U F2 B' R2
R' F D U B' R2 F2
R' F D U B' F2 R2
U2 F D U F2 B' R'
U2 F D U B' R' F2
U2 F D U B' F2 R'
D F D U F R B'
D F D U F B' R
D F D U B' F R
U F D U R F2 B'
U F D U R B' F2
U F D U B' R F2
R' F D2 R2 B2 U B
D F D' U F R B'
D F D' U F B' R
D F D' U B' F R
R F D B U F2 B2
R F D B U B2 F2
U2 F D2 R2 U B' R'
D F D2 U F R B'
D F D2 U F B' R
D F D2 U B' F R
F D R B U F2 B2
F D R B U B2 F2
U F D2 R2 U R' B'
D F B U F R B2
D F B U F B2 R
D F B U B2 F R
R F D2 B R2 U B2
R F B U B2 D F2
R F B U2 L2 U' B2
R F B D L2 U F2
D F B2 U F B R
D F B2 U B F R
F D U F R F B'
F D U F R B' F
F D U F B' R F
F D U B' F R F
R' F' L2 U' D' L2 B'
F D U' B' R' F2 L'
B2 D F U F B R
B2 D F U B F R
R' F' L2 D' U' L2 B'
R' F' U' D' B' L2 F
R' F' D' U' B' L2 F
U' F' D' B' L2 R' F
U' F' D' B' L2 F R'
U' F' D' B' R' L2 F
L2 F' D2 B' U' B' R'
F' D' U B' L2 F R
F' D' U' B' L2 R' F
F' D' U' B' L2 F R'
F' D' U' B' R' L2 F
F D' U' B2 U2 B R'
F D2 R B R U B2
L2 F2 B' U F' L' U2
R' B L2 F' B' U' B'
R' B L2 B' F' U' B'
L2 B U' D L2 B' R'
L2 B D U' L2 B' R'
R B U2 L2 B' U' B'
D B F U F R B2
D B F U F B2 R
D B F U B2 F R
R B F U B2 D F2
R B F U2 L2 U' B2
R B F D L2 U F2
U' B' L2 B' U' B R'
R' B' L2 F' B' U' B
R' B' L2 B' F' U' B
U' B' R' U L2 B' U'
L2 B' R' F' U F2 U2
L2 B' R' F' U' D2 B2
L2 B' R' F' D R2 U'
L2 B' R' F' D2 U' B2
R' B' U L2 F' B' U'
R' B' U L2 B' F' U'
L2 B' U L2 U2 B' R'
U2 B' U L2 B' U' R'
L2 B' U D F U2 R
L2 B' U D' F U2 R
L2 B' U D2 F U2 R
L2 B' U F L U2 R
L2 B' U F L' U2 R
L2 B' U F L2 U2 R
L2 B' U F U2 R D
L2 B' U F U2 R D'
L2 B' U F U2 R D2
L2 B' U F U2 D R
L2 B' U F U2 D' R
L2 B' U F U2 D2 R
L2 B' U F D U2 R
L2 B' U F D' U2 R
L2 B' U F D2 U2 R
L2 B' U F' L' F2 U2
L2 B' U' L2 B' L2 R'
L2 B' U' L2 B' R' L2
L2 B' D U F U2 R
L2 B' D' U F U2 R
L2 B' D2 U F U2 R
L2 B' F2 U F' L' U2
U' B2 L2 B' U' B2 R'
R' B2 L2 F' B' U' B2
R' B2 L2 B' F' U' B2
R B2 L2 F B' U' B2
R B2 L2 B' F U' B2
D' B2 U F U B R
D B2 F U F B R
D B2 F U B F R
