B L D F R F'
D' L' F B L R
D' L' F B R L
D' L' B F L R
D' L' B F R L
B L2 D' L' F R
D' L2 B L F R
B D L F R F'
D F B L R F'
D F B R L F'
D F B R F' L
B D F L R F'
B D F R L F'
B D F R F' L
B D' L' F L2 R
B D' L' F R L2
D' B L' F L2 R
D' B L' F R L2
D B L F R F'
B F L R D F2
B F L R D F2
F B L R D F2
F B L R D F2
B F L D R F2
F B L D R F2
B F R L D F2
F B R L D F2
D B F L R F'
D B F R L F'
D B F R F' L
B L R D F R F'
B L R' D F R F'
B L R2 D F R F'
B L U L F L' U'
B L D R F R F2
B L D F R D F'
B L D F R D' F'
B L D F R D2 F'
B L D F R F' D
B L D F R F' D'
B L D F R F' D2
B L D F2 R F' R
F L D B L R F2
F L D B R L F2
F L D B R F2 L
B L D' L' F L R
B L D' L' F R L
B L D' F D2 R F'
B L D2 F D' R F'
U L F L' U' B L
B L F R U L' U'
B L F U L' U' R
D L F B L R F'
D L F B R L F'
D L F B R F' L
B L F' R' D' F2 R
D L B L F R F'
F L B R D L F2
F L B R D F2 L
F L B D L R F2
F L B D R L F2
F L B D R F2 L
D L B F L R F'
D L B F R L F'
D L B F R F' L
D' L' R' F R B L
D' L' D F B L R
D' L' D F B R L
D' L' D B F L R
D' L' D B F R L
D' L' D' F B L R
D' L' D' F B R L
D' L' D' B F L R
D' L' D' B F R L
D' L' D2 F B L R
D' L' D2 F B R L
D' L' D2 B F L R
D' L' D2 B F R L
D' L' F L B L R
D' L' F L B R L
D' L' F L' B L R
D' L' F L' B R L
D' L' F L2 B L R
D' L' F L2 B R L
D' L' F D B L R
D' L' F D B R L
D' L' F D' B L R
D' L' F D' B R L
D' L' F D2 B L R
D' L' F D2 B R L
D' L' F B L R D
D' L' F B L R D'
D' L' F B L R D2
D' L' F B L D R
D' L' F B L D' R
D' L' F B L D2 R
D' L' F B R L D
D' L' F B R L D'
D' L' F B R L D2
D' L' F B R D L
D' L' F B R D' L
D' L' F B R D2 L
D' L' F B D L R
D' L' F B D R L
D' L' F B D' L R
D' L' F B D' R L
D' L' F B D2 L R
D' L' F B D2 R L
D' L' F B2 R B' L
D L' F B L R F'
D L' F B R L F'
D L' F B R F' L
D' L' F2 B L F' R
D' L' B R F L R
D' L' B R F R L
D' L' B R' F L R
D' L' B R' F R L
D L' B L F R F'
D' L' B R2 F L R
D' L' B R2 F R L
D' L' B D F L R
D' L' B D F R L
D' L' B D' F L R
D' L' B D' F R L
D' L' B D2 F L R
D' L' B D2 F R L
D' L' B F L R D
D' L' B F L R D'
D' L' B F L R D2
D' L' B F L D R
D' L' B F L D' R
D' L' B F L D2 R
D' L' B F R L D
D' L' B F R L D'
D' L' B F R L D2
D' L' B F R D L
D' L' B F R D' L
D' L' B F R D2 L
D' L' B F D L R
D' L' B F D R L
