D L2 F B' R' B'
D L2 B' R' F B'
D L2 B' R' B' F
D L2 B' F R' B'
B2 R2 U' D2 F' R
B2 R2 D2 U' F' R
D' R2 F2 B' U2 R'
D' R2 B' F2 U2 R'
U2 D L2 F R B2
U2 D L2 F B2 R
U2 D L2 B2 F R
B' U' R2 B' U' R
D U2 L2 F R B2
D U2 L2 F B2 R
D U2 L2 B2 F R
D' F2 R2 B' U2 R'
D' F2 B' R2 U2 R
D' B' R2 F2 L' U2
D B' U2 R' B' L2
D' B' F2 R2 U2 R
R2 B2 U B U2 R'
B2 L R2 U' D2 F' R
B2 L R2 D2 U' F' R
B L U' B R2 U' F'
B L B2 U' R2 B' U'
B L B2 U' B' R2 U'
B2 L' R2 U' D2 F' R
B2 L' R2 D2 U' F' R
D L' U2 L' F R B2
D L' U2 L' F B2 R
D L' U2 L' B2 F R
D L' U2 B2 L' F R
D L' B' R' B' L' F
D L2 R F B' R' B'
D L2 R B' R' F B'
D L2 R B' R' B' F
D L2 R B' F R' B'
D L2 R' F B' R' B'
D L2 R' B' R' F B'
D L2 R' B' R' B' F
D L2 R' B' F R' B'
B2 L2 R2 U' D2 F' R
B2 L2 R2 D2 U' F' R
D L2 R2 F B' R' B'
D L2 R2 B' R' F B'
D L2 R2 B' R' B' F
D L2 R2 B' F R' B'
D L2 U2 F R B2 L
U' L2 D F L2 B2 R'
U2 L2 D F L2 R B2
U2 L2 D F L2 B2 R
U2 L2 D F R L2 B2
U2 L2 D F R B2 L2
U2 L2 D F B2 L2 R
U2 L2 D F B2 R L2
U2 L2 D B2 F L2 R
U2 L2 D B2 F R L2
D L2 F R B' R' B'
D L2 F R' B' R' B'
D' L2 F D2 L2 B' R'
D L2 F R2 B' R' B'
U2 L2 F D L2 R B2
U2 L2 F D L2 B2 R
U2 L2 F D R L2 B2
U2 L2 F D R B2 L2
U2 L2 F D B2 L2 R
U2 L2 F D B2 R L2
D L2 F B' R B' R2
D L2 F B' R' D B'
D L2 F B' R' D' B'
D L2 F B' R' D2 B'
D L2 F B' R' B' D
D L2 F B' R' B' D'
D L2 F B' R' B' D2
D L2 F B' R2 B' R
D L2 F B' D R' B'
D L2 F B' D' R' B'
D L2 F B' D2 R' B'
D L2 F' B' R' F2 B'
D L2 F' B' R' B' F2
D' L2 F2 R2 B L U2
D2 L2 F2 B' U F' R'
D L2 F2 B2 D2 F' R
D L2 B' R F R2 B'
D L2 B' R F B' R2
D L2 B' R B' R2 F
D L2 B' R B' F R2
D L2 B' R' D F B'
D L2 B' R' D B' F
D L2 B' R' D' F B'
D L2 B' R' D' B' F
D L2 B' R' D2 F B'
D L2 B' R' D2 B' F
D L2 B' R' F D B'
D L2 B' R' F D' B'
D L2 B' R' F D2 B'
D L2 B' R' F B' D
D L2 B' R' F B' D'
D L2 B' R' F B' D2
D L2 B' R' B' D F
D L2 B' R' B' D' F
D L2 B' R' B' D2 F
D L2 B' R' B' F D
D L2 B' R' B' F D'
D L2 B' R' B' F D2
D L2 B' R2 B' R F
D2 L2 B' F2 U F' R'
D L2 B' D R' F B'
D L2 B' D R' B' F
D L2 B' D F R' B'
D L2 B' D' R' F B'
D L2 B' D' R' B' F
D L2 B' D' F R' B'
D L2 B' D2 R' F B'
D L2 B' D2 R' B' F
D L2 B' D2 F R' B'
D L2 B' F R B' R2
D L2 B' F R' D B'
D L2 B' F R' D' B'
D L2 B' F R' D2 B'
D L2 B' F R' B' D
D L2 B' F R' B' D'
D L2 B' F R' B' D2
