D L F L R B2
D L F L B2 R
D L F R L B2
L' D L2 F R B2
L' D L2 F B2 R
L' D L2 B2 F R
L D F L2 R B2
L D F L2 B2 R
L D F R L2 B2
L D F R B2 L2
L D F B2 L2 R
L D F B2 R L2
L D B2 F L2 R
L D B2 F R L2
L F D L2 R B2
L F D L2 B2 R
L F D R L2 B2
L F D R B2 L2
L F D B2 L2 R
L F D B2 R L2
D B2 L F L R
D B2 L F R L
D L R F L R B2
D L R F L B2 R
D L R F R L B2
D L R' F L R B2
D L R' F L B2 R
D L R' F R L B2
D L R2 F L R B2
D L R2 F L B2 R
D L R2 F R L B2
B2 L R2 F' U' F2 R
D' L R2 F2 U2 F' R
B2 L R2 F2 U' F' R
F L D R F L2 B2
F L D R F B2 L2
F L D R B2 F L2
R' L F R D L2 B2
R' L F R D B2 L2
F L D B2 R F L2
R2 L F' B2 U' F2 R
D' L D2 F L2 R B2
D' L D2 F L2 B2 R
D' L D2 F R L2 B2
D' L D2 F R B2 L2
D' L D2 F B2 L2 R
D' L D2 F B2 R L2
D' L D2 B2 F L2 R
D' L D2 B2 F R L2
D L F L R B2 D
D L F L R B2 D'
D L F L R B2 D2
D L F L R' B2 R2
D L F L B' R B'
D L F L B2 R D
D L F L B2 R D'
D L F L B2 R D2
D L F L B2 D R
D L F L B2 D' R
D L F L B2 D2 R
D L F L' R B2 L2
D L F L' B2 L2 R
D L F L' B2 R L2
D L F L2 R B2 L'
D L F L2 B2 L' R
D L F L2 B2 R L'
D L F R L B2 D
D L F R L B2 D'
D L F R L B2 D2
D L F R L' B2 L2
D L F R L2 B2 L'
D L F R' L B2 R2
R2 L F2 B2 U' F' R
F2 L F D L2 B2 R'
D' L F D2 L2 R B'
D' L F D2 L2 B' R
D' L F D2 R L2 B'
D L F B2 R D2 L2
B2 L F' R2 U' F2 R
D2 L F2 L U F' R
D L F2 L F' R B2
D L F2 L F' B2 R
D L F2 L B2 F' R
R2 L B2 F' U' F2 R
R2 L B2 F2 U' F' R
F L B2 R2 U' R' F
F L B2 R2 U' F R'
D L B2 F R D2 L2
L R' F R D L2 B2
L R' F R D B2 L2
F' L' U' B2 R2 U' F'
F' L' U2 D L2 F B2
F' L' U2 D L2 B2 F
F L' D L2 R F B2
F L' D L2 R B2 F
F L' D L2 B2 R F
F' L' D U2 L2 F B2
F' L' D U2 L2 B2 F
F L' D R L2 F B2
F L' D R L2 B2 F
F' L' D B' U2 B' L2
F' L' D' R2 F2 B' U2
F' L' D' R2 B' F2 U2
F' L' D' F2 R2 B' U2
F' L' D' F2 B' R2 U2
F' L' D' B' R2 F2 U2
F' L' D' B' F2 R2 U2
D' L' D2 L2 F R B2
D' L' D2 L2 F B2 R
D' L' D2 L2 B2 F R
F' L' B' U' R2 B' U'
F' L' B' U' B' R2 U'
D L' B' U2 B' L' R'
D L' B' U2 B' R' L'
F2 L' B2 R2 U' F' R
F L' B2 R2 U' F' R'
L R2 F' B2 U' F2 R
L R2 F2 B2 U' F' R
L R2 B2 F' U' F2 R
L R2 B2 F2 U' F' R
D L2 F B2 D2 R F'
L U R2 B2 U' F R
D L2 B2 L' F L R
D L2 B2 L' F R L
D L2 B2 D2 F R F'
D L2 B2 F D2 R F'
D R L F L R B2
D R L F L B2 R
D R L F R L B2
L U B2 R2 U' F R
R' U' R' F' L' B2 U'
R' U' R' F' B2 L' U'
R' U' R' B2 F' L' U'
D R B2 L F L R
D R B2 L F R L
D R' L F L R B2
D R' L F L B2 R
D R' L F R L B2
D' R' D2 B2 L F R
U' R' F' L' R' B2 U'
U' R' F' R' L' B2 U'
U' R' F' R' B2 L' U'
D R' B2 L F L R
D R' B2 L F R L
D' R2 L F2 U2 F' R
B2 R2 L F' U' F2 R
B2 R2 L F2 U' F' R
D R2 L F L R B2
D R2 L F L B2 R
D R2 L F R L B2
B2 R2 F L U' R F
L' D L' B2 L' F R
L' D L2 R F R B2
L' D L2 R F B2 R
L' D L2 R B2 F R
L' D L2 R' F R B2
L' D L2 R' F B2 R
L' D L2 R' B2 F R
L' D L2 R2 F R B2
L' D L2 R2 F B2 R
L' D L2 R2 B2 F R
D' R2 F' L' F' B' U2
D' R2 F' L' B' F' U2
L' D L2 F R B2 D
L' D L2 F R B2 D'
L' D L2 F R B2 D2
L' D L2 F R' B2 R2
L' D L2 F B' R B'
L' D L2 F B2 R D
L' D L2 F B2 R D'
L' D L2 F B2 R D2
L' D L2 F B2 D R
L' D L2 F B2 D' R
L' D L2 F B2 D2 R
L' D L2 B' F R B'
L' D L2 B2 R F R
L' D L2 B2 R' F R
L' D L2 B2 R2 F R
L' D L2 B2 D F R
L' D L2 B2 D' F R
L' D L2 B2 D2 F R
L' D L2 B2 F R D
L' D L2 B2 F R D'
L' D L2 B2 F R D2
L' D L2 B2 F D R
L' D L2 B2 F D' R
L' D L2 B2 F D2 R
L' D R L2 F R B2
L' D R L2 F B2 R
L' D R L2 B2 F R
D' R2 F2 U2 R' F' R
L' D R' L2 F R B2
L' D R' L2 F B2 R
L' D R' L2 B2 F R
L D R F L2 R B2
L D R F L2 B2 R
L D R F R L2 B2
L D R F R B2 L2
L D R F B2 L2 R
L D R F B2 R L2
L' D R2 L2 F R B2
L' D R2 L2 F B2 R
L D R B2 F L2 R
L D R B2 F R L2
L' D R2 L2 B2 F R
U R2 B L F B U'
U R2 B L B F U'
L D R' F L2 R B2
L D R' F L2 B2 R
L D R' F R L2 B2
L D R' F R B2 L2
L D R' F B2 L2 R
L D R' F B2 R L2
L D R' B2 F L2 R
L D R' B2 F R L2
L D R2 F L2 R B2
L D R2 F L2 B2 R
L D R2 F R L2 B2
L D R2 F R B2 L2
L D R2 F B2 L2 R
L D R2 F B2 R L2
L D R2 B2 F L2 R
L D R2 B2 F R L2
D R2 B2 L F L R
D R2 B2 L F R L
L' D F L2 R F B2
L' D F L2 R B2 F
L' D F L2 B2 R F
L' D F R L2 F B2
L' D F R L2 B2 F
L' D F' L2 F B2 R'
L' D F' L2 B2 R' F
L' D F' L2 B2 F R'
L D F L' R B2 L'
L D F L' B2 L' R
L D F L' B2 R L'
L D F L2 R B2 D
L D F L2 R B2 D'
L D F L2 R B2 D2
L D F L2 R' B2 R2
L D F L2 B' R B'
L D F L2 B2 R D
L D F L2 B2 R D'
L D F L2 B2 R D2
L D F L2 B2 D R
L D F L2 B2 D' R
L D F L2 B2 D2 R
L D F R L' B2 L'
