D' L' R U' R F
D' R L' U' R F
D R U L2 U2 F'
D' R U' D2 R F'
D R U' D2 F' R2
D R U' F' D2 R2
D R D F2 U' F
D' R D2 U' R F'
D R D2 U' F' R2
R D' L' U' R2 F
R D' L' U' F R2
R F L' U' D' R2
R F L' U2 B2 U
R F L' D' U' R2
R F L' D2 F2 U'
R F D' L' U' R2
R F D2 L' F2 U'
R F' U2 R B2 U
R F' U2 B2 R U
R F' D2 F2 L' U'
D' L R U B' U2 R
D L R U L U2 F'
L' R D' L' U' R2 F
L' R D' L' U' F R2
L2 R D' L' U' R2 F
L2 R D' L' U' F R2
L R D' L' U' R2 F
L R D' L' U' F R2
R L D' L' U' R2 F
R L D' L' U' F R2
L' R F L' U' D' R2
L' R F L' U2 B2 U
L' R F L' D' U' R2
L' R F L' D2 F2 U'
L R F L' U' D' R2
L R F L' U2 B2 U
L2 R F L' U' D' R2
L R F L' D' U' R2
L2 R F L' U2 B2 U
L R F L' D2 F2 U'
L2 R F L' D' U' R2
L2 R F L' D2 F2 U'
R L F L' U' D' R2
R L F L' U2 B2 U
R L F L' D' U' R2
R L F L' D2 F2 U'
L' R F D' L' U' R2
L' R F D2 L' F2 U'
L R F D' L' U' R2
L2 R F D' L' U' R2
L R F D2 L' F2 U'
L2 R F D2 L' F2 U'
R L F D' L' U' R2
R L F D2 L' F2 U'
L' R F' U2 R B2 U
L' R F' U2 B2 R U
L R F' U2 R B2 U
L2 R F' U2 R B2 U
L' R F' D2 F2 L' U'
L R F' U2 B2 R U
L2 R F' U2 B2 R U
R L F' U2 R B2 U
R L F' U2 B2 R U
L R F' D2 F2 L' U'
L2 R F' D2 F2 L' U'
R L F' D2 F2 L' U'
D' L' R U' R D F
D' L' R U' R D' F
D' L' R U' R D2 F
D' L' R U' R F D
D' L' R U' R F D'
D' L' R U' R F D2
D' L' R U' R' F R2
D' L' R U' R2 F R'
D' L' R U' D R F
D' L' R U' D' R F
D' L' R U' D2 R F
D L' R U L' U2 F'
D' L' R D U' R F
D L' R U' F2 R F
D' L' R D' U' R F
D' L' R D2 U' R F
D L' R F2 U' R F
R L' D' L' U' R2 F
R L' D' L' U' F R2
R L' F L' U' D' R2
R L' F L' U2 B2 U
R L' F L' D' U' R2
R L' F L' D2 F2 U'
R L' F D' L' U' R2
R L' F D2 L' F2 U'
R L' F' U2 R B2 U
R L' F' U2 B2 R U
R L' F' D2 F2 L' U'
D' L' D' R F2 U' F'
F L' F U2 L' B2 U
F L' F U2 B2 L' U
F L' F D2 F2 R U'
F L' F' R U' D' R2
F L' F' R U2 B2 U
F L' F' R D' U' R2
F L' F' R D2 F2 U'
F L' F' D' R U' R
F L' F' D2 R F2 U'
R L2 D' L' U' R2 F
R L2 D' L' U' F R2
R L2 F L' U' D' R2
R L2 F L' U2 B2 U
R L2 F L' D' U' R2
R L2 F L' D2 F2 U'
R L2 F D' L' U' R2
R L2 F D2 L' F2 U'
R L2 F' U2 R B2 U
R L2 F' U2 B2 R U
R L2 F' D2 F2 L' U'
F L2 D' L U' R2 B'
F L2 D' L U' B' R2
B' L2 B R F L' U'
D' R L U B' U2 R
R U D' L B' U2 R2
R U D' L' U2 R2 F
R U D' L' U2 F R2
D R L U L U2 F'
D' R L' U' R D F
D' R L' U' R D' F
D' R L' U' R D2 F
D' R L' U' R F D
D' R L' U' R F D'
D' R L' U' R F D2
D' R L' U' R' F R2
D' R L' U' R2 F R'
D' R L' U' D R F
D' R L' U' D' R F
D' R L' U' D2 R F
D' R L' D U' R F
D' R L' D' U' R F
D' R L' D2 U' R F
D R L' U L' U2 F'
D R L' U' F2 R F
D R L' F2 U' R F
D' R U L B' U2 R
D' R U L' U2 R F
D R U L2 U2 D F'
D R U L2 U2 D' F'
D R U L2 U2 D2 F'
D R U L2 U2 F' D
D R U L2 U2 F' D'
D R U L2 U2 F' D2
D R U L2 D U2 F'
D R U L2 D' U2 F'
D R U L2 D2 U2 F'
D R U L2 B U2 F'
D R U L2 B' U2 F'
D R U L2 B2 U2 F'
D' R U' L' R F L
D' R U' R L' F L
D R U B L2 U2 F'
D R U B' L2 U2 F'
D R U B2 L2 U2 F'
D' R U' D2 R D F'
D' R U' D2 R D' F'
D' R U' D2 R D2 F'
D' R U' D2 R F' D
D' R U' D2 R F' D'
D' R U' D2 R F' D2
D R U' R2 D2 R2 F'
D R U' D' F' D' R2
D R U' D2 F R2 F2
D R U' D2 F' R2 D
D R U' D2 F' R2 D'
D R U' D2 F' R2 D2
D R U' D2 F2 R2 F
D R U' F' R D2 R2
D R U' F' R' D2 R2
D R U' F' R2 D2 R2
D R U' F' U2 L2 U2
D R U' F' D2 R2 D
D R U' F' D2 R2 D'
D R U' F' D2 R2 D2
D R U' F2 D2 R2 F
D R U' F2 D2 F R2
D R U2 D' B2 U F'
D2 R D L' U' R2 F
D2 R D L' U' F R2
D R D L F2 U' F
D R D L' F2 U' F
D R D L2 F2 U' F
D R D F2 U' D F
D R D F2 U' D' F
D R D F2 U' D2 F
D R D F2 U' F D
D R D F2 U' F D'
D R D F2 U' F D2
D R D F2 D U' F
D R D F2 D' U' F
D R D F2 D2 U' F
D R D' U' F' D' R2
D' R D2 L U' R F'
D R D' U2 B2 U F'
D' R D2 L' U' R F'
D' R D2 L2 U' R F'
D R D2 L U' F' R2
D' R D2 U' R D F'
D' R D2 U' R D' F'
D' R D2 U' R D2 F'
D' R D2 U' R F' D
D' R D2 U' R F' D'
D' R D2 U' R F' D2
D R D2 L' U' F' R2
D R D2 L2 U' F' R2
R U' L D' L' R2 F
R U' L D' L' F R2
R U' L D' R2 L' F
D R D2 U' F R2 F2
D R D2 U' F' R2 D
D R D2 U' F' R2 D'
D R D2 U' F' R2 D2
D R D2 U' F2 R2 F
D R D2 F U' R2 F2
D R D2 F U' F2 R2
D R D2 F2 U' R2 F
D R D2 F2 U' F R2
D R F L' U' F2 R
D2 R F D2 F L' U'
D R F U L2 U2 F2
D R F U' F2 D2 R2
D R F' D F2 U' F2
D' R F2 U L' U2 F
D2 R F2 D L' U' F
D2 R F2 B' L B U'
D R F2 U L2 B' U2
D R F2 U' D2 R2 F
D R F2 U' D2 F R2
D R F2 U' F D2 R2
D R F2 D F2 U' F'
D R F2 D2 U' R2 F
D R F2 D2 U' F R2
D2 R B' L F2 B U'
D2 R B' L B F2 U'
D2 R B' F2 L B U'
R U' D R D2 F' R2
R U' D R F' D2 R2
R U' D R' D2 R2 F'
R U' D' L' R2 F L
R U' D' L' F L R2
R U' D' L' F R2 L
R U' D' R D2 R F'
R U' D' R2 L' F L
R U' F' R' D' R2 F2
R U' F' R' D' F2 R2
R U' F' U' R B2 U
R U' F' U' B2 R U
R U2 F' R F B2 U
R U2 F' R B2 F U
R U2 F' B2 R F U
R U2 B D2 B R' U
D R2 D R' F2 U' F
D R2 D F2 R' U' F'
R U2 B2 D R U F'
R U2 B2 F' R F U
D R2 D2 R' U' F' R'
R D L' U' F2 R F'
R D L' F2 U' R F'
L' D R U L2 U2 F'
L' D R U' D2 F' R2
L' D R U' F' D2 R2
L' D R D F2 U' F
L' D R D2 U' F' R2
L2 D R U L2 U2 F'
L2 D R U' D2 F' R2
L2 D R U' F' D2 R2
L2 D R D F2 U' F
L2 D R D2 U' F' R2
L D R U L2 U2 F'
L D R U' D2 F' R2
L D R U' F' D2 R2
L D R D F2 U' F
L D R D2 U' F' R2
R2 D R' U L2 B U2
R2 D R' U B L2 U2
R2 D R' U' D2 R2 F'
R2 D R' D2 U' R2 F'
R D U' R D2 F' R2
R D U' R F' D2 R2
R D U' R' D2 R2 F'
D U L2 U' R U' F'
U D L2 U' R U' F'
L' D' L' R U' R F
L2 D' L' R U' R F
R D' L U B' U2 R2
R2 D' L' R' U' R' F
R2 D' L' R' U' F R'
L D' L' R U' R F
R D' L' U' R' F R'
R D' L' U' R2 D F
R D' L' U' R2 D' F
R D' L' U' R2 D2 F
R D' L' U' R2 F D
R D' L' U' R2 F D'
R D' L' U' R2 F D2
R D' L' U' F R2 D
R D' L' U' F R2 D'
R D' L' U' F R2 D2
R D' L' U' F' R2 F2
R D' L' D' F2 U' F'
L' D' R L' U' R F
R D' L' F' U' R2 F2
R D' L' F' U' F2 R2
L' D' R U' D2 R F'
R D' L' F2 U' F' R2
L' D' R D2 U' R F'
L2 D' R L' U' R F
L2 D' R U' D2 R F'
L2 D' R D2 U' R F'
L D' R L' U' R F
L D' R U' D2 R F'
R2 D' R' L' U' R' F
R2 D' R' L' U' F R'
L D' R D2 U' R F'
R D' U L B' U2 R2
R D' U L' U2 R2 F
R D' U L' U2 F R2
R D' U' L' R2 F L
R D' U' L' F L R2
R D' U' L' F R2 L
R D' U' R D2 R F'
R D' U' R2 L' F L
R D' F L' U' R2 F
R D' F L' U' F R2
R D' F' L' U' R2 F
R D' F' L' U' F R2
F' U' R' D' R2 F2 B
F' U' R' D' R2 B F2
R D' F2 L' U' R2 F
R D' F2 L' U' F R2
F2 U2 L' B' R' B' U
R D2 F D2 F L' U'
F' U2 R B L B U
R D2 F2 D L' U' F
R D2 F2 B' L B U'
B2 U2 D R U' L2 F'
B2 U2 D R U' F' L2
R D2 B' L F2 B U'
R D2 B' L B F2 U'
F' U2 D' R U R B
R D2 B' F2 L B U'
R' F L' R2 U' D' R2
R' F L' R2 U2 B2 U
R' F L' R2 D' U' R2
R' F L' R2 D2 F2 U'
R2 F L' R' U' D' R2
R2 F L' R' U2 B2 U
R2 F L' R' D' U' R2
R2 F L' R' D2 F2 U'
R2 F L' U2 B2 L U
R2 F L' D' R' U' R'
R2 F L' D2 R' F2 U'
R2 F L' D2 F2 R' U'
R F L' U D L2 U2
R F L' U' R D' R2
R F L' U' R' D' R2
R F L' U' R2 D' R2
R F L' U' D' R2 D
R F L' U' D' R2 D'
R F L' U' D' R2 D2
R F L' U2 B2 U D
R F L' U2 B2 U D'
R F L' U2 B2 U D2
R F L' U2 B2 D U
R F L' U2 B2 D' U
R F L' U2 B2 D2 U
R F L' D U L2 U2
R F L' D' U' R2 D
R F L' D' U' R2 D'
R F L' D' U' R2 D2
R F L' D' F U' R2
R F L' D' F' U' R2
R F L' D' F2 U' R2
R F L' D2 F2 U' D
R F L' D2 F2 U' D'
R F L' D2 F2 U' D2
