D2 L2 R F' B' U'
D2 L2 R B' F' U'
D2 L2 B' R F' U'
D2 R L2 F' B' U'
D2 R L2 B' F' U'
R2 F B2 L B' U
R2 B2 F L B' U
D2 L R F' L B' U'
F L R2 D2 B' L U
L' R F2 L' F' B' U'
L' R F2 L' B' F' U'
F2 L F' R2 B' L2 U
F2 L F' B' L2 R2 U
F2 L F' B' R2 L2 U
L2 R B' U2 R B U
F2 L B' L2 F' R2 U
F2 L B' F' L2 R2 U
F2 L B' F' R2 L2 U
F2 L' R2 U2 F B U'
F2 L' R2 U2 B F U'
R L' F2 L' F' B' U'
R L' F2 L' B' F' U'
F2 L' F' R2 U D R2
F2 L' F' R2 U2 F2 U'
F2 L' F' R2 D U R2
F2 L' F' R2 D2 B2 U
F2 L' F2 R2 F B U
F2 L' F2 R2 B F U
L2 R2 U2 R' F' B' U'
L2 R2 U2 R' B' F' U'
R2 L2 U2 R' F' B' U'
R2 L2 U2 R' B' F' U'
D2 L2 R D F' B' U'
D2 L2 R D B' F' U'
D2 L2 R D' F' B' U'
D2 L2 R D' B' F' U'
D2 L2 R D2 F' B' U'
D2 L2 R D2 B' F' U'
D2 L2 R F' D B' U'
D2 L2 R F' D' B' U'
D2 L2 R F' D2 B' U'
D2 L2 R F' B' U' D
D2 L2 R F' B' U' D'
D2 L2 R F' B' U' D2
D2 L2 R F' B' D U'
D2 L2 R F' B' D' U'
D2 L2 R F' B' D2 U'
D2 L2 R B' D F' U'
D2 L2 R B' D' F' U'
D2 L2 R B' D2 F' U'
D2 L2 R B' F' U' D
D2 L2 R B' F' U' D'
D2 L2 R B' F' U' D2
D2 L2 R B' F' D U'
D2 L2 R B' F' D' U'
D2 L2 R B' F' D2 U'
R L2 B' U2 R B U
D2 L2 B R F' B2 U'
D2 L2 B R B2 F' U'
D2 L2 B' R D F' U'
D2 L2 B' R D' F' U'
D2 L2 B' R D2 F' U'
D2 L2 B' R F' U' D
D2 L2 B' R F' U' D'
D2 L2 B' R F' U' D2
D2 L2 B' R F' D U'
D2 L2 B' R F' D' U'
D2 L2 B' R F' D2 U'
D2 R L F' L B' U'
D2 R L2 D F' B' U'
D2 R L2 D B' F' U'
D2 R L2 D' F' B' U'
D2 R L2 D' B' F' U'
D2 R L2 D2 F' B' U'
D2 R L2 D2 B' F' U'
D2 R L2 F' D B' U'
D2 R L2 F' D' B' U'
D2 R L2 F' D2 B' U'
D2 R L2 F' B' U' D
D2 R L2 F' B' U' D'
D2 R L2 F' B' U' D2
D2 R L2 F' B' D U'
D2 R L2 F' B' D' U'
D2 R L2 F' B' D2 U'
D2 R L2 B' D F' U'
D2 R L2 B' D' F' U'
D2 R L2 B' D2 F' U'
D2 R L2 B' F' U' D
D2 R L2 B' F' U' D'
D2 R L2 B' F' U' D2
D2 R L2 B' F' D U'
D2 R L2 B' F' D' U'
D2 R L2 B' F' D2 U'
D2 R F' L2 U' D' L2
D2 R F' L2 U2 F2 U
D2 R F' L2 D' U' L2
D2 R F' L2 D2 B2 U'
D2 R B L2 F' B' U'
D2 R B L2 B' F' U'
D2 R B' L2 F' B' U'
D2 R B' L2 B' F' U'
D2 R B2 L2 F' B' U'
D2 R B2 L2 B' F' U'
F2 R2 L' U2 F B U'
F R2 L D2 B' L U
F2 R2 L' U2 B F U'
U' R2 F B2 L B' U
B' R2 F B2 L B' U
B2 R2 F B2 L B' U
U2 R2 F B2 L B' U
B R2 F B2 L B' U
U R2 F B2 L B' U
U' R2 B2 F L B' U
B' R2 B2 F L B' U
B2 R2 B2 F L B' U
U2 R2 B2 F L B' U
B R2 B2 F L B' U
U R2 B2 F L B' U
D2 U L2 R F' B' U'
D2 U L2 R B' F' U'
D2 U L2 B' R F' U'
D2 U R L2 F' B' U'
D2 U R L2 B' F' U'
D2 U' L2 R F' B' U'
D2 U' L2 R B' F' U'
D2 U' L2 B' R F' U'
D2 U' R L2 F' B' U'
D2 U' R L2 B' F' U'
U' D2 L2 R F' B' U'
U' D2 L2 R B' F' U'
R' D2 R' F L2 B U
R' D2 R' F B L2 U
D2 U2 L2 R F' B' U'
D2 U2 L2 R B' F' U'
R' D2 R' B F L2 U
U2 D2 L2 R F' B' U'
U' D2 L2 B' R F' U'
U2 D2 L2 R B' F' U'
D2 U2 L2 B' R F' U'
U' D2 R L2 F' B' U'
U' D2 R L2 B' F' U'
D2 U2 R L2 F' B' U'
D2 U2 R L2 B' F' U'
U2 D2 L2 B' R F' U'
U D2 L2 R F' B' U'
U D2 L2 R B' F' U'
U2 D2 R L2 F' B' U'
U2 D2 R L2 B' F' U'
U D2 L2 B' R F' U'
U D2 R L2 F' B' U'
U D2 R L2 B' F' U'
R' D2 F L2 R' B U
R' D2 F R' L2 B U
R' D2 F R' B L2 U
R2 F L B2 L B U
R2 F L' U2 R' F U'
R2 F L' U2 F R' U'
R2 F L2 U2 R' F' U'
R' F R' B2 L B' U
R' F D2 L2 R' B U
R' F D2 R' L2 B U
R' F D2 R' B L2 U
R2 F B' L B' L U
R2 F B2 L D B' U
R2 F B2 L D' B' U
R2 F B2 L D2 B' U
R2 F B2 L B' U D
R2 F B2 L B' U D'
R2 F B2 L B' U D2
R2 F B2 L B' D U
R2 F B2 L B' D' U
R2 F B2 L B' D2 U
R2 F' B2 L F2 B' U
R2 F' B2 L B' F2 U
R F2 L' F U' D' L2
R F2 L' F U2 F2 U
R F2 L' F D' U' L2
R F2 L' F D2 B2 U'
L F2 R2 B' L' F U
B' D2 L2 R F' B' U'
B' D2 L2 R B' F' U'
B2 D2 L2 R F' B' U'
B2 D2 L2 R B' F' U'
B' D2 L2 B' R F' U'
B' D2 R L2 F' B' U'
B' D2 R L2 B' F' U'
B2 D2 L2 B' R F' U'
B D2 L2 R F' B' U'
B D2 L2 R B' F' U'
B2 D2 R L2 F' B' U'
B2 D2 R L2 B' F' U'
B D2 L2 B' R F' U'
B D2 R L2 F' B' U'
B D2 R L2 B' F' U'
R2 F2 B2 L F' B' U
R2 F2 B2 L B' F' U
L F2 B' L' R2 F U
L F2 B' L' F R2 U
L F2 B' R2 L' F U
D2 B L2 R F' B' U'
D2 B L2 R B' F' U'
D2 B L2 B' R F' U'
D2 B R L2 F' B' U'
D2 B R L2 B' F' U'
D2 B' L2 R F' B' U'
D2 B' L2 R B' F' U'
D2 B' L2 B' R F' U'
D2 B' R L2 F' B' U'
D2 B' R L2 B' F' U'
L2 B' R U2 R B U
R2 B' F L B' L U
L B' F2 L' R2 F U
L B' F2 L' F R2 U
L B' F2 R2 L' F U
R2 B2 L D' B' U L
D2 B2 L2 R F' B' U'
D2 B2 L2 R B' F' U'
D2 B2 L2 B' R F' U'
D2 B2 R L2 F' B' U'
D2 B2 R L2 B' F' U'
R2 B2 F L D B' U
R2 B2 F L D' B' U
R2 B2 F L D2 B' U
R2 B2 F L B' U D
R2 B2 F L B' U D'
R2 B2 F L B' U D2
R2 B2 F L B' D U
R2 B2 F L B' D' U
R2 B2 F L B' D2 U
R2 B2 F' L F2 B' U
R2 B2 F' L B' F2 U
R2 B2 F2 L F' B' U
R2 B2 F2 L B' F' U
