U L' R' B' U L B2
U R' L' B' U L B2
F R' U B' L R2 B2
F R' U B' L B2 R2
F R' U B' R2 L B2
U R' U B' L R' B2
U R' U B' R' L B2
F R' B R2 D' F2 L'
U2 R' B' U L R' B2
U2 R' B' U R' L B2
F R' B' U L R2 B2
F R' B' U L B2 R2
F R' B' U R2 L B2
R' U2 B' U' L R' B2
R' U2 B' U' R' L B2
R' D L' F U B R
R' D2 F U L' B R
R' D2 F U B L' R
R' D2 F U B R L'
R' F U B R D2 L2
R' F U B' L R B2
R' F U B' L B2 R
R' F U B' R L B2
R' F B' U L R B2
R' F B' U L B2 R
R' F B' U R L B2
R' B' F U L R B2
R' B' F U L B2 R
R' B' F U R L B2
