D2 B2 U' B' R' F'
D' L U L F B R
D' L U L B F R
U L D' F L2 B R
U L D' F B L2 R
U L D' F B R L2
U L D' B F L2 R
U L D' B F R L2
U L F2 U F' B R
U L F2 U B F' R
U L B D' F L2 R
U L B D' F R L2
D2 L B2 U' B' R' F'
U L' D' L2 F B R
U L' D' L2 B F R
U2 L' F2 B' R' U B2
U2 L' B' R' F2 U B2
U2 L' B' F2 R' U B2
D2 L' B2 U' B' R' F'
D2 L2 B2 U' B' R' F'
F R D' F L' B U
F R D' F B L' U
F R D' B F L' U
F R B D' F L' U
D' U L F L B R
D U R2 F' L' B' U2
F2 U D F B R F'
U D R2 F' L' B' U2
F2 U D B F R F'
D' U B L F L R
D' U B L F R L
U' D B' R' F' B2 L
U' D B' R' B2 L F'
U' D B' R' B2 F' L
F2 U B D F R F'
U D' L F L B R
U' D' L2 B' R' F' B2
U' D' L2 B' R' B2 F'
D' U' L2 B' R' F' B2
D' U' L2 B' R' B2 F'
U' D' B' L2 R' F' B2
U' D' B' L2 R' B2 F'
D' U' B' L2 R' F' B2
D' U' B' L2 R' B2 F'
U' D' B' R' L2 F' B2
U' D' B' R' L2 B2 F'
D' U' B' R' L2 F' B2
D' U' B' R' L2 B2 F'
U' D' B' R' F' L2 B2
U' D' B' R' F' B2 L2
D' U' B' R' F' L2 B2
U' D' B' R' B2 L2 F'
D' U' B' R' F' B2 L2
U' D' B' R' B2 F' L2
D' U' B' R' B2 L2 F'
D' U' B' R' B2 F' L2
B2 U' D' B' L2 R' F'
B2 U' D' B' R' L2 F'
B2 U' D' B' R' F' L2
U D' B L F L R
U D' B L F R L
D U' B' R' F' B2 L
D U' B' R' B2 L F'
D U' B' R' B2 F' L
B2 U' B' R' D' L2 F'
B2 U' B' R' D' F' L2
B2 U' B' D' L2 R' F'
B2 U' B' D' R' L2 F'
B2 U' B' D' R' F' L2
F2 U2 L F L' U' B
L' D2 B2 U' B' R' F'
L2 D2 B2 U' B' R' F'
L D2 B2 U' B' R' F'
B2 U2 F2 U B' R' F'
F2 D U F B R F'
F2 D U B F R F'
R' F' L' R U' B L
D2 F' L' B2 U' B' R'
R' F' R L' U' B L
F2 D' L' U F B R
F2 D' L' U B F R
B2 D' U' B' L2 R' F'
B2 D' U' B' R' L2 F'
B2 D' U' B' R' F' L2
U2 F2 L' B' R' U B2
U2 F2 U B' R' F' B2
U2 F2 U B' R' B2 F'
R' F2 U2 F L' U' B'
F2 D2 R B R' U B
U B L D' F L2 R
U B L D' F R L2
U B L' D' L2 F R
B' F R F B U B
B' F R B F U B
B2 F R F B U B2
B2 F R B F U B2
U B D' L F L R
U B D' L F R L
B F R F B U B'
B F R B F U B'
F B R F B U B'
F B R B F U B'
U' B' R' B2 D' L2 F'
U' B' R' B2 D' F' L2
F B' R F B U B
F B' R B F U B
D2 B2 U' R' F' B' R'
D2 B2 U' R' B' F' R'
D2 B2 U' D B' R' F'
D2 B2 U' D' B' R' F'
D2 B2 U' D2 B' R' F'
D2 B2 U' F B' R' F'
D2 B2 U' F' B' R' F'
D2 B2 U' F2 B' R' F'
D2 B2 U' B' R' D F'
D2 B2 U' B' R' D' F'
D2 B2 U' B' R' D2 F'
D2 B2 U' B' R' F' D
D2 B2 U' B' R' F' D'
D2 B2 U' B' R' F' D2
D2 B2 U' B' D R' F'
D2 B2 U' B' D' R' F'
D2 B2 U' B' D2 R' F'
D2 B2 U' B' F R' F'
D2 B2 U' B' F' R' F'
D2 B2 U' B' F2 R' F'
D' B2 U' B' L2 R' F'
D' B2 U' B' R' L2 F'
D' B2 U' B' R' F' L2
F B2 R F B U B2
F B2 R B F U B2
D2 B2 D U' B' R' F'
D2 B2 D' U' B' R' F'
D2 B2 D2 U' B' R' F'
